TICKERS,BETA
ABRD,0.20948270649849265
ACKO,0.0241827220331148
AFKS,0.7995823500485815
AFLT,0.6190243569414018
AGRO,0.4057805820227563
AKRN,0.25993776818335373
ALRS,0.5670839447852634
AMEZ,0.3539798866297248
APTK,0.31146012605057377
AQUA,0.4242442443263963
ARSA,0.25504729911200585
ASSB,0.19509886832971055
AVAN,0.22912547194616553
BANE,0.5207442171096649
BANEP,0.6060005363865846
BELU,0.34456272070946675
BISVP,0.17318504000928747
BLNG,0.5038520871064609
BRZL,0.2592493123705349
BSPB,0.5842368966068974
BSPBP,0.24989619795230758
CBOM,0.3439051328123202
CHGZ,0.3255570117624765
CHKZ,0.19798217895167625
CHMF,0.5237582683118703
CHMK,0.5727284418404074
CIAN,0.45295901481749457
CNTL,0.2600802450746833
CNTLP,0.32851916407312104
DIOD,0.22001618455111263
DSKY,0.44414671483397417
DVEC,0.3627841958453843
DZRD,0.30343780931423525
DZRDP,0.30595476281665107
EELT,0.1698745330814084
ELTZ,0.36948278918008487
ENPG,0.5587072546958778
ENRU,0.41192239569646116
ETLN,0.5468995540117618
FEES,0.6170808158208374
FESH,0.5265584539389977
FIVE,0.4914528337413066
FIXP,0.28527806783048104
FLOT,0.4570271450776196
GAZA,0.3480646436887668
GAZAP,0.43343574263573276
GAZC,0.0
GAZP,0.8476673897862426
GAZS,0.0
GAZT,0.0
GCHE,0.35117353188590195
GEMA,0.26649257906065976
GEMC,0.3733995417778143
GLTR,0.3198373136941381
GMKN,0.6426281395778972
GTRK,0.4228262791346838
HHRU,0.3463609200615353
HIMCP,0.31930876133439595
HMSG,0.30815155149455414
HYDR,0.5588590670350047
IGST,0.33834085807145586
IGSTP,0.4131503382885574
INGR,0.3466186599208684
IRAO,0.7202401153502929
IRKT,0.3985440003687542
ISKJ,0.5104525540403232
JNOS,0.40026052791779976
JNOSP,0.40184808487697155
KAZT,0.28339980319154723
KAZTP,0.25558092553935347
KBSB,0.12353448570336942
KCHE,0.3636710456188985
KCHEP,0.21258183409345932
KGKC,0.20842553421684012
KGKCP,0.1294464993682626
KLSB,0.32724666386005863
KMAZ,0.41849127183809814
KMEZ,0.3058265089748094
KMTZ,0.09383113832670713
KOGK,0.4473417959551478
KRKN,0.3112181316198633
KRKNP,0.3608470525279934
KRKOP,0.35246724620694536
KROT,0.37958612429175154
KROTP,0.334695043501462
KRSB,0.2708403529685471
KRSBP,0.3513625481604525
KTSB,0.3623556502290876
KTSBP,0.38167421958579223
KUBE,0.3299101206750274
KUZB,0.3668060170114082
KZOS,0.3459555566349282
KZOSP,0.4809579138636622
LENT,0.3199326964905334
LIFE,0.35582346761044864
LKOH,0.8124880979517395
LNZL,0.29849054950984844
LNZLP,0.2458476968497123
LPSB,0.27219285542286503
LSNG,0.4934220490039849
LSNGP,0.3978701500660347
LSRG,0.5078871549257508
LVHK,0.317896557443483
MAGE,0.3831420717468579
MAGEP,0.3802601872605376
MAGN,0.5463912029345938
MDMG,0.3662904288986449
MFGS,0.3267524943525259
MFGSP,0.38848077971255596
MGNT,0.6001537656646132
MGNZ,0.3378357492642757
MGTS,0.3443627293815763
MGTSP,0.493446390813833
MISB,0.16066607317005765
MISBP,0.23831372821636104
MOEX,0.5468671914412809
MRKC,0.516701749004874
MRKK,0.4137379516883201
MRKP,0.4786721053544794
MRKS,0.40363591657666414
MRKU,0.42018591821583706
MRKV,0.46246759376237206
MRKY,0.35012881404206087
MRKZ,0.4292193691181353
MRSB,0.3254461946292971
MSNG,0.5059091001406758
MSRS,0.48574367957360337
MSTT,0.24083216905113317
MTLR,0.9067140488884277
MTLRP,0.8735682039675412
MTSS,0.6219614206415908
MVID,0.4314835134985431
NAUK,0.4192827677339155
NFAZ,0.4813685008148164
NKHP,0.29820481425902945
NKNC,0.39385458373003834
NKNCP,0.4701062788720675
NKSH,0.2874240457552513
NLMK,0.5437009265360002
NMTP,0.39945814490944914
NNSB,0.219122519958036
NNSBP,0.23117664855820655
NSVZ,0.27761626660060185
NVTK,0.7654227838370329
OGKB,0.6862735449189703
OKEY,0.45332501949328713
OMZZP,0.22935956690524706
OZON,0.6240738468227168
PAZA,0.189049517367749
PHOR,0.22310536960681687
PIKK,0.3397445224985136
PLZL,0.3365990344789122
PMSB,0.2719136895082343
PMSBP,0.2333790614029801
POLY,0.37920179694772077
