BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,АбрауДюрсо,ABRD,32,586611,132.72,132.7,134.05,133.62,133.32,133.3,4400,133.32,133.32,133.32,586611,586611,586611.0,,3,0.0
TQBR,2014-06-10,АбрауДюрсо,ABRD,9,145628,133.9,130.91,133.9,131.82,132.39,131.02,1100,133.13,133.18,133.13,732239,519414,732239.0,,3,-0.0171042760690172
TQBR,2014-06-11,АбрауДюрсо,ABRD,42,937910,132.5,130.5,133.89,133.17,132.1,133.89,7100,132.1,132.1,132.1,937910,937910,937910.0,,3,0.0219050526637152
TQBR,2014-06-16,АбрауДюрсо,ABRD,39,772449,133.7,132.17,133.86,132.17,133.18,132.17,5800,133.18,133.18,133.18,772449,772449,772449.0,,3,-0.0128463664201956
TQBR,2014-06-17,АбрауДюрсо,ABRD,14,223421,131.88,131.11,131.88,131.11,131.42,131.11,1700,,132.17,,0,502260,0.0,,3,-0.008019974275554
TQBR,2014-06-18,АбрауДюрсо,ABRD,22,315092,131.12,130.82,132.5,131.0,131.29,131.0,2400,,131.33,,0,525325,0.0,,3,-0.0008389901609336
TQBR,2014-06-19,АбрауДюрсо,ABRD,60,1081176,131.01,131.01,132.8,132.59,131.85,132.55,8200,131.85,131.85,131.85,1081176,1081176,1081176.0,,3,0.0118320610687023
TQBR,2014-06-20,АбрауДюрсо,ABRD,26,447305,132.08,131.18,132.08,131.57,131.56,131.6,3400,,131.67,,0,500341,0.0,,3,-0.0071671067521691
TQBR,2014-06-23,АбрауДюрсо,ABRD,4,92326,132.2,131.54,132.2,131.54,131.89,131.54,700,131.62,131.6,131.62,539631,513222,539631.0,,3,-0.0004559270516717
TQBR,2014-06-24,АбрауДюрсо,ABRD,23,603771,131.79,130.85,133.22,132.98,131.25,133.22,4600,131.25,131.25,131.25,603771,603771,603771.0,,3,0.0127717804470123
TQBR,2014-06-25,АбрауДюрсо,ABRD,10,225062,132.0,131.92,134.12,134.12,132.39,134.12,1700,,131.71,,0,513671,0.0,,3,0.0067557423810239
TQBR,2014-06-26,АбрауДюрсо,ABRD,60,1103336,133.88,133.8,136.5,136.5,134.55,136.5,8200,134.55,134.55,134.55,1103336,1103336,1103336.0,,3,0.0177453027139874
TQBR,2014-06-27,АбрауДюрсо,ABRD,53,1046543,135.3,135.22,136.59,135.51,135.91,135.5,7700,135.91,135.91,135.91,1046543,1046543,1046543.0,,3,-0.0073260073260073
TQBR,2014-06-30,АбрауДюрсо,ABRD,66,1232888,135.82,135.78,138.55,135.97,136.99,135.88,9000,136.99,136.99,136.99,1232888,1232888,1232888.0,,3,0.0028044280442804
TQBR,2014-07-01,АбрауДюрсо,ABRD,58,1121340,135.52,135.45,137.83,136.88,136.75,136.83,8200,136.75,136.75,136.75,1121340,1121340,1121340.0,,3,0.0069914630556374
TQBR,2014-07-02,АбрауДюрсо,ABRD,32,632353,136.82,136.75,138.18,137.99,137.47,137.99,4600,137.47,137.47,137.47,632353,632353,632353.0,,3,0.0084776730249214
TQBR,2014-07-03,АбрауДюрсо,ABRD,29,527844,138.37,138.29,139.23,138.87,138.91,138.9,3800,138.91,138.91,138.91,527844,527844,527844.0,,3,0.0065946807739691
TQBR,2014-07-04,АбрауДюрсо,ABRD,69,1503417,138.7,138.15,140.32,138.86,139.21,139.19,10800,139.21,139.21,139.21,1503417,1503417,1503417.0,,3,0.002087832973362
TQBR,2014-07-07,АбрауДюрсо,ABRD,20,405719,139.2,139.13,141.7,141.54,139.9,141.54,2900,,139.71,,0,502961,0.0,,3,0.0168833967957467
TQBR,2014-07-08,АбрауДюрсо,ABRD,36,854124,141.6,140.75,144.98,144.98,142.35,144.98,6000,142.35,142.35,142.35,854124,854124,854124.0,,3,0.0243040836512646
TQBR,2014-07-09,АбрауДюрсо,ABRD,45,903798,142.7,142.7,144.26,143.0,143.46,143.0,6300,143.46,143.46,143.46,903798,903798,903798.0,,3,-0.0136570561456751
TQBR,2014-07-10,АбрауДюрсо,ABRD,4,86079,143.13,143.13,143.8,143.8,143.47,143.8,600,143.46,143.52,143.46,989877,502322,989877.0,,3,0.0055944055944056
TQBR,2014-07-11,АбрауДюрсо,ABRD,26,514878,143.5,142.54,143.66,143.3,143.02,143.3,3600,143.02,143.02,143.02,514878,514878,514878.0,,3,-0.0034770514603616
TQBR,2014-07-14,АбрауДюрсо,ABRD,47,790722,143.07,143.07,144.43,143.41,143.77,143.41,5500,143.77,143.77,143.77,790722,790722,790722.0,,3,0.0007676203768317
TQBR,2014-07-15,АбрауДюрсо,ABRD,6,114876,143.13,143.13,144.8,144.36,143.6,144.8,800,143.75,143.77,143.75,905598,503198,905598.0,,3,0.0096924900634545
TQBR,2014-07-16,АбрауДюрсо,ABRD,40,851109,145.69,143.0,145.7,143.65,144.26,143.65,5900,144.26,144.26,144.26,851109,851109,851109.0,,3,-0.0079419889502762
TQBR,2014-07-17,АбрауДюрсо,ABRD,4,57146,145.09,142.11,145.09,142.12,142.87,142.11,400,144.17,144.21,144.17,908255,504733,908255.0,,3,-0.0107205012182387
TQBR,2014-07-18,АбрауДюрсо,ABRD,52,1003449,142.05,140.55,142.05,141.97,141.33,141.97,7100,141.33,141.33,141.33,1003449,1003449,1003449.0,,3,-0.0009851523467737
TQBR,2014-07-21,АбрауДюрсо,ABRD,21,497569,138.8,135.65,138.8,135.65,138.21,135.65,3600,,138.41,,0,525963,0.0,,3,-0.0445164471367189
TQBR,2014-07-22,АбрауДюрсо,ABRD,55,979201,137.29,137.22,138.53,137.47,137.92,137.22,7100,137.92,137.92,137.92,979201,979201,979201.0,,3,0.0115739034279395
TQBR,2014-07-23,АбрауДюрсо,ABRD,52,1092898,137.73,137.64,139.1,137.75,138.34,137.71,7900,138.34,138.34,138.34,1092898,1092898,1092898.0,,3,0.0035709080308993
TQBR,2014-07-24,АбрауДюрсо,ABRD,0,0,,,,137.75,,,0,138.34,138.31,138.34,1092898,511737,1092898.0,,3,0.0
TQBR,2014-07-25,АбрауДюрсо,ABRD,56,1055199,137.71,135.51,137.71,135.51,137.04,135.51,7700,137.04,137.04,137.04,1055199,1055199,1055199.0,,3,0.0
TQBR,2014-07-28,АбрауДюрсо,ABRD,46,847284,135.21,135.21,137.48,136.5,136.66,136.5,6200,136.66,136.66,136.66,847284,847284,847284.0,,3,0.0073057338941776
TQBR,2014-07-29,АбрауДюрсо,ABRD,29,646119,136.9,135.12,139.1,139.1,137.47,139.1,4700,137.47,137.47,137.47,646119,646119,646119.0,,3,0.019047619047619
TQBR,2014-07-30,АбрауДюрсо,ABRD,51,1316322,135.51,135.5,139.3,136.65,137.12,136.64,9600,137.12,137.12,137.12,1316322,1316322,1316322.0,,3,-0.0176851186196981
TQBR,2014-07-31,АбрауДюрсо,ABRD,3,902340,136.1,136.1,136.95,136.1,136.72,136.1,6600,136.95,136.79,136.95,2218662,998546,2218662.0,,3,-0.0039519906323184
