BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2017-07-10,АСКО ао,ACKO,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2017-07-11,АСКО ао,ACKO,33,13181510.0,2.7,2.625,2.7,2.7,2.627,2.7,5018000,2.627,2.627,2.7,13181510.0,13181510.0,13181510.0,,3,0.0
TQBR,2017-07-12,АСКО ао,ACKO,21,1316050.0,2.9,2.63,3.65,3.65,2.691,3.65,489000,2.6915,2.6915,3.65,1316050.0,1316050.0,1316050.0,,3,0.3518518518518517
TQBR,2017-07-13,АСКО ао,ACKO,24,201319.0,3.65,3.65,5.037,5.0,4.91,5.0,41000,,2.8665,5.0,0.0,1249769.0,0.0,,3,0.3698630136986301
TQBR,2017-07-14,АСКО ао,ACKO,428,5897455.5,4.3,3.1645,6.993,6.1285,5.553,6.1285,1062000,5.553,5.553,6.1285,5897455.5,5897455.5,5897455.5,,3,0.2256999999999999
TQBR,2017-07-17,АСКО ао,ACKO,221,3027644.5,7.56,4.414,7.56,4.968,5.2655,4.968,575000,5.2655,5.2655,4.968,3027644.5,3027644.5,3027644.5,,3,-0.1893611813657501
TQBR,2017-07-18,АСКО ао,ACKO,1024,133786225.5,5.265,3.063,6.7165,6.7165,5.4275,6.7165,24649000,5.4275,5.4275,6.7165,133786225.5,133786225.5,133786225.5,,3,0.3519524959742351
TQBR,2017-07-19,АСКО ао,ACKO,251,3406840.0,7.01,6.6495,8.7625,7.598,7.4225,7.598,459000,7.4225,7.4225,7.598,3406840.0,3406840.0,3406840.0,,3,0.1312439514628154
TQBR,2017-07-20,АСКО ао,ACKO,644,42441920.5,7.7,7.0005,10.6315,10.6315,9.0515,10.6315,4689000,9.0515,9.0515,10.6315,42441920.5,42441920.5,42441920.5,,3,0.3992498025796263
TQBR,2017-07-21,АСКО ао,ACKO,808,22365799.0,11.6945,8.7005,13.0,10.99,10.51,10.99,2128000,10.51,10.51,10.99,22365799.0,22365799.0,22365799.0,,3,0.0337205474298075
