BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,Система ао,AFKS,1983,194674727.8,44.364,43.751,45.001,44.448,44.444,44.448,4380200,44.444,44.444,44.444,194674727.8,194674727.8,194674727.8,,3,0.0
TQBR,2014-06-10,Система ао,AFKS,3704,522319645.4,44.44,44.117,45.596,45.499,45.08,45.499,11586400,45.08,45.08,45.08,522319645.4,522319645.4,522319645.4,,3,0.0236456083513319
TQBR,2014-06-11,Система ао,AFKS,5536,215501200.9,45.007,44.7,45.749,45.3,45.295,45.3,4757700,45.295,45.295,45.295,215492199.5,215492199.5,215492199.5,,3,-0.0043737224993957
TQBR,2014-06-16,Система ао,AFKS,12334,822593112.0,45.913,44.514,46.37,45.999,45.871,45.999,17932600,45.871,45.871,45.871,822583929.4,822583929.4,822583929.4,,3,0.015430463576159
TQBR,2014-06-17,Система ао,AFKS,3274,254605768.8,46.3,45.7,46.467,46.1,45.92,46.1,5544500,45.92,45.92,45.92,254605768.8,254605768.8,254605768.8,,3,0.0021956999065196
TQBR,2014-06-18,Система ао,AFKS,5313,297176053.4,45.823,45.823,46.677,46.6,46.505,46.6,6390200,46.505,46.505,46.505,297176053.4,297176053.4,297176053.4,,3,0.0108459869848156
TQBR,2014-06-19,Система ао,AFKS,2214,115783345.4,46.683,46.113,47.049,46.599,46.604,46.599,2484400,46.604,46.604,46.604,115783345.4,115783345.4,115783345.4,,3,-2.1459227467913624e-05
TQBR,2014-06-20,Система ао,AFKS,3742,209382805.4,46.743,45.26,46.763,46.0,46.101,46.0,4541800,46.101,46.101,46.101,209382805.4,209382805.4,209382805.4,,3,-0.0128543530977058
TQBR,2014-06-23,Система ао,AFKS,4333,250177137.1,46.091,45.03,46.982,45.5,45.395,45.5,5511100,45.395,45.395,45.395,250177137.1,250177137.1,250177137.1,,3,-0.0108695652173913
TQBR,2014-06-24,Система ао,AFKS,3525,384382421.5,45.582,45.261,46.45,46.45,46.04,46.45,8348800,46.04,46.04,46.04,384382421.5,384382421.5,384382421.5,,3,0.0208791208791209
TQBR,2014-06-25,Система ао,AFKS,5344,295804785.3,46.308,44.849,47.332,45.1,45.245,45.1,6537800,45.245,45.245,45.245,295804785.3,295804785.3,295804785.3,,3,-0.0290635091496232
TQBR,2014-06-26,Система ао,AFKS,2734,123431090.5,45.497,44.137,45.497,45.2,44.943,45.2,2746400,44.943,44.943,44.943,123431090.5,123431090.5,123431090.5,,3,0.0022172949002217
TQBR,2014-06-27,Система ао,AFKS,2869,184268521.4,45.2,44.623,46.2,46.2,45.647,46.2,4036800,45.647,45.647,45.647,184268521.4,184268521.4,184268521.4,,3,0.0221238938053097
