BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2013-10-31,Аэрофлот,AFLT,3780,156598263.0,56.7,55.61,57.43,57.4,56.34,57.4,2779400,56.34,56.34,56.34,156569913.0,156569913.0,156569913.0,,3,0.0
TQBR,2013-11-01,Аэрофлот,AFLT,1226,131227948.0,57.13,56.64,57.75,57.12,57.4,57.38,2286300,57.4,57.4,57.4,131222235.0,131222235.0,131222235.0,,3,-0.000348432055749
TQBR,2013-11-05,Аэрофлот,AFLT,463,41543271.0,57.5,56.8,57.5,56.86,56.99,56.85,729000,56.99,56.99,56.99,41543271.0,41543271.0,41543271.0,,3,-0.0092366678285116
TQBR,2013-11-06,Аэрофлот,AFLT,1329,75264008.0,56.93,56.5,57.46,57.37,56.98,57.4,1320900,56.98,56.98,56.98,75246929.0,75246929.0,75246929.0,,3,0.0096745822339489
TQBR,2013-11-07,Аэрофлот,AFLT,1667,122199101.0,57.31,56.92,58.47,58.47,57.86,58.45,2112000,57.86,57.86,57.86,122199101.0,122199101.0,122199101.0,,3,0.0182926829268293
TQBR,2013-11-08,Аэрофлот,AFLT,1268,78191105.0,57.58,56.9,58.11,56.9,57.43,57.1,1361500,57.43,57.43,57.43,78150799.0,78150799.0,78150799.0,,3,-0.0230966638152267
TQBR,2013-11-11,Аэрофлот,AFLT,2341,72225288.0,57.22,56.68,57.83,57.35,57.34,57.47,1259600,57.34,57.34,57.34,72225288.0,72225288.0,72225288.0,,3,0.0064798598949211
TQBR,2013-11-12,Аэрофлот,AFLT,777,51213212.0,57.49,57.29,57.91,57.67,57.71,57.88,887500,57.71,57.71,57.71,51213212.0,51213212.0,51213212.0,,3,0.0071341569514529
TQBR,2013-11-13,Аэрофлот,AFLT,3090,167734982.0,57.5,57.32,58.85,57.77,58.18,57.83,2883100,58.18,58.18,58.18,167734982.0,167734982.0,167734982.0,,3,-0.0008638562543193
TQBR,2013-11-14,Аэрофлот,AFLT,1695,106069302.0,58.25,57.74,60.16,59.5,59.03,59.51,1796800,59.03,59.03,59.03,106069302.0,106069302.0,106069302.0,,3,0.0290506657444233
TQBR,2013-11-15,Аэрофлот,AFLT,1154,76964489.0,60.01,59.51,60.47,59.8,59.89,59.88,1285200,59.89,59.89,59.89,76880475.0,76880475.0,76880475.0,,3,0.0062174424466476
TQBR,2013-11-18,Аэрофлот,AFLT,888,59696769.0,59.94,59.47,60.35,59.9,59.89,59.81,996700,59.89,59.89,59.89,59690775.0,59690775.0,59690775.0,,3,-0.0011690046760187
TQBR,2013-11-19,Аэрофлот,AFLT,1389,77679614.0,59.8,58.26,60.18,58.57,58.97,58.68,1317300,58.97,58.97,58.97,77679614.0,77679614.0,77679614.0,,3,-0.018893161678649
TQBR,2013-11-20,Аэрофлот,AFLT,1422,75213507.0,58.1,57.46,58.55,57.66,57.75,57.6,1302300,57.75,57.75,57.75,75143787.0,75143787.0,75143787.0,,3,-0.01840490797546
TQBR,2013-11-21,Аэрофлот,AFLT,1250,73428192.0,57.97,56.38,57.97,57.79,57.16,57.78,1284700,57.15,57.15,57.15,72836898.0,72836898.0,72836898.0,,3,0.0031249999999999
