BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-12-01,AGRO-гдр,AGRO,1,128000.0,320.0,320.0,320.0,320.0,320.0,320.0,400,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-12-02,AGRO-гдр,AGRO,1,3050000.0,305.0,305.0,305.0,305.0,305.0,305.0,10000,,,,0.0,0.0,0.0,,3,-0.046875
TQBR,2014-12-03,AGRO-гдр,AGRO,0,0.0,,,,305.0,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-12-04,AGRO-гдр,AGRO,1,3300000.0,330.0,330.0,330.0,330.0,330.0,330.0,10000,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-12-05,AGRO-гдр,AGRO,0,0.0,,,,330.0,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-12-08,AGRO-гдр,AGRO,0,0.0,,,,330.0,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-12-09,AGRO-гдр,AGRO,0,0.0,,,,330.0,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-12-10,AGRO-гдр,AGRO,1,10500.0,350.0,350.0,350.0,350.0,350.0,350.0,30,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-12-11,AGRO-гдр,AGRO,1,212.2,212.2,212.2,212.2,212.2,212.2,212.2,1,,,,0.0,0.0,0.0,,3,-0.3937142857142857
TQBR,2014-12-12,AGRO-гдр,AGRO,0,0.0,,,,212.2,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-12-15,AGRO-гдр,AGRO,0,0.0,,,,212.2,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-12-16,AGRO-гдр,AGRO,0,0.0,,,,212.2,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-12-17,AGRO-гдр,AGRO,0,0.0,,,,212.2,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-12-18,AGRO-гдр,AGRO,0,0.0,,,,212.2,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-12-19,AGRO-гдр,AGRO,10,2087463.0,330.0,330.0,447.0,350.0,330.1,350.0,6324,330.1,330.1,330.1,2087463.0,2087463.0,2087463.0,,3,0.0
TQBR,2014-12-22,AGRO-гдр,AGRO,21,2386567.1,300.0,290.0,380.0,290.0,307.4,290.0,7764,307.4,307.4,307.4,2386567.1,2386567.1,2386567.1,,3,-0.1714285714285714
TQBR,2014-12-23,AGRO-гдр,AGRO,3,303340.0,290.0,290.0,290.0,290.0,290.0,290.0,1046,305.3,292.3,305.3,2689907.1,522947.1,2689907.1,,3,0.0
TQBR,2014-12-24,AGRO-гдр,AGRO,0,0.0,,,,290.0,,,0,305.3,292.3,305.3,2689907.1,522947.1,2689907.1,,3,0.0
TQBR,2014-12-25,AGRO-гдр,AGRO,5,383285.0,285.0,280.0,285.0,280.0,283.7,280.0,1351,313.05,286.75,313.05,5160655.1,753615.0,5160655.1,,3,0.0
TQBR,2014-12-26,AGRO-гдр,AGRO,6,5821966.55,280.0,270.55,285.0,277.0,277.15,271.0,21007,277.55,277.5,277.55,6205251.55,6162501.55,6205251.55,,3,-0.0321428571428571
TQBR,2014-12-29,AGRO-гдр,AGRO,1,280.0,280.0,280.0,280.0,280.0,280.0,280.0,1,277.55,277.2,277.55,6205531.55,5920531.55,6205531.55,,3,0.033210332103321
TQBR,2014-12-30,AGRO-гдр,AGRO,11,1356533.0,290.0,280.0,310.0,282.5,294.75,280.0,4602,294.75,294.75,294.75,1356533.0,1356533.0,1356533.0,,3,0.0
TQBR,2015-01-05,AGRO-гдр,AGRO,3,3869.0,321.0,280.0,350.0,326.65,322.4,280.0,12,294.85,295.4,294.85,1360402.0,889758.0,1360402.0,,3,0.0
TQBR,2015-01-06,AGRO-гдр,AGRO,15,127577.3,320.0,295.0,340.0,310.0,334.85,310.0,381,,298.0,,0.0,594246.3,0.0,,3,0.1071428571428571
TQBR,2015-01-08,AGRO-гдр,AGRO,23,198694.5,300.0,285.0,360.0,332.5,343.15,335.0,579,,310.65,,0.0,612640.8,0.0,,3,0.0806451612903225
TQBR,2015-01-09,AGRO-гдр,AGRO,12,9682.15,300.0,300.0,345.0,335.0,322.75,306.0,30,,310.85,,0.0,622322.95,0.0,,3,-0.0865671641791044
TQBR,2015-01-12,AGRO-гдр,AGRO,4,2688.3,290.1,290.1,303.0,303.0,298.7,303.0,9,,310.8,,0.0,625011.25,0.0,,3,-0.0098039215686274
TQBR,2015-01-13,AGRO-гдр,AGRO,13,8109.65,290.15,290.15,324.9,319.95,311.9,319.95,26,,310.8,,0.0,633120.9,0.0,,3,0.0559405940594059
TQBR,2015-01-14,AGRO-гдр,AGRO,17,21415.65,324.95,295.0,334.95,309.6,319.65,315.0,67,,319.2,,0.0,512036.55,0.0,,3,-0.0154711673699015
TQBR,2015-01-15,AGRO-гдр,AGRO,8,94199.0,300.05,300.05,320.0,305.0,309.85,305.0,304,,317.75,,0.0,606235.55,0.0,,3,-0.0317460317460317
TQBR,2015-01-16,AGRO-гдр,AGRO,7,177365.25,305.1,305.1,314.95,308.0,310.6,308.0,571,,323.0,,0.0,503914.5,0.0,,3,0.0098360655737704
TQBR,2015-01-19,AGRO-гдр,AGRO,0,0.0,,,,308.0,,,0,,323.0,,0.0,503914.5,0.0,,3,0.0
TQBR,2015-01-20,AGRO-гдр,AGRO,8,324095.5,315.0,300.05,315.0,310.0,314.05,310.0,1032,312.85,312.85,312.85,501460.75,501460.75,501460.75,,3,0.0
TQBR,2015-01-21,AGRO-гдр,AGRO,3,1507320.0,295.0,295.0,320.0,320.0,295.5,320.0,5101,298.6,298.6,298.6,1831415.5,1830155.5,1831415.5,,3,0.032258064516129
TQBR,2015-01-22,AGRO-гдр,AGRO,27,1451029.0,320.0,317.5,330.0,320.0,323.6,320.0,4484,323.6,323.6,323.6,1451029.0,1451029.0,1451029.0,,3,0.0
TQBR,2015-01-23,AGRO-гдр,AGRO,1,324.95,324.95,324.95,324.95,324.95,324.95,324.95,1,323.6,324.15,323.6,1451353.95,850214.95,1451353.95,,3,0.0154687499999999
TQBR,2015-01-26,AGRO-гдр,AGRO,5,4688823.0,320.0,312.0,320.0,313.0,313.0,320.0,14980,315.45,314.0,315.45,6140176.95,5160287.95,6140176.95,,3,-0.0152331127865825
TQBR,2015-01-27,AGRO-гдр,AGRO,6,15858.95,340.0,312.0,344.95,330.35,330.4,330.0,48,313.05,313.05,313.05,4704681.95,4701481.95,4704681.95,,3,0.03125
TQBR,2015-01-28,AGRO-гдр,AGRO,1,340.0,340.0,340.0,340.0,340.0,340.0,340.0,1,313.05,313.05,313.05,4705021.95,4701509.95,4705021.95,,3,0.0303030303030303
TQBR,2015-01-29,AGRO-гдр,AGRO,0,0.0,,,,340.0,,,0,313.05,313.05,313.05,4705346.9,4701509.95,4705346.9,,3,0.0
