BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,Акрон,AKRN,1098,40352592.4,1230.0,1180.2,1244.9,1228.0,1218.0,1228.0,33130,1218.0,1218.0,1218.0,40352592.4,40352592.4,40352592.4,,3,0.0
TQBR,2014-06-10,Акрон,AKRN,786,20317035.8,1225.0,1190.0,1225.0,1196.0,1203.0,1196.0,16888,1203.0,1203.0,1203.0,20317035.8,20317035.8,20317035.8,,3,-0.0260586319218241
TQBR,2014-06-11,Акрон,AKRN,1083,24976828.5,1198.7,1160.0,1198.7,1165.0,1167.5,1165.0,21393,1167.5,1167.5,1167.5,24976828.5,24976828.5,24976828.5,,3,-0.0259197324414715
TQBR,2014-06-16,Акрон,AKRN,791,25964067.2,1153.8,1150.0,1191.1,1189.9,1176.3,1189.9,22072,1176.4,1176.4,1176.4,25944452.6,25944452.6,25944452.6,,3,0.0213733905579399
TQBR,2014-06-17,Акрон,AKRN,577,13180834.2,1190.0,1160.0,1200.0,1175.0,1183.1,1175.0,11141,1183.1,1183.1,1183.1,13180834.2,13180834.2,13180834.2,,3,-0.0125220606773679
TQBR,2014-06-18,Акрон,AKRN,385,10020741.8,1182.9,1155.0,1182.9,1166.4,1171.1,1166.4,8557,1171.1,1171.1,1171.1,10020741.8,10020741.8,10020741.8,,3,-0.0073191489361701
TQBR,2014-06-19,Акрон,AKRN,861,18308200.8,1165.1,1132.5,1171.1,1156.3,1148.1,1156.3,15947,1148.1,1148.1,1148.1,18308200.8,18308200.8,18308200.8,,3,-0.0086591220850481
TQBR,2014-06-20,Акрон,AKRN,440,21417533.6,1152.1,1135.6,1161.2,1135.6,1151.2,1135.6,18604,1151.2,1151.2,1151.2,21417533.6,21417533.6,21417533.6,,3,-0.0179019285652512
TQBR,2014-06-23,Акрон,AKRN,341,6390952.5,1140.0,1121.0,1158.6,1155.0,1140.8,1155.0,5602,1140.8,1140.8,1140.8,6390952.5,6390952.5,6390952.5,,3,0.0170834800986263
TQBR,2014-06-24,Акрон,AKRN,613,11244278.9,1158.9,1150.0,1170.0,1166.9,1159.2,1166.9,9700,1159.2,1159.2,1159.2,11244278.9,11244278.9,11244278.9,,3,0.0103030303030303
TQBR,2014-06-25,Акрон,AKRN,562,22714036.9,1155.6,1155.6,1190.0,1175.1,1181.7,1175.1,19221,1181.7,1181.7,1181.7,22714036.9,22714036.9,22714036.9,,3,0.0070271659953721
