BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2013-07-08,АЛРОСА ао,ALRS,0,0.0,,,,34.072,,,0,34.025,34.025,34.025,4777150.2,4777150.2,4777150.2,,3,0.0
TQBR,2013-07-09,АЛРОСА ао,ALRS,0,0.0,,,,34.006,,,0,34.038,34.038,34.038,2855800.1,2855800.1,2855800.1,,3,0.0
TQBR,2013-07-10,АЛРОСА ао,ALRS,0,0.0,,,,34.0,,,0,34.017,34.017,34.017,41926536.6,41926536.6,41926536.6,,3,0.0
TQBR,2013-07-11,АЛРОСА ао,ALRS,0,0.0,,,,34.035,,,0,34.043,34.043,34.043,26172262.6,26172262.6,26172262.6,,3,0.0
TQBR,2013-07-12,АЛРОСА ао,ALRS,0,0.0,,,,33.782,,,0,33.857,33.857,33.857,15713240.0,15713240.0,15713240.0,,3,0.0
TQBR,2013-07-15,АЛРОСА ао,ALRS,0,0.0,,,,33.889,,,0,33.73,33.73,33.73,4516413.8,4516413.8,4516413.8,,3,0.0
TQBR,2013-07-16,АЛРОСА ао,ALRS,0,0.0,,,,33.589,,,0,33.707,33.707,33.707,4115638.8,4115638.8,4115638.8,,3,0.0
TQBR,2013-07-17,АЛРОСА ао,ALRS,0,0.0,,,,33.515,,,0,33.561,33.561,33.561,5114727.4,5114727.4,5114727.4,,3,0.0
TQBR,2013-07-18,АЛРОСА ао,ALRS,0,0.0,,,,33.123,,,0,33.144,33.144,33.144,5412487.0,5412487.0,5412487.0,,3,0.0
TQBR,2013-07-19,АЛРОСА ао,ALRS,0,0.0,,,,33.081,,,0,33.142,33.142,33.142,2011696.0,2011696.0,2011696.0,,3,0.0
TQBR,2013-07-22,АЛРОСА ао,ALRS,0,0.0,,,,33.184,,,0,33.05,33.05,33.05,10612464.8,10612464.8,10612464.8,,3,0.0
TQBR,2013-07-23,АЛРОСА ао,ALRS,0,0.0,,,,33.059,,,0,33.156,33.156,33.156,2102104.7,2102104.7,2102104.7,,3,0.0
TQBR,2013-07-24,АЛРОСА ао,ALRS,0,0.0,,,,33.046,,,0,33.0,33.0,33.0,56466247.8,56466247.8,56466247.8,,3,0.0
TQBR,2013-07-25,АЛРОСА ао,ALRS,0,0.0,,,,33.0,,,0,33.021,33.021,33.021,7802802.3,7802802.3,7802802.3,,3,0.0
TQBR,2013-07-26,АЛРОСА ао,ALRS,0,0.0,,,,33.167,,,0,33.03,33.03,33.03,2602798.4,2602798.4,2602798.4,,3,0.0
TQBR,2013-07-29,АЛРОСА ао,ALRS,0,0.0,,,,33.093,,,0,33.23,33.23,33.23,2276234.1,2276234.1,2276234.1,,3,0.0
TQBR,2013-07-30,АЛРОСА ао,ALRS,0,0.0,,,,33.039,,,0,33.325,33.325,33.325,9867662.6,9867662.6,9867662.6,,3,0.0
TQBR,2013-07-31,АЛРОСА ао,ALRS,0,0.0,,,,33.399,,,0,33.253,33.253,33.253,6803507.2,6803507.2,6803507.2,,3,0.0
TQBR,2013-08-01,АЛРОСА ао,ALRS,0,0.0,,,,33.836,,,0,33.697,33.697,33.697,11878108.6,11878108.6,11878108.6,,3,0.0
TQBR,2013-08-02,АЛРОСА ао,ALRS,0,0.0,,,,33.065,,,0,33.226,33.226,33.226,1986933.1,1986933.1,1986933.1,,3,0.0
TQBR,2013-08-05,АЛРОСА ао,ALRS,0,0.0,,,,33.213,,,0,33.162,33.162,33.162,1757592.2,1757592.2,1757592.2,,3,0.0
TQBR,2013-08-06,АЛРОСА ао,ALRS,0,0.0,,,,32.996,,,0,33.007,33.007,33.007,5555041.7,5555041.7,5555041.7,,3,0.0
TQBR,2013-08-07,АЛРОСА ао,ALRS,0,0.0,,,,33.006,,,0,33.017,33.017,33.017,9809457.6,9809457.6,9809457.6,,3,0.0
TQBR,2013-08-08,АЛРОСА ао,ALRS,0,0.0,,,,33.001,,,0,33.038,33.038,33.038,3862173.4,3862173.4,3862173.4,,3,0.0
TQBR,2013-08-09,АЛРОСА ао,ALRS,0,0.0,,,,33.082,,,0,32.322,32.322,32.322,334018442.3,334018442.3,334018442.3,,3,0.0
TQBR,2013-08-12,АЛРОСА ао,ALRS,0,0.0,,,,33.099,,,0,33.0,33.0,33.0,8197295.0,8197295.0,8197295.0,,3,0.0
TQBR,2013-08-13,АЛРОСА ао,ALRS,0,0.0,,,,33.248,,,0,33.076,33.076,33.076,5960241.6,5960241.6,5960241.6,,3,0.0
TQBR,2013-08-14,АЛРОСА ао,ALRS,0,0.0,,,,33.024,,,0,33.127,33.127,33.127,7185287.2,7185287.2,7185287.2,,3,0.0
TQBR,2013-08-15,АЛРОСА ао,ALRS,0,0.0,,,,33.0,,,0,33.016,33.016,33.016,8954065.5,8954065.5,8954065.5,,3,0.0
TQBR,2013-08-16,АЛРОСА ао,ALRS,0,0.0,,,,33.01,,,0,33.012,33.012,33.012,342174488.0,342174488.0,342174488.0,,3,0.0
TQBR,2013-08-19,АЛРОСА ао,ALRS,0,0.0,,,,33.042,,,0,33.013,33.013,33.013,4773645.3,4773645.3,4773645.3,,3,0.0
TQBR,2013-08-20,АЛРОСА ао,ALRS,0,0.0,,,,33.047,,,0,33.021,33.021,33.021,164599098.7,164599098.7,164599098.7,,3,0.0
TQBR,2013-08-21,АЛРОСА ао,ALRS,0,0.0,,,,33.132,,,0,33.121,33.121,33.121,4789228.1,4789228.1,4789228.1,,3,0.0
TQBR,2013-08-22,АЛРОСА ао,ALRS,0,0.0,,,,33.25,,,0,33.149,33.149,33.149,6550271.0,6550271.0,6550271.0,,3,0.0
TQBR,2013-08-23,АЛРОСА ао,ALRS,0,0.0,,,,33.601,,,0,33.849,33.849,33.849,22658200.8,22658200.8,22658200.8,,3,0.0
TQBR,2013-08-26,АЛРОСА ао,ALRS,0,0.0,,,,33.312,,,0,33.523,33.523,33.523,7153796.8,7153796.8,7153796.8,,3,0.0
TQBR,2013-08-27,АЛРОСА ао,ALRS,0,0.0,,,,33.3,,,0,33.558,33.558,33.558,6459931.2,6459931.2,6459931.2,,3,0.0
TQBR,2013-08-28,АЛРОСА ао,ALRS,0,0.0,,,,33.267,,,0,33.224,33.224,33.224,5634830.0,5634830.0,5634830.0,,3,0.0
TQBR,2013-08-29,АЛРОСА ао,ALRS,0,0.0,,,,33.201,,,0,33.156,33.156,33.156,4326835.1,4326835.1,4326835.1,,3,0.0
TQBR,2013-08-30,АЛРОСА ао,ALRS,0,0.0,,,,33.091,,,0,33.141,33.141,33.141,9667243.9,9667243.9,9667243.9,,3,0.0
TQBR,2013-09-02,АЛРОСА ао,ALRS,266,22997872.7,33.0,32.612,33.197,33.0,33.005,33.0,696800,33.005,33.005,33.005,22997872.7,22997872.7,22997872.7,,3,0.0
TQBR,2013-09-03,АЛРОСА ао,ALRS,323,41523227.5,33.148,32.9,33.198,33.013,33.013,33.198,1257800,33.013,33.013,33.013,41523227.5,41523227.5,41523227.5,,3,0.006
TQBR,2013-09-04,АЛРОСА ао,ALRS,627,5384544.8,33.329,33.018,33.5,33.4,33.361,33.327,161400,33.361,33.361,33.361,5384544.8,5384544.8,5384544.8,,3,0.0038857762515813
TQBR,2013-09-05,АЛРОСА ао,ALRS,191,5868282.9,33.343,33.0,33.349,33.34,33.117,33.34,177200,33.117,33.117,33.117,5868282.9,5868282.9,5868282.9,,3,0.0003900741140818
TQBR,2013-09-06,АЛРОСА ао,ALRS,775,12323816.5,33.4,33.06,33.449,33.121,33.263,33.061,370500,33.263,33.263,33.263,12323816.5,12323816.5,12323816.5,,3,-0.0083683263347331
TQBR,2013-09-09,АЛРОСА ао,ALRS,518,8038508.9,33.369,33.034,33.372,33.139,33.162,33.299,242400,33.162,33.162,33.162,8038508.9,8038508.9,8038508.9,,3,0.0071988143129366
TQBR,2013-09-10,АЛРОСА ао,ALRS,432,12489335.1,33.365,33.01,33.365,33.041,33.181,33.01,376400,33.181,33.181,33.181,12489335.1,12489335.1,12489335.1,,3,-0.0086789393074867
TQBR,2013-09-11,АЛРОСА ао,ALRS,364,11889055.1,33.007,32.7,33.239,32.821,32.843,32.896,362000,32.843,32.843,32.843,11889055.1,11889055.1,11889055.1,,3,-0.0034534989397151
TQBR,2013-09-12,АЛРОСА ао,ALRS,414,24908865.9,32.711,32.6,33.1,33.099,32.896,32.999,757200,32.896,32.896,32.896,24908865.9,24908865.9,24908865.9,,3,0.003131079766537
TQBR,2013-09-13,АЛРОСА ао,ALRS,230,6627853.7,32.859,32.602,33.095,32.656,32.779,32.678,202200,32.779,32.779,32.779,6627853.7,6627853.7,6627853.7,,3,-0.0097275675020456
TQBR,2013-09-16,АЛРОСА ао,ALRS,1710,1366439118.4,32.724,32.595,33.27,33.0,32.921,33.25,41507100,32.921,32.921,32.921,1366439118.4,1366439118.4,1366439118.4,,3,0.0175041312197809
TQBR,2013-09-17,АЛРОСА ао,ALRS,318,114455152.0,33.241,33.181,33.8,33.708,33.548,33.748,3411700,33.548,33.548,33.548,114455152.0,114455152.0,114455152.0,,3,0.0149774436090224
TQBR,2013-09-18,АЛРОСА ао,ALRS,840,84496218.1,33.9,33.887,35.4,35.09,35.004,35.1,2413900,35.004,35.004,35.004,84496218.1,84496218.1,84496218.1,,3,0.0400616332819723
TQBR,2013-09-19,АЛРОСА ао,ALRS,1577,34078549.9,34.922,34.651,35.45,34.75,34.992,35.099,973900,34.992,34.992,34.992,34075057.7,34075057.7,34075057.7,,3,-2.849002849016453e-05
TQBR,2013-09-20,АЛРОСА ао,ALRS,592,11837004.5,35.348,34.311,35.348,34.507,34.845,34.51,339700,34.845,34.845,34.845,11837004.5,11837004.5,11837004.5,,3,-0.0167811048747827
TQBR,2013-09-23,АЛРОСА ао,ALRS,293,10561680.1,34.845,34.5,35.256,35.107,34.984,35.115,301900,34.984,34.984,34.984,10561680.1,10561680.1,10561680.1,,3,0.017531150391191
TQBR,2013-09-24,АЛРОСА ао,ALRS,247,12367780.4,35.119,34.812,35.119,34.943,34.947,34.9,353900,34.947,34.947,34.947,12367780.4,12367780.4,12367780.4,,3,-0.0061227395699844
TQBR,2013-09-25,АЛРОСА ао,ALRS,431,51901548.9,34.95,34.867,35.5,35.221,35.09,35.488,1479100,35.09,35.09,35.09,51901548.9,51901548.9,51901548.9,,3,0.0168481375358166
TQBR,2013-09-26,АЛРОСА ао,ALRS,325,35562441.3,35.143,35.024,35.5,35.5,35.266,35.5,1008400,35.266,35.266,35.266,35562441.3,35562441.3,35562441.3,,3,0.0003381424706943
TQBR,2013-09-27,АЛРОСА ао,ALRS,622,45756329.0,35.401,35.399,37.347,36.8,36.526,36.8,1252700,36.526,36.526,36.526,45756329.0,45756329.0,45756329.0,,3,0.036619718309859
TQBR,2013-09-30,АЛРОСА ао,ALRS,543,24502218.0,36.987,35.671,37.55,36.003,36.84,36.0,665100,36.84,36.84,36.84,24502218.0,24502218.0,24502218.0,,3,-0.0217391304347825
TQBR,2013-10-01,АЛРОСА ао,ALRS,270,17959425.8,35.559,35.559,36.95,36.255,36.458,36.255,492600,36.459,36.459,36.459,17955869.9,17955869.9,17955869.9,,3,0.0070833333333334
TQBR,2013-10-02,АЛРОСА ао,ALRS,1586,110991072.3,36.3,36.3,39.5,38.79,38.591,38.502,2876100,38.591,38.591,38.591,110991072.3,110991072.3,110991072.3,,3,0.0619776582540339
TQBR,2013-10-03,АЛРОСА ао,ALRS,1462,75876702.4,38.799,38.6,40.989,38.6,39.136,39.0,1938800,39.136,39.136,39.136,75876702.4,75876702.4,75876702.4,,3,0.0129343930185444
TQBR,2013-10-04,АЛРОСА ао,ALRS,821,27738779.0,38.941,37.751,38.942,38.603,38.229,38.7,725600,38.229,38.229,38.229,27738779.0,27738779.0,27738779.0,,3,-0.0076923076923076
TQBR,2013-10-07,АЛРОСА ао,ALRS,474,34352488.1,38.7,37.6,38.7,37.6,37.933,37.652,905600,37.933,37.933,37.933,34337008.1,34337008.1,34337008.1,,3,-0.0270801033591731
TQBR,2013-10-08,АЛРОСА ао,ALRS,648,26957647.7,37.621,37.518,37.85,37.709,37.735,37.777,714400,37.735,37.735,37.735,26957647.7,26957647.7,26957647.7,,3,0.0033198767661744
TQBR,2013-10-09,АЛРОСА ао,ALRS,638,32340229.3,37.6,36.997,37.776,37.0,37.241,37.0,868400,37.241,37.241,37.241,32340229.3,32340229.3,32340229.3,,3,-0.0205680705190989
TQBR,2013-10-10,АЛРОСА ао,ALRS,4582,71903514.0,37.0,36.75,37.097,36.89,36.97,36.88,1944900,36.97,36.97,36.97,71903514.0,71903514.0,71903514.0,,3,-0.0032432432432431
TQBR,2013-10-11,АЛРОСА ао,ALRS,885,94396880.2,36.997,34.75,36.997,34.8,36.006,34.75,2621700,36.006,36.006,36.006,94396880.2,94396880.2,94396880.2,,3,-0.0577548806941432
TQBR,2013-10-14,АЛРОСА ао,ALRS,703,32568639.9,34.771,34.752,35.49,34.88,35.043,34.823,929400,35.043,35.043,35.043,32568639.9,32568639.9,32568639.9,,3,0.0021007194244604
TQBR,2013-10-15,АЛРОСА ао,ALRS,666,52104722.5,35.393,34.777,35.398,35.0,34.949,35.0,1490900,34.949,34.949,34.949,52104722.5,52104722.5,52104722.5,,3,0.0050828475432903
TQBR,2013-10-16,АЛРОСА ао,ALRS,608,18560749.7,34.999,34.855,35.01,34.987,34.987,34.999,530500,34.987,34.987,34.987,18560749.7,18560749.7,18560749.7,,3,-2.8571428571361984e-05
TQBR,2013-10-17,АЛРОСА ао,ALRS,416,16402128.3,34.126,34.126,35.469,35.1,35.017,35.1,468400,35.023,35.023,35.023,16292925.1,16292925.1,16292925.1,,3,0.0028857967370496
TQBR,2013-10-18,АЛРОСА ао,ALRS,607,38038002.3,35.1,35.003,35.398,35.305,35.253,35.244,1079000,35.253,35.253,35.253,38038002.3,38038002.3,38038002.3,,3,0.004102564102564
TQBR,2013-10-21,АЛРОСА ао,ALRS,402,12868201.1,35.418,35.0,35.48,35.003,35.111,35.003,366500,35.111,35.111,35.111,12868201.1,12868201.1,12868201.1,,3,-0.0068380433548972
TQBR,2013-10-22,АЛРОСА ао,ALRS,248,9451137.6,35.39,34.96,35.39,34.96,35.004,34.96,270000,35.004,35.004,35.004,9451137.6,9451137.6,9451137.6,,3,-0.0012284661314744
TQBR,2013-10-23,АЛРОСА ао,ALRS,536,27530475.6,34.951,34.58,34.981,34.9,34.822,34.85,790600,34.822,34.822,34.822,27530475.6,27530475.6,27530475.6,,3,-0.0031464530892448
TQBR,2013-10-24,АЛРОСА ао,ALRS,242,38802970.1,34.656,34.656,35.0,34.969,34.867,34.9,1112900,34.867,34.867,34.867,38799504.5,38799504.5,38799504.5,,3,0.0014347202295551
TQBR,2013-10-25,АЛРОСА ао,ALRS,551,68929891.2,34.946,34.58,35.0,34.95,34.857,34.95,1977500,34.857,34.857,34.857,68929891.2,68929891.2,68929891.2,,3,0.0014326647564471
TQBR,2013-10-28,АЛРОСА ао,ALRS,3539,1327898860.4,34.95,34.95,35.799,35.15,35.144,35.25,37784000,35.144,35.144,35.144,1327874395.4,1327874395.4,1327874395.4,,3,0.0085836909871243
TQBR,2013-10-29,АЛРОСА ао,ALRS,6856,1125724501.7,35.224,35.011,36.153,36.152,35.497,36.153,31713200,35.497,35.497,35.497,1125720979.3,1125720979.3,1125720979.3,,3,0.0256170212765957
TQBR,2013-10-30,АЛРОСА ао,ALRS,5597,1102132926.9,36.157,36.053,38.081,37.3,37.201,37.4,29626300,37.201,37.201,37.201,1102078691.4,1102078691.4,1102078691.4,,3,0.0344922966282189
TQBR,2013-10-31,АЛРОСА ао,ALRS,1909,197005399.3,37.4,36.032,37.635,36.09,36.904,36.219,5338300,36.904,36.904,36.904,196960519.3,196960519.3,196960519.3,,3,-0.0315775401069518
TQBR,2013-11-01,АЛРОСА ао,ALRS,1400,149276407.3,36.511,35.7,36.8,36.0,36.206,35.951,4123000,36.206,36.206,36.206,149258151.8,149258151.8,149258151.8,,3,-0.0073994312377481
