BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,АшинскийМЗ,AMEZ,15,35364.9,5.742,5.74,5.987,5.826,5.798,5.826,6100,,6.112,,0.0,796328.5,0.0,,3,0.0
TQBR,2014-06-10,АшинскийМЗ,AMEZ,18,85563.9,5.75,5.599,5.75,5.599,5.629,5.599,15200,,5.893,,0.0,505017.0,0.0,,3,-0.0389632681084791
TQBR,2014-06-11,АшинскийМЗ,AMEZ,20,86818.2,5.775,5.758,5.818,5.812,5.788,5.812,15000,,5.867,,0.0,545021.1,0.0,,3,0.0380425075906412
TQBR,2014-06-16,АшинскийМЗ,AMEZ,16,71526.6,5.6,5.568,5.961,5.958,5.911,5.958,12100,,5.872,,0.0,616547.7,0.0,,3,0.0251204404679972
TQBR,2014-06-17,АшинскийМЗ,AMEZ,9,24895.4,5.801,5.678,5.964,5.964,5.79,5.964,4300,,5.837,,0.0,514247.0,0.0,,3,0.0010070493454179
TQBR,2014-06-18,АшинскийМЗ,AMEZ,9,125835.3,5.802,5.749,5.945,5.945,5.772,5.945,21800,,5.778,,0.0,502728.4,0.0,,3,-0.0031857813547954
TQBR,2014-06-19,АшинскийМЗ,AMEZ,96,1146825.4,5.9,5.3,5.9,5.514,5.415,5.514,211800,5.415,5.415,5.415,1146825.4,1146825.4,1146825.4,,3,-0.072497897392767
TQBR,2014-06-20,АшинскийМЗ,AMEZ,88,523391.8,5.561,5.101,5.645,5.235,5.229,5.235,100100,5.229,5.229,5.229,523391.8,523391.8,523391.8,,3,-0.0505984766050054
TQBR,2014-06-23,АшинскийМЗ,AMEZ,26,126470.6,5.221,5.15,5.228,5.158,5.162,5.16,24500,,5.148,,0.0,500863.2,0.0,,3,-0.0143266475644699
TQBR,2014-06-24,АшинскийМЗ,AMEZ,23,297292.6,5.031,5.03,5.4,5.346,5.271,5.4,56400,,5.224,,0.0,523427.2,0.0,,3,0.0465116279069767
TQBR,2014-06-25,АшинскийМЗ,AMEZ,19,65503.5,5.604,5.21,5.949,5.699,5.504,5.699,11900,,5.269,,0.0,501065.2,0.0,,3,0.0553703703703702
TQBR,2014-06-26,АшинскийМЗ,AMEZ,57,473887.7,5.575,5.575,6.0,5.922,5.88,6.0,80600,,5.869,,0.0,500666.1,0.0,,3,0.052816283558519
TQBR,2014-06-27,АшинскийМЗ,AMEZ,46,446963.0,5.873,5.7,6.45,6.21,6.089,6.45,73400,,6.069,,0.0,506185.6,0.0,,3,0.075
TQBR,2014-06-30,АшинскийМЗ,AMEZ,266,4418307.4,6.497,5.756,6.939,6.401,6.471,6.401,682800,6.471,6.471,6.471,4418307.4,4418307.4,4418307.4,,3,-0.0075968992248062
TQBR,2014-07-01,АшинскийМЗ,AMEZ,61,621568.9,6.4,5.763,6.4,5.9,5.982,5.9,103900,5.982,5.982,5.982,621568.9,621568.9,621568.9,,3,-0.0782690204655521
TQBR,2014-07-02,АшинскийМЗ,AMEZ,34,116744.5,5.87,5.6,5.881,5.653,5.779,5.6,20200,,5.888,,0.0,541108.4,0.0,,3,-0.0508474576271187
TQBR,2014-07-03,АшинскийМЗ,AMEZ,108,1701959.1,5.61,5.366,5.658,5.387,5.462,5.38,311600,5.462,5.462,5.462,1701959.1,1701959.1,1701959.1,,3,-0.0392857142857142
TQBR,2014-07-04,АшинскийМЗ,AMEZ,32,117161.1,5.458,5.301,5.53,5.428,5.424,5.53,21600,,5.418,,0.0,524990.4,0.0,,3,0.0278810408921933
TQBR,2014-07-07,АшинскийМЗ,AMEZ,10,51686.4,5.494,5.494,5.499,5.499,5.499,5.499,9400,,5.417,,0.0,503741.3,0.0,,3,-0.0056057866184449
TQBR,2014-07-08,АшинскийМЗ,AMEZ,17,163701.1,5.499,5.384,5.719,5.559,5.53,5.719,29600,,5.452,,0.0,535887.3,0.0,,3,0.0400072740498273
TQBR,2014-07-09,АшинскийМЗ,AMEZ,21,87298.2,5.485,5.4,5.75,5.732,5.632,5.75,15500,,5.487,,0.0,541519.7,0.0,,3,0.0054205280643468
TQBR,2014-07-10,АшинскийМЗ,AMEZ,21,65257.3,5.759,5.502,5.88,5.82,5.724,5.85,11400,,5.539,,0.0,500167.1,0.0,,3,0.017391304347826
TQBR,2014-07-11,АшинскийМЗ,AMEZ,10,33330.3,5.6,5.557,5.9,5.9,5.747,5.9,5800,,5.562,,0.0,500042.2,0.0,,3,0.0085470085470086
TQBR,2014-07-14,АшинскийМЗ,AMEZ,2,1136.0,5.562,5.562,5.798,5.798,5.68,5.798,200,,5.563,,0.0,500100.2,0.0,,3,-0.0172881355932203
