BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2015-06-10,ИНАРКТИКА,AQUA,3,16260.0,52.6,52.6,55.0,55.0,54.2,55.0,300,,57.0,,0.0,2178490.0,0.0,,3,0.0
TQBR,2015-06-11,ИНАРКТИКА,AQUA,3,16210.0,55.0,52.1,55.0,52.1,54.0,52.1,300,,57.0,,0.0,2194700.0,0.0,,3,-0.0527272727272727
TQBR,2015-06-15,ИНАРКТИКА,AQUA,2,15970.0,53.1,53.1,53.5,53.5,53.2,53.5,300,,57.0,,0.0,2210670.0,0.0,,3,0.0268714011516314
TQBR,2015-06-16,ИНАРКТИКА,AQUA,6,33310.0,53.1,53.1,57.0,56.0,55.5,56.0,600,,57.0,,0.0,2243980.0,0.0,,3,0.0467289719626168
TQBR,2015-06-17,ИНАРКТИКА,AQUA,0,0.0,,,,56.0,,,0,,57.0,,0.0,2243980.0,0.0,,3,0.0
TQBR,2015-06-18,ИНАРКТИКА,AQUA,0,0.0,,,,56.0,,,0,,57.0,,0.0,2243980.0,0.0,,3,0.0
TQBR,2015-06-19,ИНАРКТИКА,AQUA,2,10830.0,54.2,54.1,54.2,54.2,54.2,54.1,200,,56.9,,0.0,2254810.0,0.0,,3,0.0
TQBR,2015-06-22,ИНАРКТИКА,AQUA,4,23510.0,58.6,58.6,58.9,58.9,58.8,58.9,400,,57.0,,0.0,2278320.0,0.0,,3,0.0887245841035119
TQBR,2015-06-23,ИНАРКТИКА,AQUA,0,0.0,,,,58.9,,,0,,57.0,,0.0,2278320.0,0.0,,3,0.0
TQBR,2015-06-24,ИНАРКТИКА,AQUA,14,261680.0,59.6,53.0,59.6,55.0,54.5,55.0,4800,,55.3,,0.0,503230.0,0.0,,3,0.0
TQBR,2015-06-25,ИНАРКТИКА,AQUA,2,88000.0,55.0,55.0,55.0,55.0,55.0,55.0,1600,,55.0,,0.0,511370.0,0.0,,3,0.0
TQBR,2015-06-26,ИНАРКТИКА,AQUA,0,0.0,,,,55.0,,,0,,55.0,,0.0,511370.0,0.0,,3,0.0
TQBR,2015-06-29,ИНАРКТИКА,AQUA,2,42410.0,53.1,53.0,53.1,53.0,53.0,53.0,800,,54.7,,0.0,502920.0,0.0,,3,0.0
TQBR,2015-06-30,ИНАРКТИКА,AQUA,4,312690.0,52.9,52.9,53.0,53.0,53.0,53.0,5900,53.8,53.6,53.8,704780.0,509090.0,704780.0,,3,0.0
TQBR,2015-07-01,ИНАРКТИКА,AQUA,0,0.0,,,,53.0,,,0,54.0,53.6,54.0,739120.0,509090.0,739120.0,,3,0.0
TQBR,2015-07-02,ИНАРКТИКА,AQUA,0,0.0,,,,53.0,,,0,54.0,53.6,54.0,739120.0,509090.0,739120.0,,3,0.0
TQBR,2015-07-03,ИНАРКТИКА,AQUA,0,0.0,,,,53.0,,,0,53.9,53.6,53.9,728290.0,509090.0,728290.0,,3,0.0
TQBR,2015-07-06,ИНАРКТИКА,AQUA,6,70780.0,50.1,50.0,50.7,50.1,50.6,50.1,1400,,53.0,,0.0,508380.0,0.0,,3,0.0
TQBR,2015-07-07,ИНАРКТИКА,AQUA,0,0.0,,,,50.1,,,0,53.5,53.0,53.5,775560.0,508380.0,775560.0,,3,0.0
TQBR,2015-07-08,ИНАРКТИКА,AQUA,8,148220.0,45.7,43.0,49.6,47.2,43.6,47.2,3400,,49.7,,0.0,526400.0,0.0,,3,0.0
TQBR,2015-07-09,ИНАРКТИКА,AQUA,32,556890.0,49.6,49.6,54.5,51.9,51.6,51.9,10800,51.6,51.6,51.6,556890.0,556890.0,556890.0,,3,0.0995762711864405
TQBR,2015-07-10,ИНАРКТИКА,AQUA,3,15170.0,51.9,47.9,51.9,51.9,50.6,51.9,300,51.5,51.7,51.5,572060.0,512180.0,572060.0,,3,0.0
TQBR,2015-07-13,ИНАРКТИКА,AQUA,3,15270.0,51.8,50.0,51.8,50.0,50.9,50.0,300,51.5,51.8,51.5,587330.0,502450.0,587330.0,,3,-0.0366088631984585
TQBR,2015-07-14,ИНАРКТИКА,AQUA,4,19670.0,48.8,48.7,50.2,50.2,49.2,50.2,400,,51.7,,0.0,522120.0,0.0,,3,0.004
TQBR,2015-07-15,ИНАРКТИКА,AQUA,1,5020.0,50.2,50.2,50.2,50.2,50.2,50.2,100,51.4,51.8,51.4,612020.0,502140.0,612020.0,,3,0.0
TQBR,2015-07-16,ИНАРКТИКА,AQUA,5,125150.0,50.1,50.0,50.1,50.0,50.1,50.0,2500,,51.5,,0.0,524990.0,0.0,,3,-0.0039840637450199
TQBR,2015-07-17,ИНАРКТИКА,AQUA,3,20210.0,50.8,50.2,50.9,50.9,50.5,50.9,400,,51.4,,0.0,519250.0,0.0,,3,0.0179999999999999
TQBR,2015-07-20,ИНАРКТИКА,AQUA,3,28320.0,47.1,47.0,48.1,48.1,47.2,48.1,600,,50.9,,0.0,503970.0,0.0,,3,-0.0550098231827111
TQBR,2015-07-21,ИНАРКТИКА,AQUA,5,70260.0,49.9,49.9,50.9,50.9,50.2,50.9,1400,,50.7,,0.0,511910.0,0.0,,3,0.0582120582120581
TQBR,2015-07-22,ИНАРКТИКА,AQUA,1,5090.0,50.9,50.9,50.9,50.9,50.9,50.9,100,,50.7,,0.0,517000.0,0.0,,3,0.0
TQBR,2015-07-23,ИНАРКТИКА,AQUA,9,135380.0,47.5,47.0,50.9,50.9,50.1,50.9,2700,,50.2,,0.0,522590.0,0.0,,3,0.0
TQBR,2015-07-24,ИНАРКТИКА,AQUA,10,222740.0,50.9,50.9,52.0,51.9,51.8,51.9,4300,,50.7,,0.0,512000.0,0.0,,3,0.0196463654223968
TQBR,2015-07-27,ИНАРКТИКА,AQUA,4,23990.0,47.5,47.2,50.6,50.6,48.0,50.6,500,,50.6,,0.0,500910.0,0.0,,3,-0.02504816955684
TQBR,2015-07-28,ИНАРКТИКА,AQUA,5,66850.0,50.7,50.7,52.9,50.9,51.4,50.9,1300,,50.9,,0.0,519320.0,0.0,,3,0.0059288537549406
TQBR,2015-07-29,ИНАРКТИКА,AQUA,4,59960.0,50.9,49.1,50.9,49.3,50.0,49.1,1200,,50.9,,0.0,504170.0,0.0,,3,-0.0353634577603142
TQBR,2015-07-30,ИНАРКТИКА,AQUA,1,10180.0,50.9,50.9,50.9,50.9,50.9,50.9,200,,51.0,,0.0,509600.0,0.0,,3,0.0366598778004072
TQBR,2015-07-31,ИНАРКТИКА,AQUA,2,10210.0,51.1,51.0,51.1,51.0,51.1,51.0,200,,51.1,,0.0,500630.0,0.0,,3,0.0019646365422397
TQBR,2015-08-03,ИНАРКТИКА,AQUA,18,183280.0,50.1,49.1,59.8,52.6,55.5,52.6,3300,,52.6,,0.0,520720.0,0.0,,3,0.0313725490196078
TQBR,2015-08-04,ИНАРКТИКА,AQUA,2,10300.0,51.0,51.0,52.0,52.0,51.5,52.0,200,,52.6,,0.0,505070.0,0.0,,3,-0.0114068441064639
TQBR,2015-08-05,ИНАРКТИКА,AQUA,1,5680.0,56.8,56.8,56.8,56.8,56.8,56.8,100,,52.7,,0.0,510750.0,0.0,,3,0.0923076923076922
TQBR,2015-08-06,ИНАРКТИКА,AQUA,0,0.0,,,,56.8,,,0,,52.7,,0.0,510750.0,0.0,,3,0.0
TQBR,2015-08-07,ИНАРКТИКА,AQUA,1,5550.0,55.5,55.5,55.5,55.5,55.3,55.5,100,,52.7,,0.0,516300.0,0.0,,3,0.0
TQBR,2015-08-10,ИНАРКТИКА,AQUA,3,61190.0,55.5,55.5,56.9,56.9,55.6,56.9,1100,,53.1,,0.0,525540.0,0.0,,3,0.0252252252252252
TQBR,2015-08-11,ИНАРКТИКА,AQUA,25,438550.0,56.1,47.5,56.1,54.9,51.6,54.9,8500,,52.1,,0.0,505290.0,0.0,,3,-0.0351493848857645
TQBR,2015-08-12,ИНАРКТИКА,AQUA,1,5300.0,53.0,53.0,53.0,53.0,53.0,53.0,100,,52.1,,0.0,505040.0,0.0,,3,-0.0346083788706739
TQBR,2015-08-13,ИНАРКТИКА,AQUA,7,38090.0,56.5,51.2,56.8,51.3,54.4,51.2,700,,52.2,,0.0,537580.0,0.0,,3,-0.0339622641509433
TQBR,2015-08-14,ИНАРКТИКА,AQUA,0,0.0,,,,51.3,38.9,,0,52.2,52.2,52.2,543130.0,537580.0,543130.0,,3,0.0
TQBR,2015-08-17,ИНАРКТИКА,AQUA,1,5260.0,52.6,52.6,52.6,52.6,52.6,52.6,100,,52.2,,0.0,542840.0,0.0,,3,0.0
TQBR,2015-08-18,ИНАРКТИКА,AQUA,4,40460.0,50.5,50.0,52.1,52.0,50.6,52.0,800,,51.6,,0.0,516440.0,0.0,,3,-0.0114068441064639
TQBR,2015-08-19,ИНАРКТИКА,AQUA,6,77840.0,52.0,51.8,52.0,51.9,51.9,51.9,1500,,51.3,,0.0,527990.0,0.0,,3,-0.0019230769230769
TQBR,2015-08-20,ИНАРКТИКА,AQUA,2,31140.0,51.9,51.9,51.9,51.9,51.9,51.9,600,,51.3,,0.0,502530.0,0.0,,3,0.0
TQBR,2015-08-21,ИНАРКТИКА,AQUA,0,0.0,,,,51.9,,,0,,51.3,,0.0,502530.0,0.0,,3,0.0
TQBR,2015-08-24,ИНАРКТИКА,AQUA,2,10040.0,51.9,48.5,51.9,48.5,49.6,48.5,200,,51.3,,0.0,512570.0,0.0,,3,0.0
TQBR,2015-08-25,ИНАРКТИКА,AQUA,0,0.0,,,,48.5,,,0,,51.3,,0.0,512570.0,0.0,,3,0.0
TQBR,2015-08-26,ИНАРКТИКА,AQUA,4,20080.0,50.0,50.0,50.8,50.0,50.2,50.0,400,,51.2,,0.0,502050.0,0.0,,3,0.0
TQBR,2015-08-27,ИНАРКТИКА,AQUA,7,61180.0,51.9,50.9,51.9,50.9,51.0,50.9,1200,,51.3,,0.0,538270.0,0.0,,3,0.0179999999999999
TQBR,2015-08-28,ИНАРКТИКА,AQUA,0,0.0,,,,50.9,,,0,,51.3,,0.0,538270.0,0.0,,3,0.0
TQBR,2015-08-31,ИНАРКТИКА,AQUA,3,19850.0,49.5,49.1,50.8,50.8,49.6,50.8,400,,51.4,,0.0,509020.0,0.0,,3,0.0
TQBR,2015-09-01,ИНАРКТИКА,AQUA,3,30300.0,50.5,50.5,50.5,50.5,50.5,50.5,600,,51.5,,0.0,515120.0,0.0,,3,-0.0059055118110235
TQBR,2015-09-02,ИНАРКТИКА,AQUA,3,25250.0,50.5,50.5,50.5,50.5,50.5,50.5,500,,51.7,,0.0,501890.0,0.0,,3,0.0
TQBR,2015-09-03,ИНАРКТИКА,AQUA,2,10100.0,50.5,50.5,50.5,50.5,50.5,50.5,200,,51.8,,0.0,507240.0,0.0,,3,0.0
TQBR,2015-09-04,ИНАРКТИКА,AQUA,7,102290.0,51.9,49.5,51.9,51.1,51.1,51.1,2000,,51.8,,0.0,543580.0,0.0,,3,0.0118811881188119
TQBR,2015-09-07,ИНАРКТИКА,AQUA,8,102140.0,51.9,50.0,52.9,50.0,51.1,50.0,2000,,51.1,,0.0,500620.0,0.0,,3,-0.0215264187866927
TQBR,2015-09-08,ИНАРКТИКА,AQUA,6,74480.0,50.0,49.1,50.0,49.5,49.7,49.1,1500,,50.8,,0.0,507610.0,0.0,,3,-0.0179999999999999
TQBR,2015-09-09,ИНАРКТИКА,AQUA,3,19730.0,50.0,49.0,50.0,49.1,49.3,49.0,400,,50.7,,0.0,506580.0,0.0,,3,-0.0020366598778004
TQBR,2015-09-10,ИНАРКТИКА,AQUA,3,24790.0,50.0,49.0,50.0,49.0,49.6,49.0,500,,50.5,,0.0,500230.0,0.0,,3,0.0
TQBR,2015-09-11,ИНАРКТИКА,AQUA,7,59130.0,49.0,46.7,49.9,49.7,49.3,49.7,1200,,50.4,,0.0,508780.0,0.0,,3,0.0142857142857143
TQBR,2015-09-14,ИНАРКТИКА,AQUA,3,50800.0,50.8,50.8,50.8,50.8,50.8,50.8,1000,,50.4,,0.0,504090.0,0.0,,3,0.0221327967806839
TQBR,2015-09-15,ИНАРКТИКА,AQUA,7,44040.0,49.4,48.3,49.4,48.6,48.9,48.3,900,,50.3,,0.0,502650.0,0.0,,3,-0.0492125984251968
TQBR,2015-09-16,ИНАРКТИКА,AQUA,6,28400.0,48.1,45.8,48.8,48.8,47.3,48.8,600,,50.1,,0.0,505800.0,0.0,,3,0.010351966873706
TQBR,2015-09-17,ИНАРКТИКА,AQUA,31,336300.0,47.3,46.5,47.3,46.6,46.7,46.6,7200,,47.6,,0.0,504070.0,0.0,,3,-0.0450819672131146
TQBR,2015-09-18,ИНАРКТИКА,AQUA,23,328080.0,45.8,44.5,49.3,46.3,45.6,46.3,7200,,45.9,,0.0,514330.0,0.0,,3,-0.0064377682403434
TQBR,2015-09-21,ИНАРКТИКА,AQUA,16,77300.0,45.1,43.6,47.3,46.1,45.5,46.1,1700,,45.8,,0.0,535730.0,0.0,,3,-0.0043196544276456
TQBR,2015-09-22,ИНАРКТИКА,AQUA,7,32990.0,46.9,46.9,47.4,47.4,47.1,47.4,700,,45.8,,0.0,503480.0,0.0,,3,0.0281995661605205
TQBR,2015-09-23,ИНАРКТИКА,AQUA,2,9070.0,45.4,45.3,45.4,45.4,45.4,45.3,200,,45.8,,0.0,512550.0,0.0,,3,-0.0443037974683544
TQBR,2015-09-24,ИНАРКТИКА,AQUA,6,31740.0,45.7,45.2,45.7,45.3,45.3,45.3,700,,45.7,,0.0,544290.0,0.0,,3,0.0
TQBR,2015-09-25,ИНАРКТИКА,AQUA,1,4610.0,46.1,46.1,46.1,46.1,46.1,46.1,100,,45.7,,0.0,548900.0,0.0,,3,0.0176600441501104
TQBR,2015-09-28,ИНАРКТИКА,AQUA,7,82790.0,46.1,45.1,46.2,45.9,46.0,45.1,1800,,45.8,,0.0,512610.0,0.0,,3,-0.0216919739696312
TQBR,2015-09-29,ИНАРКТИКА,AQUA,5,31410.0,45.3,44.4,45.3,44.9,44.9,44.9,700,,45.7,,0.0,544020.0,0.0,,3,-0.0044345898004435
TQBR,2015-09-30,ИНАРКТИКА,AQUA,17,146890.0,45.6,43.8,45.7,44.5,44.5,44.5,3300,,45.7,,0.0,502270.0,0.0,,3,-0.0089086859688195
TQBR,2015-10-01,ИНАРКТИКА,AQUA,6,26940.0,46.4,44.5,46.4,44.5,44.9,44.5,600,,45.5,,0.0,504800.0,0.0,,3,0.0
TQBR,2015-10-02,ИНАРКТИКА,AQUA,3,17660.0,44.2,44.1,44.2,44.2,44.2,44.1,400,,45.3,,0.0,503070.0,0.0,,3,-0.0089887640449437
TQBR,2015-10-05,ИНАРКТИКА,AQUA,6,44600.0,44.8,44.1,45.0,44.9,44.6,45.0,1000,,45.2,,0.0,501490.0,0.0,,3,0.020408163265306
TQBR,2015-10-06,ИНАРКТИКА,AQUA,13,96870.0,44.0,44.0,44.2,44.0,44.0,44.0,2200,,44.8,,0.0,502060.0,0.0,,3,-0.0222222222222222
TQBR,2015-10-07,ИНАРКТИКА,AQUA,1,4590.0,45.9,45.9,45.9,45.9,45.9,45.9,100,,44.8,,0.0,501910.0,0.0,,3,0.0431818181818181
TQBR,2015-10-08,ИНАРКТИКА,AQUA,0,0.0,,,,45.9,,,0,,44.8,,0.0,501910.0,0.0,,3,0.0
TQBR,2015-10-09,ИНАРКТИКА,AQUA,2,13320.0,44.1,44.1,45.0,45.0,44.4,45.0,300,,44.8,,0.0,501420.0,0.0,,3,0.0
TQBR,2015-10-12,ИНАРКТИКА,AQUA,7,40130.0,44.6,43.8,45.1,45.1,44.5,45.1,900,,44.7,,0.0,505200.0,0.0,,3,0.0022222222222222
TQBR,2015-10-13,ИНАРКТИКА,AQUA,3,22600.0,45.5,45.0,45.5,45.5,45.2,45.5,500,,44.7,,0.0,509360.0,0.0,,3,0.0088691796008868
TQBR,2015-10-14,ИНАРКТИКА,AQUA,10,48810.0,44.3,44.1,44.7,44.3,44.4,44.1,1100,,44.5,,0.0,502840.0,0.0,,3,-0.0307692307692307
TQBR,2015-10-15,ИНАРКТИКА,AQUA,5,44190.0,44.4,44.0,44.4,44.2,44.2,44.0,1000,,44.4,,0.0,502040.0,0.0,,3,-0.0022675736961451
TQBR,2015-10-16,ИНАРКТИКА,AQUA,7,35090.0,44.0,43.1,44.5,44.4,43.9,44.5,800,,44.4,,0.0,514510.0,0.0,,3,0.0113636363636363
TQBR,2015-10-19,ИНАРКТИКА,AQUA,42,269570.0,44.2,40.1,52.0,48.3,46.5,48.3,5800,,45.5,,0.0,500300.0,0.0,,3,0.0853932584269662
TQBR,2015-10-20,ИНАРКТИКА,AQUA,25,279980.0,50.3,48.0,52.0,48.4,49.1,48.4,5700,,48.2,,0.0,506100.0,0.0,,3,0.0020703933747412
TQBR,2015-10-21,ИНАРКТИКА,AQUA,3,18540.0,46.4,46.2,46.4,46.4,46.4,46.2,400,,48.4,,0.0,503260.0,0.0,,3,-0.0454545454545453
TQBR,2015-10-22,ИНАРКТИКА,AQUA,4,28300.0,47.5,46.5,47.5,46.6,47.2,46.5,600,,48.4,,0.0,508330.0,0.0,,3,0.0064935064935064
TQBR,2015-10-23,ИНАРКТИКА,AQUA,10,45770.0,46.5,45.3,46.5,46.0,45.8,46.0,1000,,48.3,,0.0,502630.0,0.0,,3,-0.010752688172043
TQBR,2015-10-26,ИНАРКТИКА,AQUA,6,49930.0,45.7,45.0,45.7,45.5,45.4,45.5,1100,,48.2,,0.0,500880.0,0.0,,3,-0.0108695652173913
TQBR,2015-10-27,ИНАРКТИКА,AQUA,5,27110.0,45.2,45.0,45.5,45.5,45.2,45.5,600,,48.0,,0.0,503760.0,0.0,,3,0.0
TQBR,2015-10-28,ИНАРКТИКА,AQUA,4,50000.0,45.5,45.0,45.5,45.0,45.5,45.0,1100,,47.6,,0.0,504460.0,0.0,,3,-0.0109890109890109
TQBR,2015-10-29,ИНАРКТИКА,AQUA,2,13630.0,45.4,45.4,45.5,45.5,45.4,45.5,300,,47.5,,0.0,503200.0,0.0,,3,0.0111111111111111
TQBR,2015-10-30,ИНАРКТИКА,AQUA,2,9100.0,45.5,45.5,45.5,45.5,45.5,45.5,200,,47.4,,0.0,502060.0,0.0,,3,0.0
TQBR,2015-11-02,ИНАРКТИКА,AQUA,0,0.0,,,,45.5,,,0,,47.4,,0.0,502060.0,0.0,,3,0.0
TQBR,2015-11-03,ИНАРКТИКА,AQUA,12,372450.0,45.5,43.7,45.5,43.8,45.4,43.7,8200,,45.4,,0.0,508540.0,0.0,,3,0.0
TQBR,2015-11-05,ИНАРКТИКА,AQUA,6,26040.0,43.6,41.4,44.9,44.9,43.4,44.9,600,,45.3,,0.0,507430.0,0.0,,3,0.0274599542334095
TQBR,2015-11-06,ИНАРКТИКА,AQUA,5,35950.0,44.8,43.9,45.3,43.9,44.9,43.9,800,,45.3,,0.0,507170.0,0.0,,3,-0.0222717149220489
