BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,Арсагера,ARSA,6,26260.0,0.755,0.75,0.755,0.75,0.7503,0.75,35000,,0.7011,,0,500614.3,0.0,,3,0.0
TQBR,2014-06-10,Арсагера,ARSA,10,23390.0,0.7353,0.7353,0.7695,0.7576,0.7545,0.7532,31000,,0.7043,,0,509934.3,0.0,,3,0.0042666666666666
TQBR,2014-06-11,Арсагера,ARSA,21,42638.0,0.77,0.76,0.8,0.7713,0.7752,0.7705,55000,,0.7121,,0,512742.4,0.0,,3,0.0229686670207116
TQBR,2014-06-16,Арсагера,ARSA,7,12067.9,0.7623,0.75,0.7623,0.7501,0.7542,0.75,16000,,0.7147,,0,501010.3,0.0,,3,-0.026606099935107
TQBR,2014-06-17,Арсагера,ARSA,20,60174.7,0.7511,0.7501,0.8243,0.7906,0.8023,0.7906,75000,,0.727,,0,503093.3,0.0,,3,0.0541333333333332
TQBR,2014-06-18,Арсагера,ARSA,3,2423.8,0.8138,0.805,0.8138,0.805,0.8079,0.805,3000,,0.7274,,0,505517.1,0.0,,3,0.0182140146724008
TQBR,2014-06-19,Арсагера,ARSA,11,15355.8,0.81,0.765,0.83,0.7887,0.8082,0.765,19000,,0.7315,,0,501065.5,0.0,,3,-0.0496894409937888
TQBR,2014-06-20,Арсагера,ARSA,1,2310.3,0.7701,0.7701,0.7701,0.7701,0.7701,0.7701,3000,,0.7317,,0,503375.8,0.0,,3,0.0066666666666666
TQBR,2014-06-23,Арсагера,ARSA,33,92739.6,0.77,0.7699,0.8501,0.834,0.8355,0.834,111000,,0.7577,,0,500828.8,0.0,,3,0.0829762368523567
TQBR,2014-06-24,Арсагера,ARSA,14,55827.7,0.8759,0.848,0.876,0.848,0.8589,0.848,65000,,0.7728,,0,500798.2,0.0,,3,0.0167865707434052
TQBR,2014-06-25,Арсагера,ARSA,28,196880.9,0.836,0.8027,0.8623,0.84,0.8414,0.84,234000,,0.8234,,0,503073.4,0.0,,3,-0.0094339622641509
TQBR,2014-06-26,Арсагера,ARSA,2,2607.5,0.8691,0.8691,0.8692,0.8692,0.8692,0.8692,3000,,0.8244,,0,500423.9,0.0,,3,0.0347619047619047
TQBR,2014-06-27,Арсагера,ARSA,7,23550.5,0.865,0.865,0.8765,0.8765,0.8722,0.8765,27000,,0.8298,,0,500397.7,0.0,,3,0.0083985273815001
TQBR,2014-06-30,Арсагера,ARSA,16,53271.3,0.8765,0.8185,0.885,0.8348,0.8733,0.8723,61000,,0.8414,,0,500636.0,0.0,,3,-0.0047917855105533
TQBR,2014-07-01,Арсагера,ARSA,6,9414.9,0.8723,0.8501,0.8845,0.8501,0.8559,0.8501,11000,,0.8425,,0,502141.7,0.0,,3,-0.0254499598761893
TQBR,2014-07-02,Арсагера,ARSA,0,0.0,,,,0.8501,,,0,,0.8425,,0,502141.7,0.0,,3,0.0
TQBR,2014-07-03,Арсагера,ARSA,8,49512.8,0.8122,0.8121,0.8551,0.8456,0.8392,0.8551,59000,,0.8457,,0,500661.3,0.0,,3,0.0
TQBR,2014-07-04,Арсагера,ARSA,5,17794.2,0.8542,0.8265,0.8542,0.8302,0.8473,0.8265,21000,,0.8476,,0,500059.5,0.0,,3,-0.0334463805402876
TQBR,2014-07-07,Арсагера,ARSA,0,0.0,,,,0.8302,,,0,,0.8476,,0,500059.5,0.0,,3,0.0
TQBR,2014-07-08,Арсагера,ARSA,2,12660.0,0.844,0.844,0.844,0.844,0.844,0.844,15000,,0.849,,0,501745.4,0.0,,3,0.0
TQBR,2014-07-09,Арсагера,ARSA,0,0.0,,,,0.844,,,0,,0.849,,0,501745.4,0.0,,3,0.0
TQBR,2014-07-10,Арсагера,ARSA,2,1600.5,0.8003,0.8002,0.8003,0.8003,0.8003,0.8002,2000,,0.8489,,0,500009.9,0.0,,3,0.0
TQBR,2014-07-11,Арсагера,ARSA,0,0.0,,,,0.8003,,,0,,0.8489,,0,500009.9,0.0,,3,0.0
TQBR,2014-07-14,Арсагера,ARSA,18,103466.7,0.7981,0.78,0.8357,0.8276,0.8083,0.8357,128000,,0.84,,0,501453.1,0.0,,3,0.0
TQBR,2014-07-15,Арсагера,ARSA,5,4226.5,0.9501,0.8009,0.9501,0.802,0.8453,0.802,5000,,0.8398,,0,500531.6,0.0,,3,-0.0403254756491563
TQBR,2014-07-16,Арсагера,ARSA,4,10668.9,0.8207,0.8205,0.8207,0.8205,0.8207,0.8205,13000,,0.8392,,0,500141.3,0.0,,3,0.0230673316708228
TQBR,2014-07-17,Арсагера,ARSA,0,0.0,,,,0.8205,,,0,,0.8392,,0,500141.3,0.0,,3,0.0
TQBR,2014-07-18,Арсагера,ARSA,0,0.0,,,,0.8205,,,0,,0.8392,,0,500141.3,0.0,,3,0.0
TQBR,2014-07-21,Арсагера,ARSA,1,820.5,0.8205,0.8205,0.8205,0.8205,0.8205,0.8205,1000,,0.8391,,0,500961.8,0.0,,3,0.0
TQBR,2014-07-22,Арсагера,ARSA,0,0.0,,,,0.8205,,,0,,0.8391,,0,500961.8,0.0,,3,0.0
TQBR,2014-07-23,Арсагера,ARSA,6,16745.0,0.8205,0.7862,0.84,0.7862,0.7974,0.7862,21000,,0.8374,,0,501581.0,0.0,,3,0.0
TQBR,2014-07-24,Арсагера,ARSA,0,0.0,,,,0.7862,,,0,,0.8374,,0,501581.0,0.0,,3,0.0
TQBR,2014-07-25,Арсагера,ARSA,2,4799.9,0.7999,0.7999,0.8,0.8,0.8,0.8,6000,,0.8374,,0,500759.4,0.0,,3,0.0
TQBR,2014-07-28,Арсагера,ARSA,0,0.0,,,,0.8,,,0,,0.8374,,0,500759.4,0.0,,3,0.0
TQBR,2014-07-29,Арсагера,ARSA,14,26674.9,0.8188,0.8188,0.8952,0.87,0.8605,0.87,31000,,0.8386,,0,526631.6,0.0,,3,0.0
TQBR,2014-07-30,Арсагера,ARSA,2,1603.1,0.8016,0.8015,0.8016,0.8016,0.8016,0.8015,2000,,0.8385,,0,528234.7,0.0,,3,-0.078735632183908
TQBR,2014-07-31,Арсагера,ARSA,0,0.0,,,,0.8016,,,0,,0.8385,,0,528234.7,0.0,,3,0.0
TQBR,2014-08-01,Арсагера,ARSA,65,476652.9,0.9199,0.8999,1.0501,0.9202,0.9346,0.9202,510000,,0.9305,,0,502472.1,0.0,,3,0.0
TQBR,2014-08-04,Арсагера,ARSA,6,9121.8,0.9301,0.9003,0.9301,0.9122,0.9122,0.9003,10000,,0.9315,,0,503918.1,0.0,,3,-0.0216257335361878
TQBR,2014-08-05,Арсагера,ARSA,18,76630.8,0.9005,0.86,0.9045,0.87,0.8808,0.87,87000,,0.9276,,0,508327.0,0.0,,3,-0.0336554481839386
TQBR,2014-08-06,Арсагера,ARSA,20,62629.9,0.88,0.8203,0.9399,0.88,0.8821,0.88,71000,,0.9231,,0,522449.3,0.0,,3,0.0114942528735632
TQBR,2014-08-07,Арсагера,ARSA,10,66676.0,0.88,0.853,0.88,0.8531,0.8548,0.8531,78000,,0.9143,,0,501930.1,0.0,,3,-0.0305681818181818
TQBR,2014-08-08,Арсагера,ARSA,9,118685.9,0.8531,0.853,0.8699,0.853,0.8539,0.853,139000,,0.8988,,0,524891.2,0.0,,3,-0.0001172195522212
TQBR,2014-08-11,Арсагера,ARSA,19,51864.1,0.8743,0.853,0.8744,0.853,0.8644,0.853,60000,,0.889,,0,512055.8,0.0,,3,0.0
TQBR,2014-08-12,Арсагера,ARSA,1,853.5,0.8535,0.8535,0.8535,0.8535,0.8535,0.8535,1000,,0.8889,,0,512909.3,0.0,,3,0.0005861664712779
TQBR,2014-08-13,Арсагера,ARSA,15,46746.7,0.8467,0.81,0.8467,0.8449,0.8348,0.8449,56000,,0.8744,,0,513244.0,0.0,,3,-0.0100761570005858
TQBR,2014-08-14,Арсагера,ARSA,24,59538.0,0.8004,0.8004,0.8127,0.8115,0.8046,0.8008,74000,,0.8569,,0,500400.5,0.0,,3,-0.052195526097763
TQBR,2014-08-15,Арсагера,ARSA,3,8825.0,0.8005,0.8005,0.82,0.82,0.8023,0.82,11000,,0.8545,,0,501571.7,0.0,,3,0.0239760239760239
TQBR,2014-08-18,Арсагера,ARSA,13,63993.5,0.8003,0.8,0.83,0.8051,0.81,0.8051,79000,,0.8456,,0,520060.6,0.0,,3,-0.0181707317073169
TQBR,2014-08-19,Арсагера,ARSA,3,3233.0,0.801,0.801,0.83,0.83,0.8083,0.83,4000,,0.8454,,0,523293.6,0.0,,3,0.0309278350515462
TQBR,2014-08-20,Арсагера,ARSA,3,2438.4,0.8128,0.8128,0.8128,0.8128,0.8128,0.8128,3000,,0.8452,,0,525732.0,0.0,,3,-0.020722891566265
TQBR,2014-08-21,Арсагера,ARSA,4,20017.8,0.8007,0.8,0.8165,0.8165,0.8007,0.8165,25000,,0.8411,,0,501300.8,0.0,,3,0.0045521653543307
TQBR,2014-08-22,Арсагера,ARSA,1,830.0,0.83,0.83,0.83,0.83,0.83,0.83,1000,,0.8411,,0,502130.8,0.0,,3,0.0165339865278627
TQBR,2014-08-25,Арсагера,ARSA,2,1649.6,0.8246,0.8246,0.825,0.8248,0.8248,0.825,2000,,0.8411,,0,500471.5,0.0,,3,-0.0060240963855421
TQBR,2014-08-26,Арсагера,ARSA,6,5817.2,0.8299,0.8293,0.8399,0.8294,0.831,0.8294,7000,,0.841,,0,505418.7,0.0,,3,0.0053333333333334
TQBR,2014-08-27,Арсагера,ARSA,2,3328.7,0.83,0.83,0.8329,0.8322,0.8322,0.8329,4000,,0.8409,,0,508747.4,0.0,,3,0.0042199180130213
TQBR,2014-08-28,Арсагера,ARSA,2,1634.0,0.82,0.814,0.82,0.817,0.817,0.814,2000,,0.8408,,0,510381.4,0.0,,3,-0.0226917997358626
TQBR,2014-08-29,Арсагера,ARSA,0,0.0,,,,0.817,,,0,,0.8408,,0,510381.4,0.0,,3,0.0
TQBR,2014-09-01,Арсагера,ARSA,13,21909.1,0.7901,0.7655,0.7901,0.7674,0.7825,0.7655,28000,,0.8353,,0,502010.6,0.0,,3,0.0
TQBR,2014-09-02,Арсагера,ARSA,0,0.0,,,,0.7674,,,0,,0.8353,,0,502010.6,0.0,,3,0.0
TQBR,2014-09-03,Арсагера,ARSA,18,30837.6,0.7506,0.7506,0.818,0.7881,0.7907,0.7881,39000,,0.8296,,0,501918.5,0.0,,3,0.0
TQBR,2014-09-04,Арсагера,ARSA,15,18925.8,0.8158,0.7855,0.8299,0.8295,0.8229,0.8299,23000,,0.8285,,0,502076.1,0.0,,3,0.053038954447405
TQBR,2014-09-05,Арсагера,ARSA,12,32981.0,0.83,0.815,0.83,0.8186,0.8245,0.8186,40000,,0.8266,,0,500080.0,0.0,,3,-0.0136160983250993
TQBR,2014-09-08,Арсагера,ARSA,4,13268.0,0.829,0.82,0.83,0.829,0.8293,0.829,16000,,0.8263,,0,507376.9,0.0,,3,0.0127046176398729
TQBR,2014-09-09,Арсагера,ARSA,1,4100.0,0.82,0.82,0.82,0.82,0.82,0.82,5000,,0.8263,,0,511476.9,0.0,,3,-0.0108564535585042
TQBR,2014-09-10,Арсагера,ARSA,1,1660.0,0.83,0.83,0.83,0.83,0.83,0.83,2000,,0.8263,,0,513136.9,0.0,,3,0.0121951219512195
TQBR,2014-09-11,Арсагера,ARSA,3,4970.0,0.83,0.82,0.83,0.8275,0.8283,0.83,6000,,0.8263,,0,518106.9,0.0,,3,0.0
