BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,Авангрд-ао,AVAN,0,0,,,,200,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-10,Авангрд-ао,AVAN,0,0,,,,200,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-11,Авангрд-ао,AVAN,0,0,,,,200,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-16,Авангрд-ао,AVAN,0,0,,,,200,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-17,Авангрд-ао,AVAN,0,0,,,,200,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-18,Авангрд-ао,AVAN,0,0,,,,200,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-19,Авангрд-ао,AVAN,0,0,,,,200,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-20,Авангрд-ао,AVAN,0,0,,,,200,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-23,Авангрд-ао,AVAN,0,0,,,,200,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-24,Авангрд-ао,AVAN,0,0,,,,200,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-25,Авангрд-ао,AVAN,0,0,,,,200,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-26,Авангрд-ао,AVAN,0,0,,,,200,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-27,Авангрд-ао,AVAN,0,0,,,,200,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-30,Авангрд-ао,AVAN,0,0,,,,200,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-01,Авангрд-ао,AVAN,0,0,,,,200,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-02,Авангрд-ао,AVAN,0,0,,,,200,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-03,Авангрд-ао,AVAN,0,0,,,,200,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-04,Авангрд-ао,AVAN,0,0,,,,200,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-07,Авангрд-ао,AVAN,0,0,,,,200,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-08,Авангрд-ао,AVAN,0,0,,,,200,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-09,Авангрд-ао,AVAN,0,0,,,,200,,,0,,,,0,0,0.0,,3,0.0
