BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,Башнефт ао,BANE,612,40955891.0,2390.0,2381.1,2522.9,2464.7,2476.2,2464.7,16540,2476.2,2476.2,2476.2,40955891.0,40955891.0,40955891.0,,3,0.0
TQBR,2014-06-10,Башнефт ао,BANE,848,72987620.2,2464.0,2420.0,2500.0,2439.4,2445.9,2439.4,29841,2445.9,2445.9,2445.9,72987620.2,72987620.2,72987620.2,,3,-0.0102649409664461
TQBR,2014-06-11,Башнефт ао,BANE,1292,44930914.5,2450.0,2400.3,2470.0,2424.1,2424.5,2424.1,18532,2424.5,2424.5,2424.5,44930914.5,44930914.5,44930914.5,,3,-0.0062720341067476
TQBR,2014-06-16,Башнефт ао,BANE,3080,153456546.4,2430.0,2430.0,2548.5,2470.0,2482.3,2470.0,61821,2482.3,2482.3,2482.3,153456546.4,153456546.4,153456546.4,,3,0.0189348624231674
TQBR,2014-06-17,Башнефт ао,BANE,1913,128774444.1,2465.1,2410.1,2494.9,2439.6,2440.5,2438.6,52766,2440.5,2440.5,2440.5,128774444.1,128774444.1,128774444.1,,3,-0.0127125506072874
TQBR,2014-06-18,Башнефт ао,BANE,2476,90204984.1,2448.9,2424.2,2519.0,2500.0,2497.4,2500.0,36120,2497.4,2497.4,2497.4,90204984.1,90204984.1,90204984.1,,3,0.0251783810383007
TQBR,2014-06-19,Башнефт ао,BANE,3183,203525318.8,2480.1,2300.0,2548.0,2430.0,2492.6,2430.0,81651,2492.6,2492.6,2492.6,203525318.8,203525318.8,203525318.8,,3,-0.028
TQBR,2014-06-20,Башнефт ао,BANE,2382,118891988.4,2281.9,2227.0,2383.0,2365.0,2321.9,2365.0,51204,2322.0,2322.0,2322.0,118645543.2,118645543.2,118645543.2,,3,-0.0267489711934156
TQBR,2014-06-23,Башнефт ао,BANE,993,69644393.5,2364.9,2292.0,2364.9,2300.3,2312.8,2300.3,30113,2312.8,2312.8,2312.8,69644393.5,69644393.5,69644393.5,,3,-0.0273572938689217
TQBR,2014-06-24,Башнефт ао,BANE,3088,94241438.9,2300.5,2282.9,2440.0,2409.4,2384.1,2409.4,39529,2384.2,2384.2,2384.2,94195428.9,94195428.9,94195428.9,,3,0.0474285962700516
TQBR,2014-06-25,Башнефт ао,BANE,1558,77617362.3,2399.9,2366.0,2549.9,2382.1,2421.5,2382.1,32054,2421.5,2421.5,2421.5,77617362.3,77617362.3,77617362.3,,3,-0.0113306217315514
TQBR,2014-06-26,Башнефт ао,BANE,550,44271631.6,2377.7,2360.0,2435.0,2390.7,2395.0,2390.7,18485,2395.0,2395.0,2395.0,44271631.6,44271631.6,44271631.6,,3,0.0036102598547499
TQBR,2014-06-27,Башнефт ао,BANE,734,12493566.4,2377.9,2350.4,2415.5,2404.9,2394.8,2404.9,5217,2394.8,2394.8,2394.8,12493566.4,12493566.4,12493566.4,,3,0.0059396829380517
TQBR,2014-06-30,Башнефт ао,BANE,1510,36641710.8,2387.2,2380.0,2427.5,2400.0,2390.7,2400.0,15327,2390.7,2390.7,2390.7,36641710.8,36641710.8,36641710.8,,3,-0.0020375067570377
TQBR,2014-07-01,Башнефт ао,BANE,777,33875797.5,2381.6,2381.6,2439.9,2410.0,2404.4,2410.0,14089,2404.4,2404.4,2404.4,33875797.5,33875797.5,33875797.5,,3,0.0041666666666666
TQBR,2014-07-02,Башнефт ао,BANE,1661,74524405.4,2375.5,2375.5,2602.0,2591.0,2543.3,2591.0,29302,2543.3,2543.3,2543.3,74522029.9,74522029.9,74522029.9,,3,0.075103734439834
TQBR,2014-07-03,Башнефт ао,BANE,1113,57469099.0,2598.1,2531.0,2679.0,2531.0,2600.6,2531.0,22098,2600.6,2600.6,2600.6,57469099.0,57469099.0,57469099.0,,3,-0.0231570822076418
TQBR,2014-07-04,Башнефт ао,BANE,1275,59505161.4,2581.0,2456.0,2590.0,2470.0,2506.4,2470.0,23741,2506.2,2506.2,2506.2,59327072.4,59327072.4,59327072.4,,3,-0.024101145792177
TQBR,2014-07-07,Башнефт ао,BANE,1173,126219069.0,2476.8,2476.8,2613.0,2554.9,2557.0,2554.9,49363,2557.0,2557.0,2557.0,126219069.0,126219069.0,126219069.0,,3,0.0343724696356275
TQBR,2014-07-08,Башнефт ао,BANE,1099,61815977.7,2582.7,2555.0,2618.5,2615.0,2598.9,2615.0,23785,2598.9,2598.9,2598.9,61815977.7,61815977.7,61815977.7,,3,0.0235234255743864
TQBR,2014-07-09,Башнефт ао,BANE,1630,73166567.5,2600.2,2540.0,2629.0,2588.0,2568.9,2588.0,28482,2568.9,2568.9,2568.9,73166567.5,73166567.5,73166567.5,,3,-0.0103250478011472
TQBR,2014-07-10,Башнефт ао,BANE,1911,84386514.3,2599.5,2542.1,2639.9,2563.8,2571.1,2563.8,32821,2571.1,2571.1,2571.1,84256539.3,84256539.3,84256539.3,,3,-0.0093508500772796
TQBR,2014-07-11,Башнефт ао,BANE,1584,43593343.4,2580.1,2511.1,2590.0,2517.0,2551.3,2517.0,17087,2551.3,2551.3,2551.3,43593343.4,43593343.4,43593343.4,,3,-0.0182541539901709
TQBR,2014-07-14,Башнефт ао,BANE,1242,122139659.1,2551.4,2500.0,2571.0,2502.2,2523.7,2502.2,48398,2523.7,2523.7,2523.7,122137107.7,122137107.7,122137107.7,,3,-0.0058800158919349
TQBR,2014-07-15,Башнефт ао,BANE,906,32773332.3,2523.3,2470.1,2536.8,2522.0,2504.1,2522.0,13088,2504.1,2504.1,2504.1,32773332.3,32773332.3,32773332.3,,3,0.0079130365278555
TQBR,2014-07-16,Башнефт ао,BANE,2746,116487749.4,2500.5,2425.5,2500.5,2433.0,2472.0,2436.7,47122,2472.0,2472.0,2472.0,116487749.4,116487749.4,116487749.4,,3,-0.0338223632038065
TQBR,2014-07-17,Башнефт ао,BANE,3219,208142787.0,2415.0,2210.5,2423.2,2271.0,2300.9,2271.0,90462,2300.9,2300.9,2300.9,208142787.0,208142787.0,208142787.0,,3,-0.0680018057208519
TQBR,2014-07-18,Башнефт ао,BANE,2131,137395642.2,2266.2,2129.9,2297.1,2135.0,2194.7,2135.0,62602,2194.7,2194.7,2194.7,137395642.2,137395642.2,137395642.2,,3,-0.0598855129898723
TQBR,2014-07-21,Башнефт ао,BANE,3506,344303581.6,2141.7,1986.3,2175.1,1990.0,2023.0,1990.0,170198,2023.0,2023.0,2023.0,344303581.6,344303581.6,344303581.6,,3,-0.0679156908665105
TQBR,2014-07-22,Башнефт ао,BANE,3190,152965268.8,2024.4,2009.9,2175.6,2174.9,2122.1,2174.9,72082,2122.1,2122.1,2122.1,152900488.0,152900488.0,152900488.0,,3,0.0929145728643216
TQBR,2014-07-23,Башнефт ао,BANE,4167,330176422.7,2172.5,2027.0,2259.1,2035.0,2096.4,2035.0,157496,2096.4,2096.4,2096.4,330167732.7,330167732.7,330167732.7,,3,-0.0643247965423698
TQBR,2014-07-24,Башнефт ао,BANE,1621,101822855.6,2035.0,2001.1,2091.5,2067.0,2058.8,2067.0,49457,2058.8,2058.8,2058.8,101761805.6,101761805.6,101761805.6,,3,0.0157248157248157
TQBR,2014-07-25,Башнефт ао,BANE,1839,170061512.4,2065.0,2000.0,2078.7,2028.2,2035.2,2028.2,83559,2035.2,2035.2,2035.2,170061512.4,170061512.4,170061512.4,,3,-0.0187711659409772
TQBR,2014-07-28,Башнефт ао,BANE,3284,211109097.5,2014.9,1850.6,2042.4,1874.0,1904.1,1874.0,110871,1904.1,1904.1,1904.1,211109097.5,211109097.5,211109097.5,,3,-0.0760280051276994
TQBR,2014-07-29,Башнефт ао,BANE,3603,196984773.0,1881.7,1859.2,1925.0,1905.0,1896.3,1905.0,103878,1896.3,1896.3,1896.3,196984773.0,196984773.0,196984773.0,,3,0.0165421558164354
TQBR,2014-07-30,Башнефт ао,BANE,1280,110925561.4,1900.0,1899.2,1945.0,1919.2,1928.2,1919.2,57528,1928.3,1928.3,1928.3,110735561.4,110735561.4,110735561.4,,3,0.0074540682414698
TQBR,2014-07-31,Башнефт ао,BANE,930,66765185.8,1922.4,1921.9,1975.0,1962.8,1957.1,1963.0,34115,1957.1,1957.1,1957.1,66765185.8,66765185.8,66765185.8,,3,0.0228220091704876
TQBR,2014-08-01,Башнефт ао,BANE,840,81891464.2,1952.6,1894.5,1990.9,1990.9,1946.8,1990.9,42065,1946.8,1946.8,1946.8,81815312.8,81815312.8,81815312.8,,3,0.0142129393785023
TQBR,2014-08-04,Башнефт ао,BANE,601,20793230.6,1990.1,1953.0,2025.0,1985.0,1982.2,1985.0,10490,1982.2,1982.2,1982.2,20763379.1,20763379.1,20763379.1,,3,-0.0029634838515244
TQBR,2014-08-05,Башнефт ао,BANE,1126,49452361.3,2002.9,1950.0,2002.9,1952.0,1962.3,1952.0,25201,1962.3,1962.3,1962.3,49452361.3,49452361.3,49452361.3,,3,-0.016624685138539
TQBR,2014-08-06,Башнефт ао,BANE,1723,69639859.8,1955.0,1850.0,1955.0,1852.0,1892.9,1852.0,36790,1892.9,1892.9,1892.9,69592939.8,69592939.8,69592939.8,,3,-0.0512295081967213
TQBR,2014-08-07,Башнефт ао,BANE,1145,55383465.4,1854.5,1832.3,1888.0,1848.0,1853.2,1848.0,29886,1853.2,1853.2,1853.2,55374192.9,55374192.9,55374192.9,,3,-0.0021598272138228
TQBR,2014-08-08,Башнефт ао,BANE,1013,39872295.4,1848.0,1830.9,1885.0,1872.6,1868.0,1884.9,21345,1868.1,1868.1,1868.1,39687495.4,39687495.4,39687495.4,,3,0.0199675324675325
TQBR,2014-08-11,Башнефт ао,BANE,351,16390228.6,2007.8,1898.9,2007.8,1925.0,1919.0,1925.0,8541,1918.0,1918.0,1918.0,16189448.6,16189448.6,16189448.6,,3,0.0212743381611756
