BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,БашИнСв ап,BISVP,4,57974,4.452,4.45,4.57,4.57,4.46,4.57,13000,,4.49,,0,511865,0.0,,3,0.0
TQBR,2014-06-10,БашИнСв ап,BISVP,28,506825,4.498,4.36,4.5,4.449,4.446,4.449,114000,4.446,4.446,4.446,506825,506825,506825.0,,3,-0.0264770240700219
TQBR,2014-06-11,БашИнСв ап,BISVP,7,214084,4.5,4.432,4.5,4.432,4.46,4.432,48000,4.45,4.449,4.45,720909,502713,720909.0,,3,-0.0038210833895256
TQBR,2014-06-16,БашИнСв ап,BISVP,47,766067,4.98,4.432,5.0,4.689,4.587,4.689,167000,4.585,4.585,4.585,761087,761087,761087.0,,3,0.0579873646209385
TQBR,2014-06-17,БашИнСв ап,BISVP,6,55898,4.658,4.655,4.66,4.655,4.658,4.655,12000,4.59,4.619,4.59,816985,503488,816985.0,,3,-0.0072510130091703
TQBR,2014-06-18,БашИнСв ап,BISVP,42,519489,4.655,4.52,4.799,4.79,4.723,4.795,110000,4.723,4.723,4.723,519489,519489,519489.0,,3,0.0300751879699247
TQBR,2014-06-19,БашИнСв ап,BISVP,28,436281,4.4,4.303,4.579,4.578,4.407,4.578,99000,,4.461,,0,513030,0.0,,3,-0.0452554744525546
TQBR,2014-06-20,БашИнСв ап,BISVP,5,26657,4.547,4.225,4.555,4.39,4.443,4.39,6000,,4.46,,0,539687,0.0,,3,-0.0410659676714723
TQBR,2014-06-23,БашИнСв ап,BISVP,7,42132,4.151,4.151,4.375,4.3,4.213,4.3,10000,,4.392,,0,500670,0.0,,3,-0.0205011389521639
TQBR,2014-06-24,БашИнСв ап,BISVP,9,146006,4.39,4.202,4.39,4.35,4.294,4.35,34000,,4.366,,0,536970,0.0,,3,0.0116279069767441
TQBR,2014-06-25,БашИнСв ап,BISVP,0,0,,,,4.35,,,0,,4.366,,0,536970,0.0,,3,0.0
TQBR,2014-06-26,БашИнСв ап,BISVP,7,84377,4.387,4.2,4.387,4.212,4.219,4.386,20000,,4.33,,0,502330,0.0,,3,0.0
TQBR,2014-06-27,БашИнСв ап,BISVP,5,44399,4.3,4.3,4.542,4.455,4.44,4.542,10000,,4.342,,0,507989,0.0,,3,0.0355677154582762
TQBR,2014-06-30,БашИнСв ап,BISVP,23,277646,4.151,4.059,4.519,4.104,4.207,4.104,66000,,4.248,,0,518272,0.0,,3,-0.0964332892998678
TQBR,2014-07-01,БашИнСв ап,BISVP,8,34647,4.013,4.013,4.499,4.389,4.331,4.499,8000,,4.253,,0,552919,0.0,,3,0.0962475633528264
TQBR,2014-07-02,БашИнСв ап,BISVP,8,37852,4.201,4.2,4.246,4.223,4.206,4.246,9000,,4.25,,0,590771,0.0,,3,-0.0562347188264057
