BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,БурЗолото,BRZL,1,3300,330.0,330.0,330.0,330.0,330.0,330.0,10,,341.3,,0,1508499,0.0,,3,0.0
TQBR,2014-06-10,БурЗолото,BRZL,0,0,,,,330.0,,,0,,341.3,,0,1508499,0.0,,3,0.0
TQBR,2014-06-11,БурЗолото,BRZL,0,0,,,,330.0,,,0,,341.3,,0,1508499,0.0,,3,0.0
TQBR,2014-06-16,БурЗолото,BRZL,0,0,,,,330.0,,,0,,341.3,,0,1508499,0.0,,3,0.0
TQBR,2014-06-17,БурЗолото,BRZL,1,3449,344.9,344.9,344.9,344.9,344.9,344.9,10,,341.3,,0,1511948,0.0,,3,0.0
TQBR,2014-06-18,БурЗолото,BRZL,0,0,,,,344.9,,,0,,341.3,,0,1511948,0.0,,3,0.0
TQBR,2014-06-19,БурЗолото,BRZL,0,0,,,,344.9,,,0,,341.3,,0,1511948,0.0,,3,0.0
TQBR,2014-06-20,БурЗолото,BRZL,19,135170,310.0,310.0,361.5,337.2,314.3,361.5,430,,338.9,,0,1647118,0.0,,3,0.0
TQBR,2014-06-23,БурЗолото,BRZL,2,35500,355.0,355.0,355.0,355.0,355.0,355.0,100,,326.3,,0,505831,0.0,,3,-0.0179806362378976
TQBR,2014-06-24,БурЗолото,BRZL,0,0,,,,355.0,,,0,,326.3,,0,505831,0.0,,3,0.0
TQBR,2014-06-25,БурЗолото,BRZL,0,0,,,,355.0,,,0,,326.3,,0,505831,0.0,,3,0.0
TQBR,2014-06-26,БурЗолото,BRZL,0,0,,,,355.0,,,0,,326.3,,0,505831,0.0,,3,0.0
TQBR,2014-06-27,БурЗолото,BRZL,2,6238,312.0,311.8,312.0,311.9,311.9,311.8,20,,325.7,,0,501584,0.0,,3,0.0
TQBR,2014-06-30,БурЗолото,BRZL,0,0,,,,311.9,,,0,,325.7,,0,501584,0.0,,3,0.0
TQBR,2014-07-01,БурЗолото,BRZL,0,0,,,,311.9,,,0,,325.7,,0,501584,0.0,,3,0.0
TQBR,2014-07-02,БурЗолото,BRZL,0,0,,,,311.9,,,0,,325.7,,0,501584,0.0,,3,0.0
TQBR,2014-07-03,БурЗолото,BRZL,5,15544,315.0,306.6,315.0,309.9,310.9,306.6,50,,324.5,,0,502997,0.0,,3,0.0
TQBR,2014-07-04,БурЗолото,BRZL,0,0,,,,309.9,,,0,,324.5,,0,502997,0.0,,3,0.0
TQBR,2014-07-07,БурЗолото,BRZL,0,0,,,,309.9,,,0,,324.5,,0,502997,0.0,,3,0.0
TQBR,2014-07-08,БурЗолото,BRZL,0,0,,,,309.9,,,0,,324.5,,0,502997,0.0,,3,0.0
TQBR,2014-07-09,БурЗолото,BRZL,0,0,,,,309.9,,,0,,324.5,,0,502997,0.0,,3,0.0
TQBR,2014-07-10,БурЗолото,BRZL,0,0,,,,309.9,,,0,,324.5,,0,502997,0.0,,3,0.0
TQBR,2014-07-11,БурЗолото,BRZL,0,0,,,,309.9,,,0,,324.5,,0,502997,0.0,,3,0.0
TQBR,2014-07-14,БурЗолото,BRZL,0,0,,,,309.9,,,0,,324.5,,0,502997,0.0,,3,0.0
TQBR,2014-07-15,БурЗолото,BRZL,0,0,,,,309.9,,,0,,324.5,,0,502997,0.0,,3,0.0
TQBR,2014-07-16,БурЗолото,BRZL,0,0,,,,309.9,,,0,,324.5,,0,502997,0.0,,3,0.0
TQBR,2014-07-17,БурЗолото,BRZL,5,19641,305.4,305.3,339.2,338.4,327.4,339.2,60,,323.5,,0,501398,0.0,,3,0.0
TQBR,2014-07-18,БурЗолото,BRZL,3,10176,339.2,339.2,339.2,339.2,339.2,339.2,30,,323.3,,0,501124,0.0,,3,0.0
TQBR,2014-07-21,БурЗолото,BRZL,2,6196,309.8,309.8,309.8,309.8,309.8,309.8,20,,323.3,,0,501144,0.0,,3,-0.0866745283018867
TQBR,2014-07-22,БурЗолото,BRZL,0,0,,,,309.8,,,0,,323.3,,0,501144,0.0,,3,0.0
TQBR,2014-07-23,БурЗолото,BRZL,0,0,,,,309.8,,,0,,323.3,,0,501144,0.0,,3,0.0
TQBR,2014-07-24,БурЗолото,BRZL,3,9299,309.9,309.9,310.0,310.0,310.0,310.0,30,,323.3,,0,504275,0.0,,3,0.0
TQBR,2014-07-25,БурЗолото,BRZL,0,0,,,,310.0,,,0,,323.3,,0,504275,0.0,,3,0.0
TQBR,2014-07-28,БурЗолото,BRZL,0,0,,,,310.0,,,0,,323.3,,0,504275,0.0,,3,0.0
TQBR,2014-07-29,БурЗолото,BRZL,2,6130,307.0,306.0,307.0,306.5,306.5,306.0,20,,323.0,,0,510405,0.0,,3,0.0
TQBR,2014-07-30,БурЗолото,BRZL,1,3544,354.4,354.4,354.4,354.4,354.4,354.4,10,,323.2,,0,513949,0.0,,3,0.1581699346405228
TQBR,2014-07-31,БурЗолото,BRZL,4,46525,392.5,335.0,392.5,335.0,387.7,335.0,120,,323.8,,0,501899,0.0,,3,-0.0547404063205417
TQBR,2014-08-01,БурЗолото,BRZL,2,6836,334.7,334.7,348.9,341.8,341.8,348.9,20,,324.0,,0,508735,0.0,,3,0.0414925373134327
TQBR,2014-08-04,БурЗолото,BRZL,0,0,,,,341.8,,,0,,324.0,,0,508735,0.0,,3,0.0
TQBR,2014-08-05,БурЗолото,BRZL,5,19141,307.5,307.5,325.0,325.0,319.0,325.0,60,,324.2,,0,515556,0.0,,3,0.0
TQBR,2014-08-06,БурЗолото,BRZL,0,0,,,,325.0,,,0,,324.2,,0,515556,0.0,,3,0.0
TQBR,2014-08-07,БурЗолото,BRZL,0,0,,,,325.0,,,0,,324.2,,0,515556,0.0,,3,0.0
TQBR,2014-08-08,БурЗолото,BRZL,0,0,,,,325.0,,,0,,324.2,,0,515556,0.0,,3,0.0
TQBR,2014-08-11,БурЗолото,BRZL,0,0,,,,325.0,,,0,,324.2,,0,515556,0.0,,3,0.0
TQBR,2014-08-12,БурЗолото,BRZL,0,0,,,,325.0,,,0,,324.2,,0,515556,0.0,,3,0.0
TQBR,2014-08-13,БурЗолото,BRZL,0,0,,,,325.0,,,0,,324.2,,0,515556,0.0,,3,0.0
TQBR,2014-08-14,БурЗолото,BRZL,1,3250,325.0,325.0,325.0,325.0,325.0,325.0,10,,324.3,,0,518806,0.0,,3,0.0
TQBR,2014-08-15,БурЗолото,BRZL,3,13400,335.0,335.0,335.0,335.0,335.0,335.0,40,,324.5,,0,532206,0.0,,3,0.0307692307692307
TQBR,2014-08-18,БурЗолото,BRZL,9,180424,307.1,300.0,307.1,300.7,300.7,300.5,600,,314.6,,0,500287,0.0,,3,-0.1029850746268656
TQBR,2014-08-19,БурЗолото,BRZL,0,0,,,,300.7,,,0,,314.6,,0,500287,0.0,,3,0.0
TQBR,2014-08-20,БурЗолото,BRZL,0,0,,,,300.7,,,0,,314.6,,0,500287,0.0,,3,0.0
TQBR,2014-08-21,БурЗолото,BRZL,0,0,,,,300.7,,,0,,314.6,,0,500287,0.0,,3,0.0
TQBR,2014-08-22,БурЗолото,BRZL,10,42312,300.1,300.0,307.5,307.5,302.2,307.5,140,,312.8,,0,513051,0.0,,3,0.0
TQBR,2014-08-25,БурЗолото,BRZL,1,3269,326.9,326.9,326.9,326.9,326.9,326.9,10,,312.9,,0,516320,0.0,,3,0.0630894308943088
TQBR,2014-08-26,БурЗолото,BRZL,2,6127,292.7,292.7,320.0,320.0,306.4,320.0,20,,312.8,,0,522447,0.0,,3,-0.0211073722851024
TQBR,2014-08-27,БурЗолото,BRZL,4,28797,320.0,319.7,320.0,320.0,320.0,320.0,90,,313.2,,0,551244,0.0,,3,0.0
TQBR,2014-08-28,БурЗолото,BRZL,5,39165,301.0,300.0,314.5,314.5,301.3,314.5,130,,312.2,,0,502710,0.0,,3,-0.0171875
TQBR,2014-08-29,БурЗолото,BRZL,0,0,,,,314.5,,,0,,312.2,,0,502710,0.0,,3,0.0
TQBR,2014-09-01,БурЗолото,BRZL,2,13654,356.8,295.0,356.8,295.0,341.4,295.0,40,,312.1,,0,502505,0.0,,3,0.0
TQBR,2014-09-02,БурЗолото,BRZL,6,23739,286.4,286.0,314.8,314.4,296.7,314.8,80,,311.4,,0,501364,0.0,,3,0.0671186440677966
TQBR,2014-09-03,БурЗолото,BRZL,4,22070,309.9,309.9,342.1,315.3,315.3,342.1,70,,311.1,,0,507098,0.0,,3,0.0867217280813215
TQBR,2014-09-04,БурЗолото,BRZL,0,0,,,,315.3,,,0,,311.1,,0,507098,0.0,,3,0.0
TQBR,2014-09-05,БурЗолото,BRZL,6,53226,315.0,300.6,317.0,317.0,313.1,317.0,170,,308.6,,0,503042,0.0,,3,0.0
TQBR,2014-09-08,БурЗолото,BRZL,0,0,,,,317.0,,,0,,308.6,,0,503042,0.0,,3,0.0
TQBR,2014-09-09,БурЗолото,BRZL,0,0,,,,317.0,,,0,,308.6,,0,503042,0.0,,3,0.0
TQBR,2014-09-10,БурЗолото,BRZL,1,3150,315.0,315.0,315.0,315.0,315.0,315.0,10,,308.7,,0,500085,0.0,,3,0.0
TQBR,2014-09-11,БурЗолото,BRZL,2,6390,331.0,308.0,331.0,319.5,319.5,308.0,20,,308.6,,0,503095,0.0,,3,-0.0222222222222222
TQBR,2014-09-12,БурЗолото,BRZL,0,0,,,,319.5,,,0,,308.6,,0,503095,0.0,,3,0.0
TQBR,2014-09-15,БурЗолото,BRZL,0,0,,,,319.5,,,0,,308.6,,0,503095,0.0,,3,0.0
TQBR,2014-09-16,БурЗолото,BRZL,0,0,,,,319.5,,,0,,308.6,,0,503095,0.0,,3,0.0
TQBR,2014-09-17,БурЗолото,BRZL,3,9039,301.5,301.0,301.5,301.2,301.3,301.0,30,,308.0,,0,501980,0.0,,3,0.0
TQBR,2014-09-18,БурЗолото,BRZL,0,0,,,,301.2,,,0,,308.0,,0,501980,0.0,,3,0.0
TQBR,2014-09-19,БурЗолото,BRZL,0,0,,,,301.2,,,0,,308.0,,0,501980,0.0,,3,0.0
TQBR,2014-09-22,БурЗолото,BRZL,0,0,,,,301.2,,,0,,308.0,,0,501980,0.0,,3,0.0
TQBR,2014-09-23,БурЗолото,BRZL,0,0,,,,301.2,,,0,,308.0,,0,501980,0.0,,3,0.0
TQBR,2014-09-24,БурЗолото,BRZL,0,0,,,,301.2,,,0,,308.0,,0,501980,0.0,,3,0.0
TQBR,2014-09-25,БурЗолото,BRZL,4,13367,347.1,329.8,347.1,329.9,334.2,329.9,40,,308.0,,0,502073,0.0,,3,0.0
TQBR,2014-09-26,БурЗолото,BRZL,0,0,,,,329.9,,,0,,308.0,,0,502073,0.0,,3,0.0
TQBR,2014-09-29,БурЗолото,BRZL,4,12330,296.7,296.6,319.9,319.9,308.3,319.9,40,,308.0,,0,502006,0.0,,3,0.0
TQBR,2014-09-30,БурЗолото,BRZL,3,9687,319.9,319.9,328.8,322.9,322.9,328.8,30,,308.0,,0,502019,0.0,,3,0.0278211941231635
TQBR,2014-10-01,БурЗолото,BRZL,0,0,,,,323.0,,,0,,308.0,,0,502019,0.0,,3,0.0
TQBR,2014-10-02,БурЗолото,BRZL,0,0,,,,323.0,,,0,,308.0,,0,502019,0.0,,3,0.0
TQBR,2014-10-03,БурЗолото,BRZL,0,0,,,,323.0,,,0,,308.0,,0,502019,0.0,,3,0.0
TQBR,2014-10-06,БурЗолото,BRZL,0,0,,,,323.0,,,0,,308.0,,0,502019,0.0,,3,0.0
TQBR,2014-10-07,БурЗолото,BRZL,0,0,,,,323.0,,,0,,308.0,,0,502019,0.0,,3,0.0
TQBR,2014-10-08,БурЗолото,BRZL,0,0,,,,323.0,,,0,,308.0,,0,502019,0.0,,3,0.0
TQBR,2014-10-09,БурЗолото,BRZL,0,0,,,,323.0,,,0,,308.0,,0,502019,0.0,,3,0.0
TQBR,2014-10-10,БурЗолото,BRZL,4,12180,305.0,304.0,305.0,305.0,305.0,305.0,40,,307.0,,0,500938,0.0,,3,0.0
TQBR,2014-10-13,БурЗолото,BRZL,8,74080,319.0,319.0,325.0,320.0,322.0,320.0,230,,308.0,,0,517996,0.0,,3,0.0491803278688524
TQBR,2014-10-14,БурЗолото,BRZL,0,0,,,,320.0,,,0,,308.0,,0,517996,0.0,,3,0.0
TQBR,2014-10-15,БурЗолото,BRZL,0,0,,,,320.0,,,0,,308.0,,0,517996,0.0,,3,0.0
TQBR,2014-10-16,БурЗолото,BRZL,4,49620,311.0,310.0,311.0,310.0,310.0,310.0,160,,309.0,,0,549598,0.0,,3,0.0
TQBR,2014-10-17,БурЗолото,BRZL,0,0,,,,310.0,,,0,,309.0,,0,549598,0.0,,3,0.0
TQBR,2014-10-20,БурЗолото,BRZL,0,0,,,,310.0,,,0,,309.0,,0,549598,0.0,,3,0.0
TQBR,2014-10-21,БурЗолото,BRZL,0,0,,,,310.0,,,0,,309.0,,0,549598,0.0,,3,0.0
TQBR,2014-10-22,БурЗолото,BRZL,0,0,,,,310.0,,,0,,309.0,,0,549598,0.0,,3,0.0
TQBR,2014-10-23,БурЗолото,BRZL,0,0,,,,310.0,,,0,,309.0,,0,549598,0.0,,3,0.0
TQBR,2014-10-24,БурЗолото,BRZL,0,0,,,,310.0,,,0,,309.0,,0,549598,0.0,,3,0.0
TQBR,2014-10-27,БурЗолото,BRZL,0,0,,,,310.0,,,0,,309.0,,0,549598,0.0,,3,0.0
TQBR,2014-10-28,БурЗолото,BRZL,1,3010,301.0,301.0,301.0,301.0,301.0,301.0,10,,309.0,,0,552608,0.0,,3,0.0
TQBR,2014-10-29,БурЗолото,BRZL,5,96090,309.0,309.0,310.0,310.0,310.0,310.0,310,,312.0,,0,501595,0.0,,3,0.0299003322259136
TQBR,2014-10-30,БурЗолото,BRZL,0,0,,,,310.0,,,0,,312.0,,0,501595,0.0,,3,0.0
TQBR,2014-10-31,БурЗолото,BRZL,0,0,,,,310.0,,,0,,312.0,,0,501595,0.0,,3,0.0
TQBR,2014-11-03,БурЗолото,BRZL,4,13350,330.0,330.0,337.0,334.0,334.0,337.0,40,,312.0,,0,502936,0.0,,3,0.0
TQBR,2014-11-05,БурЗолото,BRZL,0,0,,,,334.0,,,0,,312.0,,0,502936,0.0,,3,0.0
TQBR,2014-11-06,БурЗолото,BRZL,0,0,,,,334.0,,,0,,312.0,,0,502936,0.0,,3,0.0
TQBR,2014-11-07,БурЗолото,BRZL,0,0,,,,334.0,,,0,,312.0,,0,502936,0.0,,3,0.0
TQBR,2014-11-10,БурЗолото,BRZL,0,0,,,,334.0,,,0,,312.0,,0,502936,0.0,,3,0.0
TQBR,2014-11-11,БурЗолото,BRZL,0,0,,,,334.0,,,0,,312.0,,0,502936,0.0,,3,0.0
TQBR,2014-11-12,БурЗолото,BRZL,0,0,,,,334.0,,,0,,312.0,,0,502936,0.0,,3,0.0
TQBR,2014-11-13,БурЗолото,BRZL,3,10140,335.0,335.0,340.0,340.0,338.0,340.0,30,,313.0,,0,501001,0.0,,3,0.0
TQBR,2014-11-14,БурЗолото,BRZL,14,431540,347.0,347.0,388.0,388.0,354.0,388.0,1220,,347.0,,0,513930,0.0,,3,0.1411764705882353
TQBR,2014-11-17,БурЗолото,BRZL,7,45330,379.0,360.0,380.0,360.0,378.0,360.0,120,,355.0,,0,500360,0.0,,3,-0.0721649484536082
TQBR,2014-11-18,БурЗолото,BRZL,5,86660,387.0,387.0,395.0,395.0,394.0,395.0,220,,362.0,,0,514740,0.0,,3,0.0972222222222222
TQBR,2014-11-19,БурЗолото,BRZL,1,3610,361.0,361.0,361.0,361.0,361.0,361.0,10,,362.0,,0,518350,0.0,,3,-0.0860759493670886
TQBR,2014-11-20,БурЗолото,BRZL,1,3610,361.0,361.0,361.0,361.0,361.0,361.0,10,361.0,362.0,361.0,570750,521960,570750.0,,3,0.0
TQBR,2014-11-21,БурЗолото,BRZL,0,0,,,,361.0,,,0,,362.0,,0,521960,0.0,,3,0.0
TQBR,2014-11-24,БурЗолото,BRZL,7,37190,383.0,331.0,395.0,359.0,372.0,359.0,100,,363.0,,0,559150,0.0,,3,0.0
TQBR,2014-11-25,БурЗолото,BRZL,11,163670,387.0,385.0,390.0,390.0,390.0,390.0,420,,376.0,,0,507860,0.0,,3,0.0863509749303621
TQBR,2014-11-26,БурЗолото,BRZL,12,286040,353.0,352.0,430.0,430.0,415.0,430.0,690,,402.0,,0,502020,0.0,,3,0.1025641025641025
TQBR,2014-11-27,БурЗолото,BRZL,38,1452550,435.0,430.0,544.0,432.0,458.0,432.0,3170,458.0,458.0,458.0,1452550,1452550,1452550.0,,3,0.0046511627906976
TQBR,2014-11-28,БурЗолото,BRZL,9,414100,410.0,410.0,410.0,410.0,410.0,410.0,1010,447.0,420.0,447.0,1866650,789940,1866650.0,,3,-0.0509259259259259
TQBR,2014-12-01,БурЗолото,BRZL,4,21270,410.0,410.0,477.0,477.0,425.0,477.0,50,,420.0,,0,811210,0.0,,3,0.1634146341463414
TQBR,2014-12-02,БурЗолото,BRZL,4,30350,475.0,420.0,475.0,430.0,434.0,430.0,70,,421.0,,0,841560,0.0,,3,-0.0985324947589098
