BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2021-01-26,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-01-27,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-01-28,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-01-29,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-02-01,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-02-02,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-02-03,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-02-04,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-02-05,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-02-08,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-02-09,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-02-10,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-02-11,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-02-12,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-02-15,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-02-16,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-02-17,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-02-18,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-02-19,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-02-20,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-02-22,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-02-24,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-02-25,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-02-26,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-03-01,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-03-02,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-03-03,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-03-04,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-03-05,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-03-09,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-03-10,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-03-11,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-03-12,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-03-15,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-03-16,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-03-17,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-03-18,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-03-19,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-03-22,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-03-23,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-03-24,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-03-25,БСП ап,BSPBP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
