BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,БСП ао,BSPB,210,490141.7,38.26,38.26,38.89,38.5,38.53,38.5,12720,,38.54,,0.0,500224.0,0.0,,3,0.0
TQBR,2014-06-10,БСП ао,BSPB,418,2295639.7,38.33,38.16,39.43,38.79,38.76,38.79,59220,38.76,38.76,38.76,2295639.7,2295639.7,2295639.7,,3,0.0075324675324675
TQBR,2014-06-11,БСП ао,BSPB,672,5152521.1,38.7,38.57,39.79,39.25,38.99,39.49,132150,38.99,38.99,38.99,5152521.1,5152521.1,5152521.1,,3,0.0180458881154937
TQBR,2014-06-16,БСП ао,BSPB,578,3438277.4,39.21,38.79,40.39,40.39,39.69,40.39,86620,39.69,39.69,39.69,3438277.4,3438277.4,3438277.4,,3,0.0227905798936439
TQBR,2014-06-17,БСП ао,BSPB,133,4465415.6,40.02,40.0,40.2,40.0,40.02,40.0,111570,40.02,40.02,40.02,4465415.6,4465415.6,4465415.6,,3,-0.0096558554097549
TQBR,2014-06-18,БСП ао,BSPB,362,1384926.3,39.89,39.89,40.09,40.05,40.02,40.05,34610,40.02,40.02,40.02,1384926.3,1384926.3,1384926.3,,3,0.0012499999999999
TQBR,2014-06-19,БСП ао,BSPB,105,832692.5,40.16,40.16,40.49,40.25,40.32,40.25,20650,40.32,40.32,40.32,832692.5,832692.5,832692.5,,3,0.0049937578027466
TQBR,2014-06-20,БСП ао,BSPB,65,215134.1,40.11,40.1,40.28,40.11,40.14,40.11,5360,,40.22,,0.0,665169.8,0.0,,3,-0.0034782608695652
TQBR,2014-06-23,БСП ао,BSPB,38,207322.6,40.03,40.0,40.21,40.05,40.02,40.05,5180,,40.11,,0.0,521874.2,0.0,,3,-0.0014958863126402
TQBR,2014-06-24,БСП ао,BSPB,51,130687.6,40.28,40.21,40.49,40.4,40.34,40.39,3240,,40.14,,0.0,500141.3,0.0,,3,0.0084893882646692
TQBR,2014-06-25,БСП ао,BSPB,48,686983.5,40.14,39.9,40.2,40.1,40.03,40.1,17160,40.03,40.03,40.03,686983.5,686983.5,686983.5,,3,-0.0071799950482792
TQBR,2014-06-26,БСП ао,BSPB,166,1340502.4,39.89,38.79,40.1,38.99,39.29,39.0,34120,39.29,39.29,39.29,1340502.4,1340502.4,1340502.4,,3,-0.027431421446384
TQBR,2014-06-27,БСП ао,BSPB,185,1847150.5,39.06,34.0,39.4,38.01,38.63,38.01,47820,38.63,38.63,38.63,1847150.5,1847150.5,1847150.5,,3,-0.0253846153846154
TQBR,2014-06-30,БСП ао,BSPB,128,1590325.3,37.99,37.4,38.84,38.65,38.17,38.59,41660,38.18,38.18,38.18,1579308.2,1579308.2,1579308.2,,3,0.0152591423309656
TQBR,2014-07-01,БСП ао,BSPB,59,127757.9,38.85,38.53,39.5,39.0,39.19,39.2,3260,,38.51,,0.0,509067.4,0.0,,3,0.0158072039388442
TQBR,2014-07-02,БСП ао,BSPB,76,717560.4,39.01,38.42,39.01,38.85,38.64,38.85,18570,38.64,38.64,38.64,717560.4,717560.4,717560.4,,3,-0.0089285714285714
TQBR,2014-07-03,БСП ао,BSPB,95,340171.2,38.54,37.8,39.01,38.9,38.35,38.9,8870,,38.4,,0.0,503467.2,0.0,,3,0.0012870012870012
TQBR,2014-07-04,БСП ао,BSPB,87,789918.7,38.63,38.63,39.9,39.35,39.56,39.35,19970,39.56,39.56,39.56,789918.7,789918.7,789918.7,,3,0.0115681233933162
TQBR,2014-07-07,БСП ао,BSPB,43,116672.9,39.13,39.1,39.51,39.28,39.28,39.29,2970,,39.51,,0.0,604920.7,0.0,,3,-0.0015247776365947
TQBR,2014-07-08,БСП ао,BSPB,110,659812.3,35.98,35.98,39.74,39.22,38.72,39.23,17040,38.9,38.9,38.9,622393.1,622393.1,622393.1,,3,-0.0015271061338763
TQBR,2014-07-09,БСП ао,BSPB,55,241288.7,39.16,38.46,39.2,38.79,38.67,38.79,6240,,38.8,,0.0,529581.3,0.0,,3,-0.011215906194239
TQBR,2014-07-10,БСП ао,BSPB,116,535838.0,38.73,37.42,38.84,37.93,38.36,38.0,13970,38.36,38.36,38.36,535838.0,535838.0,535838.0,,3,-0.0203660737303428
TQBR,2014-07-11,БСП ао,BSPB,37,106943.8,38.0,37.5,38.19,37.95,37.92,37.95,2820,,38.2,,0.0,530947.2,0.0,,3,-0.0013157894736841
TQBR,2014-07-14,БСП ао,BSPB,124,435177.6,38.18,36.75,38.2,37.1,37.26,37.1,11680,,37.36,,0.0,509273.9,0.0,,3,-0.0223978919631093
TQBR,2014-07-15,БСП ао,BSPB,221,1479644.7,37.21,35.63,37.23,36.24,36.52,36.24,40520,36.52,36.52,36.52,1479644.7,1479644.7,1479644.7,,3,-0.0231805929919137
TQBR,2014-07-16,БСП ао,BSPB,261,1233291.7,36.17,35.35,36.17,35.44,35.76,35.49,34490,35.76,35.76,35.76,1233291.7,1233291.7,1233291.7,,3,-0.0206953642384105
TQBR,2014-07-17,БСП ао,BSPB,597,2878340.5,35.36,33.8,35.5,35.0,34.7,35.0,82960,34.7,34.7,34.7,2878340.5,2878340.5,2878340.5,,3,-0.0138067061143984
TQBR,2014-07-18,БСП ао,BSPB,509,2679406.1,35.0,33.11,35.43,33.63,33.65,33.63,79630,33.65,33.65,33.65,2678706.1,2678706.1,2678706.1,,3,-0.039142857142857
TQBR,2014-07-21,БСП ао,BSPB,173,967122.8,33.57,32.67,33.57,32.91,33.12,32.91,29200,33.12,33.12,33.12,967122.8,967122.8,967122.8,,3,-0.0214094558429975
TQBR,2014-07-22,БСП ао,BSPB,292,2841652.0,32.98,32.95,34.4,34.02,33.79,34.02,84100,33.8,33.8,33.8,2808672.0,2808672.0,2808672.0,,3,0.033728350045579
TQBR,2014-07-23,БСП ао,BSPB,468,2089456.7,33.83,33.27,36.07,34.22,34.22,34.22,61060,34.22,34.22,34.22,2089456.7,2089456.7,2089456.7,,3,0.0058788947677835
TQBR,2014-07-24,БСП ао,BSPB,78,434079.5,34.04,33.75,34.39,33.9,33.99,33.9,12770,,33.99,,0.0,661739.0,0.0,,3,-0.0093512565751022
TQBR,2014-07-25,БСП ао,BSPB,275,4086404.3,33.95,32.93,34.46,34.01,34.02,34.01,120120,34.02,34.02,34.02,4086404.3,4086404.3,4086404.3,,3,0.003244837758112
TQBR,2014-07-28,БСП ао,BSPB,104,219330.5,33.76,32.81,33.98,33.15,33.18,33.15,6610,,33.83,,0.0,594681.9,0.0,,3,-0.0252866803881211
TQBR,2014-07-29,БСП ао,BSPB,140,807501.4,33.21,32.93,33.51,33.4,33.33,33.4,24230,33.33,33.33,33.33,807501.4,807501.4,807501.4,,3,0.0075414781297134
TQBR,2014-07-30,БСП ао,BSPB,133,608923.4,33.38,33.38,33.94,33.68,33.68,33.78,18080,33.68,33.68,33.68,608923.4,608923.4,608923.4,,3,0.0113772455089821
TQBR,2014-07-31,БСП ао,BSPB,303,2527804.4,33.5,33.41,34.56,34.01,33.96,34.01,74430,33.96,33.96,33.96,2527804.4,2527804.4,2527804.4,,3,0.006808762581409
TQBR,2014-08-01,БСП ао,BSPB,389,4478958.0,34.19,33.5,35.15,35.0,34.39,35.0,130250,34.39,34.39,34.39,4478958.0,4478958.0,4478958.0,,3,0.0291090855630697
TQBR,2014-08-04,БСП ао,BSPB,250,2222463.9,34.99,34.05,35.58,34.9,34.88,34.9,63720,34.88,34.88,34.88,2222463.9,2222463.9,2222463.9,,3,-0.0028571428571428
