BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,СевСт-ао,CHMF,8789,544321251.0,297.0,295.0,305.0,296.5,300.0,296.5,1814130,300.0,300.0,300.0,544074741.0,544074741.0,544074741.0,,3,0.0
TQBR,2014-06-10,СевСт-ао,CHMF,5114,282784084.0,297.5,291.1,297.5,293.4,293.6,293.4,963070,293.6,293.6,293.6,282784084.0,282784084.0,282784084.0,,3,-0.0104553119730186
TQBR,2014-06-11,СевСт-ао,CHMF,4198,238429396.0,293.2,290.0,296.7,292.5,291.9,292.5,816920,291.9,291.9,291.9,237646552.0,237646552.0,237646552.0,,3,-0.0030674846625766
TQBR,2014-06-16,СевСт-ао,CHMF,14199,681333222.0,290.1,282.7,290.9,285.4,286.6,285.4,2377230,286.6,286.6,286.6,681080835.0,681080835.0,681080835.0,,3,-0.0242735042735043
TQBR,2014-06-17,СевСт-ао,CHMF,6219,404236588.0,285.4,284.6,291.2,286.5,287.7,286.5,1404850,287.7,287.7,287.7,404193778.0,404193778.0,404193778.0,,3,0.00385423966363
TQBR,2014-06-18,СевСт-ао,CHMF,5962,435311851.0,288.3,286.1,293.9,291.9,290.4,291.9,1498790,290.4,290.4,290.4,435283021.0,435283021.0,435283021.0,,3,0.0188481675392669
TQBR,2014-06-19,СевСт-ао,CHMF,8333,569066201.0,295.0,291.3,298.0,294.0,294.9,294.0,1929690,294.9,294.9,294.9,567918651.0,567918651.0,567918651.0,,3,0.0071942446043166
TQBR,2014-06-20,СевСт-ао,CHMF,5511,450111601.0,290.0,285.3,290.3,286.2,287.8,286.2,1563870,287.8,287.8,287.8,447440701.0,447440701.0,447440701.0,,3,-0.0265306122448979
TQBR,2014-06-23,СевСт-ао,CHMF,4405,239797945.0,287.0,284.1,290.0,285.1,287.0,285.1,835640,287.0,287.0,287.0,239556865.0,239556865.0,239556865.0,,3,-0.0038434661076169
TQBR,2014-06-24,СевСт-ао,CHMF,8124,437417166.0,285.4,285.4,293.3,291.8,290.6,291.8,1505130,290.6,290.6,290.6,437360086.0,437360086.0,437360086.0,,3,0.023500526131182
TQBR,2014-06-25,СевСт-ао,CHMF,6354,365559650.0,289.8,284.3,292.8,284.5,287.6,284.5,1271190,287.6,287.6,287.6,365368382.0,365368382.0,365368382.0,,3,-0.025017135023989
TQBR,2014-06-26,СевСт-ао,CHMF,6857,448115962.0,285.9,278.3,286.2,280.1,281.7,280.1,1590760,281.7,281.7,281.7,448058782.0,448058782.0,448058782.0,,3,-0.0154657293497363
TQBR,2014-06-27,СевСт-ао,CHMF,5682,301984845.0,280.1,276.8,283.0,280.6,280.0,280.6,1078620,280.0,280.0,280.0,301777571.0,301777571.0,301777571.0,,3,0.0017850767583006
TQBR,2014-06-30,СевСт-ао,CHMF,4998,238092848.0,281.2,276.2,282.9,279.0,279.2,279.0,852750,279.2,279.2,279.2,238090036.0,238090036.0,238090036.0,,3,-0.0057020669992873
