BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2021-11-05,CIAN-адр,CIAN,14791,460667579.6,1250.6,1205.2,1280.0,,1161.8,1271.4,371313,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-11-08,CIAN-адр,CIAN,16666,410205745.6,1300.0,1100.0,1339.6,1280.0,1223.8,1228.6,323096,1276.4,1276.4,1280.0,350306728.6,350306728.6,350306728.6,0,3,-0.0336636778354571
TQBR,2021-11-09,CIAN-адр,CIAN,14926,356549049.2,1225.0,1075.0,1226.2,1183.2,1170.8,1107.0,306534,1193.6,1193.6,1183.2,229382487.8,229382487.8,229382487.8,0,3,-0.0989744424548265
TQBR,2021-11-10,CIAN-адр,CIAN,7453,210777292.4,1115.6,1067.0,1145.0,1124.8,1127.8,1134.8,186898,1124.2,1124.2,1124.8,152705850.8,152705850.8,152705850.8,0,3,0.0251129177958445
TQBR,2021-11-11,CIAN-адр,CIAN,7600,283830338.8,1144.8,1078.2,1158.0,1135.4,1137.2,1090.0,249706,1138.2,1138.2,1135.4,185107418.6,185107418.6,185107418.6,0,3,-0.0394783221713076
TQBR,2021-11-12,CIAN-адр,CIAN,4838,136939421.6,1095.6,1095.6,1148.0,1125.4,1127.4,1106.0,121654,1126.4,1126.4,1125.4,131661571.2,131661571.2,131661571.2,0,3,0.0146788990825688
TQBR,2021-11-15,CIAN-адр,CIAN,4339,90442848.4,1128.6,1083.6,1136.0,1107.0,1119.0,1096.2,81049,1117.6,1117.6,1107.0,82761316.4,82761316.4,82761316.4,0,3,-0.0088607594936708
TQBR,2021-11-16,CIAN-адр,CIAN,2630,28922835.0,1107.0,1096.4,1123.8,1110.0,1110.6,1102.6,26044,1112.4,1112.4,1110.0,24514657.6,24514657.6,24514657.6,0,3,0.0058383506659367
TQBR,2021-11-17,CIAN-адр,CIAN,1854,44286919.6,1111.4,1095.0,1115.4,1105.0,1108.0,1106.2,39967,1108.8,1108.8,1105.0,39874393.4,39874393.4,39874393.4,0,3,0.0032650099764194
TQBR,2021-11-18,CIAN-адр,CIAN,2040,39835123.8,1106.8,1088.0,1130.0,1105.2,1105.4,1098.2,36040,1106.4,1106.4,1105.2,32794957.2,32794957.2,32794957.2,0,3,-0.0072319652865666
TQBR,2021-11-19,CIAN-адр,CIAN,2757,43005679.0,1093.0,1074.8,1109.0,1081.2,1087.0,1095.2,39566,1085.8,1085.8,1081.2,37555548.6,37555548.6,37555548.6,0,3,-0.0027317428519395
TQBR,2021-11-22,CIAN-адр,CIAN,2702,70655193.4,1107.0,1053.0,1107.0,1074.8,1074.2,1095.6,65774,1073.0,1073.0,1074.8,62427463.4,62427463.4,62427463.4,0,3,0.0003652300949597
TQBR,2021-11-23,CIAN-адр,CIAN,1782,46270788.2,1099.8,1055.0,1132.0,1123.2,1099.8,1115.8,42071,1093.2,1093.2,1123.2,29022968.2,29022968.2,29022968.2,0,3,0.0184373859072654
TQBR,2021-11-24,CIAN-адр,CIAN,2294,89561791.6,1124.8,1071.0,1165.0,1135.2,1141.8,1125.8,78440,1142.0,1142.0,1135.2,85630858.0,85630858.0,85630858.0,0,3,0.0089621796020792
TQBR,2021-11-25,CIAN-адр,CIAN,1015,12139641.2,1126.2,1095.6,1137.2,1129.0,1124.0,1103.0,10800,1126.6,1126.6,1129.0,10149410.4,10149410.4,10149410.4,0,3,-0.0202522650559601
TQBR,2021-11-26,CIAN-адр,CIAN,1247,36179307.6,1105.0,1090.2,1136.6,1122.8,1106.8,1114.0,32689,1105.2,1105.2,1122.8,33076187.6,33076187.6,33076187.6,0,3,0.0099728014505893
TQBR,2021-11-29,CIAN-адр,CIAN,2059,57650083.2,1100.0,1100.0,1190.0,1126.2,1134.8,1124.0,50290,1147.6,1147.6,1126.2,54412667.6,54412667.6,54412667.6,0,3,0.0089766606822262
TQBR,2021-11-30,CIAN-адр,CIAN,1835,57056688.6,1128.0,1114.2,1189.8,1144.4,1141.8,1183.4,49974,1132.8,1132.8,1144.4,41957453.0,41957453.0,41957453.0,0,3,0.052846975088968
TQBR,2021-12-01,CIAN-адр,CIAN,4622,241672428.6,1190.0,1121.0,1200.0,1186.4,1183.6,1196.8,204196,1171.4,1171.4,1186.4,112988013.0,112988013.0,112988013.0,0,3,0.0113233057292545
TQBR,2021-12-02,CIAN-адр,CIAN,2103,65109340.8,1199.6,1153.8,1220.0,1181.2,1187.4,1210.0,54837,1179.4,1179.4,1181.2,38132833.2,38132833.2,38132833.2,0,3,0.0110294117647059
TQBR,2021-12-03,CIAN-адр,CIAN,1230,26364568.4,1218.8,1152.0,1218.8,1178.6,1182.6,1180.6,22293,1183.0,1183.0,1178.6,19165189.4,19165189.4,19165189.4,0,3,-0.0242975206611571
TQBR,2021-12-06,CIAN-адр,CIAN,2703,81495872.4,1161.0,1075.0,1199.6,1135.0,1115.8,1107.2,73035,1164.2,1164.2,1135.0,14946703.4,14946703.4,14946703.4,0,3,-0.0621717770625104
TQBR,2021-12-07,CIAN-адр,CIAN,1961,24696717.0,1107.0,1070.0,1139.0,1103.6,1095.8,1086.4,22539,1116.4,1116.4,1103.6,8363301.4,8363301.4,8363301.4,0,3,-0.01878612716763
TQBR,2021-12-08,CIAN-адр,CIAN,1810,23275136.4,1101.2,1037.2,1107.0,1071.4,1061.8,1039.0,21922,1094.2,1094.2,1071.4,6510801.2,6510801.2,6510801.2,0,3,-0.0436303387334316
TQBR,2021-12-09,CIAN-адр,CIAN,3445,55231923.2,1048.0,981.4,1080.0,1020.0,1018.8,982.0,54209,1029.4,1029.4,1020.0,37834663.8,37834663.8,37834663.8,0,3,-0.0548604427333975
TQBR,2021-12-10,CIAN-адр,CIAN,3178,67368015.0,980.2,914.0,998.6,951.6,944.4,927.6,71339,955.8,955.8,951.6,32256313.8,32256313.8,32256313.8,0,3,-0.055397148676171
TQBR,2021-12-13,CIAN-адр,CIAN,2726,64820251.8,964.0,901.6,979.0,920.0,931.6,910.0,69579,939.4,939.4,920.0,42895540.4,42895540.4,42895540.4,0,3,-0.0189736955584303
TQBR,2021-12-14,CIAN-адр,CIAN,1902,29041229.2,902.0,852.0,944.2,895.0,891.4,881.4,32577,903.6,903.6,895.0,13925383.4,13925383.4,13925383.4,0,3,-0.0314285714285714
TQBR,2021-12-15,CIAN-адр,CIAN,1163,9708201.6,881.6,870.4,916.8,885.0,885.6,896.0,10963,886.8,886.8,885.0,6492047.2,6492047.2,6492047.2,0,3,0.0165645563875652
TQBR,2021-12-16,CIAN-адр,CIAN,2886,38332411.6,896.8,896.2,1003.0,958.2,946.2,992.8,40508,927.4,927.4,958.2,24912320.2,24912320.2,24912320.2,0,3,0.1080357142857142
TQBR,2021-12-17,CIAN-адр,CIAN,2185,128098105.6,1022.0,950.0,1090.0,982.2,996.6,951.8,128536,997.4,997.4,982.2,124606442.4,124606442.4,124606442.4,0,3,-0.0412973408541498
TQBR,2021-12-20,CIAN-адр,CIAN,2212,32969514.0,912.0,879.8,978.6,940.8,913.0,883.2,36112,916.2,916.2,940.8,27809779.0,27809779.0,27809779.0,0,3,-0.0720739651187223
TQBR,2021-12-21,CIAN-адр,CIAN,1440,26116023.0,894.6,891.0,932.2,905.0,908.8,911.2,28736,908.0,908.0,905.0,17344629.2,17344629.2,17344629.2,0,3,0.0317028985507246
TQBR,2021-12-22,CIAN-адр,CIAN,2152,23276297.4,928.8,909.4,1045.0,949.8,962.4,991.2,24187,927.6,927.6,949.8,5938049.2,5938049.2,5938049.2,0,3,0.0877963125548726
TQBR,2021-12-23,CIAN-адр,CIAN,1157,14062862.2,987.8,957.6,1025.0,969.2,985.0,981.2,14277,986.0,986.0,969.2,13047427.8,13047427.8,13047427.8,0,3,-0.0100887812752219
TQBR,2021-12-24,CIAN-адр,CIAN,581,3616408.6,991.4,961.0,997.8,975.6,975.6,978.6,3707,975.2,975.2,975.6,3225066.0,3225066.0,3225066.0,0,3,-0.0026498165511618
TQBR,2021-12-27,CIAN-адр,CIAN,1790,52919389.4,998.0,932.6,998.0,947.0,968.2,970.4,54662,971.6,971.6,947.0,21125443.8,21125443.8,21125443.8,0,3,-0.0083793173921929
TQBR,2021-12-28,CIAN-адр,CIAN,2530,74387057.2,931.0,913.4,988.4,945.4,965.0,980.6,77091,952.0,952.0,945.4,27165760.0,27165760.0,27165760.0,0,3,0.0105111294311624
TQBR,2021-12-29,CIAN-адр,CIAN,1759,26417363.4,954.0,939.0,1007.8,985.6,984.8,1000.6,26824,976.6,976.6,985.6,15467361.4,15467361.4,15467361.4,0,3,0.0203956761166632
TQBR,2021-12-30,CIAN-адр,CIAN,2257,47325328.6,1019.8,993.8,1090.0,1040.0,1034.6,1053.2,45742,1018.2,1018.2,1040.0,27699456.4,27699456.4,27699456.4,0,3,0.0525684589246452
TQBR,2022-01-03,CIAN-адр,CIAN,3200,34247606.4,1080.0,965.0,1080.0,987.0,998.4,971.2,34300,1005.8,1005.8,987.0,25323602.2,25323602.2,25323602.2,0,3,-0.0778579567033801
TQBR,2022-01-04,CIAN-адр,CIAN,7108,68141664.8,974.8,880.4,991.0,973.0,909.2,907.6,74940,976.4,976.4,973.0,7580275.2,7580275.2,7580275.2,0,3,-0.0654859967051071
TQBR,2022-01-05,CIAN-адр,CIAN,4874,73833333.4,912.2,852.4,958.0,893.8,900.2,877.6,82012,924.8,924.8,893.8,36624137.2,36624137.2,36624137.2,0,3,-0.0330542089026002
