BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,Телеграф,CNTL,1,1139.9,11.399,11.399,11.399,11.399,11.399,11.399,100,,11.222,,0.0,521833.0,0.0,,3,0.0
TQBR,2014-06-10,Телеграф,CNTL,1,1130.0,11.3,11.3,11.3,11.3,11.3,11.3,100,,11.222,,0.0,522963.0,0.0,,3,-0.0086849723659968
TQBR,2014-06-11,Телеграф,CNTL,3,9928.1,11.28,11.0,11.28,11.001,11.031,11.001,900,,11.219,,0.0,532891.1,0.0,,3,-0.0264601769911505
TQBR,2014-06-16,Телеграф,CNTL,0,0.0,,,,11.001,,,0,,11.219,,0.0,532891.1,0.0,,3,0.0
TQBR,2014-06-17,Телеграф,CNTL,0,0.0,,,,11.001,,,0,,11.219,,0.0,532891.1,0.0,,3,0.0
TQBR,2014-06-18,Телеграф,CNTL,0,0.0,,,,11.001,,,0,,11.219,,0.0,532891.1,0.0,,3,0.0
TQBR,2014-06-19,Телеграф,CNTL,5,12141.1,11.003,11.0,11.4,11.4,11.037,11.4,1100,,11.215,,0.0,545032.2,0.0,,3,0.0
TQBR,2014-06-20,Телеграф,CNTL,7,17784.7,11.009,11.002,11.2,11.2,11.115,11.2,1600,,11.129,,0.0,500819.1,0.0,,3,-0.0175438596491229
TQBR,2014-06-23,Телеграф,CNTL,4,51700.1,11.0,11.0,11.001,11.001,11.0,11.001,4700,,11.101,,0.0,521768.4,0.0,,3,-0.0177678571428571
TQBR,2014-06-24,Телеграф,CNTL,9,17476.5,11.0,10.904,11.001,10.905,10.923,10.904,1600,,11.09,,0.0,510124.9,0.0,,3,-0.0088173802381601
TQBR,2014-06-25,Телеграф,CNTL,10,13061.2,10.901,10.802,10.901,10.802,10.884,10.802,1200,,11.084,,0.0,523186.1,0.0,,3,-0.0093543653705062
TQBR,2014-06-26,Телеграф,CNTL,4,10999.3,10.999,10.999,11.0,11.0,10.999,11.0,1000,,11.083,,0.0,534185.4,0.0,,3,0.0183299389002037
TQBR,2014-06-27,Телеграф,CNTL,12,53747.4,10.999,10.801,11.0,10.81,10.969,10.81,4900,,11.059,,0.0,533052.8,0.0,,3,-0.0172727272727272
TQBR,2014-06-30,Телеграф,CNTL,1,1065.0,10.65,10.65,10.65,10.65,10.65,10.65,100,,11.058,,0.0,534117.8,0.0,,3,-0.0148011100832562
TQBR,2014-07-01,Телеграф,CNTL,10,46219.7,10.802,10.802,11.201,11.201,11.005,11.201,4200,,11.028,,0.0,500671.7,0.0,,3,0.0517370892018779
TQBR,2014-07-02,Телеграф,CNTL,2,3359.8,11.199,11.199,11.2,11.199,11.199,11.2,300,,11.029,,0.0,502931.5,0.0,,3,-8.927774305876458e-05
TQBR,2014-07-03,Телеграф,CNTL,0,0.0,,,,11.199,,,0,,11.029,,0.0,502931.5,0.0,,3,0.0
TQBR,2014-07-04,Телеграф,CNTL,0,0.0,,,,11.199,,,0,,11.029,,0.0,502931.5,0.0,,3,0.0
TQBR,2014-07-07,Телеграф,CNTL,8,538600.0,11.0,11.0,11.2,11.15,11.174,11.15,48200,11.161,11.174,11.161,588179.5,541959.8,588179.5,,3,0.0
TQBR,2014-07-08,Телеграф,CNTL,0,0.0,,,,11.15,,,0,11.174,11.174,11.174,541959.8,541959.8,541959.8,,3,0.0
TQBR,2014-07-09,Телеграф,CNTL,0,0.0,,,,11.15,,,0,11.161,11.174,11.161,588179.5,541959.8,588179.5,,3,0.0
TQBR,2014-07-10,Телеграф,CNTL,11,28836.4,11.001,11.001,11.2,11.048,11.091,11.1,2600,,11.169,,0.0,521601.4,0.0,,3,0.0
TQBR,2014-07-11,Телеграф,CNTL,6,8994.6,11.15,11.15,11.291,11.279,11.243,11.291,800,,11.17,,0.0,530596.0,0.0,,3,0.0172072072072072
TQBR,2014-07-14,Телеграф,CNTL,5,6613.9,11.11,11.0,11.11,11.006,11.023,11.0,600,,11.169,,0.0,537209.9,0.0,,3,-0.0257727393499247
TQBR,2014-07-15,Телеграф,CNTL,0,0.0,,,,11.006,,,0,,11.169,,0.0,537209.9,0.0,,3,0.0
TQBR,2014-07-16,Телеграф,CNTL,1,11000.0,11.0,11.0,11.0,11.0,11.0,11.0,1000,,11.165,,0.0,548209.9,0.0,,3,0.0
TQBR,2014-07-17,Телеграф,CNTL,4,6620.0,11.0,11.0,11.19,11.19,11.033,11.19,600,,11.164,,0.0,554829.9,0.0,,3,0.0172727272727272
TQBR,2014-07-18,Телеграф,CNTL,4,9173.3,11.496,11.251,11.498,11.467,11.467,11.251,800,,11.168,,0.0,564003.2,0.0,,3,0.0054512957998212
TQBR,2014-07-21,Телеграф,CNTL,0,0.0,,,,11.467,,,0,,11.168,,0.0,564003.2,0.0,,3,0.0
TQBR,2014-07-22,Телеграф,CNTL,11,72753.0,11.029,11.029,12.0,11.942,11.927,12.0,6100,,11.259,,0.0,541556.2,0.0,,3,0.0
TQBR,2014-07-23,Телеграф,CNTL,0,0.0,,,,11.942,,,0,,11.259,,0.0,541556.2,0.0,,3,0.0
TQBR,2014-07-24,Телеграф,CNTL,0,0.0,,,,11.942,,,0,,11.259,,0.0,541556.2,0.0,,3,0.0
TQBR,2014-07-25,Телеграф,CNTL,0,0.0,,,,11.942,,,0,,11.259,,0.0,541556.2,0.0,,3,0.0
TQBR,2014-07-28,Телеграф,CNTL,3,3460.0,11.5,11.4,11.7,11.4,11.533,11.4,300,,11.261,,0.0,545016.2,0.0,,3,0.0
TQBR,2014-07-29,Телеграф,CNTL,0,0.0,,,,11.4,,,0,,11.261,,0.0,545016.2,0.0,,3,0.0
TQBR,2014-07-30,Телеграф,CNTL,0,0.0,,,,11.4,,,0,,11.261,,0.0,545016.2,0.0,,3,0.0
TQBR,2014-07-31,Телеграф,CNTL,0,0.0,,,,11.4,,,0,,11.261,,0.0,545016.2,0.0,,3,0.0
TQBR,2014-08-01,Телеграф,CNTL,1,1120.0,11.2,11.2,11.2,11.2,11.2,11.2,100,,11.261,,0.0,546136.2,0.0,,3,0.0
TQBR,2014-08-04,Телеграф,CNTL,0,0.0,,,,11.2,,,0,,11.261,,0.0,546136.2,0.0,,3,0.0
TQBR,2014-08-05,Телеграф,CNTL,0,0.0,,,,11.2,,,0,,11.261,,0.0,546136.2,0.0,,3,0.0
TQBR,2014-08-06,Телеграф,CNTL,6,17697.8,11.5,11.0,11.5,11.02,11.061,11.0,1600,,11.254,,0.0,563834.0,0.0,,3,0.0
TQBR,2014-08-07,Телеграф,CNTL,9,11537.8,9.501,9.36,11.799,11.549,10.489,11.799,1100,,11.238,,0.0,575371.8,0.0,,3,0.0726363636363636
TQBR,2014-08-08,Телеграф,CNTL,5,62291.9,9.506,9.506,11.4,11.0,10.928,11.0,5700,,11.207,,0.0,637663.7,0.0,,3,-0.0677176031867107
TQBR,2014-08-11,Телеграф,CNTL,0,0.0,,,,11.0,,,0,,11.207,,0.0,637663.7,0.0,,3,0.0
TQBR,2014-08-12,Телеграф,CNTL,0,0.0,,,,11.0,,,0,,11.207,,0.0,637663.7,0.0,,3,0.0
TQBR,2014-08-13,Телеграф,CNTL,2,2223.0,11.23,11.0,11.23,11.0,11.115,11.0,200,,11.208,,0.0,502126.7,0.0,,3,0.0
TQBR,2014-08-14,Телеграф,CNTL,2,2255.2,11.275,11.275,11.277,11.277,11.276,11.277,200,,11.209,,0.0,502141.9,0.0,,3,0.0251818181818181
TQBR,2014-08-15,Телеграф,CNTL,0,0.0,,,,11.277,,,0,,11.209,,0.0,502141.9,0.0,,3,0.0
TQBR,2014-08-18,Телеграф,CNTL,1,1150.0,11.5,11.5,11.5,11.5,11.5,11.5,100,,11.209,,0.0,503291.9,0.0,,3,0.0
TQBR,2014-08-19,Телеграф,CNTL,1,1150.0,11.5,11.5,11.5,11.5,11.5,11.5,100,,11.21,,0.0,504441.9,0.0,,3,0.0
TQBR,2014-08-20,Телеграф,CNTL,0,0.0,,,,11.5,,,0,,11.21,,0.0,504441.9,0.0,,3,0.0
TQBR,2014-08-21,Телеграф,CNTL,2,2250.0,11.3,11.2,11.3,11.2,11.25,11.2,200,,11.21,,0.0,506691.9,0.0,,3,0.0
TQBR,2014-08-22,Телеграф,CNTL,1,1012.0,10.12,10.12,10.12,10.12,10.12,10.12,100,,11.208,,0.0,507703.9,0.0,,3,-0.0964285714285714
TQBR,2014-08-25,Телеграф,CNTL,1,1150.0,11.5,11.5,11.5,11.5,11.5,11.5,100,,11.208,,0.0,508853.9,0.0,,3,0.1363636363636364
TQBR,2014-08-26,Телеграф,CNTL,2,2315.7,11.587,11.57,11.587,11.579,11.579,11.57,200,,11.21,,0.0,511169.6,0.0,,3,0.0060869565217391
TQBR,2014-08-27,Телеграф,CNTL,0,0.0,,,,11.579,,,0,,11.21,,0.0,511169.6,0.0,,3,0.0
TQBR,2014-08-28,Телеграф,CNTL,0,0.0,,,,11.579,,,0,,11.21,,0.0,511169.6,0.0,,3,0.0
TQBR,2014-08-29,Телеграф,CNTL,1,1102.0,11.02,11.02,11.02,11.02,11.02,11.02,100,,11.209,,0.0,512271.6,0.0,,3,0.0
TQBR,2014-09-01,Телеграф,CNTL,5,19823.4,11.02,11.011,11.02,11.011,11.013,11.011,1800,,11.202,,0.0,532095.0,0.0,,3,-0.0008166969147005
TQBR,2014-09-02,Телеграф,CNTL,0,0.0,,,,11.011,,,0,,11.202,,0.0,532095.0,0.0,,3,0.0
TQBR,2014-09-03,Телеграф,CNTL,4,4639.1,11.59,11.59,11.601,11.601,11.598,11.601,400,,11.205,,0.0,536734.1,0.0,,3,0.0
TQBR,2014-09-04,Телеграф,CNTL,0,0.0,,,,11.601,,,0,,11.205,,0.0,536734.1,0.0,,3,0.0
TQBR,2014-09-05,Телеграф,CNTL,3,4621.9,11.003,11.003,11.739,11.601,11.555,11.739,400,,11.208,,0.0,541356.0,0.0,,3,0.0
TQBR,2014-09-08,Телеграф,CNTL,2,3423.5,11.3,11.3,11.635,11.635,11.412,11.635,300,,11.209,,0.0,544779.5,0.0,,3,-0.008859357696567
TQBR,2014-09-09,Телеграф,CNTL,25,38723.5,11.735,10.6,11.799,11.0,11.064,11.0,3500,,11.2,,0.0,583503.0,0.0,,3,-0.0545767082079931
TQBR,2014-09-10,Телеграф,CNTL,2,2150.1,10.801,10.7,10.801,10.7,10.751,10.7,200,,11.198,,0.0,585653.1,0.0,,3,-0.0272727272727273
TQBR,2014-09-11,Телеграф,CNTL,0,0.0,,,,10.7,,,0,,11.198,,0.0,585653.1,0.0,,3,0.0
TQBR,2014-09-12,Телеграф,CNTL,1,1078.9,10.789,10.789,10.789,10.789,10.789,10.789,100,,11.197,,0.0,586732.0,0.0,,3,0.0
TQBR,2014-09-15,Телеграф,CNTL,0,0.0,,,,10.789,,,0,,11.197,,0.0,586732.0,0.0,,3,0.0
TQBR,2014-09-16,Телеграф,CNTL,2,2158.0,10.79,10.79,10.79,10.79,10.79,10.79,200,,11.196,,0.0,588890.0,0.0,,3,0.0
