BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,ЗаводДИОД,DIOD,7,10098.4,4.241,4.15,4.35,4.35,4.208,4.35,2400,,4.175,,0,507241.1,0.0,,3,0.0
TQBR,2014-06-10,ЗаводДИОД,DIOD,1,433.3,4.333,4.333,4.333,4.333,4.333,4.333,100,,4.175,,0,507674.4,0.0,,3,-0.0039080459770113
TQBR,2014-06-11,ЗаводДИОД,DIOD,26,27851.9,4.173,4.02,4.25,4.199,4.096,4.199,6800,,4.181,,0,502088.5,0.0,,3,-0.0309254558042927
TQBR,2014-06-16,ЗаводДИОД,DIOD,21,55678.7,4.29,4.225,4.37,4.36,4.35,4.36,12800,,4.203,,0,500603.1,0.0,,3,0.0383424624910694
TQBR,2014-06-17,ЗаводДИОД,DIOD,6,6835.3,4.252,4.251,4.389,4.363,4.272,4.389,1600,,4.202,,0,500035.4,0.0,,3,0.0066513761467889
TQBR,2014-06-18,ЗаводДИОД,DIOD,5,2155.3,4.35,4.251,4.35,4.35,4.311,4.35,500,,4.202,,0,502190.7,0.0,,3,-0.0088858509911142
TQBR,2014-06-19,ЗаводДИОД,DIOD,7,3002.7,4.253,4.253,4.35,4.3,4.29,4.3,700,,4.202,,0,500833.4,0.0,,3,-0.0114942528735631
TQBR,2014-06-20,ЗаводДИОД,DIOD,2,864.1,4.301,4.301,4.34,4.34,4.321,4.34,200,,4.202,,0,501697.5,0.0,,3,0.0093023255813953
TQBR,2014-06-23,ЗаводДИОД,DIOD,2,8720.0,4.36,4.36,4.36,4.36,4.36,4.36,2000,,4.205,,0,505858.6,0.0,,3,0.0046082949308756
TQBR,2014-06-24,ЗаводДИОД,DIOD,7,4260.7,4.201,4.201,4.31,4.275,4.261,4.28,1000,,4.209,,0,502078.8,0.0,,3,-0.018348623853211
TQBR,2014-06-25,ЗаводДИОД,DIOD,24,60509.0,4.3,3.95,4.3,4.22,4.088,4.22,14800,,4.167,,0,517966.3,0.0,,3,-0.0140186915887851
TQBR,2014-06-26,ЗаводДИОД,DIOD,24,32235.6,4.033,4.0,4.3,4.111,4.08,4.111,7900,,4.147,,0,503032.1,0.0,,3,-0.0258293838862559
TQBR,2014-06-27,ЗаводДИОД,DIOD,9,4648.5,4.17,4.17,4.25,4.248,4.226,4.248,1100,,4.146,,0,501207.3,0.0,,3,0.0333252250060813
TQBR,2014-06-30,ЗаводДИОД,DIOD,2,3807.0,4.23,4.23,4.23,4.23,4.23,4.23,900,,4.146,,0,503748.3,0.0,,3,-0.0042372881355931
TQBR,2014-07-01,ЗаводДИОД,DIOD,8,3731.2,4.24,4.071,4.24,4.238,4.146,4.238,900,,4.145,,0,501151.9,0.0,,3,0.0018912529550827
