BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2017-02-10,ДетскийМир,DSKY,7890,2976631628.9,90.0,83.0,96.0,85.0,84.71,85.0,35138800,84.71,84.71,85.0,2976631628.9,2976631628.9,2976631628.9,,3,0.0
TQBR,2017-02-13,ДетскийМир,DSKY,778,194269737.7,85.6,84.4,85.9,85.2,85.1,85.2,2282830,85.1,85.1,85.2,194269737.7,194269737.7,194269737.7,,3,0.0023529411764706
TQBR,2017-02-14,ДетскийМир,DSKY,861,217778137.1,85.5,84.64,85.5,85.0,85.02,85.0,2561550,85.02,85.02,85.0,217778137.1,217778137.1,217778137.1,,3,-0.0023474178403756
TQBR,2017-02-15,ДетскийМир,DSKY,298,32210396.5,85.2,84.7,85.2,85.0,84.95,85.0,379180,84.95,84.95,85.0,32210396.5,32210396.5,32210396.5,,3,0.0
TQBR,2017-02-16,ДетскийМир,DSKY,802,223866287.1,85.09,83.7,85.09,84.99,84.57,84.99,2647260,84.57,84.57,84.99,223866287.1,223866287.1,223866287.1,,3,-0.0001176470588235
TQBR,2017-02-17,ДетскийМир,DSKY,103,53494862.9,84.0,84.0,84.9,84.9,84.88,84.9,630210,84.88,84.88,84.9,53494862.9,53494862.9,53494862.9,,3,-0.0010589481115424
TQBR,2017-02-20,ДетскийМир,DSKY,350,9930320.1,84.9,84.0,84.9,84.85,84.57,84.85,117420,84.57,84.57,84.85,9930320.1,9930320.1,9930320.1,,3,-0.0005889281507657
TQBR,2017-02-21,ДетскийМир,DSKY,347,18287317.5,84.0,84.0,84.9,84.8,84.33,84.8,216860,84.33,84.33,84.8,18287317.5,18287317.5,18287317.5,,3,-0.0005892751915144
TQBR,2017-02-22,ДетскийМир,DSKY,436,53037488.1,84.79,84.15,84.8,84.75,84.67,84.75,626430,84.67,84.67,84.75,53037488.1,53037488.1,53037488.1,,3,-0.0005896226415094
TQBR,2017-02-24,ДетскийМир,DSKY,147,9222135.6,84.01,83.75,84.7,84.7,84.4,84.7,109270,84.4,84.4,84.7,9222135.6,9222135.6,9222135.6,,3,-0.0005899705014748
TQBR,2017-02-27,ДетскийМир,DSKY,192,68508766.5,84.9,83.8,85.0,84.48,84.14,84.48,814270,84.14,84.14,84.48,68508766.5,68508766.5,68508766.5,,3,-0.0025974025974025
TQBR,2017-02-28,ДетскийМир,DSKY,451,570682496.5,84.0,83.8,84.99,84.93,84.61,84.93,6744560,84.61,84.61,84.93,570682496.5,570682496.5,570682496.5,,3,0.0053267045454545
