BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,ДЭК ао,DVEC,2,1606.7,0.8035,0.8032,0.8035,0.8034,0.8034,0.8032,2000,,0.8613,,0.0,581397.3,0.0,,3,0.0
TQBR,2014-06-10,ДЭК ао,DVEC,9,345287.0,0.8574,0.8574,0.867,0.865,0.8632,0.865,400000,,0.8617,,0.0,520479.3,0.0,,3,0.0769422310756971
TQBR,2014-06-11,ДЭК ао,DVEC,11,599396.3,0.8111,0.8111,0.8699,0.865,0.8649,0.865,693000,0.8649,0.8649,0.8649,599396.3,599396.3,599396.3,,3,0.0
TQBR,2014-06-16,ДЭК ао,DVEC,3,157463.6,0.8552,0.8552,0.8701,0.87,0.87,0.87,181000,0.866,0.866,0.866,756859.9,755178.9,756859.9,,3,0.0057803468208092
TQBR,2014-06-17,ДЭК ао,DVEC,50,4423141.5,0.9098,0.8203,1.0998,1.0,0.976,1.0,4532000,0.976,0.976,0.976,4423141.5,4423141.5,4423141.5,,3,0.1494252873563218
TQBR,2014-06-18,ДЭК ао,DVEC,9,109396.7,1.0498,1.0,1.099,1.0,1.0036,1.0,109000,0.9766,1.001,0.9766,4532538.2,1431419.1,4532538.2,,3,0.0
TQBR,2014-06-19,ДЭК ао,DVEC,77,5454409.7,0.9047,0.9047,1.15,1.0985,1.0848,1.15,5028000,1.0848,1.0848,1.0848,5454409.7,5454409.7,5454409.7,,3,0.1499999999999999
TQBR,2014-06-20,ДЭК ао,DVEC,39,2243570.9,1.1006,1.1,1.1746,1.1501,1.1303,1.1501,1985000,1.1303,1.1303,1.1303,2243570.9,2243570.9,2243570.9,,3,8.695652173912086e-05
TQBR,2014-06-23,ДЭК ао,DVEC,135,31096032.1,1.1103,1.1098,1.2999,1.2951,1.1983,1.2997,25951000,1.1983,1.1983,1.1983,31096032.1,31096032.1,31096032.1,,3,0.1300756455960353
TQBR,2014-06-24,ДЭК ао,DVEC,25,197087.3,1.3,1.2037,1.3,1.24,1.2395,1.24,159000,,1.2542,,0.0,512960.1,0.0,,3,-0.0459336770023852
TQBR,2014-06-25,ДЭК ао,DVEC,39,1421510.7,1.1022,1.1001,1.23,1.17,1.217,1.17,1168000,1.217,1.217,1.217,1421510.7,1421510.7,1421510.7,,3,-0.0564516129032258
TQBR,2014-06-26,ДЭК ао,DVEC,26,176135.9,1.2498,1.1801,1.2498,1.2,1.2064,1.2,146000,,1.2168,,0.0,697242.2,0.0,,3,0.0256410256410256
TQBR,2014-06-27,ДЭК ао,DVEC,223,4160532.2,1.2,1.1998,1.25,1.25,1.2375,1.25,3362000,1.2375,1.2375,1.2375,4160532.2,4160532.2,4160532.2,,3,0.0416666666666667
TQBR,2014-06-30,ДЭК ао,DVEC,38,2221829.7,1.2504,1.1999,1.2504,1.25,1.2475,1.25,1781000,1.2475,1.2475,1.2475,2221829.7,2221829.7,2221829.7,,3,0.0
TQBR,2014-07-01,ДЭК ао,DVEC,12,98356.5,1.2013,1.1503,1.2013,1.1989,1.1995,1.1989,82000,,1.2397,,0.0,500856.5,0.0,,3,-0.0408799999999999
TQBR,2014-07-02,ДЭК ао,DVEC,4,4812.8,1.2,1.1529,1.23,1.1529,1.2032,1.1529,4000,,1.2394,,0.0,505669.3,0.0,,3,-0.0383685044624239
TQBR,2014-07-03,ДЭК ао,DVEC,2,2300.8,1.1503,1.1503,1.1505,1.1504,1.1504,1.1505,2000,,1.239,,0.0,507970.1,0.0,,3,-0.0020817069997397
TQBR,2014-07-04,ДЭК ао,DVEC,7,90001.9,1.1499,0.979,1.15,1.0984,1.1111,0.979,81000,,1.2165,,0.0,572972.0,0.0,,3,-0.1490656236418949
TQBR,2014-07-07,ДЭК ао,DVEC,33,213201.8,1.0401,1.001,1.1149,1.09,1.0503,1.09,203000,,1.1664,,0.0,786173.8,0.0,,3,0.1133810010214505
TQBR,2014-07-08,ДЭК ао,DVEC,3,31505.2,1.0505,1.0501,1.0505,1.0502,1.0502,1.0501,30000,,1.1615,,0.0,817679.0,0.0,,3,-0.036605504587156
TQBR,2014-07-09,ДЭК ао,DVEC,18,432643.0,1.0204,1.01,1.0204,1.0101,1.0108,1.01,428000,,1.0187,,0.0,501190.9,0.0,,3,-0.0381868393486334
