BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,ДонскЗР п,DZRDP,6,11050.0,850.0,850.0,850.0,850.0,850.0,850.0,13,,795.1,,0,535118.9,0.0,,3,0.0
TQBR,2014-06-10,ДонскЗР п,DZRDP,0,0.0,,,,850.0,,,0,,795.1,,0,535118.9,0.0,,3,0.0
TQBR,2014-06-11,ДонскЗР п,DZRDP,4,20019.4,909.7,909.7,910.0,909.9,910.0,910.0,22,,798.8,,0,555138.3,0.0,,3,0.0
TQBR,2014-06-16,ДонскЗР п,DZRDP,2,1888.2,944.0,944.0,944.2,909.9,944.1,944.2,2,,799.2,,0,557026.5,0.0,,3,0.0375824175824176
TQBR,2014-06-17,ДонскЗР п,DZRDP,13,29998.6,944.0,944.0,1064.0,1006.2,1000.0,1064.0,30,,817.5,,0,506025.5,0.0,,3,0.1268798983266256
TQBR,2014-06-18,ДонскЗР п,DZRDP,10,34450.9,1071.7,1071.0,1083.0,1083.0,1076.6,1083.0,32,,832.8,,0,501318.7,0.0,,3,0.0178571428571428
TQBR,2014-06-19,ДонскЗР п,DZRDP,4,17651.7,1141.7,1080.0,1142.0,1080.0,1103.2,1080.0,16,,840.9,,0,502858.5,0.0,,3,-0.002770083102493
TQBR,2014-06-20,ДонскЗР п,DZRDP,1,1130.0,1130.0,1130.0,1130.0,1130.0,1130.0,1130.0,1,,841.4,,0,503988.5,0.0,,3,0.0462962962962962
TQBR,2014-06-23,ДонскЗР п,DZRDP,0,0.0,,,,1130.0,,,0,,841.4,,0,503988.5,0.0,,3,0.0
TQBR,2014-06-24,ДонскЗР п,DZRDP,5,22711.8,1050.0,1050.0,1142.0,1142.0,1135.6,1142.0,20,,852.0,,0,500123.9,0.0,,3,0.0
TQBR,2014-06-25,ДонскЗР п,DZRDP,1,1149.9,1149.9,1149.9,1149.9,1149.9,1149.9,1149.9,1,,852.7,,0,500543.7,0.0,,3,0.0069176882661997
TQBR,2014-06-26,ДонскЗР п,DZRDP,8,33352.6,1108.9,1060.0,1150.0,1123.8,1111.8,1123.8,30,,869.5,,0,519943.3,0.0,,3,-0.0226976258805114
TQBR,2014-06-27,ДонскЗР п,DZRDP,1,1222.1,1222.1,1222.1,1222.1,1222.1,1222.1,1222.1,1,,870.1,,0,521165.4,0.0,,3,0.087471080263392
TQBR,2014-06-30,ДонскЗР п,DZRDP,24,108247.7,1199.9,900.0,1199.9,954.5,984.1,1000.0,110,,937.4,,0,500582.3,0.0,,3,-0.1817363554537271
TQBR,2014-07-01,ДонскЗР п,DZRDP,30,104884.7,880.1,831.1,999.0,997.8,896.5,999.0,117,,940.0,,0,564947.6,0.0,,3,-0.001
