BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,ДонскЗР,DZRD,0,0.0,,,,888.7,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-06-10,ДонскЗР,DZRD,0,0.0,,,,888.7,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-06-11,ДонскЗР,DZRD,4,10588.8,888.7,801.0,889.0,801.0,814.5,801.0,13,,,,0,0.0,0.0,,3,0.0
TQBR,2014-06-16,ДонскЗР,DZRD,0,0.0,,,,801.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-06-17,ДонскЗР,DZRD,7,16229.4,900.0,900.0,914.7,914.7,901.6,914.7,18,,,,0,0.0,0.0,,3,0.0
TQBR,2014-06-18,ДонскЗР,DZRD,0,0.0,,,,914.7,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-06-19,ДонскЗР,DZRD,0,0.0,,,,914.7,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-06-20,ДонскЗР,DZRD,1,975.0,975.0,975.0,975.0,975.0,975.0,975.0,1,,,,0,0.0,0.0,,3,0.0
TQBR,2014-06-23,ДонскЗР,DZRD,0,0.0,,,,975.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-06-24,ДонскЗР,DZRD,0,0.0,,,,975.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-06-25,ДонскЗР,DZRD,2,5400.1,900.1,900.0,900.1,900.0,900.0,900.0,6,,,,0,0.0,0.0,,3,0.0
TQBR,2014-06-26,ДонскЗР,DZRD,0,0.0,,,,900.0,,,0,,,,0,0.0,0.0,,3,0.0
TQBR,2014-06-27,ДонскЗР,DZRD,1,900.0,900.0,900.0,900.0,900.0,900.0,900.0,1,,,,0,0.0,0.0,,3,0.0
TQBR,2014-06-30,ДонскЗР,DZRD,9,16557.8,901.0,900.0,971.0,900.2,919.9,900.0,18,,,,0,0.0,0.0,,3,0.0
TQBR,2014-07-01,ДонскЗР,DZRD,1,3400.0,850.0,850.0,850.0,850.0,850.0,850.0,4,,,,0,0.0,0.0,,3,-0.0555555555555555
TQBR,2014-07-02,ДонскЗР,DZRD,0,0.0,,,,850.0,,,0,,,,0,0.0,0.0,,3,0.0
