BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2017-09-07,ЕвроЭлтех,EELT,132,4870270.8,9.515,9.33,12.999,10.2,9.724,10.2,490500,9.929,9.929,10.2,4870270.8,4870270.8,4870270.8,,3,0.0
TQBR,2017-09-08,ЕвроЭлтех,EELT,298,5291608.3,9.67,9.551,10.5,9.885,9.704,9.885,535800,9.876,9.876,9.885,5291608.3,5291608.3,5291608.3,,3,-0.0308823529411764
TQBR,2017-09-11,ЕвроЭлтех,EELT,169,4669833.5,10.0,9.895,10.5,10.329,10.168,10.329,457700,10.203,10.203,10.329,4669833.5,4669833.5,4669833.5,,3,0.0449165402124431
TQBR,2017-09-12,ЕвроЭлтех,EELT,68,1400289.4,10.32,9.85,10.75,10.5,9.694,10.5,136000,10.296,10.296,10.5,1400289.4,1400289.4,1400289.4,,3,0.0165553296543711
TQBR,2017-09-13,ЕвроЭлтех,EELT,51,5381923.4,10.55,10.076,10.55,10.499,10.21,10.499,523500,10.281,10.281,10.499,5381923.4,5381923.4,5381923.4,,3,-9.523809523804244e-05
TQBR,2017-09-14,ЕвроЭлтех,EELT,88,1980149.9,10.5,10.149,10.7,10.526,10.34,10.526,191500,10.34,10.34,10.526,1980149.9,1980149.9,1980149.9,,3,0.0025716734927135
TQBR,2017-09-15,ЕвроЭлтех,EELT,161,3811837.8,10.199,9.973,10.549,10.447,9.627,10.447,371600,10.258,10.258,10.447,3811837.8,3811837.8,3811837.8,,3,-0.0075052251567547
TQBR,2017-09-18,ЕвроЭлтех,EELT,120,2513440.0,10.4,9.92,10.402,10.24,9.719,10.24,246700,10.188,10.188,10.24,2513440.0,2513440.0,2513440.0,,3,-0.0198143007561978
TQBR,2017-09-19,ЕвроЭлтех,EELT,79,3102775.5,10.248,9.976,10.489,10.454,10.18,10.475,304800,10.18,10.18,10.454,3102775.5,3102775.5,3102775.5,,3,0.0229492187499999
TQBR,2017-09-20,ЕвроЭлтех,EELT,57,2323073.8,10.35,10.2,10.45,10.208,10.279,10.208,226000,10.279,10.279,10.208,2323073.8,2323073.8,2323073.8,,3,-0.025489260143198
TQBR,2017-09-21,ЕвроЭлтех,EELT,62,1900211.7,10.131,9.7,10.3,10.295,9.975,10.291,190500,9.975,9.975,10.295,1900211.7,1900211.7,1900211.7,,3,0.0081308777429467
TQBR,2017-09-22,ЕвроЭлтех,EELT,79,2304515.9,10.289,10.273,10.75,10.749,10.399,10.75,221600,10.399,10.399,10.749,2304515.9,2304515.9,2304515.9,,3,0.0446020794869302
TQBR,2017-09-25,ЕвроЭлтех,EELT,212,5041881.9,10.7,10.107,10.786,10.57,10.321,10.57,488500,10.321,10.321,10.57,5041881.9,5041881.9,5041881.9,,3,-0.0167441860465116
