BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,Электрцинк,ELTZ,0,0.0,,,,264.6,,,0,,231.1,,0.0,504239.7,0.0,,3,0.0
TQBR,2014-06-10,Электрцинк,ELTZ,0,0.0,,,,264.6,,,0,,231.1,,0.0,504239.7,0.0,,3,0.0
TQBR,2014-06-11,Электрцинк,ELTZ,0,0.0,,,,264.6,,,0,,231.1,,0.0,504239.7,0.0,,3,0.0
TQBR,2014-06-16,Электрцинк,ELTZ,0,0.0,,,,264.6,,,0,,231.1,,0.0,504239.7,0.0,,3,0.0
TQBR,2014-06-17,Электрцинк,ELTZ,0,0.0,,,,264.6,,,0,,231.1,,0.0,504239.7,0.0,,3,0.0
TQBR,2014-06-18,Электрцинк,ELTZ,0,0.0,,,,264.6,,,0,,231.1,,0.0,504239.7,0.0,,3,0.0
TQBR,2014-06-19,Электрцинк,ELTZ,4,902.0,225.0,225.0,227.0,225.7,225.5,227.0,4,,231.1,,0.0,505141.7,0.0,,3,0.0
TQBR,2014-06-20,Электрцинк,ELTZ,12,17133.6,216.3,216.2,268.0,263.4,238.0,268.0,72,,231.8,,0.0,501811.1,0.0,,3,0.1806167400881057
TQBR,2014-06-23,Электрцинк,ELTZ,1,269.8,269.8,269.8,269.8,269.8,269.8,269.8,1,,231.8,,0.0,502080.9,0.0,,3,0.0067164179104478
TQBR,2014-06-24,Электрцинк,ELTZ,0,0.0,,,,269.8,,,0,,231.8,,0.0,502080.9,0.0,,3,0.0
TQBR,2014-06-25,Электрцинк,ELTZ,0,0.0,,,,269.8,,,0,,231.8,,0.0,502080.9,0.0,,3,0.0
TQBR,2014-06-26,Электрцинк,ELTZ,0,0.0,,,,269.8,,,0,,231.8,,0.0,502080.9,0.0,,3,0.0
TQBR,2014-06-27,Электрцинк,ELTZ,0,0.0,,,,269.8,,,0,,231.8,,0.0,502080.9,0.0,,3,0.0
TQBR,2014-06-30,Электрцинк,ELTZ,0,0.0,,,,269.8,,,0,,231.8,,0.0,502080.9,0.0,,3,0.0
TQBR,2014-07-01,Электрцинк,ELTZ,4,973.3,200.7,200.7,269.8,269.8,243.3,269.8,4,,231.9,,0.0,500854.2,0.0,,3,0.0
TQBR,2014-07-02,Электрцинк,ELTZ,8,17208.8,269.8,212.1,289.0,269.8,268.9,289.0,64,,233.3,,0.0,505513.0,0.0,,3,0.0711638250555967
TQBR,2014-07-03,Электрцинк,ELTZ,11,17621.1,269.8,245.0,274.9,245.0,267.0,245.0,66,,235.0,,0.0,500254.5,0.0,,3,-0.1522491349480969
TQBR,2014-07-04,Электрцинк,ELTZ,4,2984.6,220.1,220.1,276.8,276.8,229.6,276.8,13,,235.0,,0.0,501919.7,0.0,,3,0.129795918367347
TQBR,2014-07-07,Электрцинк,ELTZ,2,2238.6,279.9,279.7,279.9,279.7,279.8,279.7,8,,235.1,,0.0,504158.3,0.0,,3,0.0104768786127166
TQBR,2014-07-08,Электрцинк,ELTZ,8,15689.1,279.8,279.8,285.0,285.0,280.2,285.0,56,,236.3,,0.0,519847.4,0.0,,3,0.01894887379335
TQBR,2014-07-09,Электрцинк,ELTZ,2,568.0,284.0,284.0,284.0,284.0,284.0,284.0,2,,236.3,,0.0,520415.4,0.0,,3,-0.0035087719298245
TQBR,2014-07-10,Электрцинк,ELTZ,2,2027.1,348.0,287.1,348.0,337.9,337.9,287.1,6,,237.4,,0.0,500451.9,0.0,,3,0.0109154929577465
TQBR,2014-07-11,Электрцинк,ELTZ,24,104971.4,260.0,234.7,330.0,329.8,306.0,330.0,343,,252.3,,0.0,500116.8,0.0,,3,0.1494252873563217
TQBR,2014-07-14,Электрцинк,ELTZ,1,285.0,285.0,285.0,285.0,329.8,285.0,285.0,1,,252.3,,0.0,500401.8,0.0,,3,-0.1363636363636363
TQBR,2014-07-15,Электрцинк,ELTZ,0,0.0,,,,329.8,,,0,,252.3,,0.0,500401.8,0.0,,3,0.0
TQBR,2014-07-16,Электрцинк,ELTZ,0,0.0,,,,329.8,,,0,,252.3,,0.0,500401.8,0.0,,3,0.0
TQBR,2014-07-17,Электрцинк,ELTZ,2,540.0,270.0,270.0,270.0,270.0,270.0,270.0,2,,252.4,,0.0,500941.8,0.0,,3,0.0
TQBR,2014-07-18,Электрцинк,ELTZ,0,0.0,,,,270.0,,,0,,252.4,,0.0,500941.8,0.0,,3,0.0
TQBR,2014-07-21,Электрцинк,ELTZ,0,0.0,,,,270.0,,,0,,252.4,,0.0,500941.8,0.0,,3,0.0
TQBR,2014-07-22,Электрцинк,ELTZ,0,0.0,,,,270.0,,,0,,252.4,,0.0,500941.8,0.0,,3,0.0
TQBR,2014-07-23,Электрцинк,ELTZ,3,2346.3,213.3,213.3,213.3,213.3,213.3,213.3,11,,252.3,,0.0,500523.1,0.0,,3,0.0
TQBR,2014-07-24,Электрцинк,ELTZ,18,238146.2,213.1,213.1,310.0,305.8,300.3,310.0,793,,286.2,,0.0,507507.4,0.0,,3,0.4533520862634786
TQBR,2014-07-25,Электрцинк,ELTZ,0,0.0,,,,305.8,,,0,,286.2,,0.0,507507.4,0.0,,3,0.0
TQBR,2014-07-28,Электрцинк,ELTZ,0,0.0,,,,305.8,,,0,,286.2,,0.0,507507.4,0.0,,3,0.0
TQBR,2014-07-29,Электрцинк,ELTZ,0,0.0,,,,305.8,,,0,,286.2,,0.0,507507.4,0.0,,3,0.0
TQBR,2014-07-30,Электрцинк,ELTZ,0,0.0,,,,305.8,,,0,,286.2,,0.0,507507.4,0.0,,3,0.0
TQBR,2014-07-31,Электрцинк,ELTZ,0,0.0,,,,305.8,,,0,,286.2,,0.0,507507.4,0.0,,3,0.0
TQBR,2014-08-01,Электрцинк,ELTZ,3,859.9,240.1,240.1,309.9,309.9,286.6,309.9,3,,286.2,,0.0,508367.3,0.0,,3,0.0
TQBR,2014-08-04,Электрцинк,ELTZ,2,1131.1,226.3,226.2,226.3,226.2,226.2,226.2,5,,286.1,,0.0,509498.4,0.0,,3,-0.2700871248789932
TQBR,2014-08-05,Электрцинк,ELTZ,1,237.0,237.0,237.0,237.0,237.0,237.0,237.0,1,,286.0,,0.0,509735.4,0.0,,3,0.0477453580901857
TQBR,2014-08-06,Электрцинк,ELTZ,0,0.0,,,,237.0,,,0,,286.0,,0.0,509735.4,0.0,,3,0.0
TQBR,2014-08-07,Электрцинк,ELTZ,0,0.0,,,,237.0,,,0,,286.0,,0.0,509735.4,0.0,,3,0.0
TQBR,2014-08-08,Электрцинк,ELTZ,5,4428.0,295.0,295.0,329.0,325.5,316.3,325.5,14,,286.3,,0.0,514163.4,0.0,,3,0.0
TQBR,2014-08-11,Электрцинк,ELTZ,3,962.6,240.7,240.6,240.7,240.6,240.7,240.6,4,,286.2,,0.0,515126.0,0.0,,3,-0.2608294930875576
TQBR,2014-08-12,Электрцинк,ELTZ,0,0.0,,,,240.6,,,0,,286.2,,0.0,515126.0,0.0,,3,0.0
TQBR,2014-08-13,Электрцинк,ELTZ,0,0.0,,,,240.6,,,0,,286.2,,0.0,515126.0,0.0,,3,0.0
TQBR,2014-08-14,Электрцинк,ELTZ,3,2352.0,235.0,235.0,237.0,237.0,235.2,237.0,10,,285.9,,0.0,517478.0,0.0,,3,0.0
TQBR,2014-08-15,Электрцинк,ELTZ,0,0.0,,,,237.0,,,0,,285.9,,0.0,517478.0,0.0,,3,0.0
TQBR,2014-08-18,Электрцинк,ELTZ,0,0.0,,,,237.0,,,0,,285.9,,0.0,517478.0,0.0,,3,0.0
TQBR,2014-08-19,Электрцинк,ELTZ,0,0.0,,,,237.0,,,0,,285.9,,0.0,517478.0,0.0,,3,0.0
TQBR,2014-08-20,Электрцинк,ELTZ,0,0.0,,,,237.0,,,0,,285.9,,0.0,517478.0,0.0,,3,0.0
TQBR,2014-08-21,Электрцинк,ELTZ,8,3452.9,287.0,285.9,290.0,290.0,287.7,290.0,12,,285.9,,0.0,520930.9,0.0,,3,0.0
TQBR,2014-08-22,Электрцинк,ELTZ,7,4732.5,329.9,310.0,372.5,310.0,315.5,310.0,15,,286.2,,0.0,525663.4,0.0,,3,0.0689655172413793
TQBR,2014-08-25,Электрцинк,ELTZ,0,0.0,,,,310.0,,,0,,286.2,,0.0,525663.4,0.0,,3,0.0
TQBR,2014-08-26,Электрцинк,ELTZ,0,0.0,,,,310.0,,,0,,286.2,,0.0,525663.4,0.0,,3,0.0
TQBR,2014-08-27,Электрцинк,ELTZ,0,0.0,,,,310.0,,,0,,286.2,,0.0,525663.4,0.0,,3,0.0
TQBR,2014-08-28,Электрцинк,ELTZ,0,0.0,,,,310.0,,,0,,286.2,,0.0,525663.4,0.0,,3,0.0
TQBR,2014-08-29,Электрцинк,ELTZ,6,30405.9,317.9,317.9,345.0,334.1,334.1,345.0,91,,292.0,,0.0,500569.4,0.0,,3,0.0
TQBR,2014-09-01,Электрцинк,ELTZ,8,5257.7,345.0,260.1,345.0,337.0,328.6,337.0,16,,292.9,,0.0,500062.3,0.0,,3,-0.0231884057971014
TQBR,2014-09-02,Электрцинк,ELTZ,0,0.0,,,,337.0,,,0,,292.9,,0.0,500062.3,0.0,,3,0.0
TQBR,2014-09-03,Электрцинк,ELTZ,0,0.0,,,,337.0,,,0,,292.9,,0.0,500062.3,0.0,,3,0.0
TQBR,2014-09-04,Электрцинк,ELTZ,5,10475.2,296.2,288.0,329.7,288.0,327.4,288.0,32,,293.7,,0.0,509297.5,0.0,,3,0.0
TQBR,2014-09-05,Электрцинк,ELTZ,0,0.0,,,,288.0,,,0,,293.7,,0.0,509297.5,0.0,,3,0.0
TQBR,2014-09-08,Электрцинк,ELTZ,6,6794.0,300.0,300.0,333.0,332.9,323.5,333.0,21,,295.6,,0.0,501622.8,0.0,,3,0.0
TQBR,2014-09-09,Электрцинк,ELTZ,0,0.0,,,,332.9,,,0,,295.6,,0.0,501622.8,0.0,,3,0.0
TQBR,2014-09-10,Электрцинк,ELTZ,0,0.0,,,,332.9,,,0,,295.6,,0.0,501622.8,0.0,,3,0.0
TQBR,2014-09-11,Электрцинк,ELTZ,0,0.0,,,,332.9,,,0,,295.6,,0.0,501622.8,0.0,,3,0.0
TQBR,2014-09-12,Электрцинк,ELTZ,0,0.0,,,,332.9,,,0,,295.6,,0.0,501622.8,0.0,,3,0.0
TQBR,2014-09-15,Электрцинк,ELTZ,0,0.0,,,,332.9,,,0,,295.6,,0.0,501622.8,0.0,,3,0.0
TQBR,2014-09-16,Электрцинк,ELTZ,0,0.0,,,,332.9,,,0,,295.6,,0.0,501622.8,0.0,,3,0.0
