BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-12-01,ЭЛ5Энер ао,ENRU,50,357828.0,0.85,0.823,0.85,0.837,0.838,0.837,427000,,0.839,,0.0,500292.0,0.0,,3,0.0
TQBR,2014-12-02,ЭЛ5Энер ао,ENRU,52,109052.0,0.847,0.825,0.847,0.834,0.832,0.834,131000,,0.837,,0.0,519029.0,0.0,,3,-0.003584229390681
TQBR,2014-12-03,ЭЛ5Энер ао,ENRU,156,7398565.0,0.827,0.809,0.845,0.832,0.821,0.832,9012000,0.821,0.821,0.821,7398565.0,7398565.0,7398565.0,,3,-0.0023980815347721
TQBR,2014-12-04,ЭЛ5Энер ао,ENRU,255,19886382.0,0.838,0.795,0.847,0.806,0.816,0.806,24375000,0.816,0.816,0.816,19886382.0,19886382.0,19886382.0,,3,-0.0312499999999998
TQBR,2014-12-05,ЭЛ5Энер ао,ENRU,123,1994114.0,0.81,0.785,0.819,0.81,0.793,0.81,2515000,0.793,0.793,0.793,1994114.0,1994114.0,1994114.0,,3,0.0049627791563275
TQBR,2014-12-08,ЭЛ5Энер ао,ENRU,130,7803753.0,0.813,0.77,0.815,0.798,0.786,0.798,9926000,0.786,0.786,0.786,7803753.0,7803753.0,7803753.0,,3,-0.0148148148148148
TQBR,2014-12-09,ЭЛ5Энер ао,ENRU,68,524468.0,0.777,0.758,0.795,0.786,0.772,0.786,679000,0.772,0.772,0.772,524468.0,524468.0,524468.0,,3,-0.0150375939849624
TQBR,2014-12-10,ЭЛ5Энер ао,ENRU,66,390231.0,0.793,0.777,0.8,0.781,0.785,0.781,497000,,0.785,,0.0,500241.0,0.0,,3,-0.0063613231552162
TQBR,2014-12-11,ЭЛ5Энер ао,ENRU,53,311456.0,0.803,0.775,0.803,0.79,0.783,0.79,398000,,0.784,,0.0,502059.0,0.0,,3,0.0115236875800256
TQBR,2014-12-12,ЭЛ5Энер ао,ENRU,51,207028.0,0.775,0.75,0.788,0.787,0.767,0.788,270000,,0.776,,0.0,501150.0,0.0,,3,-0.0025316455696202
TQBR,2014-12-15,ЭЛ5Энер ао,ENRU,235,17382972.0,0.812,0.726,0.877,0.727,0.787,0.727,22080000,0.787,0.787,0.787,17382972.0,17382972.0,17382972.0,,3,-0.0774111675126904
TQBR,2014-12-16,ЭЛ5Энер ао,ENRU,470,2254820.0,0.732,0.635,0.739,0.678,0.678,0.678,3324000,0.678,0.678,0.678,2251892.0,2251892.0,2251892.0,,3,-0.0674002751031636
TQBR,2014-12-17,ЭЛ5Энер ао,ENRU,368,6305688.0,0.679,0.64,0.727,0.663,0.658,0.663,9578000,0.658,0.658,0.658,6305688.0,6305688.0,6305688.0,,3,-0.0221238938053097
TQBR,2014-12-18,ЭЛ5Энер ао,ENRU,201,2967484.0,0.7,0.68,0.745,0.703,0.701,0.704,4233000,0.701,0.701,0.701,2967484.0,2967484.0,2967484.0,,3,0.0618401206636499
TQBR,2014-12-19,ЭЛ5Энер ао,ENRU,89,284398.0,0.75,0.705,0.75,0.718,0.733,0.718,388000,,0.725,,0.0,501239.0,0.0,,3,0.0198863636363636
TQBR,2014-12-22,ЭЛ5Энер ао,ENRU,238,3860230.0,0.74,0.688,0.758,0.694,0.704,0.694,5484000,0.704,0.704,0.704,3860230.0,3860230.0,3860230.0,,3,-0.0334261838440111
TQBR,2014-12-23,ЭЛ5Энер ао,ENRU,270,7982463.0,0.69,0.68,0.719,0.709,0.704,0.709,11345000,0.704,0.704,0.704,7981773.0,7981773.0,7981773.0,,3,0.0216138328530259
TQBR,2014-12-24,ЭЛ5Энер ао,ENRU,119,7805542.0,0.71,0.683,0.725,0.7,0.697,0.7,11199000,0.697,0.697,0.697,7805542.0,7805542.0,7805542.0,,3,-0.0126939351198871
TQBR,2014-12-25,ЭЛ5Энер ао,ENRU,93,404994.0,0.694,0.689,0.719,0.695,0.696,0.695,582000,,0.704,,0.0,943697.0,0.0,,3,-0.0071428571428571
TQBR,2014-12-26,ЭЛ5Энер ао,ENRU,73,796535.0,0.694,0.689,0.7,0.697,0.698,0.697,1141000,0.698,0.698,0.698,796535.0,796535.0,796535.0,,3,0.0028776978417266
TQBR,2014-12-29,ЭЛ5Энер ао,ENRU,168,2190195.0,0.699,0.699,0.745,0.729,0.726,0.729,3018000,0.726,0.726,0.726,2190195.0,2190195.0,2190195.0,,3,0.0459110473457676
TQBR,2014-12-30,ЭЛ5Энер ао,ENRU,207,4663846.0,0.747,0.733,0.824,0.739,0.772,0.739,6043000,0.772,0.772,0.772,4663846.0,4663846.0,4663846.0,,3,0.0137174211248285
TQBR,2015-01-05,ЭЛ5Энер ао,ENRU,49,100918.0,0.74,0.704,0.768,0.756,0.742,0.756,136000,,0.743,,0.0,1177871.0,0.0,,3,0.0230040595399188
TQBR,2015-01-06,ЭЛ5Энер ао,ENRU,123,1159260.0,0.758,0.723,0.767,0.734,0.733,0.734,1582000,0.733,0.733,0.733,1159260.0,1159260.0,1159260.0,,3,-0.0291005291005291
TQBR,2015-01-08,ЭЛ5Энер ао,ENRU,208,2374017.0,0.741,0.722,0.741,0.732,0.733,0.732,3240000,0.733,0.733,0.733,2374017.0,2374017.0,2374017.0,,3,-0.0027247956403269
TQBR,2015-01-09,ЭЛ5Энер ао,ENRU,72,1024904.0,0.736,0.732,0.746,0.745,0.739,0.746,1387000,0.739,0.739,0.739,1024904.0,1024904.0,1024904.0,,3,0.0191256830601093
TQBR,2015-01-12,ЭЛ5Энер ао,ENRU,53,282999.0,0.747,0.746,0.776,0.746,0.757,0.746,374000,,0.749,,0.0,542047.0,0.0,,3,0.0
TQBR,2015-01-13,ЭЛ5Энер ао,ENRU,59,372625.0,0.745,0.74,0.75,0.749,0.742,0.749,502000,,0.744,,0.0,503656.0,0.0,,3,0.0040214477211796
TQBR,2015-01-14,ЭЛ5Энер ао,ENRU,51,1004273.0,0.75,0.74,0.76,0.75,0.749,0.75,1341000,0.749,0.749,0.749,1004273.0,1004273.0,1004273.0,,3,0.0013351134846461
TQBR,2015-01-15,ЭЛ5Энер ао,ENRU,39,576758.0,0.751,0.742,0.76,0.747,0.746,0.747,773000,0.746,0.746,0.746,576758.0,576758.0,576758.0,,3,-0.004
