BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2020-02-03,ETLN-гдр,ETLN,809,17501625.2,149.2,145.88,150.0,146.0,148.28,146.0,118040,148.26,148.26,146.0,17501625.2,17501625.2,17501625.2,,3,0.0
TQBR,2020-02-04,ETLN-гдр,ETLN,661,23063643.0,150.0,145.3,150.0,145.46,146.06,145.46,157920,146.04,146.04,145.46,23063643.0,23063643.0,23063643.0,,3,-0.0036986301369862
TQBR,2020-02-05,ETLN-гдр,ETLN,485,12361716.0,145.86,142.1,145.86,143.0,143.64,143.0,86060,143.64,143.64,143.0,12361716.0,12361716.0,12361716.0,,3,-0.0169118658050323
TQBR,2020-02-06,ETLN-гдр,ETLN,262,6521035.2,143.6,95.0,143.6,143.0,142.02,143.0,45920,142.0,142.0,143.0,6521035.2,6521035.2,6521035.2,,3,0.0
TQBR,2020-02-07,ETLN-гдр,ETLN,398,9358514.8,143.0,140.26,143.0,142.92,141.36,142.92,66210,141.34,141.34,142.92,9358514.8,9358514.8,9358514.8,,3,-0.0005594405594406
TQBR,2020-02-10,ETLN-гдр,ETLN,189,3160338.4,145.0,140.38,145.0,141.3,141.92,141.38,22270,141.92,141.92,141.3,3160338.4,3160338.4,3160338.4,,3,-0.01077525888609
TQBR,2020-02-11,ETLN-гдр,ETLN,294,5652160.4,141.9,139.26,142.42,139.4,140.78,139.26,40150,140.78,140.78,139.4,5652160.4,5652160.4,5652160.4,,3,-0.01499504880464
TQBR,2020-02-12,ETLN-гдр,ETLN,1053,15594817.8,140.38,139.9,142.02,142.0,141.24,142.0,110420,141.24,141.24,142.0,15594817.8,15594817.8,15594817.8,,3,0.0196754272583657
TQBR,2020-02-13,ETLN-гдр,ETLN,180,3185240.4,141.22,140.92,143.32,142.7,142.26,142.7,22390,142.26,142.26,142.7,3185240.4,3185240.4,3185240.4,,3,0.0049295774647886
TQBR,2020-02-14,ETLN-гдр,ETLN,400,14437118.2,143.72,140.98,143.72,143.0,141.74,143.0,101860,141.74,141.74,143.0,14437118.2,14437118.2,14437118.2,,3,0.0021023125437982
TQBR,2020-02-17,ETLN-гдр,ETLN,692,36519370.2,143.0,139.02,143.5,140.0,140.86,139.96,259270,140.86,140.86,140.0,36519370.2,36519370.2,36519370.2,,3,-0.0212587412587412
TQBR,2020-02-18,ETLN-гдр,ETLN,1297,17728612.6,139.88,139.48,140.2,139.48,139.9,139.48,126720,139.9,139.9,139.48,17728612.6,17728612.6,17728612.6,,3,-0.0034295513003716
TQBR,2020-02-19,ETLN-гдр,ETLN,2548,19071708.4,139.38,139.0,140.8,140.12,140.18,140.16,136050,140.18,140.18,140.12,19071708.4,19071708.4,19071708.4,,3,0.0048752509320333
TQBR,2020-02-20,ETLN-гдр,ETLN,2616,23036164.6,140.5,139.52,140.82,140.08,140.44,140.02,164040,140.44,140.44,140.08,23036164.6,23036164.6,23036164.6,,3,-0.0009988584474884
TQBR,2020-02-21,ETLN-гдр,ETLN,3688,19470813.8,140.5,139.52,140.8,139.8,140.08,139.8,139000,140.08,140.08,139.8,19470813.8,19470813.8,19470813.8,,3,-0.001571204113698
TQBR,2020-02-25,ETLN-гдр,ETLN,5059,21144259.2,139.0,138.0,140.0,138.1,138.98,138.1,152140,138.98,138.98,138.1,21144259.2,21144259.2,21144259.2,,3,-0.0121602288984264
TQBR,2020-02-26,ETLN-гдр,ETLN,2211,25435746.8,140.42,134.4,140.42,134.48,135.3,134.58,187990,135.3,135.3,134.48,25435746.8,25435746.8,25435746.8,,3,-0.0254887762490947
TQBR,2020-02-27,ETLN-гдр,ETLN,3241,22280279.0,135.74,131.08,135.74,131.26,133.46,131.22,166950,133.46,133.46,131.26,22280279.0,22280279.0,22280279.0,,3,-0.0249665626393224
TQBR,2020-02-28,ETLN-гдр,ETLN,4612,18242594.8,131.02,124.04,131.22,125.0,126.68,125.0,144010,126.68,126.68,125.0,18242594.8,18242594.8,18242594.8,,3,-0.0474013107757963
TQBR,2020-03-02,ETLN-гдр,ETLN,2777,32923791.6,125.46,122.9,131.0,123.48,125.08,123.48,263230,125.08,125.08,123.48,32923791.6,32923791.6,32923791.6,,3,-0.0121599999999999
TQBR,2020-03-03,ETLN-гдр,ETLN,3358,27504123.6,125.0,121.7,130.5,124.0,122.7,124.0,224160,122.7,122.7,124.0,27504123.6,27504123.6,27504123.6,,3,0.0042112082928409
TQBR,2020-03-04,ETLN-гдр,ETLN,2806,25657341.8,123.02,120.3,123.7,121.48,121.52,121.48,211130,121.52,121.52,121.48,25657341.8,25657341.8,25657341.8,,3,-0.0203225806451612
TQBR,2020-03-05,ETLN-гдр,ETLN,3652,26443048.6,122.0,120.04,123.8,121.9,121.08,121.9,218420,121.06,121.06,121.9,26443048.6,26443048.6,26443048.6,,3,0.0034573592360882
TQBR,2020-03-06,ETLN-гдр,ETLN,3059,23179894.8,120.86,117.4,121.5,118.36,118.62,118.36,195420,118.62,118.62,118.36,23179894.8,23179894.8,23179894.8,,3,-0.0290401968826907
TQBR,2020-03-10,ETLN-гдр,ETLN,3934,20188940.6,110.0,106.6,118.0,117.5,114.4,117.5,176490,114.4,114.4,117.5,20188940.6,20188940.6,20188940.6,,3,-0.0072659682325109
TQBR,2020-03-11,ETLN-гдр,ETLN,3915,21075005.2,118.34,114.0,118.34,116.0,114.86,116.0,183480,114.86,114.86,116.0,21075005.2,21075005.2,21075005.2,,3,-0.0127659574468085
TQBR,2020-03-12,ETLN-гдр,ETLN,3064,32540703.6,113.6,102.62,113.6,103.12,108.1,103.12,301050,108.1,108.1,103.12,32540703.6,32540703.6,32540703.6,,3,-0.1110344827586206
TQBR,2020-03-13,ETLN-гдр,ETLN,2271,26692859.4,101.54,99.54,106.72,100.48,105.0,100.48,254225,105.0,105.0,100.48,26692859.4,26692859.4,26692859.4,,3,-0.0256012412723041
TQBR,2020-03-16,ETLN-гдр,ETLN,717,11410746.42,100.6,96.0,100.76,96.96,98.74,96.96,115578,98.72,98.72,96.96,11410746.42,11410746.42,11410746.42,,3,-0.035031847133758
TQBR,2020-03-17,ETLN-гдр,ETLN,1880,26873195.84,97.52,87.5,97.52,89.3,91.8,89.3,292774,91.78,91.78,89.3,26873195.84,26873195.84,26873195.84,,3,-0.0790016501650164
TQBR,2020-03-18,ETLN-гдр,ETLN,5975,81296040.56,85.7,73.84,87.98,77.8,79.62,77.8,1021063,79.62,79.62,77.8,81296040.56,81296040.56,81296040.56,,3,-0.1287793952967525
TQBR,2020-03-19,ETLN-гдр,ETLN,2841,141711907.02,81.62,76.02,85.28,85.28,80.66,85.28,1757078,80.66,80.66,85.28,141711907.02,141711907.02,141711907.02,,3,0.0961439588688946
TQBR,2020-03-20,ETLN-гдр,ETLN,1771,62178035.98,87.0,76.8,95.92,92.6,91.2,92.6,681802,91.2,91.2,92.6,62178035.98,62178035.98,62178035.98,,3,0.0858348968105064
TQBR,2020-03-23,ETLN-гдр,ETLN,888,25827971.98,92.6,90.0,103.14,102.32,98.36,102.32,262622,98.34,98.34,102.32,25827971.98,25827971.98,25827971.98,,3,0.1049676025917926
TQBR,2020-03-24,ETLN-гдр,ETLN,1428,71714998.36,104.58,100.0,110.66,106.86,106.82,106.86,671360,106.82,106.82,106.86,71714998.36,71714998.36,71714998.36,,3,0.0443706020328382
TQBR,2020-03-25,ETLN-гдр,ETLN,910,42944364.38,106.88,106.68,111.7,106.68,108.66,106.68,395200,108.66,108.66,106.68,42944364.38,42944364.38,42944364.38,,3,-0.0016844469399213
TQBR,2020-03-26,ETLN-гдр,ETLN,428,11144818.9,107.0,104.08,108.82,106.26,105.68,106.26,105454,105.68,105.68,106.26,11144818.9,11144818.9,11144818.9,,3,-0.0039370078740157
TQBR,2020-03-27,ETLN-гдр,ETLN,388,7749200.24,105.0,103.78,106.82,104.36,104.76,104.04,73971,104.76,104.76,104.36,7749200.24,7749200.24,7749200.24,,3,-0.0208921513269339
TQBR,2020-03-30,ETLN-гдр,ETLN,386,7413839.4,103.26,100.4,104.0,101.1,102.46,101.1,72364,102.46,102.46,101.1,7413839.4,7413839.4,7413839.4,,3,-0.0282583621683968
TQBR,2020-03-31,ETLN-гдр,ETLN,502,6851935.36,100.04,99.02,102.02,101.58,100.66,101.58,68072,100.66,100.66,101.58,6851935.36,6851935.36,6851935.36,,3,0.0047477744807122
TQBR,2020-04-01,ETLN-гдр,ETLN,586,8646884.88,99.44,98.18,100.98,98.18,99.32,98.18,87061,99.32,99.32,98.18,8646884.88,8646884.88,8646884.88,,3,-0.0334711557393186
TQBR,2020-04-02,ETLN-гдр,ETLN,481,19795435.08,100.0,96.08,102.8,99.2,99.06,99.2,199849,99.06,99.06,99.2,19795435.08,19795435.08,19795435.08,,3,0.0103890812792829
TQBR,2020-04-03,ETLN-гдр,ETLN,1248,29306956.52,98.56,96.0,98.56,96.4,97.04,96.4,302005,97.04,97.04,96.4,29306956.52,29306956.52,29306956.52,,3,-0.0282258064516128
TQBR,2020-04-06,ETLN-гдр,ETLN,1098,13957448.66,99.84,95.0,99.84,96.1,96.24,96.1,145044,96.22,96.22,96.1,13957448.66,13957448.66,13957448.66,,3,-0.0031120331950208
TQBR,2020-04-07,ETLN-гдр,ETLN,3770,73894719.86,99.84,92.44,101.84,93.88,95.24,93.88,775936,95.24,95.24,93.88,73894719.86,73894719.86,73894719.86,,3,-0.0231009365244536
TQBR,2020-04-08,ETLN-гдр,ETLN,1061,11249350.76,95.0,92.6,95.98,93.0,93.08,93.0,120858,93.08,93.08,93.0,11249350.76,11249350.76,11249350.76,,3,-0.0093736685129952
TQBR,2020-04-09,ETLN-гдр,ETLN,2287,39114895.14,93.02,90.0,93.62,91.0,92.04,91.0,425000,92.04,92.04,91.0,39114895.14,39114895.14,39114895.14,,3,-0.021505376344086
TQBR,2020-04-10,ETLN-гдр,ETLN,739,9574243.78,91.08,91.0,92.0,91.78,91.44,91.78,104712,91.44,91.44,91.78,9574243.78,9574243.78,9574243.78,,3,0.0085714285714285
TQBR,2020-04-13,ETLN-гдр,ETLN,599,15567202.48,92.2,90.4,92.4,91.0,91.38,91.0,170377,91.36,91.36,91.0,15567202.48,15567202.48,15567202.48,,3,-0.0084985835694051
TQBR,2020-04-14,ETLN-гдр,ETLN,1538,23101210.68,91.48,88.86,92.02,89.56,90.16,89.56,256214,90.16,90.16,89.56,23101210.68,23101210.68,23101210.68,,3,-0.0158241758241758
TQBR,2020-04-15,ETLN-гдр,ETLN,1021,16641775.08,89.9,86.04,89.9,86.34,87.52,86.34,190153,87.52,87.52,86.34,16641775.08,16641775.08,16641775.08,,3,-0.0359535506922733
TQBR,2020-04-16,ETLN-гдр,ETLN,2138,36954839.44,89.9,84.5,90.48,85.62,86.74,85.62,426110,86.72,86.72,85.62,36954839.44,36954839.44,36954839.44,,3,-0.0083391243919388
TQBR,2020-04-17,ETLN-гдр,ETLN,6845,50339042.4,88.0,81.06,88.0,82.0,83.08,82.0,605978,83.08,83.08,82.0,50339042.4,50339042.4,50339042.4,,3,-0.0422798411586078
TQBR,2020-04-20,ETLN-гдр,ETLN,1657,25113373.96,83.0,80.54,83.1,81.38,81.56,81.38,307951,81.54,81.54,81.38,25113373.96,25113373.96,25113373.96,,3,-0.0075609756097561
