BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,Россети,FEES,6186,218097782.1,0.05945,0.05945,0.06115,0.05968,0.06017,0.05968,3624980000,0.06017,0.06017,0.06017,217846308.6,217846308.6,217846308.6,,3,0.0
TQBR,2014-06-10,Россети,FEES,5797,197383415.2,0.05967,0.05951,0.06014,0.05965,0.05983,0.05965,3298900000,0.05983,0.05983,0.05983,197381028.4,197381028.4,197381028.4,,3,-0.0005026809651473
TQBR,2014-06-11,Россети,FEES,9896,304270812.4,0.0596,0.05933,0.0611,0.06015,0.06018,0.06015,5055990000,0.06018,0.06018,0.06018,304239820.4,304239820.4,304239820.4,,3,0.008382229673093
TQBR,2014-06-16,Россети,FEES,12214,260901331.0,0.05998,0.05891,0.06002,0.0592,0.05936,0.0592,4395110000,0.05936,0.05936,0.05936,260489868.2,260489868.2,260489868.2,,3,-0.0157938487115544
TQBR,2014-06-17,Россети,FEES,8730,220435706.3,0.0594,0.05807,0.05985,0.05808,0.05884,0.05808,3746530000,0.05884,0.05884,0.05884,220319282.3,220319282.3,220319282.3,,3,-0.0189189189189189
TQBR,2014-06-18,Россети,FEES,9237,309804053.2,0.0585,0.05814,0.0593,0.05875,0.05878,0.05875,5270550000,0.05878,0.05878,0.05878,309449543.2,309449543.2,309449543.2,,3,0.0115358126721762
TQBR,2014-06-19,Россети,FEES,8533,265752367.6,0.05922,0.05889,0.0597,0.059,0.05932,0.059,4480050000,0.05932,0.05932,0.05932,265307033.2,265307033.2,265307033.2,,3,0.0042553191489361
TQBR,2014-06-20,Россети,FEES,7302,298984323.4,0.05952,0.05725,0.05952,0.05725,0.05854,0.05725,5107330000,0.05854,0.05854,0.05854,298686723.4,298686723.4,298686723.4,,3,-0.0296610169491524
TQBR,2014-06-23,Россети,FEES,6194,188686402.6,0.058,0.05755,0.0584,0.0583,0.0581,0.0583,3247370000,0.0581,0.0581,0.0581,188217762.6,188217762.6,188217762.6,,3,0.0183406113537117
TQBR,2014-06-24,Россети,FEES,7548,253916267.0,0.05869,0.0584,0.05988,0.05982,0.05926,0.05982,4284700000,0.05926,0.05926,0.05926,253879879.2,253879879.2,253879879.2,,3,0.0260720411663808
TQBR,2014-06-25,Россети,FEES,4826,179009694.7,0.059,0.05865,0.0596,0.05919,0.05909,0.05919,3029350000,0.05909,0.05909,0.05909,178271014.7,178271014.7,178271014.7,,3,-0.010531594784353
TQBR,2014-06-26,Россети,FEES,7071,267364200.0,0.05921,0.05897,0.06006,0.0598,0.05953,0.0598,4491260000,0.05953,0.05953,0.05953,267363607.9,267363607.9,267363607.9,,3,0.0103057948977867
TQBR,2014-06-27,Россети,FEES,4083,120122788.0,0.0599,0.0587,0.05995,0.059,0.0593,0.059,2025570000,0.0593,0.0593,0.0593,119883787.0,119883787.0,119883787.0,,3,-0.0133779264214047
