BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,ДВМП ао,FESH,42,47537.1,3.44,3.301,3.487,3.345,3.371,3.345,14100,,3.361,,0.0,500851.8,0.0,,3,0.0
TQBR,2014-06-10,ДВМП ао,FESH,14,30817.6,3.351,3.34,3.4,3.4,3.35,3.4,9200,,3.36,,0.0,503000.7,0.0,,3,0.0164424514200298
TQBR,2014-06-11,ДВМП ао,FESH,26,68458.9,3.431,3.31,3.431,3.395,3.389,3.395,20200,,3.363,,0.0,500411.0,0.0,,3,-0.001470588235294
TQBR,2014-06-16,ДВМП ао,FESH,150,497261.0,3.457,3.203,3.467,3.454,3.367,3.467,147700,,3.367,,0.0,502014.0,0.0,,3,0.0212076583210604
TQBR,2014-06-17,ДВМП ао,FESH,40,86309.4,3.579,3.34,3.58,3.427,3.411,3.427,25300,,3.383,,0.0,508411.2,0.0,,3,-0.0115373521776752
TQBR,2014-06-18,ДВМП ао,FESH,64,508310.1,3.421,3.376,3.543,3.453,3.501,3.453,145200,3.501,3.501,3.501,508310.1,508310.1,508310.1,,3,0.0075868106215348
TQBR,2014-06-19,ДВМП ао,FESH,30,295913.5,3.423,3.361,3.436,3.364,3.374,3.361,87700,,3.434,,0.0,508866.4,0.0,,3,-0.026643498407182
TQBR,2014-06-20,ДВМП ао,FESH,21,143836.5,3.367,3.367,3.485,3.371,3.441,3.37,41800,,3.419,,0.0,545695.3,0.0,,3,0.0026777744718833
TQBR,2014-06-23,ДВМП ао,FESH,12,9815.6,3.373,3.371,3.489,3.437,3.385,3.437,2900,,3.419,,0.0,555510.9,0.0,,3,0.0198813056379821
TQBR,2014-06-24,ДВМП ао,FESH,26,28237.3,3.485,3.402,3.486,3.463,3.444,3.469,8200,,3.42,,0.0,583748.2,0.0,,3,0.009310445155659
TQBR,2014-06-25,ДВМП ао,FESH,25,120188.0,3.456,3.401,3.46,3.45,3.434,3.45,35000,,3.406,,0.0,514670.0,0.0,,3,-0.0054770827327759
TQBR,2014-06-26,ДВМП ао,FESH,50,350944.5,3.449,3.331,3.52,3.417,3.434,3.418,102200,,3.434,,0.0,500050.7,0.0,,3,-0.0092753623188405
TQBR,2014-06-27,ДВМП ао,FESH,47,689057.5,3.432,3.363,3.432,3.408,3.416,3.409,201700,3.416,3.416,3.416,689057.5,689057.5,689057.5,,3,-0.002633118782914
TQBR,2014-06-30,ДВМП ао,FESH,10,43332.5,3.355,3.352,3.361,3.352,3.359,3.352,12900,,3.415,,0.0,579569.2,0.0,,3,-0.0167204458785567
TQBR,2014-07-01,ДВМП ао,FESH,44,159807.2,3.48,3.324,3.48,3.334,3.437,3.333,46500,,3.42,,0.0,531783.0,0.0,,3,-0.0056682577565631
TQBR,2014-07-02,ДВМП ао,FESH,32,123411.5,3.437,3.26,3.437,3.348,3.326,3.396,37100,,3.402,,0.0,655194.5,0.0,,3,0.0189018901890188
TQBR,2014-07-03,ДВМП ао,FESH,29,66689.9,3.35,3.301,3.392,3.318,3.351,3.301,19900,,3.388,,0.0,518736.4,0.0,,3,-0.0279740871613662
TQBR,2014-07-04,ДВМП ао,FESH,51,178153.0,3.449,3.299,3.449,3.3,3.318,3.3,53700,,3.359,,0.0,527713.6,0.0,,3,-0.0003029385034838
TQBR,2014-07-07,ДВМП ао,FESH,76,601609.2,3.414,3.306,3.415,3.328,3.38,3.372,178000,3.38,3.38,3.38,601609.2,601609.2,601609.2,,3,0.0218181818181818
TQBR,2014-07-08,ДВМП ао,FESH,58,289549.5,3.33,3.27,3.393,3.305,3.298,3.305,87800,,3.31,,0.0,507429.5,0.0,,3,-0.0198695136417555
