BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2018-02-01,FIVE-гдр,FIVE,1740,389868269.5,2200.0,2082.5,2225.5,2110.0,2166.5,2110.0,179977,2166.0,2166.0,2110.0,389868269.5,389868269.5,389868269.5,,3,0.0
TQBR,2018-02-02,FIVE-гдр,FIVE,1105,266269261.0,2129.0,2015.0,2130.0,2052.0,2063.0,2052.0,129069,2063.0,2063.0,2052.0,266269261.0,266269261.0,266269261.0,,3,-0.0274881516587677
TQBR,2018-02-05,FIVE-гдр,FIVE,718,136577202.0,2070.0,2013.0,2090.0,2089.5,2030.5,2089.5,67260,2030.5,2030.5,2089.5,136577202.0,136577202.0,136577202.0,,3,0.0182748538011695
TQBR,2018-02-06,FIVE-гдр,FIVE,2147,122287864.5,2060.0,2005.0,2088.5,2070.0,2025.0,2070.0,60393,2025.0,2025.0,2070.0,122287864.5,122287864.5,122287864.5,,3,-0.009332376166547
TQBR,2018-02-07,FIVE-гдр,FIVE,492,47544391.5,2020.0,2020.0,2117.0,2090.0,2084.0,2090.0,22826,2083.0,2083.0,2090.0,47544391.5,47544391.5,47544391.5,,3,0.0096618357487922
TQBR,2018-02-08,FIVE-гдр,FIVE,834,67463985.5,2090.0,2060.0,2195.0,2134.0,2102.5,2134.0,32091,2102.5,2102.5,2134.0,67463985.5,67463985.5,67463985.5,,3,0.0210526315789473
TQBR,2018-02-09,FIVE-гдр,FIVE,905,59200623.0,2064.0,2035.0,2120.0,2046.0,2061.0,2046.0,28724,2061.0,2061.0,2046.0,59200623.0,59200623.0,59200623.0,,3,-0.0412371134020618
TQBR,2018-02-12,FIVE-гдр,FIVE,382,23889949.5,2065.0,2052.5,2125.0,2100.5,2080.0,2100.5,11486,2080.0,2080.0,2100.5,23889949.5,23889949.5,23889949.5,,3,0.0266373411534701
TQBR,2018-02-13,FIVE-гдр,FIVE,307,58486917.0,2150.0,2091.0,2150.0,2141.5,2124.5,2140.0,27529,2124.5,2124.5,2141.5,58486917.0,58486917.0,58486917.0,,3,0.0188050464175196
TQBR,2018-02-14,FIVE-гдр,FIVE,389,60975967.5,2149.5,2142.5,2172.0,2150.5,2156.5,2150.5,28268,2157.0,2157.0,2150.5,60975967.5,60975967.5,60975967.5,,3,0.0049065420560747
