BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2021-03-10,FIXP-гдр,FIXP,96492,1899511015.1,724.5,712.2,757.0,716.9,726.8,716.9,2614386,726.6,726.6,716.9,1899511015.1,1899511015.1,1899511015.1,0,3,0.0
TQBR,2021-03-11,FIXP-гдр,FIXP,42860,897914662.7,725.0,671.0,725.2,717.0,702.8,717.0,1277701,702.8,702.8,717.0,897914662.7,897914662.7,897914662.7,0,3,0.0001394894685451
TQBR,2021-03-12,FIXP-гдр,FIXP,15828,330227669.8,720.9,701.1,721.0,715.5,716.1,715.5,461094,716.2,716.2,715.5,330227669.8,330227669.8,330227669.8,0,3,-0.002092050209205
TQBR,2021-03-15,FIXP-гдр,FIXP,19928,676441515.3,720.0,703.6,720.0,704.9,707.8,704.9,955647,707.8,707.8,704.9,676441515.3,676441515.3,676441515.3,0,3,-0.0148148148148148
TQBR,2021-03-16,FIXP-гдр,FIXP,16972,428492327.7,708.0,696.0,709.4,697.9,700.1,697.9,612052,700.1,700.1,697.9,428492327.7,428492327.7,428492327.7,0,3,-0.009930486593843
TQBR,2021-03-17,FIXP-гдр,FIXP,18565,895099544.3,700.0,674.7,710.0,709.2,705.7,709.2,1268379,705.7,705.7,709.2,895099544.3,895099544.3,895099544.3,0,3,0.0161914314371687
TQBR,2021-03-18,FIXP-гдр,FIXP,10429,87556689.9,710.7,706.0,716.8,716.0,709.7,716.0,123370,709.7,709.7,716.0,87556689.9,87556689.9,87556689.9,0,3,0.0095882684715171
TQBR,2021-03-19,FIXP-гдр,FIXP,7081,68950802.0,716.0,706.0,717.0,716.3,713.8,716.3,96594,713.8,713.8,716.3,68950802.0,68950802.0,68950802.0,0,3,0.0004189944134077
TQBR,2021-03-22,FIXP-гдр,FIXP,8859,95965083.5,708.3,708.2,721.7,718.0,718.1,718.0,133633,718.1,718.1,718.0,95965083.5,95965083.5,95965083.5,0,3,0.0023733072734888
TQBR,2021-03-23,FIXP-гдр,FIXP,14176,432516934.7,719.9,718.0,729.9,728.0,725.9,728.0,595857,725.9,725.9,728.0,432516934.7,432516934.7,432516934.7,0,3,0.0139275766016713
TQBR,2021-03-24,FIXP-гдр,FIXP,10716,375861502.7,728.6,723.1,733.0,732.5,730.6,732.5,514477,730.6,730.6,732.5,375861502.7,375861502.7,375861502.7,0,3,0.0061813186813186
TQBR,2021-03-25,FIXP-гдр,FIXP,15267,258655790.1,732.5,727.2,742.0,739.9,736.7,739.9,351102,736.7,736.7,739.9,258655790.1,258655790.1,258655790.1,0,3,0.0101023890784982
TQBR,2021-03-26,FIXP-гдр,FIXP,10034,129051193.5,739.9,717.0,743.5,738.7,734.9,738.7,175611,734.9,734.9,738.7,129051193.5,129051193.5,129051193.5,0,3,-0.0016218407892957
TQBR,2021-03-29,FIXP-гдр,FIXP,14736,99157008.8,741.4,733.4,741.5,739.0,739.4,739.0,134097,739.4,739.4,739.0,99157008.8,99157008.8,99157008.8,0,3,0.0004061188574522
TQBR,2021-03-30,FIXP-гдр,FIXP,9416,191388980.8,739.0,736.4,742.6,741.1,739.3,741.4,258862,739.3,739.3,741.1,191388980.8,191388980.8,191388980.8,0,3,0.0032476319350473
TQBR,2021-03-31,FIXP-гдр,FIXP,7875,58797562.9,743.0,732.9,743.0,737.0,735.4,737.0,79952,735.4,735.4,737.0,58797562.9,58797562.9,58797562.9,0,3,-0.0059347181008901
TQBR,2021-04-01,FIXP-гдр,FIXP,8934,130722784.9,737.7,736.8,744.0,743.0,741.1,743.0,176398,741.1,741.1,743.0,130722784.9,130722784.9,130722784.9,0,3,0.0081411126187245
TQBR,2021-04-02,FIXP-гдр,FIXP,5656,25000431.4,744.8,736.0,745.0,739.0,741.0,738.9,33737,741.0,741.0,739.0,25000431.4,25000431.4,25000431.4,0,3,-0.0055181695827725
