BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2020-10-28,GLTR-гдр,GLTR,2935,133316747.5,486.0,451.05,486.0,456.9,465.25,456.9,289610,460.35,460.35,456.9,133316747.5,133316747.5,133316747.5,0,3,0.0
TQBR,2020-10-29,GLTR-гдр,GLTR,1541,115996916.0,462.5,455.0,463.5,457.7,458.5,457.7,252990,458.5,458.5,457.7,115996916.0,115996916.0,115996916.0,0,3,0.001750930181659
TQBR,2020-10-30,GLTR-гдр,GLTR,1358,65681301.5,457.7,449.7,463.0,455.6,454.9,455.6,144380,454.9,454.9,455.6,65681301.5,65681301.5,65681301.5,0,3,-0.0045881581822153
TQBR,2020-11-02,GLTR-гдр,GLTR,856,37378735.0,458.55,450.1,464.75,460.9,457.7,461.25,81670,457.7,457.7,460.9,37378735.0,37378735.0,37378735.0,0,3,0.0124012291483757
TQBR,2020-11-03,GLTR-гдр,GLTR,753,37626456.0,469.9,452.4,469.9,456.65,456.0,456.65,82510,456.0,456.0,456.65,37626456.0,37626456.0,37626456.0,0,3,-0.0099728997289973
TQBR,2020-11-05,GLTR-гдр,GLTR,1533,50521266.0,460.85,450.2,460.85,451.95,453.15,451.95,111490,453.15,453.15,451.95,50521266.0,50521266.0,50521266.0,0,3,-0.0102923464360012
TQBR,2020-11-06,GLTR-гдр,GLTR,843,34359409.0,452.9,450.7,459.0,456.45,455.45,456.45,75440,455.45,455.45,456.45,34359409.0,34359409.0,34359409.0,0,3,0.0099568536342515
TQBR,2020-11-09,GLTR-гдр,GLTR,3481,85088005.0,459.95,451.25,459.95,457.0,454.3,457.0,187300,454.3,454.3,457.0,85088005.0,85088005.0,85088005.0,0,3,0.0012049512542447
TQBR,2020-11-10,GLTR-гдр,GLTR,891,43502278.0,456.9,452.55,462.05,456.0,455.2,456.0,95570,455.2,455.2,456.0,43502278.0,43502278.0,43502278.0,0,3,-0.0021881838074398
TQBR,2020-11-11,GLTR-гдр,GLTR,944,33993690.5,452.55,452.05,461.85,459.1,455.2,459.1,74680,455.2,455.2,459.1,33993690.5,33993690.5,33993690.5,0,3,0.0067982456140351
TQBR,2020-11-12,GLTR-гдр,GLTR,879,30373327.5,459.1,456.0,468.7,468.6,461.2,468.6,65860,461.2,461.2,468.6,30373327.5,30373327.5,30373327.5,0,3,0.020692659551296
TQBR,2020-11-13,GLTR-гдр,GLTR,2392,96567407.0,468.95,465.95,484.85,467.9,475.8,467.9,202940,475.85,475.85,467.9,96567407.0,96567407.0,96567407.0,0,3,-0.0014938113529663
TQBR,2020-11-16,GLTR-гдр,GLTR,2030,73659574.5,478.75,463.0,478.75,463.0,465.8,463.0,158130,465.8,465.8,463.0,73659574.5,73659574.5,73659574.5,0,3,-0.0104723231459713
TQBR,2020-11-17,GLTR-гдр,GLTR,1848,67179916.5,476.85,457.4,476.85,460.9,460.7,460.9,145820,460.7,460.7,460.9,67179916.5,67179916.5,67179916.5,0,3,-0.0045356371490281
TQBR,2020-11-18,GLTR-гдр,GLTR,1674,65949640.0,463.85,457.0,463.9,459.0,458.6,459.0,143800,458.6,458.6,459.0,65949640.0,65949640.0,65949640.0,0,3,-0.0041223692775004
TQBR,2020-11-19,GLTR-гдр,GLTR,2253,70138961.5,460.0,453.55,462.0,457.2,457.15,457.2,153420,457.15,457.15,457.2,70138961.5,70138961.5,70138961.5,0,3,-0.003921568627451
TQBR,2020-11-20,GLTR-гдр,GLTR,5003,140247583.0,459.9,447.15,459.9,448.4,450.7,448.4,311180,450.7,450.7,448.4,140247583.0,140247583.0,140247583.0,0,3,-0.0192475940507436
TQBR,2020-11-23,GLTR-гдр,GLTR,3620,118232151.5,449.7,437.0,451.85,439.0,446.15,439.0,265000,446.15,446.15,439.0,118232151.5,118232151.5,118232151.5,0,3,-0.0209634255129348
TQBR,2020-11-24,GLTR-гдр,GLTR,2008,69638624.0,439.5,437.05,444.2,440.15,440.9,440.15,157940,440.9,440.9,440.15,69638624.0,69638624.0,69638624.0,0,3,0.0026195899772209
TQBR,2020-11-25,GLTR-гдр,GLTR,1256,54603553.0,440.4,439.0,445.65,442.45,442.0,442.45,123530,442.05,442.05,442.45,54603553.0,54603553.0,54603553.0,0,3,0.0052254913097807
TQBR,2020-11-26,GLTR-гдр,GLTR,1265,45674959.5,442.45,440.0,444.95,441.65,441.7,441.65,103410,441.7,441.7,441.65,45674959.5,45674959.5,45674959.5,0,3,-0.0018081139111764
TQBR,2020-11-27,GLTR-гдр,GLTR,1966,98828734.0,444.85,442.2,452.0,449.9,450.05,449.9,220460,448.3,448.3,449.9,98828734.0,98828734.0,98828734.0,0,3,0.0186799501867995
TQBR,2020-11-30,GLTR-гдр,GLTR,1881,69021687.0,450.0,442.6,453.15,443.95,447.35,443.95,154290,447.35,447.35,443.95,69021687.0,69021687.0,69021687.0,0,3,-0.0132251611469215
TQBR,2020-12-01,GLTR-гдр,GLTR,5009,193286528.0,450.0,435.0,450.0,436.55,438.2,436.55,441070,438.2,438.2,436.55,193286528.0,193286528.0,193286528.0,0,3,-0.0166685437549273
TQBR,2020-12-02,GLTR-гдр,GLTR,2205,63952659.0,436.5,433.9,437.7,434.1,435.45,434.5,146860,435.45,435.45,434.1,63952659.0,63952659.0,63952659.0,0,3,-0.0046959111212919
TQBR,2020-12-03,GLTR-гдр,GLTR,1531,71947804.5,435.0,434.3,440.6,437.0,438.15,437.0,164210,438.15,438.15,437.0,71947804.5,71947804.5,71947804.5,0,3,0.0057537399309551
TQBR,2020-12-04,GLTR-гдр,GLTR,1619,58837559.5,438.95,435.6,441.15,437.1,439.0,437.1,134030,439.0,439.0,437.1,58837559.5,58837559.5,58837559.5,0,3,0.0002288329519451
TQBR,2020-12-07,GLTR-гдр,GLTR,1759,52421518.0,440.0,439.0,446.35,442.1,442.55,442.1,118450,442.55,442.55,442.1,52421518.0,52421518.0,52421518.0,0,3,0.0114390299702585
TQBR,2020-12-08,GLTR-гдр,GLTR,1635,75096994.0,442.0,439.0,448.8,440.9,444.2,440.9,169060,444.2,444.2,440.9,75096994.0,75096994.0,75096994.0,0,3,-0.0027143180275956
TQBR,2020-12-09,GLTR-гдр,GLTR,1079,32299751.5,442.0,440.0,443.9,442.4,438.35,442.4,73140,441.6,441.6,442.4,32299751.5,32299751.5,32299751.5,0,3,0.0034021320027217
TQBR,2020-12-10,GLTR-гдр,GLTR,793,24024854.0,442.4,441.0,443.15,443.0,441.6,443.0,54400,441.65,441.65,443.0,24024854.0,24024854.0,24024854.0,0,3,0.0013562386980109
TQBR,2020-12-11,GLTR-гдр,GLTR,1197,57638450.5,444.45,440.0,448.45,447.15,444.65,447.15,129630,444.65,444.65,447.15,57638450.5,57638450.5,57638450.5,0,3,0.0093679458239277
TQBR,2020-12-14,GLTR-гдр,GLTR,1089,30790274.5,449.65,444.0,449.65,445.0,446.25,445.0,69000,446.25,446.25,445.0,30790274.5,30790274.5,30790274.5,0,3,-0.0048082299004807
TQBR,2020-12-15,GLTR-гдр,GLTR,1095,32313995.0,446.0,442.2,448.2,443.7,443.45,443.7,72870,443.45,443.45,443.7,32313995.0,32313995.0,32313995.0,0,3,-0.0029213483146067
TQBR,2020-12-16,GLTR-гдр,GLTR,932,29507178.5,443.1,441.2,446.65,445.45,444.45,445.45,66390,444.45,444.45,445.45,29507178.5,29507178.5,29507178.5,0,3,0.0039441063781834
TQBR,2020-12-17,GLTR-гдр,GLTR,2158,127108090.5,446.0,440.0,451.0,449.1,443.7,449.1,286470,443.7,443.7,449.1,127108090.5,127108090.5,127108090.5,0,3,0.008193961162869
TQBR,2020-12-18,GLTR-гдр,GLTR,1070,66669080.0,448.5,441.0,448.5,443.3,443.5,443.3,150320,443.5,443.5,443.3,66669080.0,66669080.0,66669080.0,0,3,-0.0129147183255399
TQBR,2020-12-21,GLTR-гдр,GLTR,2227,76116167.0,445.95,433.7,445.95,441.05,438.25,440.0,173680,438.05,438.05,441.05,71310641.0,71310641.0,71310641.0,0,3,-0.0074441687344913
TQBR,2020-12-22,GLTR-гдр,GLTR,985,36861847.5,440.65,434.9,446.3,444.85,442.8,445.2,83250,442.75,442.75,444.85,35127607.5,35127607.5,35127607.5,0,3,0.0118181818181817
TQBR,2020-12-23,GLTR-гдр,GLTR,885,40096956.5,440.45,440.4,449.0,443.0,443.5,443.65,90410,443.55,443.55,443.0,38859151.5,38859151.5,38859151.5,0,3,-0.00348158131177
TQBR,2020-12-24,GLTR-гдр,GLTR,855,28907910.5,445.95,439.9,445.95,443.6,442.3,441.8,65360,442.3,442.3,443.6,23756107.5,23756107.5,23756107.5,0,3,-0.0041699537924038
TQBR,2020-12-25,GLTR-гдр,GLTR,644,49209534.5,440.05,439.9,446.5,445.25,443.85,446.0,110870,443.85,443.85,445.25,48439441.0,48439441.0,48439441.0,0,3,0.0095065640561339
TQBR,2020-12-28,GLTR-гдр,GLTR,938,39715818.5,443.7,443.7,449.3,447.35,447.15,448.0,88820,447.15,447.15,447.35,35766457.5,35766457.5,35766457.5,0,3,0.0044843049327354
TQBR,2020-12-29,GLTR-гдр,GLTR,2110,84999871.0,447.0,447.0,456.0,452.0,452.3,453.0,187920,452.25,452.25,452.0,80498068.5,80498068.5,80498068.5,0,3,0.0111607142857142
TQBR,2020-12-30,GLTR-гдр,GLTR,2481,100325322.0,453.0,452.3,458.0,455.25,456.4,455.75,219810,456.55,456.55,455.25,91578988.0,91578988.0,91578988.0,0,3,0.0060706401766004
TQBR,2021-01-04,GLTR-гдр,GLTR,2639,95708528.0,457.0,450.5,462.0,460.4,456.9,458.0,209470,456.85,456.85,460.4,87605390.5,87605390.5,87605390.5,0,3,0.0049369171695008
TQBR,2021-01-05,GLTR-гдр,GLTR,1375,31698807.0,460.8,458.1,465.0,462.7,462.5,465.0,68540,462.3,462.3,462.7,27091882.0,27091882.0,27091882.0,0,3,0.0152838427947598
TQBR,2021-01-06,GLTR-гдр,GLTR,1909,66530057.0,464.5,460.0,466.05,463.0,459.0,463.3,143970,462.05,462.05,463.0,64502257.5,64502257.5,64502257.5,0,3,-0.0036559139784945
TQBR,2021-01-08,GLTR-гдр,GLTR,2629,89731712.5,467.0,464.6,482.0,479.0,473.95,477.0,189320,473.3,473.3,479.0,80245655.0,80245655.0,80245655.0,0,3,0.0295704726958773
TQBR,2021-01-11,GLTR-гдр,GLTR,3488,109033005.0,479.9,476.0,492.9,479.8,484.75,492.9,224920,484.85,484.85,479.8,100315472.5,100315472.5,100315472.5,0,3,0.0333333333333332
TQBR,2021-01-12,GLTR-гдр,GLTR,5467,166704984.0,488.4,479.0,499.95,484.95,487.8,485.5,341760,488.8,488.8,484.95,142462138.0,142462138.0,142462138.0,0,3,-0.0150131872590788
TQBR,2021-01-13,GLTR-гдр,GLTR,2921,65455466.5,487.55,478.5,492.4,485.2,484.75,484.2,135030,485.0,485.0,485.2,60110013.0,60110013.0,60110013.0,0,3,-0.0026776519052523
TQBR,2021-01-14,GLTR-гдр,GLTR,2656,90041613.5,488.9,482.2,496.45,495.8,490.75,491.0,183490,490.55,490.55,495.8,80348359.5,80348359.5,80348359.5,0,3,0.0140437835605122
TQBR,2021-01-15,GLTR-гдр,GLTR,3148,86447895.0,494.05,492.05,506.5,501.0,500.7,500.2,172660,500.65,500.65,501.0,78399870.0,78399870.0,78399870.0,0,3,0.0187372708757637
TQBR,2021-01-18,GLTR-гдр,GLTR,4078,103662631.5,503.9,501.1,530.0,507.6,510.25,516.95,203160,510.1,510.1,507.6,96717300.0,96717300.0,96717300.0,0,3,0.0334866053578569
TQBR,2021-01-19,GLTR-гдр,GLTR,3773,112634256.0,518.9,507.55,525.4,515.9,516.15,517.05,218210,516.25,516.25,515.9,103622079.5,103622079.5,103622079.5,0,3,0.0001934423058321
TQBR,2021-01-20,GLTR-гдр,GLTR,2783,108460961.5,511.6,511.6,528.0,522.95,521.8,528.0,207850,521.45,521.45,522.95,96002655.5,96002655.5,96002655.5,0,3,0.0211778357992458
TQBR,2021-01-21,GLTR-гдр,GLTR,5999,192911553.0,529.9,512.8,548.4,534.9,528.85,547.0,364780,526.75,526.75,534.9,165821802.5,165821802.5,165821802.5,0,3,0.0359848484848484
TQBR,2021-01-22,GLTR-гдр,GLTR,5553,200743451.0,540.0,523.0,544.8,529.0,528.3,537.0,379940,527.95,527.95,529.0,173070572.0,173070572.0,173070572.0,0,3,-0.0182815356489945
TQBR,2021-01-25,GLTR-гдр,GLTR,3258,80791150.0,536.0,510.0,542.0,530.8,530.9,532.6,152180,532.65,532.65,530.8,65790399.5,65790399.5,65790399.5,0,3,-0.008193668528864
TQBR,2021-01-26,GLTR-гдр,GLTR,1954,51955230.5,530.8,523.0,531.65,525.0,526.3,525.5,98660,526.8,526.8,525.0,47300923.0,47300923.0,47300923.0,0,3,-0.0133308298911003
TQBR,2021-01-27,GLTR-гдр,GLTR,3662,99922227.0,527.0,509.4,528.5,514.6,516.05,511.55,193730,516.2,516.2,514.6,86370391.0,86370391.0,86370391.0,0,3,-0.026546146527117
TQBR,2021-01-28,GLTR-гдр,GLTR,4078,192770671.0,511.55,501.1,530.0,509.1,512.65,511.5,376030,512.7,512.7,509.1,186171067.0,186171067.0,186171067.0,0,3,-9.77421561919878e-05
TQBR,2021-01-29,GLTR-гдр,GLTR,1854,67493401.5,512.85,506.3,520.15,515.1,515.05,512.45,131040,515.35,515.35,515.1,62305914.0,62305914.0,62305914.0,0,3,0.0018572825024438
TQBR,2021-02-01,GLTR-гдр,GLTR,2323,59402016.5,513.0,508.0,521.0,510.5,514.25,511.15,115510,514.6,514.6,510.5,52688906.5,52688906.5,52688906.5,0,3,-0.0025368328617427
TQBR,2021-02-02,GLTR-гдр,GLTR,2064,57913112.5,512.2,507.0,520.0,511.95,512.45,512.15,113010,512.5,512.5,511.95,54677669.0,54677669.0,54677669.0,0,3,0.0019563728846718
TQBR,2021-02-03,GLTR-гдр,GLTR,1649,47882071.5,513.0,508.4,518.95,511.15,512.45,512.5,93440,512.45,512.45,511.15,42440849.0,42440849.0,42440849.0,0,3,0.0006833935370497
TQBR,2021-02-04,GLTR-гдр,GLTR,2359,101002801.5,510.6,505.1,514.4,507.5,510.6,512.1,197810,510.65,510.65,507.5,92119727.5,92119727.5,92119727.5,0,3,-0.000780487804878
TQBR,2021-02-05,GLTR-гдр,GLTR,2340,94142289.5,509.4,505.05,511.65,511.3,508.3,509.0,185210,508.3,508.3,511.3,89157507.0,89157507.0,89157507.0,0,3,-0.0060535051747705
TQBR,2021-02-08,GLTR-гдр,GLTR,3597,131029011.5,513.15,510.6,518.9,516.25,516.3,518.5,253770,516.35,516.35,516.25,122659046.0,122659046.0,122659046.0,0,3,0.018664047151277
TQBR,2021-02-09,GLTR-гдр,GLTR,2970,94363099.0,518.5,510.2,522.0,511.65,513.55,514.2,183740,513.65,513.65,511.65,82932021.0,82932021.0,82932021.0,0,3,-0.0082931533269044
TQBR,2021-02-10,GLTR-гдр,GLTR,3818,137054320.5,517.3,505.0,517.35,505.35,508.2,507.5,269680,508.25,508.25,505.35,125551661.0,125551661.0,125551661.0,0,3,-0.0130299494360172
TQBR,2021-02-11,GLTR-гдр,GLTR,1892,53306387.5,511.4,500.45,511.4,505.9,505.5,505.4,105450,505.8,505.8,505.9,44524378.0,44524378.0,44524378.0,0,3,-0.0041379310344828
TQBR,2021-02-12,GLTR-гдр,GLTR,2738,80376437.5,504.85,496.8,507.85,502.85,501.55,506.7,160250,501.3,501.3,502.85,74168255.5,74168255.5,74168255.5,0,3,0.0025722200237435
TQBR,2021-02-15,GLTR-гдр,GLTR,3927,115065070.5,509.4,499.1,509.85,502.75,501.65,504.8,229380,501.5,501.5,502.75,107895781.5,107895781.5,107895781.5,0,3,-0.0037497533057035
TQBR,2021-02-16,GLTR-гдр,GLTR,1987,58983162.0,502.75,500.7,508.95,503.85,504.0,503.95,117030,504.05,504.05,503.85,51581903.5,51581903.5,51581903.5,0,3,-0.0016838351822504
TQBR,2021-02-17,GLTR-гдр,GLTR,2171,86210929.5,504.7,497.0,506.0,500.1,501.6,500.0,171870,501.95,501.95,500.1,75619174.0,75619174.0,75619174.0,0,3,-0.0078380791745212
TQBR,2021-02-18,GLTR-гдр,GLTR,2726,64889924.0,501.0,495.0,502.1,495.0,497.9,498.2,130320,497.85,497.85,495.0,57305172.0,57305172.0,57305172.0,0,3,-0.0036
TQBR,2021-02-19,GLTR-гдр,GLTR,3559,109535594.5,498.45,490.5,500.0,491.8,493.7,496.5,221870,493.55,493.55,491.8,96150901.0,96150901.0,96150901.0,0,3,-0.0034122842232035
TQBR,2021-02-20,GLTR-гдр,GLTR,938,19674958.0,497.3,495.2,501.5,501.0,499.1,501.0,39420,498.9,498.9,501.0,17217517.0,17217517.0,17217517.0,0,3,0.0090634441087613
TQBR,2021-02-22,GLTR-гдр,GLTR,3286,109350059.0,504.55,484.6,504.95,491.65,493.95,493.45,221380,494.75,494.75,491.65,90815315.5,90815315.5,90815315.5,0,3,-0.0150698602794411
TQBR,2021-02-24,GLTR-гдр,GLTR,3048,92344176.5,493.0,486.0,498.0,496.0,491.45,493.0,187900,491.3,491.3,496.0,81158744.5,81158744.5,81158744.5,0,3,-0.0009119464991386
TQBR,2021-02-25,GLTR-гдр,GLTR,2277,89475463.0,499.35,490.05,500.0,497.5,495.05,494.4,180750,494.5,494.5,497.5,73046713.5,73046713.5,73046713.5,0,3,0.002839756592292
TQBR,2021-02-26,GLTR-гдр,GLTR,2788,80505534.0,493.05,489.1,503.35,497.65,497.8,498.05,161730,497.95,497.95,497.65,74333434.0,74333434.0,74333434.0,0,3,0.0073826860841424
TQBR,2021-03-01,GLTR-гдр,GLTR,2759,84274938.0,501.05,499.0,510.8,507.35,506.55,509.4,166360,506.4,506.4,507.35,78537800.5,78537800.5,78537800.5,0,3,0.0227888766188133
TQBR,2021-03-02,GLTR-гдр,GLTR,2706,129496687.0,510.0,500.5,515.15,504.65,507.85,505.0,254910,509.3,509.3,504.65,98100541.0,98100541.0,98100541.0,0,3,-0.0086376128778955
TQBR,2021-03-03,GLTR-гдр,GLTR,2008,82453828.5,506.9,501.15,509.1,504.6,505.1,504.7,163250,505.55,505.55,504.6,62174444.0,62174444.0,62174444.0,0,3,-0.0005940594059406
TQBR,2021-03-04,GLTR-гдр,GLTR,1957,54211380.0,504.65,501.55,509.5,505.35,505.2,502.05,107300,505.55,505.55,505.35,40542023.5,40542023.5,40542023.5,0,3,-0.0052506439468991
TQBR,2021-03-05,GLTR-гдр,GLTR,1607,57289146.0,507.4,502.0,508.35,506.0,506.2,506.4,113170,506.35,506.35,506.0,52323672.0,52323672.0,52323672.0,0,3,0.0086644756498356
TQBR,2021-03-09,GLTR-гдр,GLTR,2220,71776190.0,506.0,491.0,511.4,506.1,506.45,507.0,141720,507.8,507.8,506.1,54319654.5,54319654.5,54319654.5,0,3,0.0011848341232227
