BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,ГМКНорНик,GMKN,8870,1496171686,6974.0,6971.0,7076.0,7029,7030.0,7029.0,212826,7030.0,7030,7030.0,1496018258,1496018258,1496018258.0,,3,0.0
TQBR,2014-06-10,ГМКНорНик,GMKN,11334,1441391215,7069.0,6900.0,7069.0,6900,6943.0,6900.0,207612,6943.0,6943,6943.0,1439567413,1439567413,1439567413.0,,3,-0.0183525394793
TQBR,2014-06-11,ГМКНорНик,GMKN,10938,1434679352,6895.0,6861.0,6940.0,6940,6907.0,6940.0,207715,6907.0,6907,6907.0,1434548347,1434548347,1434548347.0,,3,0.0057971014492753
TQBR,2014-06-16,ГМКНорНик,GMKN,21904,3453075583,6700.0,6548.0,6700.0,6649,6635.0,6649.0,520423,6635.0,6635,6635.0,3436895083,3436895083,3436895083.0,,3,-0.0419308357348703
TQBR,2014-06-17,ГМКНорНик,GMKN,9859,1448175391,6640.0,6550.0,6682.0,6622,6605.0,6622.0,219261,6605.0,6605,6605.0,1448035951,1448035951,1448035951.0,,3,-0.0040607610166942
TQBR,2014-06-18,ГМКНорНик,GMKN,12583,1860722819,6614.0,6586.0,6801.0,6780,6727.0,6780.0,276596,6727.0,6727,6727.0,1860531013,1860531013,1860531013.0,,3,0.0238598610691633
TQBR,2014-06-19,ГМКНорНик,GMKN,11281,1286147858,6845.0,6797.0,6895.0,6839,6838.0,6839.0,188079,6838.0,6838,6838.0,1284772013,1284772013,1284772013.0,,3,0.0087020648967551
TQBR,2014-06-20,ГМКНорНик,GMKN,12944,1701756230,6855.0,6805.0,6924.0,6865,6880.0,6865.0,247349,6880.0,6880,6880.0,1701619130,1701619130,1701619130.0,,3,0.00380172539845
TQBR,2014-06-23,ГМКНорНик,GMKN,11871,1347070053,6887.0,6821.0,6940.0,6899,6888.0,6899.0,195573,6888.0,6888,6888.0,1346567302,1346567302,1346567302.0,,3,0.0049526584122359
TQBR,2014-06-24,ГМКНорНик,GMKN,10707,1318492778,6909.0,6848.0,6925.0,6895,6883.0,6895.0,191568,6883.0,6883,6883.0,1318009148,1318009148,1318009148.0,,3,-0.0005797941730685
