BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2017-10-23,ГТМ ао,GTRK,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2017-10-24,ГТМ ао,GTRK,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2017-10-25,ГТМ ао,GTRK,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2017-10-26,ГТМ ао,GTRK,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2017-10-27,ГТМ ао,GTRK,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2017-10-30,ГТМ ао,GTRK,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2017-10-31,ГТМ ао,GTRK,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2017-11-01,ГТМ ао,GTRK,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2017-11-02,ГТМ ао,GTRK,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2017-11-03,ГТМ ао,GTRK,22,722586.4,135.0,133.0,135.0,133.25,133.32,133.25,5420,133.32,133.32,133.25,722586.4,722586.4,722586.4,,3,0.0
TQBR,2017-11-07,ГТМ ао,GTRK,23,13588045.8,136.0,131.5,136.0,132.0,131.81,132.0,103090,131.81,131.81,132.0,13588045.8,13588045.8,13588045.8,,3,-0.0093808630393996
TQBR,2017-11-08,ГТМ ао,GTRK,6,922890.0,132.0,132.0,133.0,133.0,132.0,133.0,6990,131.82,132.33,133.0,14510935.8,1472870.1,14510935.8,,3,0.0075757575757575
TQBR,2017-11-09,ГТМ ао,GTRK,19,10170581.2,132.01,131.0,132.01,132.0,132.0,132.0,77050,132.0,132.0,132.0,10170581.2,10170581.2,10170581.2,,3,-0.0075187969924812
TQBR,2017-11-10,ГТМ ао,GTRK,15,3338319.8,132.0,132.0,133.0,132.0,132.0,132.0,25290,132.0,132.0,132.0,3338319.8,3338319.8,3338319.8,,3,0.0
TQBR,2017-11-13,ГТМ ао,GTRK,16,19279606.1,132.01,130.0,132.99,132.99,130.44,132.99,147800,130.44,130.44,132.99,19279606.1,19279606.1,19279606.1,,3,0.0075
TQBR,2017-11-14,ГТМ ао,GTRK,8,1323149.8,131.01,131.0,132.47,132.23,131.0,132.47,10100,130.48,130.17,132.23,20602755.9,7824479.7,20602755.9,,3,-0.0039100684261975
TQBR,2017-11-15,ГТМ ао,GTRK,30,37843046.3,134.0,127.0,134.0,130.0,128.52,130.0,294460,128.52,128.52,130.0,37843046.3,37843046.3,37843046.3,,3,-0.0186457311089303
TQBR,2017-11-16,ГТМ ао,GTRK,3,358824.9,130.0,130.0,132.49,132.49,130.01,132.49,2760,128.53,127.36,132.49,38201871.2,13642543.6,38201871.2,,3,0.0191538461538462
TQBR,2017-11-17,ГТМ ао,GTRK,15,3523812.3,132.4,130.0,132.5,130.0,130.08,130.0,27090,130.08,130.08,130.0,3523812.3,3523812.3,3523812.3,,3,-0.018793871235565
TQBR,2017-11-20,ГТМ ао,GTRK,5,147830.0,131.0,131.0,132.0,132.0,131.99,132.0,1120,130.15,130.08,132.0,3671642.3,3546041.4,3671642.3,,3,0.0153846153846153
TQBR,2017-11-21,ГТМ ао,GTRK,8,3333080.9,133.11,131.11,133.11,131.11,132.0,131.11,25250,132.0,132.0,131.11,3480910.9,3474320.9,3480910.9,,3,-0.0067424242424241
TQBR,2017-11-22,ГТМ ао,GTRK,8,4297319.5,132.5,131.0,132.5,131.05,131.78,132.49,32610,131.88,131.78,131.05,7630400.4,4301270.6,7630400.4,,3,0.0105255129280756
TQBR,2017-11-23,ГТМ ао,GTRK,16,3957875.0,132.0,132.0,135.0,132.0,132.19,132.0,29940,132.19,132.19,132.0,3957875.0,3957875.0,3957875.0,,3,-0.0036983923314967
TQBR,2017-11-24,ГТМ ао,GTRK,3,26450.0,132.0,132.0,133.0,133.0,132.25,133.0,200,132.19,132.07,133.0,3984325.0,3209290.0,3984325.0,,3,0.0075757575757575
TQBR,2017-11-27,ГТМ ао,GTRK,5,3362442.7,134.0,132.0,134.0,132.02,132.02,132.0,25470,132.11,132.02,132.02,7346767.7,3606692.7,7346767.7,,3,-0.0075187969924812
TQBR,2017-11-28,ГТМ ао,GTRK,7,12590802.2,132.0,131.0,132.0,131.0,131.79,131.0,95540,131.83,131.83,131.0,15953244.9,15893442.4,15953244.9,,3,-0.0075757575757575
TQBR,2017-11-29,ГТМ ао,GTRK,8,8639480.1,132.0,132.0,134.0,132.0,132.0,132.0,65450,131.87,131.76,132.0,21230282.3,11321051.1,21230282.3,,3,0.0076335877862595
TQBR,2017-11-30,ГТМ ао,GTRK,8,8442781.9,132.0,132.0,135.0,132.0,132.02,132.0,63950,132.01,132.02,132.0,17082262.0,11132941.9,17082262.0,,3,0.0
TQBR,2017-12-01,ГТМ ао,GTRK,10,7921348.2,132.02,132.0,134.0,132.0,132.0,132.0,60010,132.0,132.0,132.0,7921348.2,7921348.2,7921348.2,,3,0.0
TQBR,2017-12-04,ГТМ ао,GTRK,1,13200.0,132.0,132.0,132.0,132.0,132.0,132.0,100,132.0,132.0,132.0,7934548.2,7933228.0,7934548.2,,3,0.0
TQBR,2017-12-05,ГТМ ао,GTRK,2,33400.0,133.0,133.0,136.0,133.6,133.6,136.0,250,132.01,132.03,133.6,7967948.2,2027947.2,7967948.2,,3,0.0303030303030303
TQBR,2017-12-06,ГТМ ао,GTRK,0,0.0,,,,133.6,,,0,132.01,132.03,133.6,16410730.1,2027947.2,16410730.1,,3,0.0
TQBR,2017-12-07,ГТМ ао,GTRK,2,2698.5,134.93,134.92,134.93,134.92,134.93,134.92,20,132.01,132.03,134.92,7970646.7,2027985.5,7970646.7,,3,0.0
TQBR,2017-12-08,ГТМ ао,GTRK,1,53436.0,133.59,133.59,133.59,133.59,133.59,133.59,400,131.94,132.07,133.59,41059589.6,2080101.3,41059589.6,,3,-0.009857693447969
TQBR,2017-12-11,ГТМ ао,GTRK,5,125500.0,133.0,133.0,141.0,141.0,133.51,141.0,940,,132.16,141.0,0.0,2117154.5,0.0,,3,0.0554682236694363
TQBR,2017-12-12,ГТМ ао,GTRK,7,134601.0,133.0,133.0,134.0,133.26,133.27,133.0,1010,,132.22,133.26,0.0,2251755.5,0.0,,3,-0.0567375886524822
TQBR,2017-12-13,ГТМ ао,GTRK,3,273242.0,132.01,132.0,132.01,132.0,132.0,132.0,2070,,132.67,132.0,0.0,533343.0,0.0,,3,-0.0075187969924812
TQBR,2017-12-14,ГТМ ао,GTRK,8,531505.2,133.0,133.0,135.24,133.0,133.88,133.0,3970,133.24,133.28,133.0,804747.2,778345.2,804747.2,,3,0.0075757575757575
TQBR,2017-12-15,ГТМ ао,GTRK,3,402600.0,134.2,134.2,134.2,134.2,134.2,134.2,3000,134.02,134.05,134.2,934105.2,907505.2,934105.2,,3,0.0090225563909773
TQBR,2017-12-18,ГТМ ао,GTRK,2,47859.1,132.89,132.89,133.0,133.0,132.94,133.0,360,133.97,133.99,133.0,981964.3,951334.3,981964.3,,3,-0.0089418777943367
TQBR,2017-12-19,ГТМ ао,GTRK,8,198065.9,133.0,132.0,133.0,132.5,132.04,132.5,1500,,133.24,132.5,0.0,514325.0,0.0,,3,-0.0037593984962406
TQBR,2017-12-20,ГТМ ао,GTRK,7,82092.0,132.0,132.0,133.0,132.93,132.41,133.0,620,,133.13,132.93,0.0,596417.0,0.0,,3,0.0037735849056603
TQBR,2017-12-21,ГТМ ао,GTRK,0,0.0,,,,132.93,,,0,,133.13,132.93,0.0,596417.0,0.0,,3,0.0
TQBR,2017-12-22,ГТМ ао,GTRK,2,150493.2,132.0,132.0,133.32,133.32,132.01,133.32,1140,,132.62,133.32,0.0,612710.2,0.0,,3,0.0
TQBR,2017-12-25,ГТМ ао,GTRK,1,6700.0,134.0,134.0,134.0,134.0,134.0,134.0,50,,132.64,134.0,0.0,619410.2,0.0,,3,0.0051005100510051
TQBR,2017-12-26,ГТМ ао,GTRK,1,2660.0,133.0,133.0,133.0,133.0,133.0,133.0,20,,132.64,133.0,0.0,622070.2,0.0,,3,-0.0074626865671641
TQBR,2017-12-27,ГТМ ао,GTRK,1,458850.0,133.0,133.0,133.0,133.0,133.0,133.0,3450,133.3,132.77,133.0,1880825.4,657235.2,1880825.4,,3,0.0
TQBR,2017-12-28,ГТМ ао,GTRK,22,1166424.3,133.5,133.0,135.18,133.0,133.92,133.0,8710,133.92,133.92,133.0,1166424.3,1166424.3,1166424.3,,3,0.0
TQBR,2017-12-29,ГТМ ао,GTRK,4,27956.9,133.1,133.0,134.2,134.2,133.13,134.2,210,133.9,133.83,134.2,1194381.2,519272.7,1194381.2,,3,0.0090225563909773
TQBR,2018-01-03,ГТМ ао,GTRK,1,18620.0,133.0,133.0,133.0,133.0,133.0,133.0,140,133.89,133.8,133.0,1213001.2,537892.7,1213001.2,,3,-0.0089418777943367
TQBR,2018-01-04,ГТМ ао,GTRK,0,0.0,,,,133.0,,,0,133.64,133.8,133.0,1671851.2,537892.7,1671851.2,,3,0.0
TQBR,2018-01-05,ГТМ ао,GTRK,1,13300.0,133.0,133.0,133.0,133.0,133.0,133.0,100,133.88,133.78,133.0,1226301.2,551192.7,1226301.2,,3,0.0
TQBR,2018-01-09,ГТМ ао,GTRK,10,329229.7,133.0,133.0,134.2,134.2,133.29,134.2,2470,,133.17,134.2,0.0,597916.6,0.0,,3,0.0090225563909773
TQBR,2018-01-10,ГТМ ао,GTRK,0,0.0,,,,134.2,,,0,,133.17,134.2,0.0,597916.6,0.0,,3,0.0
TQBR,2018-01-11,ГТМ ао,GTRK,0,0.0,,,,134.2,,,0,,133.17,134.2,0.0,597916.6,0.0,,3,0.0
TQBR,2018-01-12,ГТМ ао,GTRK,2,6609.4,132.9,132.01,132.9,132.19,132.19,132.01,50,,133.16,132.19,0.0,604526.0,0.0,,3,0.0
TQBR,2018-01-15,ГТМ ао,GTRK,2,2670.1,133.5,133.5,133.51,133.51,133.51,133.51,20,,133.16,133.51,0.0,607196.1,0.0,,3,0.011362775547307
TQBR,2018-01-16,ГТМ ао,GTRK,0,0.0,,,,133.51,,,0,,133.16,133.51,0.0,607196.1,0.0,,3,0.0
TQBR,2018-01-17,ГТМ ао,GTRK,4,341469.8,134.19,132.81,134.19,133.45,132.87,133.45,2570,133.07,133.07,133.45,711899.0,637419.0,711899.0,,3,0.0
TQBR,2018-01-18,ГТМ ао,GTRK,14,3047224.0,134.19,132.0,134.19,132.1,132.26,132.95,23040,132.26,132.26,132.1,3047224.0,3047224.0,3047224.0,,3,-0.0037467216185837
TQBR,2018-01-19,ГТМ ао,GTRK,16,201356.8,133.41,133.0,133.85,133.0,133.35,133.0,1510,,132.35,133.0,0.0,997900.1,0.0,,3,0.0003760812335465
TQBR,2018-01-22,ГТМ ао,GTRK,5,8011.9,133.0,133.0,133.99,133.57,133.53,133.5,60,,132.36,133.57,0.0,1005912.0,0.0,,3,0.0037593984962406
TQBR,2018-01-23,ГТМ ао,GTRK,12,2172052.0,133.9,133.0,134.2,133.75,133.83,133.75,16230,133.83,133.83,133.75,2172052.0,2172052.0,2172052.0,,3,0.0018726591760299
TQBR,2018-01-24,ГТМ ао,GTRK,2,2670.0,133.5,133.5,133.5,133.5,133.5,133.5,20,133.83,133.72,133.5,2174722.0,1275712.0,2174722.0,,3,-0.0018691588785046
TQBR,2018-01-25,ГТМ ао,GTRK,25,300608.7,134.19,133.75,136.0,136.0,134.2,136.0,2240,,133.6,136.0,0.0,724125.7,0.0,,3,0.0187265917602996
TQBR,2018-01-26,ГТМ ао,GTRK,1,404010.0,134.67,134.67,134.67,134.67,134.67,134.67,3000,134.47,134.58,134.67,704618.7,503319.8,704618.7,,3,-0.0097794117647059
TQBR,2018-01-29,ГТМ ао,GTRK,0,0.0,,,,134.67,,,0,134.47,134.58,134.67,704618.7,503319.8,704618.7,,3,0.0
TQBR,2018-01-30,ГТМ ао,GTRK,1,27200.0,136.0,136.0,136.0,136.0,136.0,136.0,200,134.52,134.67,136.0,734488.7,503679.8,734488.7,,3,0.0
TQBR,2018-01-31,ГТМ ао,GTRK,6,23104.8,136.0,135.0,136.0,135.98,135.91,135.98,170,134.57,134.75,135.98,754923.5,506654.6,754923.5,,3,-0.0001470588235294
TQBR,2018-02-01,ГТМ ао,GTRK,10,57110.0,136.0,135.0,136.0,135.0,136.0,135.0,420,,134.9,135.0,0.0,511424.8,0.0,,3,-0.0072069421973818
TQBR,2018-02-02,ГТМ ао,GTRK,4,137360.0,136.0,136.0,136.0,136.0,136.0,136.0,1010,,135.2,136.0,0.0,648784.8,0.0,,3,0.0074074074074074
TQBR,2018-02-05,ГТМ ао,GTRK,4,6800.0,136.0,136.0,136.0,136.0,136.0,136.0,50,,135.2,136.0,0.0,655584.8,0.0,,3,0.0
TQBR,2018-02-06,ГТМ ао,GTRK,6,514093.0,134.7,134.0,136.0,134.0,134.2,134.0,3830,134.3,134.3,134.0,520893.0,520893.0,520893.0,,3,-0.0147058823529411
TQBR,2018-02-07,ГТМ ао,GTRK,4,239443.0,135.3,133.0,135.3,133.4,135.3,133.0,1770,134.6,134.6,133.4,753536.0,753536.0,753536.0,,3,-0.0074626865671641
TQBR,2018-02-08,ГТМ ао,GTRK,0,0.0,,,,133.4,,,0,134.6,134.6,133.4,753536.0,753536.0,753536.0,,3,0.0
TQBR,2018-02-09,ГТМ ао,GTRK,0,0.0,,,,133.4,,,0,134.6,134.6,133.4,760336.0,753536.0,760336.0,,3,0.0
TQBR,2018-02-12,ГТМ ао,GTRK,0,0.0,,,,133.4,,,0,134.6,134.6,133.4,753536.0,753536.0,753536.0,,3,0.0
TQBR,2018-02-13,ГТМ ао,GTRK,9,1017000.0,134.0,134.0,136.0,136.0,135.6,136.0,7500,135.5,135.6,136.0,1256443.0,1018330.0,1256443.0,,3,0.0
TQBR,2018-02-14,ГТМ ао,GTRK,3,98920.0,135.5,135.5,136.0,136.0,135.5,136.0,730,135.6,135.7,136.0,1115920.0,1048920.0,1115920.0,,3,0.0
TQBR,2018-02-15,ГТМ ао,GTRK,0,0.0,,,,136.0,,,0,135.6,135.7,136.0,1115920.0,1048920.0,1115920.0,,3,0.0
TQBR,2018-02-16,ГТМ ао,GTRK,1,1370.0,137.0,137.0,137.0,137.0,137.0,137.0,10,135.6,135.9,137.0,1117290.0,916290.0,1117290.0,,3,0.0
TQBR,2018-02-19,ГТМ ао,GTRK,3,413911.0,135.7,135.7,137.0,137.0,135.7,137.0,3050,135.6,135.8,137.0,1531201.0,922201.0,1531201.0,,3,0.0
TQBR,2018-02-20,ГТМ ао,GTRK,7,683100.0,138.0,138.0,138.0,138.0,138.0,138.0,4950,137.1,137.1,138.0,1097011.0,1097011.0,1097011.0,,3,0.0072992700729927
TQBR,2018-02-21,ГТМ ао,GTRK,13,806300.0,139.0,139.0,140.0,140.0,139.0,140.0,5800,139.0,139.0,140.0,806300.0,806300.0,806300.0,,3,0.0144927536231884
TQBR,2018-02-22,ГТМ ао,GTRK,6,480068.0,138.7,138.7,139.1,139.0,138.8,139.0,3460,138.9,138.8,139.0,1286368.0,514918.0,1286368.0,,3,-0.0071428571428571
TQBR,2018-02-26,ГТМ ао,GTRK,17,391981.0,135.0,133.0,138.9,138.3,136.1,138.9,2880,,137.5,138.3,0.0,872049.0,0.0,,3,-0.0007194244604316
TQBR,2018-02-27,ГТМ ао,GTRK,3,120190.0,139.0,138.0,139.0,139.0,138.2,139.0,870,136.6,136.6,139.0,512171.0,505473.0,512171.0,,3,0.0007199424046075
TQBR,2018-02-28,ГТМ ао,GTRK,0,0.0,,,,139.0,,,0,136.6,136.6,139.0,512171.0,505473.0,512171.0,,3,0.0
TQBR,2018-03-01,ГТМ ао,GTRK,2,4155.0,137.5,137.5,139.0,139.0,138.5,139.0,30,137.6,136.6,139.0,996394.0,509628.0,996394.0,,3,0.0
TQBR,2018-03-02,ГТМ ао,GTRK,2,2780.0,139.0,139.0,139.0,139.0,139.0,139.0,20,136.6,136.6,139.0,519106.0,512408.0,519106.0,,3,0.0
TQBR,2018-03-05,ГТМ ао,GTRK,3,214495.0,137.6,137.6,138.5,138.5,138.4,138.5,1550,,138.2,138.5,0.0,527969.0,0.0,,3,-0.0035971223021582
TQBR,2018-03-06,ГТМ ао,GTRK,6,707470.0,139.0,137.1,139.0,137.8,138.5,137.8,5110,138.4,138.4,137.8,924745.0,923355.0,924745.0,,3,-0.0050541516245486
TQBR,2018-03-07,ГТМ ао,GTRK,6,1430940.0,138.7,138.0,139.0,138.0,138.5,138.0,10330,138.5,138.5,138.0,2138410.0,2123125.0,2138410.0,,3,0.0014513788098692
TQBR,2018-03-09,ГТМ ао,GTRK,0,0.0,,,,138.0,,,0,138.5,138.5,138.0,2138410.0,2123125.0,2138410.0,,3,0.0
TQBR,2018-03-12,ГТМ ао,GTRK,0,0.0,,,,138.0,,,0,138.5,138.5,138.0,2352905.0,2123125.0,2352905.0,,3,0.0
TQBR,2018-03-13,ГТМ ао,GTRK,1,1390.0,139.0,139.0,139.0,139.0,139.0,139.0,10,138.5,138.5,139.0,2139800.0,1920920.0,2139800.0,,3,0.0
TQBR,2018-03-14,ГТМ ао,GTRK,101,16237063.0,138.9,137.5,140.0,138.4,139.0,139.0,116840,139.0,139.0,138.4,16237063.0,16237063.0,16237063.0,,3,0.0
TQBR,2018-03-15,ГТМ ао,GTRK,8,787784.0,139.8,138.5,140.0,139.8,139.4,140.0,5650,139.0,139.4,139.8,17024847.0,862784.0,17024847.0,,3,0.0071942446043165
TQBR,2018-03-16,ГТМ ао,GTRK,9,162767.0,140.1,138.5,140.1,138.5,139.1,138.5,1170,139.4,139.6,138.5,950551.0,597567.0,950551.0,,3,-0.0107142857142857
TQBR,2018-03-19,ГТМ ао,GTRK,7,871132.0,139.0,137.5,139.8,139.0,137.8,139.0,6320,138.0,137.8,139.0,1033899.0,876687.0,1033899.0,,3,0.003610108303249
TQBR,2018-03-20,ГТМ ао,GTRK,2,13800.0,138.0,138.0,138.0,138.0,138.0,138.0,100,138.0,137.8,138.0,1047699.0,886317.0,1047699.0,,3,-0.0071942446043165
TQBR,2018-03-21,ГТМ ао,GTRK,9,1143210.0,139.0,139.0,139.8,139.0,139.6,139.0,8190,139.6,139.6,139.0,1157010.0,1150110.0,1157010.0,,3,0.0072463768115942
TQBR,2018-03-22,ГТМ ао,GTRK,11,887055.0,137.5,136.5,139.8,139.0,137.1,139.0,6470,137.1,137.1,139.0,887055.0,887055.0,887055.0,,3,0.0
TQBR,2018-03-23,ГТМ ао,GTRK,3,8267.0,139.0,137.5,139.0,137.5,137.8,137.5,60,137.1,137.1,137.5,895322.0,887083.0,895322.0,,3,-0.0107913669064748
