BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2021-05-25,HMSG-гдр,HMSG,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-05-26,HMSG-гдр,HMSG,6,26664.0,444.4,444.4,444.4,444.4,444.4,444.4,60,,,444.4,0.0,0.0,0.0,0,3,0.0
TQBR,2021-05-27,HMSG-гдр,HMSG,11,52258.0,458.1,283.05,458.1,444.4,435.5,444.4,120,,,444.4,0.0,0.0,0.0,0,3,0.0
TQBR,2021-05-28,HMSG-гдр,HMSG,67,1158991.0,400.0,400.0,621.8,600.05,610.0,600.05,1900,610.0,610.0,600.05,1158991.0,1158991.0,1158991.0,0,3,0.3502475247524752
TQBR,2021-05-31,HMSG-гдр,HMSG,1372,18694884.0,540.05,418.0,839.65,425.1,521.6,425.1,35840,521.6,521.6,425.1,18694884.0,18694884.0,18694884.0,0,3,-0.2915590367469376
TQBR,2021-06-01,HMSG-гдр,HMSG,694,7425549.0,437.0,370.0,437.0,378.0,384.75,378.0,19300,384.75,384.75,378.0,7425549.0,7425549.0,7425549.0,0,3,-0.1107974594213126
TQBR,2021-06-02,HMSG-гдр,HMSG,294,2249354.0,382.0,372.0,382.0,376.1,376.15,376.1,5980,376.15,376.15,376.1,2249354.0,2249354.0,2249354.0,0,3,-0.0050264550264549
TQBR,2021-06-03,HMSG-гдр,HMSG,351,2297693.0,382.15,372.3,395.95,387.9,380.4,387.9,6040,380.4,380.4,387.9,2297693.0,2297693.0,2297693.0,0,3,0.031374634405743
TQBR,2021-06-04,HMSG-гдр,HMSG,364,3501555.0,391.1,377.85,406.5,397.85,395.65,397.75,8850,395.65,395.65,397.85,3501555.0,3501555.0,3501555.0,0,3,0.0253931425625161
TQBR,2021-06-07,HMSG-гдр,HMSG,122,1277021.0,399.85,389.0,400.9,393.0,396.6,395.85,3220,396.6,396.6,393.0,1277021.0,1277021.0,1277021.0,0,3,-0.0047768698931489
TQBR,2021-06-08,HMSG-гдр,HMSG,466,5631640.5,400.3,370.0,400.3,376.25,378.2,376.25,14890,378.2,378.2,376.25,5631640.5,5631640.5,5631640.5,0,3,-0.0495137046861185
TQBR,2021-06-09,HMSG-гдр,HMSG,190,2513239.0,376.25,368.0,376.25,373.15,370.7,373.15,6780,370.7,370.7,373.15,2513239.0,2513239.0,2513239.0,0,3,-0.0082392026578073
TQBR,2021-06-10,HMSG-гдр,HMSG,286,4069361.0,375.4,372.3,390.0,378.0,381.05,378.0,10680,381.05,381.05,378.0,4069361.0,4069361.0,4069361.0,0,3,0.0129974541069275
