BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2013-03-25,РусГидро,HYDR,0,0.0,,,,0.6139,,,0,0.6265,0.6265,0.6265,234478639.42,234478639.42,234478639.42,,3,0.0
TQBR,2013-03-26,РусГидро,HYDR,0,0.0,,,,0.5846,,,0,0.5927,0.5927,0.5927,764392324.57,764392324.57,764392324.57,,3,0.0
TQBR,2013-03-27,РусГидро,HYDR,0,0.0,,,,0.6048,,,0,0.582,0.582,0.582,760374927.94,760374927.94,760374927.94,,3,0.0
TQBR,2013-03-28,РусГидро,HYDR,0,0.0,,,,0.6112,,,0,0.6083,0.6083,0.6083,480087625.46,480087625.46,480087625.46,,3,0.0
TQBR,2013-03-29,РусГидро,HYDR,0,0.0,,,,0.6132,,,0,0.6136,0.6136,0.6136,158746914.14,158746914.14,158746914.14,,3,0.0
TQBR,2013-04-01,РусГидро,HYDR,0,0.0,,,,0.5978,,,0,0.6035,0.6035,0.6035,226792790.24,226792790.24,226792790.24,,3,0.0
TQBR,2013-04-02,РусГидро,HYDR,0,0.0,,,,0.5919,,,0,0.597,0.597,0.597,282239561.62,282239561.62,282239561.62,,3,0.0
TQBR,2013-04-03,РусГидро,HYDR,0,0.0,,,,0.5723,,,0,0.5797,0.5797,0.5797,322750072.44,322750072.44,322750072.44,,3,0.0
TQBR,2013-04-04,РусГидро,HYDR,11,21176.9,0.57,0.56,0.5959,0.5611,0.5723,0.56,37000,0.5644,0.5644,0.5644,387080282.02,387080282.02,387080282.02,,3,0.0
TQBR,2013-04-05,РусГидро,HYDR,136,524373.9,0.5565,0.55,0.5565,0.5526,0.5508,0.55,952000,0.5562,0.5562,0.5562,398609986.69,398609986.69,398609986.69,,3,-0.0178571428571428
TQBR,2013-04-08,РусГидро,HYDR,52,111090.2,0.5574,0.54,0.5574,0.5368,0.5472,0.54,203000,0.5493,0.5493,0.5493,312188028.35,312188028.35,312188028.35,,3,-0.0181818181818181
TQBR,2013-04-09,РусГидро,HYDR,6,11184.4,0.5348,0.532,0.5348,0.5332,0.5326,0.532,21000,0.5353,0.5353,0.5353,442738801.81,442738801.81,442738801.81,,3,-0.0148148148148148
TQBR,2013-04-10,РусГидро,HYDR,10,218510.2,0.54,0.53,0.5416,0.5373,0.5369,0.5416,407000,0.5407,0.5407,0.5407,473322828.61,473322828.61,473322828.61,,3,0.0180451127819547
TQBR,2013-04-11,РусГидро,HYDR,12,111825.1,0.535,0.515,0.535,0.5126,0.525,0.515,213000,0.5195,0.5195,0.5195,554831677.05,554831677.05,554831677.05,,3,-0.0491137370753322
TQBR,2013-04-12,РусГидро,HYDR,11,16905.0,0.51,0.485,0.51,0.4988,0.4972,0.5,34000,0.4939,0.4939,0.4939,672512707.55,672512707.55,672512707.55,,3,-0.029126213592233
TQBR,2013-04-15,РусГидро,HYDR,31,164618.8,0.4859,0.4601,0.495,0.4855,0.469,0.495,351000,0.4792,0.4792,0.4792,723990600.53,723990600.53,723990600.53,,3,-0.01
TQBR,2013-04-16,РусГидро,HYDR,25,148439.5,0.5,0.4555,0.5238,0.4966,0.4915,0.495,302000,0.4977,0.4977,0.4977,748600699.13,748600699.13,748600699.13,,3,0.0
TQBR,2013-04-17,РусГидро,HYDR,4,31042.0,0.51,0.4705,0.51,0.4718,0.485,0.4705,64000,0.4813,0.4813,0.4813,820563730.51,820563730.51,820563730.51,,3,-0.0494949494949495
TQBR,2013-04-18,РусГидро,HYDR,6,17402.4,0.4602,0.4602,0.4727,0.4651,0.4703,0.4727,37000,0.4712,0.4712,0.4712,441480086.98,441480086.98,441480086.98,,3,0.0046758767268863
TQBR,2013-04-19,РусГидро,HYDR,9,101151.0,0.4684,0.45,0.4684,0.4533,0.4536,0.45,223000,0.4553,0.4553,0.4553,339148049.91,339148049.91,339148049.91,,3,-0.0480220012693039
TQBR,2013-04-22,РусГидро,HYDR,58,227827.0,0.455,0.4175,0.4901,0.4688,0.4603,0.4901,495000,0.4634,0.4634,0.4634,576936916.64,576936916.64,576936916.64,,3,0.089111111111111
TQBR,2013-04-23,РусГидро,HYDR,7,69421.0,0.46,0.46,0.4911,0.4897,0.4889,0.4911,142000,0.4847,0.4847,0.4847,721222740.52,721222740.52,721222740.52,,3,0.002040399918384
TQBR,2013-04-24,РусГидро,HYDR,18,129870.0,0.5001,0.5,0.5399,0.5368,0.5133,0.5321,253000,0.5204,0.5204,0.5204,1406402247.48,1406402247.48,1406402247.48,,3,0.0834860517206272
TQBR,2013-04-25,РусГидро,HYDR,10,53608.0,0.535,0.52,0.56,0.5159,0.5527,0.52,97000,0.5373,0.5373,0.5373,1445228464.84,1445228464.84,1445228464.84,,3,-0.0227400864499154
TQBR,2013-04-26,РусГидро,HYDR,20,671951.6,0.51,0.495,0.5201,0.5135,0.5098,0.51,1318000,0.5081,0.5081,0.5081,1025183687.91,1025183687.91,1025183687.91,,3,-0.0192307692307692
TQBR,2013-04-29,РусГидро,HYDR,2,17313.0,0.5251,0.52,0.5251,0.5281,0.5246,0.52,33000,0.5204,0.5204,0.5204,541534875.13,541534875.13,541534875.13,,3,0.0196078431372549
TQBR,2013-04-30,РусГидро,HYDR,6,351261.0,0.5451,0.543,0.55,0.5552,0.5497,0.55,639000,0.5452,0.5452,0.5452,704862115.94,704862115.94,704862115.94,,3,0.0576923076923077
TQBR,2013-05-02,РусГидро,HYDR,12,173412.6,0.565,0.565,0.6116,0.5785,0.6,0.58,289000,0.5723,0.5723,0.5723,748524410.25,748524410.25,748524410.25,,3,0.0545454545454543
TQBR,2013-05-03,РусГидро,HYDR,10,355155.7,0.5851,0.5851,0.5851,0.576,0.5851,0.5851,607000,0.5746,0.5746,0.5746,616530735.25,616530735.25,616530735.25,,3,0.0087931034482758
TQBR,2013-05-06,РусГидро,HYDR,8,338499.0,0.571,0.571,0.577,0.5833,0.5737,0.5752,590000,0.5887,0.5887,0.5887,708998495.36,708998495.36,708998495.36,,3,-0.0169201845838316
TQBR,2013-05-07,РусГидро,HYDR,0,0.0,,,,0.5705,,,0,0.574,0.574,0.574,586109994.5,586109994.5,586109994.5,,3,0.0
TQBR,2013-05-08,РусГидро,HYDR,0,0.0,,,,0.5549,,,0,0.5594,0.5594,0.5594,567216245.38,567216245.38,567216245.38,,3,0.0
TQBR,2013-05-10,РусГидро,HYDR,0,0.0,,,,0.5396,,,0,0.5508,0.5508,0.5508,282171729.04,282171729.04,282171729.04,,3,0.0
TQBR,2013-05-13,РусГидро,HYDR,3,28161.0,0.5313,0.5313,0.532,0.5299,0.5313,0.532,53000,0.5296,0.5296,0.5296,568492526.99,568492526.99,568492526.99,,3,0.0
TQBR,2013-05-14,РусГидро,HYDR,7,59946.2,0.538,0.538,0.55,0.5435,0.545,0.548,110000,0.5444,0.5444,0.5444,667857649.03,667857649.03,667857649.03,,3,0.0300751879699248
TQBR,2013-05-15,РусГидро,HYDR,9,96506.0,0.548,0.543,0.5883,0.5469,0.5611,0.548,172000,0.5469,0.5469,0.5469,487640319.45,487640319.45,487640319.45,,3,0.0
