BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,Ижсталь2ао,IGST,0,0.0,,,,272.6,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-06-10,Ижсталь2ао,IGST,0,0.0,,,,272.6,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-06-11,Ижсталь2ао,IGST,13,22699.4,235.6,218.6,285.0,219.6,222.5,218.8,102,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-06-16,Ижсталь2ао,IGST,0,0.0,,,,219.6,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-06-17,Ижсталь2ао,IGST,4,2419.3,270.0,267.9,270.0,267.9,268.8,267.9,9,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-06-18,Ижсталь2ао,IGST,0,0.0,,,,267.9,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-06-19,Ижсталь2ао,IGST,0,0.0,,,,267.9,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-06-20,Ижсталь2ао,IGST,0,0.0,,,,267.9,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-06-23,Ижсталь2ао,IGST,0,0.0,,,,267.9,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-06-24,Ижсталь2ао,IGST,0,0.0,,,,267.9,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-06-25,Ижсталь2ао,IGST,0,0.0,,,,267.9,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-06-26,Ижсталь2ао,IGST,0,0.0,,,,267.9,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-06-27,Ижсталь2ао,IGST,4,2063.6,258.0,257.6,258.0,257.6,258.0,257.6,8,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-06-30,Ижсталь2ао,IGST,1,248.0,248.0,248.0,248.0,257.6,248.0,248.0,1,,,,0.0,0.0,0.0,,3,-0.0372670807453417
TQBR,2014-07-01,Ижсталь2ао,IGST,21,34807.5,248.0,248.0,328.0,286.0,283.0,286.0,123,,,,0.0,0.0,0.0,,3,0.1532258064516129
TQBR,2014-07-02,Ижсталь2ао,IGST,0,0.0,,,,286.0,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-07-03,Ижсталь2ао,IGST,0,0.0,,,,286.0,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-07-04,Ижсталь2ао,IGST,0,0.0,,,,286.0,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-07-07,Ижсталь2ао,IGST,0,0.0,,,,286.0,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-07-08,Ижсталь2ао,IGST,0,0.0,,,,286.0,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-07-09,Ижсталь2ао,IGST,0,0.0,,,,286.0,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-07-10,Ижсталь2ао,IGST,0,0.0,,,,286.0,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-07-11,Ижсталь2ао,IGST,1,1127.5,225.5,225.5,225.5,286.0,225.5,225.5,5,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-07-14,Ижсталь2ао,IGST,0,0.0,,,,286.0,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-07-15,Ижсталь2ао,IGST,0,0.0,,,,286.0,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-07-16,Ижсталь2ао,IGST,0,0.0,,,,286.0,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-07-17,Ижсталь2ао,IGST,1,292.6,292.6,292.6,292.6,292.6,292.6,292.6,1,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-07-18,Ижсталь2ао,IGST,0,0.0,,,,292.6,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-07-21,Ижсталь2ао,IGST,0,0.0,,,,292.6,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-07-22,Ижсталь2ао,IGST,0,0.0,,,,292.6,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-07-23,Ижсталь2ао,IGST,0,0.0,,,,292.6,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-07-24,Ижсталь2ао,IGST,0,0.0,,,,292.6,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-07-25,Ижсталь2ао,IGST,0,0.0,,,,292.6,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-07-28,Ижсталь2ао,IGST,7,18402.4,293.0,293.0,349.3,301.7,301.7,349.3,61,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-07-29,Ижсталь2ао,IGST,3,17095.5,419.1,300.0,419.1,302.3,310.8,419.1,55,,,,0.0,0.0,0.0,,3,0.1998282278843401
TQBR,2014-07-30,Ижсталь2ао,IGST,7,180459.0,418.0,300.0,418.0,300.0,300.3,300.0,601,,,,0.0,0.0,0.0,,3,-0.2841803865425913
TQBR,2014-07-31,Ижсталь2ао,IGST,0,0.0,,,,300.0,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-08-01,Ижсталь2ао,IGST,0,0.0,,,,300.0,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-08-04,Ижсталь2ао,IGST,4,8679.1,380.0,300.0,419.1,303.1,310.0,300.0,28,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-08-05,Ижсталь2ао,IGST,3,30685.0,385.0,300.0,385.0,300.0,300.8,300.0,102,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-08-06,Ижсталь2ао,IGST,1,385.0,385.0,385.0,385.0,300.0,385.0,385.0,1,,,,0.0,0.0,0.0,,3,0.2833333333333333
TQBR,2014-08-07,Ижсталь2ао,IGST,3,1111.4,392.3,300.0,419.1,300.0,370.5,300.0,3,,,,0.0,0.0,0.0,,3,-0.2207792207792207
TQBR,2014-08-08,Ижсталь2ао,IGST,0,0.0,,,,300.0,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-08-11,Ижсталь2ао,IGST,3,6063.2,285.7,231.1,285.7,231.1,233.2,231.1,26,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-08-12,Ижсталь2ао,IGST,0,0.0,,,,231.1,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-08-13,Ижсталь2ао,IGST,0,0.0,,,,231.1,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-08-14,Ижсталь2ао,IGST,7,43302.7,231.3,231.1,300.0,233.3,235.3,233.3,184,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-08-15,Ижсталь2ао,IGST,0,0.0,,,,233.3,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-08-18,Ижсталь2ао,IGST,0,0.0,,,,233.3,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-08-19,Ижсталь2ао,IGST,4,1000.0,250.0,250.0,250.0,250.0,250.0,250.0,4,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-08-20,Ижсталь2ао,IGST,10,3559.5,250.0,225.6,250.0,230.1,237.3,230.1,15,,,,0.0,0.0,0.0,,3,-0.0796
TQBR,2014-08-21,Ижсталь2ао,IGST,0,0.0,,,,230.1,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-08-22,Ижсталь2ао,IGST,0,0.0,,,,230.1,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-08-25,Ижсталь2ао,IGST,0,0.0,,,,230.1,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-08-26,Ижсталь2ао,IGST,1,222.0,222.0,222.0,222.0,222.0,222.0,222.0,1,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-08-27,Ижсталь2ао,IGST,0,0.0,,,,222.0,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-08-28,Ижсталь2ао,IGST,0,0.0,,,,222.0,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-08-29,Ижсталь2ао,IGST,0,0.0,,,,222.0,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-09-01,Ижсталь2ао,IGST,0,0.0,,,,222.0,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-09-02,Ижсталь2ао,IGST,2,446.3,223.0,223.0,223.3,223.3,223.2,223.3,2,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-09-03,Ижсталь2ао,IGST,1,1589.4,264.9,264.9,264.9,264.9,264.9,264.9,6,,,,0.0,0.0,0.0,,3,0.1862964621585309
TQBR,2014-09-04,Ижсталь2ао,IGST,0,0.0,,,,264.9,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-09-05,Ижсталь2ао,IGST,12,5300.8,236.0,203.5,240.0,220.9,220.9,240.0,24,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-09-08,Ижсталь2ао,IGST,0,0.0,,,,220.9,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-09-09,Ижсталь2ао,IGST,0,0.0,,,,220.9,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-09-10,Ижсталь2ао,IGST,2,8641.9,275.0,269.9,275.0,269.9,270.1,269.9,32,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-09-11,Ижсталь2ао,IGST,22,173198.8,232.3,232.3,300.0,250.0,293.6,250.0,590,,288.2,,0.0,500042.3,0.0,,3,-0.0737310114857353
TQBR,2014-09-12,Ижсталь2ао,IGST,19,128830.0,250.0,250.0,300.0,300.0,271.8,300.0,474,,282.2,,0.0,547663.8,0.0,,3,0.2
TQBR,2014-09-15,Ижсталь2ао,IGST,27,254588.9,299.0,299.0,370.0,325.0,301.6,340.0,844,,293.0,,0.0,521317.4,0.0,,3,0.1333333333333333
TQBR,2014-09-16,Ижсталь2ао,IGST,29,97271.0,320.0,320.0,474.1,401.0,375.6,401.0,259,,303.5,,0.0,618588.4,0.0,,3,0.1794117647058823
TQBR,2014-09-17,Ижсталь2ао,IGST,1,1525.0,305.0,305.0,305.0,305.0,305.0,305.0,5,,303.5,,0.0,620113.4,0.0,,3,-0.2394014962593516
TQBR,2014-09-18,Ижсталь2ао,IGST,2,1320.0,440.0,440.0,440.0,440.0,440.0,440.0,3,,303.7,,0.0,621433.4,0.0,,3,0.4426229508196721
TQBR,2014-09-19,Ижсталь2ао,IGST,0,0.0,,,,440.0,,,0,,303.7,,0.0,621433.4,0.0,,3,0.0
TQBR,2014-09-22,Ижсталь2ао,IGST,0,0.0,,,,440.0,,,0,,303.7,,0.0,621433.4,0.0,,3,0.0
TQBR,2014-09-23,Ижсталь2ао,IGST,2,2425.0,399.0,399.0,430.0,404.2,404.2,430.0,6,301.8,304.0,301.8,667800.6,623858.4,667800.6,,3,0.0
TQBR,2014-09-24,Ижсталь2ао,IGST,0,0.0,,,,404.2,,,0,302.2,304.0,302.2,659158.7,623858.4,659158.7,,3,0.0
TQBR,2014-09-25,Ижсталь2ао,IGST,0,0.0,,,,404.2,,,0,,304.0,,0.0,623858.4,0.0,,3,0.0
TQBR,2014-09-26,Ижсталь2ао,IGST,0,0.0,,,,404.2,,,0,,304.0,,0.0,623858.4,0.0,,3,0.0
TQBR,2014-09-29,Ижсталь2ао,IGST,0,0.0,,,,404.2,,,0,,304.0,,0.0,623858.4,0.0,,3,0.0
TQBR,2014-09-30,Ижсталь2ао,IGST,0,0.0,,,,404.2,,,0,,304.0,,0.0,623858.4,0.0,,3,0.0
TQBR,2014-10-01,Ижсталь2ао,IGST,0,0.0,,,,404.0,,,0,,304.0,,0.0,623858.4,0.0,,3,0.0
TQBR,2014-10-02,Ижсталь2ао,IGST,0,0.0,,,,404.0,,,0,,304.0,,0.0,623858.4,0.0,,3,0.0
TQBR,2014-10-03,Ижсталь2ао,IGST,5,3678.0,400.0,400.0,439.0,416.0,409.0,439.0,9,,304.0,,0.0,627536.4,0.0,,3,0.0
TQBR,2014-10-06,Ижсталь2ао,IGST,0,0.0,,,,416.0,,,0,,304.0,,0.0,627536.4,0.0,,3,0.0
