BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2020-03-30,ИНГРАД ао,INGR,20,68890,725.0,725.0,768.0,768,757.0,768.0,91,,711,768.0,0,529894,0.0,,3,0.0
TQBR,2020-03-31,ИНГРАД ао,INGR,98,613232,750.0,740.0,796.0,794,771.0,796.0,795,771.0,771,794.0,613232,613232,613232.0,,3,0.0364583333333333
TQBR,2020-04-01,ИНГРАД ао,INGR,22,62637,754.0,754.0,768.0,760,764.0,760.0,82,,776,760.0,0,511947,0.0,,3,-0.0452261306532663
TQBR,2020-04-02,ИНГРАД ао,INGR,8,43871,760.0,754.0,764.0,754,756.0,754.0,58,,775,754.0,0,505041,0.0,,3,-0.0078947368421052
TQBR,2020-04-03,ИНГРАД ао,INGR,7,80262,762.0,750.0,762.0,750,750.0,750.0,107,,771,750.0,0,585303,0.0,,3,-0.0053050397877984
TQBR,2020-04-06,ИНГРАД ао,INGR,25,85624,735.0,735.0,787.0,770,771.0,770.0,111,,771,770.0,0,503431,0.0,,3,0.0266666666666666
TQBR,2020-04-07,ИНГРАД ао,INGR,28,405872,780.0,751.0,785.0,771,779.0,771.0,521,,777,771.0,0,504996,0.0,,3,0.0012987012987012
TQBR,2020-04-08,ИНГРАД ао,INGR,2,13680,760.0,760.0,760.0,760,760.0,760.0,18,,777,760.0,0,502146,0.0,,3,-0.0142671854734111
TQBR,2020-04-09,ИНГРАД ао,INGR,5,41580,770.0,770.0,770.0,770,770.0,770.0,54,,777,770.0,0,501172,0.0,,3,0.0131578947368421
TQBR,2020-04-10,ИНГРАД ао,INGR,12,31684,754.0,754.0,758.0,755,754.0,755.0,42,,776,755.0,0,502056,0.0,,3,-0.0194805194805194
TQBR,2020-04-13,ИНГРАД ао,INGR,12,68238,770.0,762.0,770.0,764,767.0,764.0,89,,775,764.0,0,535656,0.0,,3,0.0119205298013245
TQBR,2020-04-14,ИНГРАД ао,INGR,10,37543,766.0,766.0,770.0,766,766.0,766.0,49,,775,766.0,0,573199,0.0,,3,0.0026178010471204
TQBR,2020-04-15,ИНГРАД ао,INGR,26,95542,776.0,768.0,784.0,768,777.0,768.0,123,,775,768.0,0,561016,0.0,,3,0.0026109660574412
TQBR,2020-04-16,ИНГРАД ао,INGR,40,130335,755.0,755.0,784.0,764,776.0,764.0,168,,775,764.0,0,691351,0.0,,3,-0.0052083333333333
TQBR,2020-04-17,ИНГРАД ао,INGR,21,39185,700.0,699.0,765.0,761,754.0,761.0,52,,774,761.0,0,730536,0.0,,3,-0.0039267015706806
TQBR,2020-04-20,ИНГРАД ао,INGR,27,92375,786.0,770.0,786.0,770,776.0,770.0,119,,771,770.0,0,509532,0.0,,3,0.0118265440210249
TQBR,2020-04-21,ИНГРАД ао,INGR,25,73216,775.0,763.0,775.0,763,771.0,764.0,95,,772,763.0,0,507948,0.0,,3,-0.0077922077922077
TQBR,2020-04-22,ИНГРАД ао,INGR,20,66760,761.0,752.0,787.0,777,759.0,777.0,88,,771,777.0,0,512733,0.0,,3,0.0170157068062827
TQBR,2020-04-23,ИНГРАД ао,INGR,16,81017,770.0,757.0,776.0,776,764.0,776.0,106,,769,776.0,0,501396,0.0,,3,-0.0012870012870012
TQBR,2020-04-24,ИНГРАД ао,INGR,42,123885,743.0,730.0,761.0,757,746.0,757.0,166,,761,757.0,0,503294,0.0,,3,-0.0244845360824742
TQBR,2020-04-27,ИНГРАД ао,INGR,19,37338,721.0,721.0,775.0,762,762.0,762.0,49,,762,762.0,0,500533,0.0,,3,0.0066050198150594
TQBR,2020-04-28,ИНГРАД ао,INGR,24,119923,750.0,750.0,768.0,768,764.0,768.0,157,,760,768.0,0,501364,0.0,,3,0.0078740157480314
TQBR,2020-04-29,ИНГРАД ао,INGR,11,37267,769.0,756.0,770.0,770,761.0,770.0,49,,759,770.0,0,506125,0.0,,3,0.0026041666666666
TQBR,2020-04-30,ИНГРАД ао,INGR,6,19135,750.0,750.0,770.0,765,765.0,765.0,25,,759,765.0,0,502923,0.0,,3,-0.0064935064935064
TQBR,2020-05-04,ИНГРАД ао,INGR,21,39433,743.0,730.0,765.0,761,744.0,761.0,53,,757,761.0,0,500482,0.0,,3,-0.0052287581699346
TQBR,2020-05-05,ИНГРАД ао,INGR,8,22904,763.0,763.0,765.0,764,763.0,765.0,30,,757,764.0,0,502776,0.0,,3,0.0052562417871222
TQBR,2020-05-06,ИНГРАД ао,INGR,3943,32383568,770.0,752.0,1063.0,752,865.0,752.0,37443,865.0,865,752.0,32383568,32383568,32383568.0,,3,-0.0169934640522875
TQBR,2020-05-07,ИНГРАД ао,INGR,1083,5951348,765.0,756.0,820.0,769,784.0,769.0,7589,784.0,784,769.0,5951348,5951348,5951348.0,,3,0.0226063829787234
TQBR,2020-05-08,ИНГРАД ао,INGR,299,808496,771.0,755.0,777.0,765,763.0,765.0,1059,763.0,763,765.0,808496,808496,808496.0,,3,-0.0052015604681404
TQBR,2020-05-12,ИНГРАД ао,INGR,571,2276802,769.0,750.0,807.0,761,771.0,762.0,2953,771.0,771,761.0,2276802,2276802,2276802.0,,3,-0.0039215686274509
TQBR,2020-05-13,ИНГРАД ао,INGR,192,953764,753.0,750.0,773.0,758,759.0,758.0,1257,759.0,759,758.0,953764,953764,953764.0,,3,-0.0052493438320209
TQBR,2020-05-14,ИНГРАД ао,INGR,163,545285,750.0,735.0,759.0,752,751.0,753.0,726,751.0,751,752.0,545285,545285,545285.0,,3,-0.0065963060686015
TQBR,2020-05-15,ИНГРАД ао,INGR,192,970419,754.0,739.0,763.0,755,752.0,755.0,1291,752.0,752,755.0,970419,970419,970419.0,,3,0.0026560424966799
TQBR,2020-05-18,ИНГРАД ао,INGR,161,462719,756.0,756.0,795.0,774,772.0,774.0,599,,771,774.0,0,500500,0.0,,3,0.0251655629139072
TQBR,2020-05-19,ИНГРАД ао,INGR,95,228355,765.0,756.0,770.0,767,761.0,767.0,300,,766,767.0,0,535549,0.0,,3,-0.0090439276485788
TQBR,2020-05-20,ИНГРАД ао,INGR,152,636185,766.0,745.0,766.0,764,757.0,764.0,840,757.0,757,764.0,636185,636185,636185.0,,3,-0.0039113428943937
TQBR,2020-05-21,ИНГРАД ао,INGR,289,1108465,765.0,758.0,790.0,779,772.0,779.0,1436,772.0,772,779.0,1108465,1108465,1108465.0,,3,0.0196335078534031
TQBR,2020-05-22,ИНГРАД ао,INGR,99,252656,776.0,770.0,778.0,774,773.0,774.0,327,,777,774.0,0,501123,0.0,,3,-0.0064184852374839
TQBR,2020-05-25,ИНГРАД ао,INGR,482,1732604,775.0,775.0,830.0,810,800.0,810.0,2166,800.0,800,810.0,1732604,1732604,1732604.0,,3,0.0465116279069767
TQBR,2020-05-26,ИНГРАД ао,INGR,209,1434468,810.0,800.0,817.0,800,809.0,800.0,1774,809.0,809,800.0,1434468,1434468,1434468.0,,3,-0.0123456790123456
TQBR,2020-05-27,ИНГРАД ао,INGR,362,2184142,799.0,779.0,814.0,791,795.0,791.0,2747,795.0,795,791.0,2184142,2184142,2184142.0,,3,-0.01125
TQBR,2020-05-28,ИНГРАД ао,INGR,138,568382,793.0,783.0,811.0,802,799.0,802.0,711,799.0,799,802.0,568382,568382,568382.0,,3,0.0139064475347661
TQBR,2020-05-29,ИНГРАД ао,INGR,84,597981,794.0,794.0,808.0,800,801.0,800.0,747,801.0,801,800.0,597981,597981,597981.0,,3,-0.0024937655860349
TQBR,2020-06-01,ИНГРАД ао,INGR,123,673296,813.0,800.0,815.0,814,807.0,814.0,834,807.0,807,814.0,673296,673296,673296.0,,3,0.0175
TQBR,2020-06-02,ИНГРАД ао,INGR,122,498863,817.0,801.0,827.0,817,810.0,817.0,616,,810,817.0,0,500483,0.0,,3,0.0036855036855036
TQBR,2020-06-03,ИНГРАД ао,INGR,174,2119668,817.0,807.0,823.0,815,814.0,815.0,2605,814.0,814,815.0,2119668,2119668,2119668.0,,3,-0.0024479804161566
TQBR,2020-06-04,ИНГРАД ао,INGR,144,608810,816.0,811.0,835.0,826,825.0,826.0,738,825.0,825,826.0,608810,608810,608810.0,,3,0.0134969325153374
TQBR,2020-06-05,ИНГРАД ао,INGR,339,6444274,822.0,800.0,840.0,810,812.0,810.0,7941,812.0,812,810.0,6444274,6444274,6444274.0,,3,-0.0193704600484261
TQBR,2020-06-08,ИНГРАД ао,INGR,563,8869488,817.0,805.0,1099.0,807,818.0,807.0,10845,818.0,818,807.0,8869488,8869488,8869488.0,,3,-0.0037037037037037
TQBR,2020-06-09,ИНГРАД ао,INGR,220,1399389,815.0,802.0,819.0,809,811.0,809.0,1726,811.0,811,809.0,1399389,1399389,1399389.0,,3,0.0024783147459727
TQBR,2020-06-10,ИНГРАД ао,INGR,345,3152186,811.0,799.0,829.0,800,809.0,800.0,3897,809.0,809,800.0,3152186,3152186,3152186.0,,3,-0.0111248454882571
TQBR,2020-06-11,ИНГРАД ао,INGR,971,10611836,827.0,810.0,860.0,817,824.0,817.0,12872,824.0,824,817.0,10611836,10611836,10611836.0,,3,0.02125
TQBR,2020-06-15,ИНГРАД ао,INGR,659,6399574,827.0,817.0,847.0,820,822.0,820.0,7785,822.0,822,820.0,6399574,6399574,6399574.0,,3,0.003671970624235
TQBR,2020-06-16,ИНГРАД ао,INGR,1604,19401973,822.0,812.0,850.0,824,829.0,824.0,23394,829.0,829,824.0,19401973,19401973,19401973.0,,3,0.0048780487804878
TQBR,2020-06-17,ИНГРАД ао,INGR,1059,23710521,826.0,820.0,843.0,825,827.0,825.0,28667,827.0,827,825.0,23710521,23710521,23710521.0,,3,0.0012135922330097
TQBR,2020-06-18,ИНГРАД ао,INGR,1555,12972135,763.0,747.0,790.0,750,754.0,750.0,17204,754.0,754,750.0,12972135,12972135,12972135.0,,3,-0.0909090909090909
TQBR,2020-06-19,ИНГРАД ао,INGR,678,4975843,750.0,711.0,755.0,737,741.0,737.0,6716,741.0,741,737.0,4975843,4975843,4975843.0,,3,-0.0173333333333333
TQBR,2020-06-22,ИНГРАД ао,INGR,575,2687590,740.0,723.0,740.0,727,730.0,727.0,3684,730.0,730,727.0,2687590,2687590,2687590.0,0.0,3,-0.0135685210312075
TQBR,2020-06-23,ИНГРАД ао,INGR,380,2615164,764.0,727.0,764.0,734,733.0,734.0,3566,733.0,733,734.0,2615164,2615164,2615164.0,0.0,3,0.0096286107290233
TQBR,2020-06-25,ИНГРАД ао,INGR,554,2445202,726.0,711.0,728.0,719,719.0,719.0,3403,719.0,719,719.0,2445202,2445202,2445202.0,0.0,3,-0.0204359673024523
TQBR,2020-06-26,ИНГРАД ао,INGR,309,2211824,722.0,714.0,736.0,733,726.0,733.0,3045,726.0,726,733.0,2211824,2211824,2211824.0,0.0,3,0.019471488178025
TQBR,2020-06-29,ИНГРАД ао,INGR,420,5160101,719.0,710.0,750.0,749,741.0,749.0,6966,741.0,741,749.0,5160101,5160101,5160101.0,0.0,3,0.0218281036834924
TQBR,2020-06-30,ИНГРАД ао,INGR,240,7330259,740.0,737.0,756.0,739,750.0,746.0,9778,750.0,750,739.0,7330259,7330259,7330259.0,0.0,3,-0.0040053404539385
TQBR,2020-07-02,ИНГРАД ао,INGR,119,634086,738.0,735.0,747.0,743,741.0,743.0,856,741.0,741,743.0,634086,634086,634086.0,0.0,3,-0.0040214477211796
TQBR,2020-07-03,ИНГРАД ао,INGR,205,810430,744.0,730.0,749.0,730,736.0,730.0,1101,736.0,736,730.0,810430,810430,810430.0,0.0,3,-0.0174966352624495
TQBR,2020-07-06,ИНГРАД ао,INGR,354,1828639,740.0,726.0,763.0,729,738.0,729.0,2479,738.0,738,729.0,1828639,1828639,1828639.0,0.0,3,-0.0013698630136986
TQBR,2020-07-07,ИНГРАД ао,INGR,135,751342,626.0,626.0,745.0,730,730.0,733.0,1029,730.0,730,730.0,751342,751342,751342.0,0.0,3,0.0054869684499314
TQBR,2020-07-08,ИНГРАД ао,INGR,145,513901,738.0,728.0,738.0,730,732.0,730.0,702,732.0,732,730.0,513901,513901,513901.0,0.0,3,-0.0040927694406548
TQBR,2020-07-09,ИНГРАД ао,INGR,267,1892566,737.0,727.0,738.0,735,733.0,735.0,2581,733.0,733,735.0,1892566,1892566,1892566.0,0.0,3,0.0068493150684931
TQBR,2020-07-10,ИНГРАД ао,INGR,189,706725,738.0,721.0,738.0,730,732.0,730.0,966,732.0,732,730.0,706725,706725,706725.0,0.0,3,-0.0068027210884353
TQBR,2020-07-13,ИНГРАД ао,INGR,120,588202,735.0,726.0,735.0,730,730.0,729.0,806,730.0,730,730.0,588202,588202,588202.0,0.0,3,-0.0013698630136986
TQBR,2020-07-14,ИНГРАД ао,INGR,300,1188663,734.0,705.0,734.0,721,721.0,721.0,1649,721.0,721,721.0,1188663,1188663,1188663.0,0.0,3,-0.0109739368998628
TQBR,2020-07-15,ИНГРАД ао,INGR,108,425726,722.0,722.0,727.0,724,724.0,724.0,588,,722,724.0,0,504634,0.0,0.0,3,0.0041608876560332
TQBR,2020-07-16,ИНГРАД ао,INGR,83,284336,725.0,720.0,725.0,725,722.0,725.0,394,,723,725.0,0,500857,0.0,0.0,3,0.0013812154696132
TQBR,2020-07-17,ИНГРАД ао,INGR,85,620281,725.0,719.0,726.0,724,723.0,724.0,858,723.0,723,724.0,620281,620281,620281.0,0.0,3,-0.0013793103448275
TQBR,2020-07-20,ИНГРАД ао,INGR,108,438754,725.0,724.0,730.0,729,726.0,729.0,604,,726,729.0,0,511193,0.0,0.0,3,0.0069060773480662
TQBR,2020-07-21,ИНГРАД ао,INGR,225,1564020,730.0,720.0,735.0,734,726.0,734.0,2154,726.0,726,734.0,1564020,1564020,1564020.0,0.0,3,0.0068587105624142
TQBR,2020-07-22,ИНГРАД ао,INGR,115,755387,734.0,727.0,737.0,734,733.0,735.0,1030,733.0,733,734.0,755387,755387,755387.0,0.0,3,0.0013623978201634
TQBR,2020-07-23,ИНГРАД ао,INGR,98,959510,735.0,725.0,737.0,734,731.0,734.0,1312,731.0,731,734.0,959510,959510,959510.0,0.0,3,-0.001360544217687
TQBR,2020-07-24,ИНГРАД ао,INGR,109,1391784,727.0,725.0,735.0,728,731.0,733.0,1903,731.0,731,728.0,1391784,1391784,1391784.0,0.0,3,-0.0013623978201634
TQBR,2020-07-27,ИНГРАД ао,INGR,404,3263823,750.0,732.0,760.0,740,742.0,741.0,4396,742.0,742,740.0,3263823,3263823,3263823.0,0.0,3,0.0109140518417462
TQBR,2020-07-28,ИНГРАД ао,INGR,127,1538042,735.0,735.0,745.0,742,742.0,742.0,2074,742.0,742,742.0,1538042,1538042,1538042.0,0.0,3,0.0013495276653171
TQBR,2020-07-29,ИНГРАД ао,INGR,160,3639386,736.0,734.0,743.0,742,741.0,742.0,4913,741.0,741,742.0,3639386,3639386,3639386.0,0.0,3,0.0
TQBR,2020-07-30,ИНГРАД ао,INGR,108,1200351,747.0,736.0,747.0,740,739.0,740.0,1624,739.0,739,740.0,1200351,1200351,1200351.0,0.0,3,-0.0026954177897574
TQBR,2020-07-31,ИНГРАД ао,INGR,234,2009498,746.0,740.0,764.0,749,750.0,750.0,2678,750.0,750,749.0,2009498,2009498,2009498.0,0.0,3,0.0135135135135135
TQBR,2020-08-03,ИНГРАД ао,INGR,117,1100652,741.0,739.0,755.0,746,749.0,746.0,1470,749.0,749,746.0,1100652,1100652,1100652.0,0.0,3,-0.0053333333333333
TQBR,2020-08-04,ИНГРАД ао,INGR,186,1891430,752.0,741.0,762.0,762,752.0,762.0,2515,752.0,752,762.0,1891430,1891430,1891430.0,0.0,3,0.0214477211796246
TQBR,2020-08-05,ИНГРАД ао,INGR,239,3006608,760.0,752.0,768.0,767,761.0,767.0,3950,761.0,761,767.0,3006608,3006608,3006608.0,0.0,3,0.0065616797900262
TQBR,2020-08-06,ИНГРАД ао,INGR,141,1798115,759.0,759.0,771.0,768,764.0,768.0,2354,764.0,764,768.0,1798115,1798115,1798115.0,0.0,3,0.0013037809647979
TQBR,2020-08-07,ИНГРАД ао,INGR,1628,16517879,804.0,789.0,835.0,815,820.0,815.0,20156,820.0,820,815.0,16517879,16517879,16517879.0,0.0,3,0.0611979166666666
TQBR,2020-08-10,ИНГРАД ао,INGR,459,3175111,840.0,790.0,840.0,800,818.0,800.0,3881,818.0,818,800.0,3175111,3175111,3175111.0,0.0,3,-0.0184049079754601
TQBR,2020-08-11,ИНГРАД ао,INGR,270,3401904,807.0,787.0,807.0,794,794.0,796.0,4283,794.0,794,794.0,3401904,3401904,3401904.0,0.0,3,-0.005
TQBR,2020-08-12,ИНГРАД ао,INGR,230,4572748,792.0,791.0,820.0,818,804.0,815.0,5684,804.0,804,818.0,4572748,4572748,4572748.0,0.0,3,0.0238693467336683
TQBR,2020-08-13,ИНГРАД ао,INGR,277,3673418,821.0,813.0,840.0,818,830.0,818.0,4427,830.0,830,818.0,3673418,3673418,3673418.0,0.0,3,0.003680981595092
TQBR,2020-08-14,ИНГРАД ао,INGR,44,448664,818.0,815.0,822.0,822,819.0,822.0,548,,819,822.0,0,553368,0.0,0.0,3,0.0048899755501222
TQBR,2020-08-17,ИНГРАД ао,INGR,87,1007087,816.0,812.0,820.0,812,815.0,812.0,1236,815.0,815,812.0,1007087,1007087,1007087.0,0.0,3,-0.0121654501216545
