BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2013-07-08,ИнтерРАОао,IRAO,0,0.0,,,,0.012919,,,0,0.013002,0.013002,0.013002,45143360.7,45143360.7,45143360.7,,3,0.0
TQBR,2013-07-09,ИнтерРАОао,IRAO,0,0.0,,,,0.012919,,,0,0.012952,0.012952,0.012952,49210480.3,49210480.3,49210480.3,,3,0.0
TQBR,2013-07-10,ИнтерРАОао,IRAO,0,0.0,,,,0.012698,,,0,0.012761,0.012761,0.012761,46408811.7,46408811.7,46408811.7,,3,0.0
TQBR,2013-07-11,ИнтерРАОао,IRAO,16,968750.0,0.01292,0.012905,0.012925,0.013006,0.012917,0.01292,75000000,0.012908,0.012908,0.012908,89567325.0,89567325.0,89567325.0,,3,0.0
TQBR,2013-07-12,ИнтерРАОао,IRAO,0,0.0,,,,0.013303,,,0,0.013299,0.013299,0.013299,121904113.7,121904113.7,121904113.7,,3,0.0
TQBR,2013-07-15,ИнтерРАОао,IRAO,0,0.0,,,,0.013207,,,0,0.01333,0.01333,0.01333,106984823.1,106984823.1,106984823.1,,3,0.0
TQBR,2013-07-16,ИнтерРАОао,IRAO,0,0.0,,,,0.013246,,,0,0.013298,0.013298,0.013298,101871232.2,101871232.2,101871232.2,,3,0.0
TQBR,2013-07-17,ИнтерРАОао,IRAO,4,161482.3,0.0133,0.010549,0.0133,0.013621,0.012715,0.010549,12700000,0.013522,0.013522,0.013522,120793770.4,120793770.4,120793770.4,,3,0.0
TQBR,2013-07-18,ИнтерРАОао,IRAO,19,901408.4,0.013879,0.013828,0.013879,0.013762,0.013868,0.013828,65000000,0.013777,0.013777,0.013777,140421809.4,140421809.4,140421809.4,,3,0.3108351502512087
TQBR,2013-07-19,ИнтерРАОао,IRAO,0,0.0,,,,0.013792,,,0,0.013867,0.013867,0.013867,79668647.2,79668647.2,79668647.2,,3,0.0
TQBR,2013-07-22,ИнтерРАОао,IRAO,0,0.0,,,,0.013619,,,0,0.013693,0.013693,0.013693,58774396.1,58774396.1,58774396.1,,3,0.0
TQBR,2013-07-23,ИнтерРАОао,IRAO,0,0.0,,,,0.013687,,,0,0.01371,0.01371,0.01371,93384178.6,93384178.6,93384178.6,,3,0.0
TQBR,2013-07-24,ИнтерРАОао,IRAO,0,0.0,,,,0.013775,,,0,0.013749,0.013749,0.013749,64770775.6,64770775.6,64770775.6,,3,0.0
TQBR,2013-07-25,ИнтерРАОао,IRAO,0,0.0,,,,0.013346,,,0,0.013567,0.013567,0.013567,81452644.9,81452644.9,81452644.9,,3,0.0
TQBR,2013-07-26,ИнтерРАОао,IRAO,0,0.0,,,,0.012895,,,0,0.013142,0.013142,0.013142,95704217.5,95704217.5,95704217.5,,3,0.0
TQBR,2013-07-29,ИнтерРАОао,IRAO,9,50010.6,0.012857,0.011826,0.012857,0.01284,0.012503,0.012826,4000000,0.012832,0.012832,0.012832,65594251.2,65594251.2,65594251.2,,3,0.0
TQBR,2013-07-30,ИнтерРАОао,IRAO,0,0.0,,,,0.012578,,,0,0.012903,0.012903,0.012903,115451531.7,115451531.7,115451531.7,,3,0.0
TQBR,2013-07-31,ИнтерРАОао,IRAO,4,10092.0,0.0126,0.0126,0.01263,0.01238,0.012615,0.01263,800000,0.012425,0.012425,0.012425,79429580.8,79429580.8,79429580.8,,3,0.0
TQBR,2013-08-01,ИнтерРАОао,IRAO,0,0.0,,,,0.012896,,,0,0.0127,0.0127,0.0127,59505495.8,59505495.8,59505495.8,,3,0.0
TQBR,2013-08-02,ИнтерРАОао,IRAO,0,0.0,,,,0.01296,,,0,0.012913,0.012913,0.012913,52440803.9,52440803.9,52440803.9,,3,0.0
TQBR,2013-08-05,ИнтерРАОао,IRAO,0,0.0,,,,0.012918,,,0,0.013016,0.013016,0.013016,55553335.1,55553335.1,55553335.1,,3,0.0
TQBR,2013-08-06,ИнтерРАОао,IRAO,0,0.0,,,,0.012384,,,0,0.012628,0.012628,0.012628,58352480.2,58352480.2,58352480.2,,3,0.0
TQBR,2013-08-07,ИнтерРАОао,IRAO,3,133645.0,0.01235,0.01235,0.0125,0.012423,0.01249,0.0125,10700000,0.012425,0.012425,0.012425,50875900.4,50875900.4,50875900.4,,3,0.0
