BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,iИСКЧ ао,ISKJ,10,22579.4,15.508,14.801,15.508,15.0,15.053,15.0,1500,,14.717,,0.0,518046.9,0.0,,3,0.0
TQBR,2014-06-10,iИСКЧ ао,ISKJ,12,25469.9,14.871,14.871,15.153,14.881,14.982,14.881,1700,,14.729,,0.0,543516.8,0.0,,3,-0.0079333333333333
TQBR,2014-06-11,iИСКЧ ао,ISKJ,2,2999.9,15.0,14.999,15.0,14.999,15.0,14.999,200,,14.731,,0.0,546516.7,0.0,,3,0.0079295746253612
TQBR,2014-06-16,iИСКЧ ао,ISKJ,9,24522.3,15.468,15.0,15.468,15.0,15.326,15.0,1600,,14.737,,0.0,555571.0,0.0,,3,6.66711114073902e-05
TQBR,2014-06-17,iИСКЧ ао,ISKJ,7,738392.0,15.1,15.1,15.12,15.12,15.1,15.12,48900,15.1,15.1,15.1,747446.3,742902.2,747446.3,,3,0.0079999999999999
TQBR,2014-06-18,iИСКЧ ао,ISKJ,18,105118.3,14.693,14.503,15.12,15.011,14.6,15.12,7200,,15.009,,0.0,595870.3,0.0,,3,0.0
TQBR,2014-06-19,iИСКЧ ао,ISKJ,7,25377.6,14.999,14.9,14.999,14.922,14.928,14.951,1700,,15.006,,0.0,621247.9,0.0,,3,-0.0111772486772485
TQBR,2014-06-20,iИСКЧ ао,ISKJ,14,476328.9,14.801,14.507,14.979,14.703,14.702,14.979,32400,,14.712,,0.0,500206.6,0.0,,3,0.001872784429135
TQBR,2014-06-23,iИСКЧ ао,ISKJ,0,0.0,,,,14.703,,,0,,14.712,,0.0,500206.6,0.0,,3,0.0
TQBR,2014-06-24,iИСКЧ ао,ISKJ,6,52224.6,14.507,14.5,14.685,14.685,14.507,14.685,3600,14.682,14.68,14.682,528553.5,519671.9,528553.5,,3,0.0
TQBR,2014-06-25,iИСКЧ ао,ISKJ,9,83649.5,14.179,14.179,14.774,14.42,14.422,14.45,5800,,14.644,,0.0,603321.4,0.0,,3,-0.0160027238678924
TQBR,2014-06-26,iИСКЧ ао,ISKJ,9,21416.6,14.182,14.177,14.591,14.51,14.278,14.51,1500,,14.631,,0.0,624738.0,0.0,,3,0.0041522491349481
TQBR,2014-06-27,iИСКЧ ао,ISKJ,52,820392.9,14.152,13.999,14.348,14.348,14.048,14.348,58400,14.048,14.048,14.048,820392.9,820392.9,820392.9,,3,-0.0111647139903514
TQBR,2014-06-30,iИСКЧ ао,ISKJ,15,91692.2,14.25,14.201,14.42,14.201,14.327,14.201,6400,,14.073,,0.0,523532.3,0.0,,3,-0.010245330359632
TQBR,2014-07-01,iИСКЧ ао,ISKJ,8,15445.8,14.199,14.0,14.199,14.008,14.042,14.0,1100,,14.077,,0.0,509578.1,0.0,,3,-0.0141539328216323
TQBR,2014-07-02,iИСКЧ ао,ISKJ,2,2800.2,14.001,14.001,14.001,14.001,14.001,14.001,200,,14.076,,0.0,512378.3,0.0,,3,7.142857142853185e-05
TQBR,2014-07-03,iИСКЧ ао,ISKJ,10,225591.8,14.149,14.0,14.15,14.0,14.012,14.0,16100,,14.071,,0.0,506564.6,0.0,,3,-7.142346975212097e-05
TQBR,2014-07-04,iИСКЧ ао,ISKJ,10,32277.6,13.999,13.999,14.13,14.0,14.034,14.0,2300,,14.068,,0.0,521912.5,0.0,,3,0.0
TQBR,2014-07-07,iИСКЧ ао,ISKJ,3,6895.5,13.723,13.723,14.063,14.063,13.791,14.063,500,,14.064,,0.0,528808.0,0.0,,3,0.0045
TQBR,2014-07-08,iИСКЧ ао,ISKJ,14,41402.6,14.326,14.067,14.348,14.142,14.277,14.142,2900,,14.079,,0.0,570210.6,0.0,,3,0.0056175780416695
TQBR,2014-07-09,iИСКЧ ао,ISKJ,3,5582.0,13.955,13.955,13.955,13.955,13.955,13.955,400,,14.078,,0.0,575792.6,0.0,,3,-0.0132230236175929
TQBR,2014-07-10,iИСКЧ ао,ISKJ,40,401815.1,14.208,14.029,15.1,14.998,14.506,14.998,27700,,14.38,,0.0,559372.8,0.0,,3,0.0747402364743818
TQBR,2014-07-11,iИСКЧ ао,ISKJ,12,51748.9,14.999,14.69,15.0,14.705,14.785,14.75,3500,,14.509,,0.0,500548.6,0.0,,3,-0.0165355380717428
TQBR,2014-07-14,iИСКЧ ао,ISKJ,19,115664.1,14.748,14.011,14.748,14.553,14.105,14.553,8200,,14.458,,0.0,552314.0,0.0,,3,-0.0133559322033897
TQBR,2014-07-15,iИСКЧ ао,ISKJ,22,256506.7,14.021,14.0,14.245,14.243,14.017,14.243,18300,,14.245,,0.0,500016.6,0.0,,3,-0.0213014498728784
TQBR,2014-07-16,iИСКЧ ао,ISKJ,8,18258.2,14.199,13.995,14.199,14.0,14.045,14.0,1300,,14.217,,0.0,503274.8,0.0,,3,-0.0170610124271572
TQBR,2014-07-17,iИСКЧ ао,ISKJ,24,342293.9,13.911,13.91,14.243,13.95,13.971,13.95,24500,,13.983,,0.0,510376.4,0.0,,3,-0.0035714285714286
TQBR,2014-07-18,iИСКЧ ао,ISKJ,24,198613.3,13.855,13.707,14.065,14.049,13.793,14.049,14400,,13.889,,0.0,505561.4,0.0,,3,0.0070967741935484
TQBR,2014-07-21,iИСКЧ ао,ISKJ,0,0.0,,,,14.049,,,0,,13.889,,0.0,505561.4,0.0,,3,0.0
TQBR,2014-07-22,iИСКЧ ао,ISKJ,41,387326.8,13.988,13.5,13.988,13.52,13.543,13.696,28600,,13.602,,0.0,537261.0,0.0,,3,0.0
TQBR,2014-07-23,iИСКЧ ао,ISKJ,5,30418.7,13.55,13.55,13.973,13.84,13.827,13.85,2200,,13.613,,0.0,567679.7,0.0,,3,0.0112441588785046
TQBR,2014-07-24,iИСКЧ ао,ISKJ,1,1375.1,13.751,13.751,13.751,13.751,13.751,13.751,100,,13.614,,0.0,569054.8,0.0,,3,-0.0071480144404332
TQBR,2014-07-25,iИСКЧ ао,ISKJ,2,5452.6,13.632,13.631,13.632,13.632,13.632,13.631,400,,13.614,,0.0,574507.4,0.0,,3,-0.0087266380626862
TQBR,2014-07-28,iИСКЧ ао,ISKJ,7,22802.9,13.402,13.401,13.598,13.401,13.413,13.401,1700,,13.606,,0.0,597310.3,0.0,,3,-0.0168733034993764
TQBR,2014-07-29,iИСКЧ ао,ISKJ,28,102995.8,13.402,13.201,13.665,13.582,13.376,13.582,7700,,13.501,,0.0,511688.9,0.0,,3,0.0135064547421834
TQBR,2014-07-30,iИСКЧ ао,ISKJ,4,38220.3,13.183,13.177,13.183,13.179,13.179,13.177,2900,,13.478,,0.0,549909.2,0.0,,3,-0.0298188779266677
TQBR,2014-07-31,iИСКЧ ао,ISKJ,28,360239.1,13.248,13.0,13.428,13.156,13.052,13.156,27600,,13.126,,0.0,500115.0,0.0,,3,-0.0015936859679744
TQBR,2014-08-01,iИСКЧ ао,ISKJ,1,2678.6,13.393,13.393,13.393,13.393,13.393,13.393,200,,13.126,,0.0,500113.4,0.0,,3,0.0180145941015506
TQBR,2014-08-04,iИСКЧ ао,ISKJ,29,388848.1,13.03,12.801,13.521,13.029,13.271,13.029,29300,,13.204,,0.0,525527.9,0.0,,3,-0.0271783767639812
TQBR,2014-08-05,iИСКЧ ао,ISKJ,23,419769.9,13.0,12.999,13.497,13.014,13.077,13.0,32100,,13.175,,0.0,548081.9,0.0,,3,-0.0022258039757464
TQBR,2014-08-06,iИСКЧ ао,ISKJ,15,195967.9,13.383,12.801,13.383,12.973,12.893,13.134,15200,,13.009,,0.0,585419.0,0.0,,3,0.0103076923076923
