BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,Слав-ЯНОСп,JNOSP,0,0.0,,,,18.039,,,0,17.052,18.549,17.052,15954015.2,502680.2,15954015.2,,3,0.0
TQBR,2014-06-10,Слав-ЯНОСп,JNOSP,25,645713.2,16.006,16.0,17.652,17.238,16.143,17.652,40000,16.143,16.143,16.143,645713.2,645713.2,645713.2,,3,0.0
TQBR,2014-06-11,Слав-ЯНОСп,JNOSP,2,454302.7,17.6,17.6,19.827,19.827,17.609,19.827,25800,16.718,17.509,16.718,1100015.9,542791.3,1100015.9,,3,0.1232154996600952
TQBR,2014-06-16,Слав-ЯНОСп,JNOSP,0,0.0,,,,19.827,,,0,16.718,17.509,16.718,1100015.9,542791.3,1100015.9,,3,0.0
TQBR,2014-06-17,Слав-ЯНОСп,JNOSP,5,267907.3,17.251,17.0,19.091,17.284,17.284,19.091,15500,16.826,17.482,16.826,1367923.2,732505.2,1367923.2,,3,0.0
TQBR,2014-06-18,Слав-ЯНОСп,JNOSP,5,153083.2,18.882,18.882,18.94,18.94,18.899,18.94,8100,,17.718,,0.0,875293.2,0.0,,3,-0.007909486145304
TQBR,2014-06-19,Слав-ЯНОСп,JNOSP,6,273541.9,17.6,17.6,18.99,18.99,18.608,18.99,14700,,18.267,,0.0,608277.4,0.0,,3,0.0026399155227031
TQBR,2014-06-20,Слав-ЯНОСп,JNOSP,0,0.0,,,,18.99,,,0,,18.267,,0.0,608277.4,0.0,,3,0.0
TQBR,2014-06-23,Слав-ЯНОСп,JNOSP,0,0.0,,,,18.99,,,0,18.134,18.267,18.134,694532.4,608277.4,694532.4,,3,0.0
TQBR,2014-06-24,Слав-ЯНОСп,JNOSP,5,3289410.0,18.0,18.0,18.3,18.3,18.004,18.3,182700,18.083,18.05,18.083,3716035.1,3561191.9,3716035.1,,3,0.0
TQBR,2014-06-25,Слав-ЯНОСп,JNOSP,7,220061.7,18.002,18.0,19.8,19.8,18.649,19.8,11800,18.044,18.044,18.044,3509471.7,3509471.7,3509471.7,,3,0.081967213114754
TQBR,2014-06-26,Слав-ЯНОСп,JNOSP,0,0.0,,,,19.8,,,0,18.044,18.044,18.044,3509471.7,3509471.7,3509471.7,,3,0.0
TQBR,2014-06-27,Слав-ЯНОСп,JNOSP,4,380000.0,19.0,19.0,19.0,19.0,19.0,19.0,20000,18.87,18.873,18.87,600061.7,598261.5,600061.7,,3,0.0
TQBR,2014-06-30,Слав-ЯНОСп,JNOSP,0,0.0,,,,19.0,,,0,18.133,18.873,18.133,3889471.7,598261.5,3889471.7,,3,0.0
TQBR,2014-07-01,Слав-ЯНОСп,JNOSP,0,0.0,,,,19.0,,,0,18.87,18.873,18.87,600061.7,598261.5,600061.7,,3,0.0
TQBR,2014-07-02,Слав-ЯНОСп,JNOSP,0,0.0,,,,19.0,,,0,18.163,18.873,18.163,4163013.6,598261.5,4163013.6,,3,0.0
TQBR,2014-07-03,Слав-ЯНОСп,JNOSP,0,0.0,,,,19.0,,,0,18.133,18.873,18.133,3889471.7,598261.5,3889471.7,,3,0.0
TQBR,2014-07-04,Слав-ЯНОСп,JNOSP,3,83251.5,18.501,18.5,18.501,18.501,18.5,18.501,4500,18.14,19.039,18.14,3972723.2,546411.4,3972723.2,,3,0.0
TQBR,2014-07-07,Слав-ЯНОСп,JNOSP,0,0.0,,,,18.501,,,0,,19.039,,0.0,546411.4,0.0,,3,0.0
TQBR,2014-07-08,Слав-ЯНОСп,JNOSP,0,0.0,,,,18.501,,,0,,19.039,,0.0,546411.4,0.0,,3,0.0
TQBR,2014-07-09,Слав-ЯНОСп,JNOSP,1,59040.0,18.45,18.45,18.45,18.45,18.45,18.45,3200,,18.977,,0.0,603471.5,0.0,,3,0.0
TQBR,2014-07-10,Слав-ЯНОСп,JNOSP,0,0.0,,,,18.45,,,0,,18.977,,0.0,603471.5,0.0,,3,0.0
TQBR,2014-07-11,Слав-ЯНОСп,JNOSP,0,0.0,,,,18.45,,,0,,18.977,,0.0,603471.5,0.0,,3,0.0
TQBR,2014-07-14,Слав-ЯНОСп,JNOSP,4,51734.6,19.837,17.602,19.837,17.774,17.84,17.701,2900,,18.759,,0.0,574026.1,0.0,,3,0.0
TQBR,2014-07-15,Слав-ЯНОСп,JNOSP,1,39600.0,19.8,19.8,19.8,19.8,19.8,19.8,2000,,18.791,,0.0,518626.1,0.0,,3,0.1185808711372238
TQBR,2014-07-16,Слав-ЯНОСп,JNOSP,1,905000.0,18.1,18.1,18.1,18.1,18.1,18.1,50000,18.189,18.189,18.189,1138626.1,1138626.1,1138626.1,,3,-0.0858585858585858
TQBR,2014-07-17,Слав-ЯНОСп,JNOSP,5,37727.4,19.84,19.84,19.888,19.857,19.857,19.888,1900,18.205,18.202,18.205,1034062.0,1032078.3,1034062.0,,3,0.0987845303867403
TQBR,2014-07-18,Слав-ЯНОСп,JNOSP,3,9899.5,19.998,19.0,19.999,19.0,19.799,19.0,500,18.219,18.239,18.219,1043961.5,992226.9,1043961.5,,3,-0.0446500402252615
TQBR,2014-07-21,Слав-ЯНОСп,JNOSP,8,115499.8,19.001,19.0,20.0,19.999,19.914,19.999,5800,,18.353,,0.0,1068126.7,0.0,,3,0.0525789473684209
TQBR,2014-07-22,Слав-ЯНОСп,JNOSP,0,0.0,,,,19.999,,,0,,18.353,,0.0,1068126.7,0.0,,3,0.0
TQBR,2014-07-23,Слав-ЯНОСп,JNOSP,2,204020.0,19.05,19.05,20.0,20.0,19.247,20.0,10600,,18.491,,0.0,1272146.7,0.0,,3,0.0
TQBR,2014-07-24,Слав-ЯНОСп,JNOSP,0,0.0,,,,20.0,,,0,,18.491,,0.0,1272146.7,0.0,,3,0.0
TQBR,2014-07-25,Слав-ЯНОСп,JNOSP,7,270567.1,20.38,20.38,20.501,20.5,20.498,20.5,13200,19.931,19.945,19.931,583972.9,554473.0,583972.9,,3,0.0
TQBR,2014-07-28,Слав-ЯНОСп,JNOSP,4,247615.9,19.502,19.107,19.502,19.497,19.497,19.107,12700,20.003,20.003,20.003,512069.0,512069.0,512069.0,,3,-0.0679512195121951
TQBR,2014-07-29,Слав-ЯНОСп,JNOSP,5,85955.5,20.999,19.556,21.0,19.556,20.965,19.556,4100,20.136,20.093,20.136,598024.5,534471.4,598024.5,,3,0.0234992411158215
TQBR,2014-07-30,Слав-ЯНОСп,JNOSP,10,493131.2,17.555,17.555,21.0,20.575,20.046,21.0,24600,,20.116,,0.0,537086.8,0.0,,3,0.0738392309265698
TQBR,2014-07-31,Слав-ЯНОСп,JNOSP,7,236949.4,18.502,18.502,21.0,20.991,20.969,20.01,11300,20.337,20.546,20.337,730080.6,560904.3,730080.6,,3,-0.047142857142857
TQBR,2014-08-01,Слав-ЯНОСп,JNOSP,2,26650.0,20.5,20.5,20.5,20.5,20.5,20.5,1300,20.342,20.544,20.342,756730.6,587554.3,756730.6,,3,0.0244877561219389
TQBR,2014-08-04,Слав-ЯНОСп,JNOSP,22,568634.1,21.199,20.064,22.0,20.503,21.377,20.501,26600,21.377,21.377,21.377,568634.1,568634.1,568634.1,,3,4.878048780493766e-05
TQBR,2014-08-05,Слав-ЯНОСп,JNOSP,30,1942329.0,20.501,20.5,22.0,21.148,20.641,21.297,94100,20.641,20.641,20.641,1942329.0,1942329.0,1942329.0,,3,0.0388273742744256
TQBR,2014-08-06,Слав-ЯНОСп,JNOSP,7,287630.4,21.487,21.487,22.5,22.5,21.79,22.5,13200,20.782,21.22,20.782,2229959.4,513515.6,2229959.4,,3,0.0564868291308634
TQBR,2014-08-07,Слав-ЯНОСп,JNOSP,1,11250.0,22.5,22.5,22.5,22.5,22.5,22.5,500,20.79,21.246,20.79,2241209.4,524765.6,2241209.4,,3,0.0
TQBR,2014-08-08,Слав-ЯНОСп,JNOSP,3,108750.1,21.502,21.501,21.999,21.999,21.75,21.999,5000,,21.39,,0.0,592493.7,0.0,,3,-0.0222666666666667
TQBR,2014-08-11,Слав-ЯНОСп,JNOSP,8,399764.9,22.0,20.501,22.57,20.502,21.965,20.501,18200,21.919,21.921,21.919,508515.0,506364.8,508515.0,,3,-0.0680940042729214
TQBR,2014-08-12,Слав-ЯНОСп,JNOSP,6,436379.8,21.105,21.103,22.569,22.534,21.819,22.569,20000,21.889,21.828,21.889,836144.7,539144.7,836144.7,,3,0.1008731281400906
TQBR,2014-08-13,Слав-ЯНОСп,JNOSP,0,0.0,,,,22.534,,,0,21.889,21.828,21.889,836144.7,539144.7,836144.7,,3,0.0
TQBR,2014-08-14,Слав-ЯНОСп,JNOSP,12,454865.9,22.569,22.569,25.0,24.553,23.326,25.0,19500,,23.182,,0.0,558683.3,0.0,,3,0.0
TQBR,2014-08-15,Слав-ЯНОСп,JNOSP,8,1416632.7,24.014,24.0,24.05,24.05,24.011,24.05,59000,23.841,24.049,23.841,1871498.6,1493472.7,1871498.6,,3,-0.0379999999999999
TQBR,2014-08-18,Слав-ЯНОСп,JNOSP,9,305992.8,22.8,20.072,26.51,23.113,24.877,23.113,12300,24.16,24.369,24.16,1722625.5,738392.8,1722625.5,,3,-0.038960498960499
TQBR,2014-08-19,Слав-ЯНОСп,JNOSP,5,336734.1,23.115,22.11,25.0,24.992,24.943,25.0,13500,24.912,24.965,24.912,642726.9,619130.3,642726.9,,3,0.0816423657681824
TQBR,2014-08-20,Слав-ЯНОСп,JNOSP,10,269876.2,21.0,21.0,29.17,29.17,29.019,29.17,9300,,26.676,,0.0,594876.2,0.0,,3,0.1668
