BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,Славн-ЯНОС,JNOS,0,0.0,,,,18.501,,,0,,18.389,,0.0,628896.5,0.0,,3,0.0
TQBR,2014-06-10,Славн-ЯНОС,JNOS,6,450100.1,18.5,18.0,18.5,18.004,18.004,18.0,25000,,18.19,,0.0,545691.6,0.0,,3,0.0
TQBR,2014-06-11,Славн-ЯНОС,JNOS,0,0.0,,,,18.004,,,0,,18.19,,0.0,545691.6,0.0,,3,0.0
TQBR,2014-06-16,Славн-ЯНОС,JNOS,0,0.0,,,,18.004,,,0,,18.19,,0.0,545691.6,0.0,,3,0.0
TQBR,2014-06-17,Славн-ЯНОС,JNOS,0,0.0,,,,18.004,,,0,,18.19,,0.0,545691.6,0.0,,3,0.0
TQBR,2014-06-18,Славн-ЯНОС,JNOS,0,0.0,,,,18.004,,,0,,18.19,,0.0,545691.6,0.0,,3,0.0
TQBR,2014-06-19,Славн-ЯНОС,JNOS,0,0.0,,,,18.004,,,0,,18.19,,0.0,545691.6,0.0,,3,0.0
TQBR,2014-06-20,Славн-ЯНОС,JNOS,0,0.0,,,,18.004,,,0,,18.19,,0.0,545691.6,0.0,,3,0.0
TQBR,2014-06-23,Славн-ЯНОС,JNOS,2,36002.1,18.002,18.001,18.002,18.001,18.001,18.001,2000,,18.03,,0.0,513853.7,0.0,,3,0.0
TQBR,2014-06-24,Славн-ЯНОС,JNOS,0,0.0,,,,18.001,,,0,,18.03,,0.0,513853.7,0.0,,3,0.0
TQBR,2014-06-25,Славн-ЯНОС,JNOS,2,20351.1,18.501,18.501,18.501,18.501,18.501,18.501,1100,18.023,18.023,18.023,506453.3,506453.3,506453.3,,3,0.0
TQBR,2014-06-26,Славн-ЯНОС,JNOS,2,234003.0,18.001,18.0,18.001,18.0,18.0,18.0,13000,,18.018,,0.0,560356.3,0.0,,3,-0.0270796173179828
TQBR,2014-06-27,Славн-ЯНОС,JNOS,0,0.0,,,,18.0,,,0,,18.018,,0.0,560356.3,0.0,,3,0.0
TQBR,2014-06-30,Славн-ЯНОС,JNOS,2,92505.9,18.51,18.501,18.51,18.501,18.501,18.501,5000,,18.086,,0.0,647462.1,0.0,,3,0.0
TQBR,2014-07-01,Славн-ЯНОС,JNOS,0,0.0,,,,18.501,,,0,,18.086,,0.0,647462.1,0.0,,3,0.0
TQBR,2014-07-02,Славн-ЯНОС,JNOS,4,181901.9,18.501,18.501,19.2,19.2,18.948,19.2,9600,18.396,18.424,18.396,564764.0,528761.9,564764.0,,3,0.0
TQBR,2014-07-03,Славн-ЯНОС,JNOS,0,0.0,,,,19.2,,,0,18.396,18.424,18.396,564764.0,528761.9,564764.0,,3,0.0
TQBR,2014-07-04,Славн-ЯНОС,JNOS,2,5400.1,18.001,18.0,18.001,18.0,18.0,18.0,300,18.392,18.416,18.392,570164.1,513810.9,570164.1,,3,0.0
TQBR,2014-07-07,Славн-ЯНОС,JNOS,6,312557.9,18.0,18.0,18.5,18.001,18.067,18.0,17300,,18.396,,0.0,590514.8,0.0,,3,0.0
TQBR,2014-07-08,Славн-ЯНОС,JNOS,2,18500.1,18.501,18.5,18.501,18.5,18.5,18.5,1000,,18.382,,0.0,518360.0,0.0,,3,0.0277777777777777
TQBR,2014-07-09,Славн-ЯНОС,JNOS,18,1566199.7,19.499,19.1,20.001,20.0,19.825,20.0,79000,19.825,19.825,19.825,1566199.7,1566199.7,1566199.7,,3,0.081081081081081
TQBR,2014-07-10,Славн-ЯНОС,JNOS,6,414200.0,21.999,20.0,21.999,20.0,20.01,20.0,20700,19.864,20.005,19.864,1980399.7,838200.0,1980399.7,,3,0.0
TQBR,2014-07-11,Славн-ЯНОС,JNOS,3,9837.0,19.89,19.2,19.89,19.5,19.674,19.5,500,19.863,20.001,19.863,1990236.7,514037.0,1990236.7,,3,-0.025
TQBR,2014-07-14,Славн-ЯНОС,JNOS,13,450014.8,19.1,18.102,21.0,19.551,20.001,18.102,22500,,19.994,,0.0,511851.8,0.0,,3,-0.0716923076923076
TQBR,2014-07-15,Славн-ЯНОС,JNOS,7,24854.4,17.503,17.501,18.51,18.51,17.753,18.51,1400,,19.878,,0.0,536706.2,0.0,,3,0.0225389459728207
TQBR,2014-07-16,Славн-ЯНОС,JNOS,0,0.0,,,,18.51,,,0,,19.878,,0.0,536706.2,0.0,,3,0.0
TQBR,2014-07-17,Славн-ЯНОС,JNOS,1,184000.0,18.4,18.4,18.4,18.4,18.4,18.4,10000,19.439,19.519,19.439,668706.2,538734.6,668706.2,,3,0.0
TQBR,2014-07-18,Славн-ЯНОС,JNOS,12,135122.3,19.998,18.457,19.999,18.663,19.303,18.457,7000,,19.381,,0.0,569786.9,0.0,,3,0.0030978260869566
TQBR,2014-07-21,Славн-ЯНОС,JNOS,9,171064.6,20.5,19.007,21.0,19.159,20.365,19.007,8400,,19.237,,0.0,509790.6,0.0,,3,0.029798992252262
TQBR,2014-07-22,Славн-ЯНОС,JNOS,1,184500.0,18.45,18.45,18.45,19.159,18.45,18.45,10000,,19.059,,0.0,674686.9,0.0,,3,-0.0293049928973537
TQBR,2014-07-23,Славн-ЯНОС,JNOS,12,685849.9,19.999,19.5,21.0,20.911,19.937,21.0,34400,19.937,19.937,19.937,685849.9,685849.9,685849.9,,3,0.1382113821138211
TQBR,2014-07-24,Славн-ЯНОС,JNOS,8,382012.7,20.001,20.0,20.001,20.001,20.001,20.001,19100,19.96,20.223,19.96,1067862.6,509612.7,1067862.6,,3,-0.0475714285714285
TQBR,2014-07-25,Славн-ЯНОС,JNOS,17,508134.9,20.5,20.5,22.988,21.502,21.084,22.988,24100,,20.909,,0.0,589640.0,0.0,,3,0.1493425328733562
TQBR,2014-07-28,Славн-ЯНОС,JNOS,7,166666.5,20.5,20.5,21.5,20.558,20.833,20.501,8000,21.039,21.039,21.039,654301.4,652201.4,654301.4,,3,-0.1081868801113623
TQBR,2014-07-29,Славн-ЯНОС,JNOS,0,0.0,,,,20.558,,,0,21.039,21.039,21.039,654301.4,652201.4,654301.4,,3,0.0
TQBR,2014-07-30,Славн-ЯНОС,JNOS,5,98904.8,20.001,19.751,20.001,19.781,19.781,19.751,5000,,20.955,,0.0,521777.4,0.0,,3,0.0
