BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,Куйбазот-п,KAZTP,1,5400.0,54.0,54.0,54.0,54.0,54.0,54.0,100,,54.945,,0,593409.6,0.0,,3,0.0
TQBR,2014-06-10,Куйбазот-п,KAZTP,1,54000.0,54.0,54.0,54.0,54.0,54.0,54.0,1000,,54.865,,0,647409.6,0.0,,3,0.0
TQBR,2014-06-11,Куйбазот-п,KAZTP,0,0.0,,,,54.0,,,0,,54.865,,0,647409.6,0.0,,3,0.0
TQBR,2014-06-16,Куйбазот-п,KAZTP,0,0.0,,,,54.0,,,0,,54.865,,0,647409.6,0.0,,3,0.0
TQBR,2014-06-17,Куйбазот-п,KAZTP,0,0.0,,,,54.0,,,0,,54.865,,0,647409.6,0.0,,3,0.0
TQBR,2014-06-18,Куйбазот-п,KAZTP,0,0.0,,,,54.0,,,0,,54.865,,0,647409.6,0.0,,3,0.0
TQBR,2014-06-19,Куйбазот-п,KAZTP,0,0.0,,,,54.0,,,0,,54.865,,0,647409.6,0.0,,3,0.0
TQBR,2014-06-20,Куйбазот-п,KAZTP,0,0.0,,,,54.0,,,0,,54.865,,0,647409.6,0.0,,3,0.0
TQBR,2014-06-23,Куйбазот-п,KAZTP,0,0.0,,,,54.0,,,0,,54.865,,0,647409.6,0.0,,3,0.0
TQBR,2014-06-24,Куйбазот-п,KAZTP,0,0.0,,,,54.0,,,0,,54.865,,0,647409.6,0.0,,3,0.0
TQBR,2014-06-25,Куйбазот-п,KAZTP,0,0.0,,,,54.0,,,0,,54.865,,0,647409.6,0.0,,3,0.0
TQBR,2014-06-26,Куйбазот-п,KAZTP,0,0.0,,,,54.0,,,0,,54.865,,0,647409.6,0.0,,3,0.0
