BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,Куйбазот,KAZT,0,0,,,,99.98,,,0,,92.45,,0,804342,0.0,,3,0.0
TQBR,2014-06-10,Куйбазот,KAZT,0,0,,,,99.98,,,0,,92.45,,0,804342,0.0,,3,0.0
TQBR,2014-06-11,Куйбазот,KAZT,0,0,,,,99.98,,,0,,92.45,,0,804342,0.0,,3,0.0
TQBR,2014-06-16,Куйбазот,KAZT,0,0,,,,99.98,,,0,,92.45,,0,804342,0.0,,3,0.0
TQBR,2014-06-17,Куйбазот,KAZT,0,0,,,,99.98,,,0,,92.45,,0,804342,0.0,,3,0.0
TQBR,2014-06-18,Куйбазот,KAZT,4,68865,86.02,86.01,86.11,86.1,86.08,86.1,800,,91.92,,0,873207,0.0,,3,0.0
TQBR,2014-06-19,Куйбазот,KAZT,8,231582,88.9,88.9,93.26,92.63,92.63,93.26,2500,,92.07,,0,1104789,0.0,,3,0.0831591173054589
TQBR,2014-06-20,Куйбазот,KAZT,4,184500,90.0,83.0,90.0,85.91,87.86,90.0,2100,,89.95,,0,503747,0.0,,3,-0.0349560368861248
TQBR,2014-06-23,Куйбазот,KAZT,4,108130,90.0,83.0,98.3,98.3,90.11,98.3,1200,90.38,90.41,90.38,524212,515322,524212.0,,3,0.0922222222222221
TQBR,2014-06-24,Куйбазот,KAZT,1,8500,85.0,85.0,85.0,85.0,85.0,85.0,100,89.79,90.36,89.79,601577,506022,601577.0,,3,-0.1353001017293997
TQBR,2014-06-25,Куйбазот,KAZT,0,0,,,,85.0,,,0,90.29,90.36,90.29,532712,506022,532712.0,,3,0.0
TQBR,2014-06-26,Куйбазот,KAZT,1,9200,92.0,92.0,92.0,92.0,92.0,92.0,100,,90.39,,0,515222,0.0,,3,0.0
TQBR,2014-06-27,Куйбазот,KAZT,0,0,,,,92.0,,,0,89.82,90.39,89.82,610777,515222,610777.0,,3,0.0
TQBR,2014-06-30,Куйбазот,KAZT,0,0,,,,92.0,,,0,89.82,90.39,89.82,610777,515222,610777.0,,3,0.0
TQBR,2014-07-01,Куйбазот,KAZT,0,0,,,,92.0,,,0,89.82,90.39,89.82,610777,515222,610777.0,,3,0.0
TQBR,2014-07-02,Куйбазот,KAZT,0,0,,,,92.0,,,0,90.32,90.39,90.32,541912,515222,541912.0,,3,0.0
TQBR,2014-07-03,Куйбазот,KAZT,1,8613,86.13,86.13,86.13,86.13,86.13,86.13,100,,90.32,,0,523835,0.0,,3,0.0
TQBR,2014-07-04,Куйбазот,KAZT,2,17316,86.86,86.3,86.86,86.3,86.58,86.3,200,,89.99,,0,503951,0.0,,3,0.0019737605944502
TQBR,2014-07-07,Куйбазот,KAZT,0,0,,,,86.3,,,0,,89.99,,0,503951,0.0,,3,0.0
TQBR,2014-07-08,Куйбазот,KAZT,0,0,,,,86.3,,,0,,89.99,,0,503951,0.0,,3,0.0
TQBR,2014-07-09,Куйбазот,KAZT,3,25701,86.0,85.01,86.0,86.0,85.67,86.0,300,,89.77,,0,529652,0.0,,3,0.0
TQBR,2014-07-10,Куйбазот,KAZT,0,0,,,,86.0,,,0,,89.77,,0,529652,0.0,,3,0.0
TQBR,2014-07-11,Куйбазот,KAZT,3,137920,82.15,82.15,91.0,86.2,86.2,85.0,1600,,87.89,,0,518532,0.0,,3,0.0
TQBR,2014-07-14,Куйбазот,KAZT,2,138320,85.2,85.2,87.7,86.45,86.45,87.7,1600,,87.36,,0,506700,0.0,,3,0.0317647058823529
TQBR,2014-07-15,Куйбазот,KAZT,0,0,,,,86.45,,,0,,87.36,,0,506700,0.0,,3,0.0
TQBR,2014-07-16,Куйбазот,KAZT,12,479401,91.81,91.81,96.0,96.0,95.88,96.0,5000,,94.75,,0,549561,0.0,,3,0.0
TQBR,2014-07-17,Куйбазот,KAZT,0,0,,,,96.0,,,0,,94.75,,0,549561,0.0,,3,0.0
TQBR,2014-07-18,Куйбазот,KAZT,1,9993,99.93,99.93,99.93,99.93,99.93,99.93,100,,94.84,,0,559554,0.0,,3,0.0
TQBR,2014-07-21,Куйбазот,KAZT,4,157590,86.1,86.1,89.0,87.55,87.55,89.0,1800,93.77,93.61,93.77,646984,580357,646984.0,,3,-0.1093765635945162
TQBR,2014-07-22,Куйбазот,KAZT,0,0,,,,87.55,,,0,93.77,93.61,93.77,646984,580357,646984.0,,3,0.0
TQBR,2014-07-23,Куйбазот,KAZT,0,0,,,,87.55,,,0,91.41,93.61,91.41,923224,580357,923224.0,,3,0.0
TQBR,2014-07-24,Куйбазот,KAZT,0,0,,,,87.55,,,0,91.41,93.61,91.41,923224,580357,923224.0,,3,0.0
TQBR,2014-07-25,Куйбазот,KAZT,0,0,,,,87.55,,,0,92.39,93.61,92.39,785304,580357,785304.0,,3,0.0
TQBR,2014-07-28,Куйбазот,KAZT,1,9900,99.0,99.0,99.0,99.0,99.0,99.0,100,93.84,93.69,93.84,656884,590257,656884.0,,3,0.0
TQBR,2014-07-29,Куйбазот,KAZT,0,0,,,,99.0,,,0,93.84,93.69,93.84,656884,590257,656884.0,,3,0.0
TQBR,2014-07-30,Куйбазот,KAZT,0,0,,,,99.0,,,0,,93.69,,0,590257,0.0,,3,0.0
TQBR,2014-07-31,Куйбазот,KAZT,0,0,,,,99.0,,,0,,93.69,,0,590257,0.0,,3,0.0
TQBR,2014-08-01,Куйбазот,KAZT,0,0,,,,99.0,,,0,,93.69,,0,590257,0.0,,3,0.0
TQBR,2014-08-04,Куйбазот,KAZT,3,157338,86.0,86.0,89.3,87.41,87.41,89.3,1800,,91.08,,0,555615,0.0,,3,0.0
TQBR,2014-08-05,Куйбазот,KAZT,0,0,,,,87.41,,,0,,91.08,,0,555615,0.0,,3,0.0
TQBR,2014-08-06,Куйбазот,KAZT,0,0,,,,87.41,,,0,,91.08,,0,555615,0.0,,3,0.0
TQBR,2014-08-07,Куйбазот,KAZT,0,0,,,,87.41,,,0,,91.08,,0,555615,0.0,,3,0.0
TQBR,2014-08-08,Куйбазот,KAZT,3,148278,81.05,81.05,84.02,82.38,82.38,84.02,1800,,86.76,,0,511899,0.0,,3,0.0
TQBR,2014-08-11,Куйбазот,KAZT,0,0,,,,82.38,,,0,,86.76,,0,511899,0.0,,3,0.0
TQBR,2014-08-12,Куйбазот,KAZT,0,0,,,,82.38,,,0,,86.76,,0,511899,0.0,,3,0.0
TQBR,2014-08-13,Куйбазот,KAZT,0,0,,,,82.38,,,0,,86.76,,0,511899,0.0,,3,0.0
TQBR,2014-08-14,Куйбазот,KAZT,1,8202,82.02,82.02,82.02,82.02,82.02,82.02,100,,86.36,,0,500901,0.0,,3,0.0
TQBR,2014-08-15,Куйбазот,KAZT,0,0,,,,82.02,,,0,,86.36,,0,500901,0.0,,3,0.0
TQBR,2014-08-18,Куйбазот,KAZT,0,0,,,,82.02,,,0,,86.36,,0,500901,0.0,,3,0.0
TQBR,2014-08-19,Куйбазот,KAZT,0,0,,,,82.02,,,0,,86.36,,0,500901,0.0,,3,0.0
TQBR,2014-08-20,Куйбазот,KAZT,0,0,,,,82.02,,,0,,86.36,,0,500901,0.0,,3,0.0
TQBR,2014-08-21,Куйбазот,KAZT,2,122010,85.0,85.0,89.3,87.15,87.15,89.3,1400,,86.2,,0,525828,0.0,,3,0.0
TQBR,2014-08-22,Куйбазот,KAZT,0,0,,,,87.15,,,0,,86.2,,0,525828,0.0,,3,0.0
TQBR,2014-08-25,Куйбазот,KAZT,0,0,,,,87.15,,,0,,86.2,,0,525828,0.0,,3,0.0
TQBR,2014-08-26,Куйбазот,KAZT,0,0,,,,87.15,,,0,,86.2,,0,525828,0.0,,3,0.0
TQBR,2014-08-27,Куйбазот,KAZT,0,0,,,,87.15,,,0,,86.2,,0,525828,0.0,,3,0.0
TQBR,2014-08-28,Куйбазот,KAZT,4,169970,84.0,83.0,87.3,85.15,84.99,87.3,2000,,85.23,,0,528398,0.0,,3,0.0
TQBR,2014-08-29,Куйбазот,KAZT,0,0,,,,85.15,,,0,,85.23,,0,528398,0.0,,3,0.0
TQBR,2014-09-01,Куйбазот,KAZT,0,0,,,,85.15,,,0,,85.23,,0,528398,0.0,,3,0.0
TQBR,2014-09-02,Куйбазот,KAZT,4,1842295,87.0,87.0,92.5,92.5,92.11,92.5,20000,91.21,91.21,91.21,2134275,2134275,2134275.0,,3,0.0
TQBR,2014-09-03,Куйбазот,KAZT,1,121800,87.0,87.0,87.0,87.0,87.0,87.0,1400,90.97,91.14,90.97,2256075,2196575,2256075.0,,3,-0.0594594594594594
TQBR,2014-09-04,Куйбазот,KAZT,0,0,,,,87.0,,,0,,91.14,,0,2196575,0.0,,3,0.0
TQBR,2014-09-05,Куйбазот,KAZT,0,0,,,,87.0,,,0,,91.14,,0,2196575,0.0,,3,0.0
TQBR,2014-09-08,Куйбазот,KAZT,0,0,,,,87.0,,,0,,91.14,,0,2196575,0.0,,3,0.0
