BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,ТНСэКубань,KBSB,16,105642.0,104.0,100.0,115.0,112.0,112.39,112.0,940,,112.05,,0.0,509818.7,0.0,,3,0.0
TQBR,2014-06-10,ТНСэКубань,KBSB,16,76841.8,115.0,114.0,115.01,114.07,114.69,114.0,670,,113.72,,0.0,500377.7,0.0,,3,0.0178571428571428
TQBR,2014-06-11,ТНСэКубань,KBSB,19,179164.1,117.92,113.5,118.0,115.1,117.87,115.1,1520,,114.66,,0.0,501053.9,0.0,,3,0.0096491228070174
TQBR,2014-06-16,ТНСэКубань,KBSB,0,0.0,,,,115.1,,,0,,114.66,,0.0,501053.9,0.0,,3,0.0
TQBR,2014-06-17,ТНСэКубань,KBSB,28,129842.0,108.0,108.0,129.48,126.3,123.66,117.99,1050,,117.5,,0.0,502890.5,0.0,,3,0.0
TQBR,2014-06-18,ТНСэКубань,KBSB,26,225501.9,120.88,111.0,130.0,129.99,129.6,130.0,1740,,124.42,,0.0,503905.5,0.0,,3,0.1017882871429782
TQBR,2014-06-19,ТНСэКубань,KBSB,2,3869.9,129.0,128.99,129.0,128.99,129.0,128.99,30,,124.52,,0.0,503055.8,0.0,,3,-0.0077692307692306
TQBR,2014-06-20,ТНСэКубань,KBSB,1,12100.0,121.0,121.0,121.0,121.0,121.0,121.0,100,,124.43,,0.0,515155.8,0.0,,3,-0.061942786262501
TQBR,2014-06-23,ТНСэКубань,KBSB,1,1205.1,120.51,120.51,120.51,120.51,120.51,120.51,10,,124.42,,0.0,516360.9,0.0,,3,-0.0040495867768594
TQBR,2014-06-24,ТНСэКубань,KBSB,9,208410.8,127.99,127.99,135.0,134.81,131.08,135.0,1590,,129.73,,0.0,511138.5,0.0,,3,0.1202389843166541
TQBR,2014-06-25,ТНСэКубань,KBSB,45,523830.3,133.99,133.99,141.6,140.0,137.13,140.0,3820,137.13,137.13,137.13,523830.3,523830.3,523830.3,,3,0.037037037037037
TQBR,2014-06-26,ТНСэКубань,KBSB,17,411238.5,140.3,140.3,149.83,149.83,148.46,149.83,2770,,146.72,,0.0,526726.6,0.0,,3,0.0702142857142858
TQBR,2014-06-27,ТНСэКубань,KBSB,1,1479.1,147.91,147.91,147.91,147.91,147.91,147.91,10,,146.72,,0.0,528205.7,0.0,,3,-0.0128145231262098
TQBR,2014-06-30,ТНСэКубань,KBSB,10,76371.2,136.78,134.49,138.0,138.0,136.38,138.0,560,,146.12,,0.0,512888.8,0.0,,3,-0.0670002028260428
