BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-10,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-11,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-16,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-17,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-18,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-19,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-20,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-23,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-24,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-25,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-26,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-27,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-30,КурганГКао,KGKC,1,4701,47.01,47.01,47.01,47.01,47.01,47.01,100,,,,0,0,0.0,,3,0.0
TQBR,2014-07-01,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-07-02,КурганГКао,KGKC,0,0,,,,47.01,,,0,,,,0,0,0.0,,3,0.0
