BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,КАМАЗ,KMAZ,54,616220,37.99,37.24,38.0,37.24,37.57,37.24,16400,37.57,37.57,37.57,616220,616220,616220.0,,3,0.0
TQBR,2014-06-10,КАМАЗ,KMAZ,49,427535,37.29,36.97,37.37,37.06,37.18,37.06,11500,,37.2,,0,502204,0.0,,3,-0.0048335123523093
TQBR,2014-06-11,КАМАЗ,KMAZ,63,470213,37.39,37.0,37.64,37.15,37.32,37.0,12600,,37.3,,0,503567,0.0,,3,-0.0016189962223422
TQBR,2014-06-16,КАМАЗ,KMAZ,119,1574286,37.4,36.19,37.4,36.2,36.87,36.2,42700,36.87,36.87,36.87,1574286,1574286,1574286.0,,3,-0.0216216216216215
TQBR,2014-06-17,КАМАЗ,KMAZ,56,517205,37.0,36.1,37.0,36.4,36.42,36.4,14200,36.42,36.42,36.42,517205,517205,517205.0,,3,0.0055248618784529
TQBR,2014-06-18,КАМАЗ,KMAZ,50,424037,37.37,36.33,37.37,36.52,36.55,36.52,11600,,36.54,,0,500609,0.0,,3,0.0032967032967034
TQBR,2014-06-19,КАМАЗ,KMAZ,51,602801,36.64,36.52,37.21,37.05,36.98,37.05,16300,36.98,36.98,36.98,602801,602801,602801.0,,3,0.0145125958378968
TQBR,2014-06-20,КАМАЗ,KMAZ,34,371073,36.94,36.94,37.2,37.09,37.11,37.09,10000,,37.13,,0,501259,0.0,,3,0.0010796221322538
TQBR,2014-06-23,КАМАЗ,KMAZ,28,228358,36.93,36.76,36.95,36.91,36.83,36.91,6200,,36.99,,0,506798,0.0,,3,-0.0048530601240228
TQBR,2014-06-24,КАМАЗ,KMAZ,80,870684,36.63,36.53,37.69,37.53,37.37,37.58,23300,37.37,37.37,37.37,870684,870684,870684.0,,3,0.0181522622595503
TQBR,2014-06-25,КАМАЗ,KMAZ,50,624084,37.75,37.02,38.57,37.03,37.6,37.03,16600,37.6,37.6,37.6,624084,624084,624084.0,,3,-0.0146354443853112
TQBR,2014-06-26,КАМАЗ,KMAZ,50,321229,37.08,36.9,37.76,37.64,37.35,37.71,8600,,37.37,,0,534384,0.0,,3,0.0183634890629219
TQBR,2014-06-27,КАМАЗ,KMAZ,40,277710,37.89,37.21,38.34,37.26,37.53,37.26,7400,,37.41,,0,505095,0.0,,3,-0.0119331742243437
TQBR,2014-06-30,КАМАЗ,KMAZ,35,161641,38.24,37.34,38.25,37.48,37.59,37.48,4300,,37.57,,0,503390,0.0,,3,0.0059044551798174
TQBR,2014-07-01,КАМАЗ,KMAZ,46,299973,37.5,37.32,37.59,37.48,37.5,37.48,8000,,37.52,,0,502705,0.0,,3,0.0
TQBR,2014-07-02,КАМАЗ,KMAZ,33,255734,37.78,37.5,37.8,37.63,37.61,37.7,6800,,37.55,,0,503223,0.0,,3,0.0058697972251869
TQBR,2014-07-03,КАМАЗ,KMAZ,60,465472,37.73,37.07,37.74,37.55,37.54,37.6,12400,,37.54,,0,514335,0.0,,3,-0.0026525198938992
TQBR,2014-07-04,КАМАЗ,KMAZ,44,621048,37.67,37.1,37.94,37.11,37.41,37.11,16600,37.41,37.41,37.41,621048,621048,621048.0,,3,-0.013031914893617
TQBR,2014-07-07,КАМАЗ,KMAZ,113,815206,37.13,35.92,37.13,36.97,36.72,36.92,22200,36.72,36.72,36.72,815206,815206,815206.0,,3,-0.0051199137698732
TQBR,2014-07-08,КАМАЗ,KMAZ,59,507815,36.77,36.73,37.65,36.85,37.07,36.85,13700,37.07,37.07,37.07,507815,507815,507815.0,,3,-0.001895991332611
