BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,КоршГОК ао,KOGK,2,93630,46810.0,46810.0,46820.0,46820,46820.0,46820.0,2,45980.0,45960,45980.0,2298760,2251860,2298760.0,,3,0.0
TQBR,2014-06-10,КоршГОК ао,KOGK,5,591520,45400.0,45400.0,45990.0,45990,45500.0,45990.0,13,45610.0,45670,45610.0,1003380,867780,1003380.0,,3,-0.0177274668944895
TQBR,2014-06-11,КоршГОК ао,KOGK,1,45180,45180.0,45180.0,45180.0,45180,45180.0,45180.0,1,45870.0,45680,45870.0,2935460,867950,2935460.0,,3,-0.0176125244618395
TQBR,2014-06-16,КоршГОК ао,KOGK,5,229430,45990.0,45360.0,46100.0,45360,45890.0,45360.0,5,45590.0,45600,45590.0,866130,820730,866130.0,,3,0.0039840637450199
TQBR,2014-06-17,КоршГОК ао,KOGK,9,427710,46850.0,46850.0,48000.0,47500,47520.0,47500.0,9,46940.0,47200,46940.0,657140,519170,657140.0,,3,0.0471781305114638
TQBR,2014-06-18,КоршГОК ао,KOGK,9,488500,47500.0,47500.0,50000.0,49630,48850.0,49500.0,10,48220.0,48730,48220.0,916210,536000,916210.0,,3,0.0421052631578947
TQBR,2014-06-19,КоршГОК ао,KOGK,2,151000,50000.0,50000.0,51000.0,51000,50330.0,51000.0,3,49190.0,49330,49190.0,639500,592000,639500.0,,3,0.0303030303030303
TQBR,2014-06-20,КоршГОК ао,KOGK,3,153010,51500.0,50010.0,51500.0,50010,51000.0,50010.0,3,49530.0,50180,49530.0,792510,552010,792510.0,,3,-0.0194117647058823
TQBR,2014-06-23,КоршГОК ао,KOGK,2,103600,51800.0,51800.0,51800.0,51800,51800.0,51800.0,2,49030.0,50600,49030.0,1323820,556610,1323820.0,,3,0.0357928414317136
TQBR,2014-06-24,КоршГОК ао,KOGK,0,0,,,,51800,,,0,49780.0,50600,49780.0,896110,556610,896110.0,,3,0.0
TQBR,2014-06-25,КоршГОК ао,KOGK,0,0,,,,51800,,,0,47610.0,50600,47610.0,2189950,556610,2189950.0,,3,0.0
TQBR,2014-06-26,КоршГОК ао,KOGK,4,249950,49970.0,49970.0,50000.0,49990,49990.0,50000.0,5,48640.0,50690,48640.0,1848380,557560,1848380.0,,3,0.0
TQBR,2014-06-27,КоршГОК ао,KOGK,0,0,,,,49990,,,0,48740.0,50690,48740.0,1803200,557560,1803200.0,,3,0.0
TQBR,2014-06-30,КоршГОК ао,KOGK,13,792470,48000.0,48000.0,54000.0,50310,49530.0,54000.0,16,49530.0,49530,49530.0,792470,792470,792470.0,,3,0.0
TQBR,2014-07-01,КоршГОК ао,KOGK,2,100000,50000.0,50000.0,50000.0,50000,50000.0,50000.0,2,49580.0,50020,49580.0,892470,600180,892470.0,,3,-0.074074074074074
TQBR,2014-07-02,КоршГОК ао,KOGK,4,195290,48010.0,48010.0,49970.0,49090,48820.0,48210.0,4,49440.0,49930,49440.0,1087760,549270,1087760.0,,3,-0.0358
TQBR,2014-07-03,КоршГОК ао,KOGK,1,47590,47590.0,47590.0,47590.0,47590,47590.0,47590.0,1,49360.0,49720,49360.0,1135350,546880,1135350.0,,3,-0.0128604024061398
TQBR,2014-07-04,КоршГОК ао,KOGK,0,0,,,,47590,,,0,49360.0,49720,49360.0,1135350,546880,1135350.0,,3,0.0
TQBR,2014-07-07,КоршГОК ао,KOGK,0,0,,,,47590,,,0,,49720,,0,546880,0.0,,3,0.0
TQBR,2014-07-08,КоршГОК ао,KOGK,1,48000,48000.0,48000.0,48000.0,48000,48000.0,48000.0,1,,49530,,0,544880,0.0,,3,0.0
TQBR,2014-07-09,КоршГОК ао,KOGK,0,0,,,,48000,,,0,,49530,,0,544880,0.0,,3,0.0
TQBR,2014-07-10,КоршГОК ао,KOGK,0,0,,,,48000,,,0,,49530,,0,544880,0.0,,3,0.0
TQBR,2014-07-11,КоршГОК ао,KOGK,0,0,,,,48000,,,0,,49530,,0,544880,0.0,,3,0.0
