BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,ТКЗКК ап,KRKOP,1,460.0,4.6,4.6,4.6,4.6,4.6,4.6,100,,4.257,,0.0,500599.1,0.0,,3,0.0
TQBR,2014-06-10,ТКЗКК ап,KRKOP,2,4140.0,4.6,4.6,4.6,4.6,4.6,4.6,900,,4.259,,0.0,504739.1,0.0,,3,0.0
TQBR,2014-06-11,ТКЗКК ап,KRKOP,0,0.0,,,,4.6,,,0,,4.259,,0.0,504739.1,0.0,,3,0.0
TQBR,2014-06-16,ТКЗКК ап,KRKOP,1,400.0,4.0,4.0,4.0,4.0,4.0,4.0,100,,4.259,,0.0,505139.1,0.0,,3,0.0
TQBR,2014-06-17,ТКЗКК ап,KRKOP,0,0.0,,,,4.0,,,0,,4.259,,0.0,505139.1,0.0,,3,0.0
TQBR,2014-06-18,ТКЗКК ап,KRKOP,0,0.0,,,,4.0,,,0,,4.259,,0.0,505139.1,0.0,,3,0.0
TQBR,2014-06-19,ТКЗКК ап,KRKOP,0,0.0,,,,4.0,,,0,,4.259,,0.0,505139.1,0.0,,3,0.0
TQBR,2014-06-20,ТКЗКК ап,KRKOP,0,0.0,,,,4.0,,,0,,4.259,,0.0,505139.1,0.0,,3,0.0
TQBR,2014-06-23,ТКЗКК ап,KRKOP,1,410.0,4.1,4.1,4.1,4.1,4.1,4.1,100,,4.259,,0.0,505549.1,0.0,,3,0.0
TQBR,2014-06-24,ТКЗКК ап,KRKOP,0,0.0,,,,4.1,,,0,,4.259,,0.0,505549.1,0.0,,3,0.0
TQBR,2014-06-25,ТКЗКК ап,KRKOP,0,0.0,,,,4.1,,,0,,4.259,,0.0,505549.1,0.0,,3,0.0
TQBR,2014-06-26,ТКЗКК ап,KRKOP,0,0.0,,,,4.1,,,0,,4.259,,0.0,505549.1,0.0,,3,0.0
TQBR,2014-06-27,ТКЗКК ап,KRKOP,0,0.0,,,,4.1,,,0,,4.259,,0.0,505549.1,0.0,,3,0.0
TQBR,2014-06-30,ТКЗКК ап,KRKOP,0,0.0,,,,4.1,,,0,,4.259,,0.0,505549.1,0.0,,3,0.0
TQBR,2014-07-01,ТКЗКК ап,KRKOP,1,360.2,3.602,3.602,3.602,3.602,3.602,3.602,100,,4.258,,0.0,505909.3,0.0,,3,0.0
TQBR,2014-07-02,ТКЗКК ап,KRKOP,0,0.0,,,,3.602,,,0,,4.258,,0.0,505909.3,0.0,,3,0.0
TQBR,2014-07-03,ТКЗКК ап,KRKOP,2,810.2,4.001,4.001,4.101,4.101,4.051,4.101,200,,4.258,,0.0,506719.5,0.0,,3,0.0
TQBR,2014-07-04,ТКЗКК ап,KRKOP,0,0.0,,,,4.101,,,0,,4.258,,0.0,506719.5,0.0,,3,0.0
TQBR,2014-07-07,ТКЗКК ап,KRKOP,0,0.0,,,,4.101,,,0,,4.258,,0.0,506719.5,0.0,,3,0.0
TQBR,2014-07-08,ТКЗКК ап,KRKOP,18,44114.7,3.8,3.102,4.5,4.5,3.77,4.5,11700,,4.214,,0.0,550834.2,0.0,,3,0.0
TQBR,2014-07-09,ТКЗКК ап,KRKOP,0,0.0,,,,4.5,,,0,,4.214,,0.0,550834.2,0.0,,3,0.0
TQBR,2014-07-10,ТКЗКК ап,KRKOP,0,0.0,,,,4.5,,,0,,4.214,,0.0,550834.2,0.0,,3,0.0
TQBR,2014-07-11,ТКЗКК ап,KRKOP,0,0.0,,,,4.5,,,0,,4.214,,0.0,550834.2,0.0,,3,0.0
TQBR,2014-07-14,ТКЗКК ап,KRKOP,0,0.0,,,,4.5,,,0,,4.214,,0.0,550834.2,0.0,,3,0.0
TQBR,2014-07-15,ТКЗКК ап,KRKOP,42,126288.7,4.1,3.27,4.1,3.33,3.386,3.33,37300,,3.893,,0.0,512322.9,0.0,,3,0.0
TQBR,2014-07-16,ТКЗКК ап,KRKOP,10,29425.9,3.777,3.399,3.997,3.399,3.462,3.399,8500,,3.825,,0.0,503048.8,0.0,,3,0.0207207207207207
TQBR,2014-07-17,ТКЗКК ап,KRKOP,1,339.8,3.398,3.398,3.398,3.398,3.398,3.398,100,,3.825,,0.0,503388.6,0.0,,3,-0.0002942041776992
TQBR,2014-07-18,ТКЗКК ап,KRKOP,0,0.0,,,,3.398,,,0,,3.825,,0.0,503388.6,0.0,,3,0.0
TQBR,2014-07-21,ТКЗКК ап,KRKOP,3,3397.6,3.398,3.397,3.398,3.397,3.398,3.397,1000,,3.818,,0.0,502456.2,0.0,,3,0.0
TQBR,2014-07-22,ТКЗКК ап,KRKOP,0,0.0,,,,3.397,,,0,,3.818,,0.0,502456.2,0.0,,3,0.0
TQBR,2014-07-23,ТКЗКК ап,KRKOP,0,0.0,,,,3.397,,,0,,3.818,,0.0,502456.2,0.0,,3,0.0
TQBR,2014-07-24,ТКЗКК ап,KRKOP,2,7140.0,3.4,3.4,3.4,3.4,3.4,3.4,2100,,3.804,,0.0,500936.2,0.0,,3,0.0
TQBR,2014-07-25,ТКЗКК ап,KRKOP,0,0.0,,,,3.4,,,0,,3.804,,0.0,500936.2,0.0,,3,0.0
TQBR,2014-07-28,ТКЗКК ап,KRKOP,0,0.0,,,,3.4,,,0,,3.804,,0.0,500936.2,0.0,,3,0.0
TQBR,2014-07-29,ТКЗКК ап,KRKOP,0,0.0,,,,3.4,,,0,,3.804,,0.0,500936.2,0.0,,3,0.0
