BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,Красэсб ап,KRSBP,0,0.0,,,,2.97,,,0,,2.826,,0,517157.1,0.0,,3,0.0
TQBR,2014-06-10,Красэсб ап,KRSBP,1,23727.2,2.9659,2.9659,2.9659,2.9659,2.9659,2.9659,8000,,2.8263,,0,500255.3,0.0,,3,0.0
TQBR,2014-06-11,Красэсб ап,KRSBP,2,5780.1,2.8901,2.89,2.8901,2.8901,2.8901,2.89,2000,,2.828,,0,503379.4,0.0,,3,-0.0255908830371893
TQBR,2014-06-16,Красэсб ап,KRSBP,12,44611.4,2.9638,2.7045,2.9638,2.76,2.7882,2.76,16000,,2.8325,,0,504187.4,0.0,,3,-0.0449826989619378
TQBR,2014-06-17,Красэсб ап,KRSBP,5,32820.1,2.74,2.7001,2.74,2.74,2.735,2.74,12000,,2.8413,,0,500071.1,0.0,,3,-0.007246376811594
TQBR,2014-06-18,Красэсб ап,KRSBP,3,8197.9,2.7489,2.7,2.749,2.749,2.7326,2.749,3000,,2.8404,,0,502746.3,0.0,,3,0.0032846715328466
TQBR,2014-06-19,Красэсб ап,KRSBP,0,0.0,,,,2.749,,,0,,2.8404,,0,502746.3,0.0,,3,0.0
TQBR,2014-06-20,Красэсб ап,KRSBP,3,16200.0,2.7,2.7,2.7,2.7,2.7,2.7,6000,,2.8322,,0,501291.8,0.0,,3,0.0
TQBR,2014-06-23,Красэсб ап,KRSBP,1,2560.2,2.5602,2.5602,2.5602,2.5602,2.5602,2.5602,1000,,2.8306,,0,503852.0,0.0,,3,-0.0517777777777778
TQBR,2014-06-24,Красэсб ап,KRSBP,0,0.0,,,,2.5602,,,0,,2.8306,,0,503852.0,0.0,,3,0.0
TQBR,2014-06-25,Красэсб ап,KRSBP,1,2560.1,2.5601,2.5601,2.5601,2.5601,2.5601,2.5601,1000,,2.8291,,0,506412.1,0.0,,3,0.0
TQBR,2014-06-26,Красэсб ап,KRSBP,1,2699.9,2.6999,2.6999,2.6999,2.6999,2.6999,2.6999,1000,,2.8284,,0,509112.0,0.0,,3,0.0546072419046131
TQBR,2014-06-27,Красэсб ап,KRSBP,0,0.0,,,,2.6999,,,0,,2.8284,,0,509112.0,0.0,,3,0.0
TQBR,2014-06-30,Красэсб ап,KRSBP,0,0.0,,,,2.6999,,,0,,2.8284,,0,509112.0,0.0,,3,0.0
TQBR,2014-07-01,Красэсб ап,KRSBP,4,206580.5,2.5603,2.55,2.5603,2.5504,2.5504,2.55,81000,,2.7104,,0,523100.0,0.0,,3,0.0
TQBR,2014-07-02,Красэсб ап,KRSBP,1,2551.0,2.551,2.551,2.551,2.551,2.551,2.551,1000,,2.7095,,0,525651.0,0.0,,3,0.0003921568627452
TQBR,2014-07-03,Красэсб ап,KRSBP,5,81604.6,2.5501,2.55,2.551,2.5501,2.5501,2.551,32000,,2.6783,,0,541008.7,0.0,,3,0.0
TQBR,2014-07-04,Красэсб ап,KRSBP,0,0.0,,,,2.5501,,,0,,2.6783,,0,541008.7,0.0,,3,0.0
TQBR,2014-07-07,Красэсб ап,KRSBP,0,0.0,,,,2.5501,,,0,,2.6783,,0,541008.7,0.0,,3,0.0
TQBR,2014-07-08,Красэсб ап,KRSBP,0,0.0,,,,2.5501,,,0,,2.6783,,0,541008.7,0.0,,3,0.0
TQBR,2014-07-09,Красэсб ап,KRSBP,4,55056.0,2.532,2.5,2.532,2.51,2.5025,2.51,22000,,2.6268,,0,522725.4,0.0,,3,0.0
TQBR,2014-07-10,Красэсб ап,KRSBP,1,2710.0,2.71,2.71,2.71,2.71,2.71,2.71,1000,,2.6158,,0,502235.4,0.0,,3,0.0796812749003984
