BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,КСБ ап,KTSBP,1,3740,0.374,0.374,0.374,0.374,0.374,0.374,10000,,0.3979,,0,533144,0.0,,3,0.0
TQBR,2014-06-10,КСБ ап,KTSBP,0,0,,,,0.374,,,0,,0.3979,,0,533144,0.0,,3,0.0
TQBR,2014-06-11,КСБ ап,KTSBP,3,11240,0.362,0.362,0.394,0.368,0.3747,0.368,30000,,0.3971,,0,500384,0.0,,3,0.0
TQBR,2014-06-16,КСБ ап,KTSBP,0,0,,,,0.368,,,0,,0.3971,,0,500384,0.0,,3,0.0
TQBR,2014-06-17,КСБ ап,KTSBP,2,25900,0.37,0.37,0.37,0.37,0.37,0.37,70000,,0.396,,0,502881,0.0,,3,0.0
TQBR,2014-06-18,КСБ ап,KTSBP,0,0,,,,0.37,,,0,,0.396,,0,502881,0.0,,3,0.0
TQBR,2014-06-19,КСБ ап,KTSBP,0,0,,,,0.37,,,0,,0.396,,0,502881,0.0,,3,0.0
TQBR,2014-06-20,КСБ ап,KTSBP,0,0,,,,0.37,,,0,,0.396,,0,502881,0.0,,3,0.0
TQBR,2014-06-23,КСБ ап,KTSBP,0,0,,,,0.37,,,0,,0.396,,0,502881,0.0,,3,0.0
TQBR,2014-06-24,КСБ ап,KTSBP,0,0,,,,0.37,,,0,,0.396,,0,502881,0.0,,3,0.0
TQBR,2014-06-25,КСБ ап,KTSBP,0,0,,,,0.37,,,0,,0.396,,0,502881,0.0,,3,0.0
TQBR,2014-06-26,КСБ ап,KTSBP,1,7400,0.37,0.37,0.37,0.37,0.37,0.37,20000,,0.3956,,0,510281,0.0,,3,0.0
TQBR,2014-06-27,КСБ ап,KTSBP,3,143998,0.3199,0.3199,0.322,0.322,0.32,0.322,450000,,0.373,,0,507304,0.0,,3,-0.1297297297297297
TQBR,2014-06-30,КСБ ап,KTSBP,0,0,,,,0.322,,,0,,0.373,,0,507304,0.0,,3,0.0
TQBR,2014-07-01,КСБ ап,KTSBP,0,0,,,,0.322,,,0,,0.373,,0,507304,0.0,,3,0.0
TQBR,2014-07-02,КСБ ап,KTSBP,0,0,,,,0.322,,,0,,0.373,,0,507304,0.0,,3,0.0
TQBR,2014-07-03,КСБ ап,KTSBP,1,28000,0.35,0.35,0.35,0.35,0.35,0.35,80000,,0.3706,,0,522561,0.0,,3,0.0
