BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,КСБ ао,KTSB,0,0,,,,0.351,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-10,КСБ ао,KTSB,0,0,,,,0.351,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-11,КСБ ао,KTSB,0,0,,,,0.351,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-16,КСБ ао,KTSB,0,0,,,,0.351,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-17,КСБ ао,KTSB,0,0,,,,0.351,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-18,КСБ ао,KTSB,0,0,,,,0.351,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-19,КСБ ао,KTSB,0,0,,,,0.351,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-20,КСБ ао,KTSB,0,0,,,,0.351,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-23,КСБ ао,KTSB,0,0,,,,0.351,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-24,КСБ ао,KTSB,0,0,,,,0.351,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-25,КСБ ао,KTSB,0,0,,,,0.351,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-26,КСБ ао,KTSB,0,0,,,,0.351,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-27,КСБ ао,KTSB,0,0,,,,0.351,,,0,,,,0,0,0.0,,3,0.0
TQBR,2014-06-30,КСБ ао,KTSB,0,0,,,,0.351,,,0,,,,0,0,0.0,,3,0.0
