BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,РСетКубань,KUBE,11,10759.0,65.53,62.2,65.53,62.2,63.29,62.2,170,,61.25,,0,538968.2,0.0,,3,0.0
TQBR,2014-06-10,РСетКубань,KUBE,31,46138.8,65.81,62.35,65.81,63.95,64.08,63.95,720,,61.68,,0,511307.0,0.0,,3,0.0281350482315112
TQBR,2014-06-11,РСетКубань,KUBE,4,7723.0,64.7,64.31,64.7,64.36,64.36,64.31,120,,61.72,,0,519030.0,0.0,,3,0.0056293979671618
TQBR,2014-06-16,РСетКубань,KUBE,5,9171.1,61.15,61.14,61.15,61.14,61.14,61.14,150,,61.71,,0,528201.1,0.0,,3,-0.0492924895039651
TQBR,2014-06-17,РСетКубань,KUBE,10,15375.5,61.5,60.99,63.41,61.81,61.5,61.81,250,,61.8,,0,513576.6,0.0,,3,0.0109584560026169
TQBR,2014-06-18,РСетКубань,KUBE,21,39144.8,63.0,61.02,64.31,63.95,63.14,63.59,620,,61.89,,0,552721.4,0.0,,3,0.02879792913768
TQBR,2014-06-19,РСетКубань,KUBE,14,38257.9,62.99,62.99,65.01,64.1,63.76,64.1,600,,62.45,,0,501478.0,0.0,,3,0.0080201289510927
TQBR,2014-06-20,РСетКубань,KUBE,0,0.0,,,,64.1,,,0,,62.45,,0,501478.0,0.0,,3,0.0
TQBR,2014-06-23,РСетКубань,KUBE,4,7659.0,64.0,63.8,64.0,63.81,63.83,63.8,120,,62.51,,0,501980.2,0.0,,3,0.0
TQBR,2014-06-24,РСетКубань,KUBE,40,128709.4,64.51,64.49,69.0,67.94,68.1,68.0,1890,,64.51,,0,500560.3,0.0,,3,0.0658307210031348
TQBR,2014-06-25,РСетКубань,KUBE,7,5041.8,63.04,63.0,63.04,63.0,63.02,63.0,80,,64.54,,0,500146.3,0.0,,3,-0.0735294117647058
TQBR,2014-06-26,РСетКубань,KUBE,15,27400.8,62.64,62.56,65.25,65.09,63.72,65.25,430,,64.61,,0,502051.3,0.0,,3,0.0357142857142857
TQBR,2014-06-27,РСетКубань,KUBE,1,679.9,67.99,67.99,67.99,67.99,67.99,67.99,10,,64.62,,0,502731.2,0.0,,3,0.0419923371647508
TQBR,2014-06-30,РСетКубань,KUBE,12,17325.4,66.61,65.29,67.98,66.5,66.64,66.5,260,,64.72,,0,502226.8,0.0,,3,-0.0219149874981614
TQBR,2014-07-01,РСетКубань,KUBE,14,32536.3,64.54,63.3,67.99,64.01,65.07,63.97,500,,64.85,,0,500614.3,0.0,,3,-0.0380451127819549
TQBR,2014-07-02,РСетКубань,KUBE,26,53577.9,68.0,63.5,68.0,65.92,65.34,65.9,820,,65.14,,0,502882.2,0.0,,3,0.0301703923714242
TQBR,2014-07-03,РСетКубань,KUBE,0,0.0,,,,65.92,,,0,,65.14,,0,502882.2,0.0,,3,0.0
TQBR,2014-07-04,РСетКубань,KUBE,2,1301.5,65.5,64.65,65.5,64.65,65.08,64.65,20,,65.14,,0,504183.7,0.0,,3,0.0
TQBR,2014-07-07,РСетКубань,KUBE,50,91824.3,64.29,60.22,65.61,62.99,63.77,62.99,1440,,65.04,,0,500779.1,0.0,,3,-0.025676720804331
TQBR,2014-07-08,РСетКубань,KUBE,43,96945.1,64.01,62.0,64.64,63.8,63.36,63.8,1530,,65.1,,0,500629.4,0.0,,3,0.0128591839974598
TQBR,2014-07-09,РСетКубань,KUBE,45,70161.7,63.02,63.02,74.72,67.24,66.19,65.0,1060,,65.36,,0,505888.8,0.0,,3,0.0188087774294671
TQBR,2014-07-10,РСетКубань,KUBE,24,49790.5,68.5,65.0,72.54,65.0,66.39,65.0,750,,65.29,,0,522967.4,0.0,,3,0.0
TQBR,2014-07-11,РСетКубань,KUBE,56,285461.7,70.04,66.0,70.08,66.27,69.62,66.0,4100,,67.45,,0,500448.5,0.0,,3,0.0153846153846153
TQBR,2014-07-14,РСетКубань,KUBE,16,39152.4,66.69,66.59,69.93,68.5,67.5,68.5,580,,67.79,,0,501642.7,0.0,,3,0.0378787878787878
