BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-06-10,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-06-11,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-06-16,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-06-17,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-06-18,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-06-19,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-06-20,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-06-23,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-06-24,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-06-25,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-06-26,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-06-27,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-06-30,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-07-01,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-07-02,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-07-03,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-07-04,КузнецкийБ,KUZB,0,0.0,,,,0.02049,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-07-07,КузнецкийБ,KUZB,1,160.3,0.01603,0.01603,0.01603,0.01603,0.01603,0.01603,10000,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-07-08,КузнецкийБ,KUZB,0,0.0,,,,0.01603,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-07-09,КузнецкийБ,KUZB,0,0.0,,,,0.01603,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-07-10,КузнецкийБ,KUZB,0,0.0,,,,0.01603,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-07-11,КузнецкийБ,KUZB,0,0.0,,,,0.01603,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-07-14,КузнецкийБ,KUZB,0,0.0,,,,0.01603,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-07-15,КузнецкийБ,KUZB,0,0.0,,,,0.01603,,,0,,,,0.0,0.0,0.0,,3,0.0
TQBR,2014-07-16,КузнецкийБ,KUZB,0,0.0,,,,0.01603,,,0,,,,0.0,0.0,0.0,,3,0.0
