BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,ОргСинт ап,KZOSP,1,2959.2,2.9592,2.9592,2.9592,2.9592,2.9592,2.9592,1000,,3.0193,,0.0,579703.9,0.0,,3,0.0
TQBR,2014-06-10,ОргСинт ап,KZOSP,0,0.0,,,,2.9592,,,0,,3.0193,,0.0,579703.9,0.0,,3,0.0
TQBR,2014-06-11,ОргСинт ап,KZOSP,0,0.0,,,,2.9592,,,0,,3.0193,,0.0,579703.9,0.0,,3,0.0
TQBR,2014-06-16,ОргСинт ап,KZOSP,0,0.0,,,,2.9592,,,0,,3.0193,,0.0,579703.9,0.0,,3,0.0
TQBR,2014-06-17,ОргСинт ап,KZOSP,0,0.0,,,,2.9592,,,0,,3.0193,,0.0,579703.9,0.0,,3,0.0
TQBR,2014-06-18,ОргСинт ап,KZOSP,0,0.0,,,,2.9592,,,0,,3.0193,,0.0,579703.9,0.0,,3,0.0
TQBR,2014-06-19,ОргСинт ап,KZOSP,2,5917.9,2.959,2.9589,2.959,2.959,2.959,2.9589,2000,,3.0187,,0.0,585621.8,0.0,,3,0.0
TQBR,2014-06-20,ОргСинт ап,KZOSP,1,2950.0,2.95,2.95,2.95,2.95,2.95,2.95,1000,,3.0183,,0.0,588571.8,0.0,,3,-0.0030078745479738
TQBR,2014-06-23,ОргСинт ап,KZOSP,0,0.0,,,,2.95,,,0,,3.0183,,0.0,588571.8,0.0,,3,0.0
TQBR,2014-06-24,ОргСинт ап,KZOSP,2,5915.9,2.958,2.9579,2.958,2.958,2.958,2.9579,2000,,3.0177,,0.0,594487.7,0.0,,3,0.0
TQBR,2014-06-25,ОргСинт ап,KZOSP,0,0.0,,,,2.958,,,0,,3.0177,,0.0,594487.7,0.0,,3,0.0
TQBR,2014-06-26,ОргСинт ап,KZOSP,2,5700.0,2.85,2.85,2.85,2.85,2.85,2.85,2000,,3.016,,0.0,600187.7,0.0,,3,0.0
TQBR,2014-06-27,ОргСинт ап,KZOSP,0,0.0,,,,2.85,,,0,,3.016,,0.0,600187.7,0.0,,3,0.0
TQBR,2014-06-30,ОргСинт ап,KZOSP,2,9487.1,3.1623,3.1623,3.1624,3.1624,3.1624,3.1624,3000,,3.0182,,0.0,609674.8,0.0,,3,0.0
