BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,ОргСинт ао,KZOS,11,188695.7,6.4502,6.45,6.9986,6.45,6.5067,6.45,29000,,6.311,,0.0,769945.7,0.0,,3,0.0
TQBR,2014-06-10,ОргСинт ао,KZOS,2,58050.0,6.45,6.45,6.45,6.45,6.45,6.45,9000,,6.3206,,0.0,827995.7,0.0,,3,0.0
TQBR,2014-06-11,ОргСинт ао,KZOS,4,86770.6,6.6999,6.3718,6.6999,6.3718,6.6747,6.3718,13000,,6.3525,,0.0,914766.3,0.0,,3,-0.0121240310077519
TQBR,2014-06-16,ОргСинт ао,KZOS,12,1160551.7,6.5,6.3505,6.51,6.3785,6.4835,6.3505,179000,6.4835,6.4835,6.4835,1160551.7,1160551.7,1160551.7,,3,-0.003342854452431
TQBR,2014-06-17,ОргСинт ао,KZOS,6,1305270.5,6.3102,6.2501,6.3102,6.3057,6.3057,6.2501,207000,6.3881,6.3127,6.3881,2465822.2,1445601.1,2465822.2,,3,-0.0158097787575782
TQBR,2014-06-18,ОргСинт ао,KZOS,0,0.0,,,,6.3057,,,0,6.3881,6.3127,6.3881,2465822.2,1445601.1,2465822.2,,3,0.0
TQBR,2014-06-19,ОргСинт ао,KZOS,0,0.0,,,,6.3057,,,0,6.3975,6.3127,6.3975,2552592.8,1445601.1,2552592.8,,3,0.0
TQBR,2014-06-20,ОргСинт ао,KZOS,7,197999.3,6.6998,6.4,6.7,6.4,6.6,6.4,30000,6.4034,6.3767,6.4034,2663821.5,746069.4,2663821.5,,3,0.0
TQBR,2014-06-23,ОргСинт ао,KZOS,0,0.0,,,,6.4,,,0,6.3429,6.3767,6.3429,1503269.8,746069.4,1503269.8,,3,0.0
TQBR,2014-06-24,ОргСинт ао,KZOS,2,13046.1,6.6935,6.3526,6.6935,6.3526,6.5231,6.3526,2000,6.4187,6.3803,6.4187,3010383.9,746495.5,3010383.9,,3,0.0
TQBR,2014-06-25,ОргСинт ао,KZOS,0,0.0,,,,6.3526,,,0,6.4129,6.3803,6.4129,2821688.2,746495.5,2821688.2,,3,0.0
TQBR,2014-06-26,ОргСинт ао,KZOS,0,0.0,,,,6.3526,,,0,6.4122,6.3803,6.4122,2763638.2,746495.5,2763638.2,,3,0.0
TQBR,2014-06-27,ОргСинт ао,KZOS,1,66997.0,6.6997,6.6997,6.6997,6.6997,6.6997,6.6997,10000,6.4109,6.4055,6.4109,2743864.6,813492.5,2743864.6,,3,0.0
TQBR,2014-06-30,ОргСинт ао,KZOS,2,12571.1,6.321,6.2501,6.321,6.2501,6.2856,6.2501,2000,6.3581,6.4036,6.3581,1595884.0,826063.6,1595884.0,,3,-0.0671074824245862
TQBR,2014-07-01,ОргСинт ао,KZOS,6,49702.5,6.2222,6.2,6.2222,6.2128,6.2128,6.2,8000,,6.3925,,0.0,875766.1,0.0,,3,-0.0080158717460519
TQBR,2014-07-02,ОргСинт ао,KZOS,12,243707.6,6.52,6.5,6.6997,6.6992,6.5867,6.6997,37000,,6.5539,,0.0,550524.3,0.0,,3,0.0805967741935483
TQBR,2014-07-03,ОргСинт ао,KZOS,0,0.0,,,,6.6992,,,0,,6.5539,,0.0,550524.3,0.0,,3,0.0
TQBR,2014-07-04,ОргСинт ао,KZOS,11,1168936.5,6.4997,6.47,6.55,6.4843,6.4941,6.47,180000,6.4941,6.4941,6.4941,1168936.5,1168936.5,1168936.5,,3,0.0
TQBR,2014-07-07,ОргСинт ао,KZOS,3,78099.9,6.5,6.5,6.55,6.5499,6.5083,6.5499,12000,6.495,6.4919,6.495,1247036.4,759546.9,1247036.4,,3,0.0123493044822257
TQBR,2014-07-08,ОргСинт ао,KZOS,2,123500.0,6.5,6.5,6.5,6.5,6.5,6.5,19000,6.4954,6.489,6.4954,1370536.4,824096.9,1370536.4,,3,-0.0076184369227011
TQBR,2014-07-09,ОргСинт ао,KZOS,3,65150.0,6.5,6.5,6.55,6.55,6.515,6.55,10000,6.4963,6.489,6.4963,1435686.4,590499.9,1435686.4,,3,0.0076923076923076
TQBR,2014-07-10,ОргСинт ао,KZOS,2,455000.0,6.5,6.5,6.5,6.5,6.5,6.5,70000,6.4972,6.5023,6.4972,1890686.4,721749.9,1890686.4,,3,-0.0076335877862595
TQBR,2014-07-11,ОргСинт ао,KZOS,0,0.0,,,,6.5,,,0,6.5023,6.5023,6.5023,721749.9,721749.9,721749.9,,3,0.0
TQBR,2014-07-14,ОргСинт ао,KZOS,0,0.0,,,,6.5,,,0,6.5003,6.5023,6.5003,2184096.5,721749.9,2184096.5,,3,0.0
TQBR,2014-07-15,ОргСинт ао,KZOS,0,0.0,,,,6.5,,,0,6.5073,6.5023,6.5073,2134394.0,721749.9,2134394.0,,3,0.0
TQBR,2014-07-16,ОргСинт ао,KZOS,6,227533.8,6.5,6.5,6.5012,6.5011,6.501,6.5011,35000,6.4976,6.5017,6.4976,2118220.2,702183.8,2118220.2,,3,0.0
TQBR,2014-07-17,ОргСинт ао,KZOS,12,263533.4,6.5011,6.5011,6.7284,6.578,6.5883,6.578,40000,,6.5248,,0.0,939567.2,0.0,,3,0.0118287674393564
TQBR,2014-07-18,ОргСинт ао,KZOS,1,6599.5,6.5995,6.5995,6.5995,6.5995,6.5995,6.5995,1000,,6.5253,,0.0,946166.7,0.0,,3,0.0032684706597749
TQBR,2014-07-21,ОргСинт ао,KZOS,7,227630.7,6.5012,6.5,6.5996,6.5996,6.5037,6.5996,35000,,6.5387,,0.0,640787.8,0.0,,3,1.515266308050109e-05
TQBR,2014-07-22,ОргСинт ао,KZOS,6,257376.6,6.597,6.597,6.5997,6.5994,6.5994,6.5997,39000,,6.5562,,0.0,511384.2,0.0,,3,1.5152433480916286e-05
TQBR,2014-07-23,ОргСинт ао,KZOS,0,0.0,,,,6.5994,,,0,,6.5562,,0.0,511384.2,0.0,,3,0.0
TQBR,2014-07-24,ОргСинт ао,KZOS,0,0.0,,,,6.5994,,,0,,6.5562,,0.0,511384.2,0.0,,3,0.0
TQBR,2014-07-25,ОргСинт ао,KZOS,1,536000.0,6.7,6.7,6.7,6.7,6.7,6.7,80000,6.6299,6.6585,6.6299,1021007.3,838976.2,1021007.3,,3,0.0
TQBR,2014-07-28,ОргСинт ао,KZOS,0,0.0,,,,6.7,,,0,6.6029,6.6585,6.6029,1518674.0,838976.2,1518674.0,,3,0.0
TQBR,2014-07-29,ОргСинт ао,KZOS,36,1085737.4,6.599,6.25,7.12,6.6,6.7437,6.6,161000,6.7437,6.7437,6.7437,1085737.4,1085737.4,1085737.4,,3,0.0
TQBR,2014-07-30,ОргСинт ао,KZOS,10,391777.9,6.7,6.7,7.0997,6.7001,6.7548,6.7001,58000,,6.6697,,0.0,500228.1,0.0,,3,0.0151666666666667
TQBR,2014-07-31,ОргСинт ао,KZOS,9,111326.5,6.7875,6.5001,6.7875,6.5001,6.5486,6.5001,17000,6.7081,6.7081,6.7081,503104.4,503104.4,503104.4,,3,-0.02985030074178
TQBR,2014-08-01,ОргСинт ао,KZOS,0,0.0,,,,6.5001,,,0,6.7081,6.7081,6.7081,503104.4,503104.4,503104.4,,3,0.0
TQBR,2014-08-04,ОргСинт ао,KZOS,7,2167361.0,7.1098,6.75,7.1098,6.75,6.7519,6.75,321000,6.7417,6.7458,6.7417,2278687.5,2219361.8,2278687.5,,3,0.0
TQBR,2014-08-05,ОргСинт ао,KZOS,7,106009.1,6.75,6.75,7.13,7.1099,7.0673,7.1099,15000,6.766,6.7643,6.766,2273370.1,2245760.2,2273370.1,,3,0.0533185185185184
TQBR,2014-08-06,ОргСинт ао,KZOS,5,32006.1,6.4013,6.401,6.4013,6.4012,6.4012,6.401,5000,,6.7592,,0.0,2210265.2,0.0,,3,-0.0997060436855651
TQBR,2014-08-07,ОргСинт ао,KZOS,1,13400.0,6.7,6.7,6.7,6.7,6.7,6.7,2000,,6.7589,,0.0,2223665.2,0.0,,3,0.0467114513357288
TQBR,2014-08-08,ОргСинт ао,KZOS,1,53197.6,6.6497,6.6497,6.6497,6.6497,6.6497,6.6497,8000,6.7578,6.7563,6.7578,2371973.8,2276862.8,2371973.8,,3,-0.0075074626865671
TQBR,2014-08-11,ОргСинт ао,KZOS,33,2453312.2,6.4011,6.0,6.91,6.3895,6.4055,6.3013,383000,6.4055,6.4055,6.4055,2453312.2,2453312.2,2453312.2,,3,-0.0523933410529798
TQBR,2014-08-12,ОргСинт ао,KZOS,0,0.0,,,,6.3895,,,0,6.4055,6.4057,6.4055,2453312.2,646979.0,2453312.2,,3,0.0
TQBR,2014-08-13,ОргСинт ао,KZOS,3,19046.0,6.296,6.296,6.45,6.45,6.3487,6.45,3000,6.4051,6.4041,6.4051,2472358.2,666025.0,2472358.2,,3,0.0
TQBR,2014-08-14,ОргСинт ао,KZOS,29,378612.7,6.5494,6.35,6.5497,6.3999,6.4172,6.3999,59000,,6.4094,,0.0,589667.2,0.0,,3,-0.0077674418604651
TQBR,2014-08-15,ОргСинт ао,KZOS,4,25680.1,6.4201,6.42,6.4201,6.42,6.42,6.42,4000,,6.4099,,0.0,615347.3,0.0,,3,0.0031406740730324
TQBR,2014-08-18,ОргСинт ао,KZOS,0,0.0,,,,6.42,,,0,,6.4099,,0.0,615347.3,0.0,,3,0.0
TQBR,2014-08-19,ОргСинт ао,KZOS,2,25610.0,6.41,6.4,6.41,6.4025,6.4025,6.4,4000,,6.4096,,0.0,640957.3,0.0,,3,0.0
TQBR,2014-08-20,ОргСинт ао,KZOS,14,1010354.2,6.5,6.4999,6.6997,6.5997,6.6036,6.5997,153000,6.6036,6.6036,6.6036,1010354.2,1010354.2,1010354.2,,3,0.0312031249999999
TQBR,2014-08-21,ОргСинт ао,KZOS,4,72046.5,6.5497,6.5496,6.5497,6.5496,6.5497,6.5496,11000,6.6,6.6026,6.6,1082400.7,567824.0,1082400.7,,3,-0.0075912541479158
TQBR,2014-08-22,ОргСинт ао,KZOS,5,32041.2,6.4998,6.3502,6.4998,6.3854,6.4082,6.3511,5000,6.5943,6.5919,6.5943,1114441.9,599865.2,1114441.9,,3,-0.0303071943324783
