BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2021-12-01,Лента ао,LENT,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-12-02,Лента ао,LENT,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-12-03,Лента ао,LENT,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-12-06,Лента ао,LENT,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-12-07,Лента ао,LENT,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-12-08,Лента ао,LENT,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-12-09,Лента ао,LENT,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-12-10,Лента ао,LENT,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-12-13,Лента ао,LENT,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,0.0
TQBR,2021-12-14,Лента ао,LENT,17,45990.0,1095.0,1095.0,1095.0,1095.0,1095.0,1095.0,42,,,1095.0,0.0,0.0,0.0,0,3,0.0
TQBR,2021-12-15,Лента ао,LENT,152,1872199.6,1204.0,1050.0,1204.0,1150.0,1148.6,1150.0,1630,1148.6,1148.6,1150.0,1872199.6,1872199.6,1872199.6,0,3,0.0502283105022831
TQBR,2021-12-16,Лента ао,LENT,476,6031176.6,1200.0,1177.0,1264.4,1264.4,1246.4,1264.4,4839,1246.4,1246.4,1264.4,6031176.6,6031176.6,6031176.6,0,3,0.0994782608695653
TQBR,2021-12-17,Лента ао,LENT,1007,8908328.0,1299.0,1281.8,1389.6,1301.0,1351.4,1301.0,6592,1351.4,1351.4,1301.0,8908328.0,8908328.0,8908328.0,0,3,0.0289465359063586
TQBR,2021-12-20,Лента ао,LENT,1043,8845631.6,1287.8,1110.0,1320.0,1150.0,1191.2,1150.0,7426,1191.2,1191.2,1150.0,8845631.6,8845631.6,8845631.6,0,3,-0.1160645657186779
TQBR,2021-12-21,Лента ао,LENT,841,5592392.6,1182.6,1069.0,1182.6,1111.8,1124.6,1111.8,4973,1124.6,1124.6,1111.8,5592392.6,5592392.6,5592392.6,0,3,-0.0332173913043478
TQBR,2021-12-22,Лента ао,LENT,809,8069503.2,1111.6,1032.0,1112.0,1057.0,1070.0,1057.0,7541,1070.0,1070.0,1057.0,8069503.2,8069503.2,8069503.2,0,3,-0.0492894405468609
TQBR,2021-12-23,Лента ао,LENT,827,9670438.8,1050.2,1006.0,1075.6,1014.0,1029.6,1014.0,9392,1029.6,1029.6,1014.0,9670438.8,9670438.8,9670438.8,0,3,-0.0406811731315042
TQBR,2021-12-24,Лента ао,LENT,729,8150506.8,1015.8,992.0,1035.4,996.4,1000.8,997.6,8144,1000.8,1000.8,996.4,8150506.8,8150506.8,8150506.8,0,3,-0.0161735700197238
TQBR,2021-12-27,Лента ао,LENT,824,12537660.8,1012.0,996.2,1057.0,1049.2,1030.8,1049.2,12164,1030.8,1030.8,1049.2,12537660.8,12537660.8,12537660.8,0,3,0.0517241379310345
TQBR,2021-12-28,Лента ао,LENT,497,4887539.0,1040.0,1010.2,1042.0,1033.6,1035.4,1033.6,4720,1035.4,1035.4,1033.6,4887539.0,4887539.0,4887539.0,0,3,-0.0148684712161648
TQBR,2021-12-29,Лента ао,LENT,995,14261457.0,1003.0,996.2,1032.0,999.0,1002.6,999.0,14225,1002.6,1002.6,999.0,14261457.0,14261457.0,14261457.0,0,3,-0.0334752321981423
TQBR,2021-12-30,Лента ао,LENT,687,7617281.2,1029.8,995.0,1029.8,998.0,1000.0,998.0,7618,1000.0,1000.0,998.0,7617281.2,7617281.2,7617281.2,0,3,-0.001001001001001
TQBR,2022-01-03,Лента ао,LENT,480,5220595.4,998.4,970.0,1021.4,1004.2,1000.4,1001.4,5219,1000.4,1000.4,1004.2,5220595.4,5220595.4,5220595.4,0,3,0.0034068136272544
TQBR,2022-01-04,Лента ао,LENT,474,8149704.8,1013.0,1000.0,1022.8,1020.0,1014.4,1019.8,8034,1014.4,1014.4,1020.0,8149704.8,8149704.8,8149704.8,0,3,0.0183742760135809
TQBR,2022-01-05,Лента ао,LENT,327,2146796.0,1018.0,1002.8,1026.0,1025.0,1020.4,1025.0,2104,1020.4,1020.4,1025.0,2146796.0,2146796.0,2146796.0,0,3,0.0050990390272602
TQBR,2022-01-06,Лента ао,LENT,238,2179341.8,1024.4,1010.0,1030.0,1019.6,1017.4,1019.6,2142,1017.4,1017.4,1019.6,2179341.8,2179341.8,2179341.8,0,3,-0.0052682926829268
TQBR,2022-01-07,Лента ао,LENT,0,0.0,,,,1019.6,,,0,1017.4,1017.0,1019.6,2179341.8,500325.8,2179341.8,0,3,0.0
TQBR,2022-01-10,Лента ао,LENT,705,11557420.2,1016.6,995.0,1036.2,999.0,1003.6,999.0,11516,1003.6,1003.6,999.0,11557420.2,11557420.2,11557420.2,0,3,0.0
TQBR,2022-01-11,Лента ао,LENT,269,2658922.8,1005.8,990.4,1008.8,1008.8,998.4,1008.8,2663,998.4,998.4,1008.8,2658922.8,2658922.8,2658922.8,0,3,0.0098098098098097
TQBR,2022-01-12,Лента ао,LENT,265,2228623.8,1009.2,1004.4,1014.4,1005.2,1008.4,1009.2,2210,1008.4,1008.4,1005.2,2228623.8,2228623.8,2228623.8,0,3,0.0003965107057891
TQBR,2022-01-13,Лента ао,LENT,667,10052815.2,1000.4,982.0,1014.0,982.6,997.6,982.6,10076,997.6,997.6,982.6,10052815.2,10052815.2,10052815.2,0,3,-0.0263575108997225
TQBR,2022-01-14,Лента ао,LENT,697,8195697.8,984.0,961.0,999.8,977.2,979.2,977.2,8370,979.2,979.2,977.2,8195697.8,8195697.8,8195697.8,0,3,-0.0054956238550783
TQBR,2022-01-17,Лента ао,LENT,279,5320532.0,977.4,968.2,999.0,970.2,971.6,974.2,5476,971.6,971.6,970.2,5320532.0,5320532.0,5320532.0,0,3,-0.0030699959066721
TQBR,2022-01-18,Лента ао,LENT,652,11211839.2,970.0,929.6,980.8,933.8,953.2,933.8,11763,953.2,953.2,933.8,11211839.2,11211839.2,11211839.2,0,3,-0.0414699240402382
TQBR,2022-01-19,Лента ао,LENT,446,7786482.6,933.8,918.2,966.2,940.6,929.6,940.8,8376,929.6,929.6,940.6,7786482.6,7786482.6,7786482.6,0,3,0.0074962518740629
TQBR,2022-01-20,Лента ао,LENT,358,3616623.0,990.0,925.4,990.0,958.6,952.2,958.6,3798,952.2,952.2,958.6,3616623.0,3616623.0,3616623.0,0,3,0.0189200680272109
TQBR,2022-01-21,Лента ао,LENT,823,13814624.2,971.4,894.2,971.4,919.0,916.0,919.0,15082,916.0,916.0,919.0,13814624.2,13814624.2,13814624.2,0,3,-0.0413102441059879
TQBR,2022-01-24,Лента ао,LENT,1397,20052866.4,932.8,785.2,995.0,826.4,839.8,826.8,23880,839.8,839.8,826.4,20052866.4,20052866.4,20052866.4,0,3,-0.1003264417845484
TQBR,2022-01-25,Лента ао,LENT,556,7197073.0,852.0,799.6,852.0,831.6,825.6,830.0,8717,825.6,825.6,831.6,7197073.0,7197073.0,7197073.0,0,3,0.003870343492985
TQBR,2022-01-26,Лента ао,LENT,380,3217521.0,850.0,833.2,869.0,858.2,854.2,858.0,3767,854.2,854.2,858.2,3217521.0,3217521.0,3217521.0,0,3,0.0337349397590361
TQBR,2022-01-27,Лента ао,LENT,365,2811923.0,875.0,831.2,888.8,880.0,871.2,880.0,3228,871.2,871.2,880.0,2811923.0,2811923.0,2811923.0,0,3,0.0256410256410256
TQBR,2022-01-28,Лента ао,LENT,274,2895287.6,899.8,880.0,927.0,898.0,893.0,898.0,3242,893.0,893.0,898.0,2895287.6,2895287.6,2895287.6,0,3,0.0204545454545454
TQBR,2022-01-31,Лента ао,LENT,635,8938894.0,890.2,860.4,932.0,893.6,898.8,894.2,9945,898.8,898.8,893.6,8938894.0,8938894.0,8938894.0,0,3,-0.0042316258351892
TQBR,2022-02-01,Лента ао,LENT,287,2119434.5,910.0,894.5,910.0,907.5,905.5,907.0,2340,905.5,905.5,907.5,2119434.5,2119434.5,2119434.5,0,3,0.0143144710355624
TQBR,2022-02-02,Лента ао,LENT,299,3194356.0,910.0,897.5,919.5,904.5,904.0,905.0,3534,904.0,904.0,904.5,3194356.0,3194356.0,3194356.0,0,3,-0.0022050716648291
TQBR,2022-02-03,Лента ао,LENT,203,1839815.0,900.5,880.0,900.5,888.0,887.5,888.0,2073,887.5,887.5,888.0,1839815.0,1839815.0,1839815.0,0,3,-0.0187845303867403
TQBR,2022-02-04,Лента ао,LENT,214,1700512.0,915.0,875.0,915.0,878.5,891.5,877.5,1908,891.5,891.5,878.5,1700512.0,1700512.0,1700512.0,0,3,-0.0118243243243243
TQBR,2022-02-07,Лента ао,LENT,219,2521760.0,885.5,861.0,892.0,872.5,869.5,872.5,2900,869.5,869.5,872.5,2521760.0,2521760.0,2521760.0,0,3,-0.0056980056980056
TQBR,2022-02-08,Лента ао,LENT,269,2370212.5,875.5,840.0,881.5,870.0,866.5,870.0,2736,866.5,866.5,870.0,2370212.5,2370212.5,2370212.5,0,3,-0.0028653295128939
TQBR,2022-02-09,Лента ао,LENT,309,2285314.5,875.5,871.0,894.0,885.0,883.0,885.0,2588,883.0,883.0,885.0,2285314.5,2285314.5,2285314.5,0,3,0.0172413793103448
TQBR,2022-02-10,Лента ао,LENT,267,3697388.5,878.5,878.5,894.0,884.5,886.5,884.5,4171,886.5,886.5,884.5,3697388.5,3697388.5,3697388.5,0,3,-0.0005649717514124
TQBR,2022-02-11,Лента ао,LENT,325,6903003.5,889.5,850.5,915.5,880.5,883.0,879.0,7817,883.0,883.0,880.5,6903003.5,6903003.5,6903003.5,0,3,-0.0062182023742227
TQBR,2022-02-14,Лента ао,LENT,215,1294606.0,875.0,851.5,879.0,866.5,869.0,866.0,1490,869.0,869.0,866.5,1294606.0,1294606.0,1294606.0,0,3,-0.0147895335608646
TQBR,2022-02-15,Лента ао,LENT,272,2900280.0,879.0,865.5,894.0,878.5,885.0,878.0,3277,885.0,885.0,878.5,2900280.0,2900280.0,2900280.0,0,3,0.0138568129330254
TQBR,2022-02-16,Лента ао,LENT,355,3481383.5,899.5,890.0,916.0,893.5,904.5,893.5,3849,904.5,904.5,893.5,3481383.5,3481383.5,3481383.5,0,3,0.0176537585421412
TQBR,2022-02-17,Лента ао,LENT,291,4075459.5,893.0,875.5,921.0,883.5,893.0,883.5,4564,893.0,893.0,883.5,4075459.5,4075459.5,4075459.5,0,3,-0.0111919418019026
TQBR,2022-02-18,Лента ао,LENT,254,2802779.5,883.0,871.0,920.5,884.0,882.5,877.0,3176,882.5,882.5,884.0,2802779.5,2802779.5,2802779.5,0,3,-0.0073571024335031
TQBR,2022-02-21,Лента ао,LENT,666,15659971.5,900.0,821.0,910.5,839.0,868.0,839.0,18041,868.0,868.0,839.0,15659971.5,15659971.5,15659971.5,0,3,-0.0433295324971493
TQBR,2022-02-22,Лента ао,LENT,727,6101358.0,825.0,735.0,866.5,840.0,787.5,850.5,7748,787.5,787.5,840.0,6101358.0,6101358.0,6101358.0,0,3,0.0137067938021454
TQBR,2022-02-23,Лента ао,LENT,0,0.0,,,,840.0,,,0,787.5,838.0,840.0,6101358.0,504456.5,6101358.0,0,3,0.0
TQBR,2022-02-24,Лента ао,LENT,2427,21107155.5,750.0,370.0,765.0,602.5,515.0,605.0,40975,515.0,515.0,602.5,21107155.5,21107155.5,21107155.5,0,3,0.0
TQBR,2022-02-25,Лента ао,LENT,1249,7236028.5,660.0,602.0,753.5,645.0,672.5,645.0,10760,672.5,672.5,645.0,7236028.5,7236028.5,7236028.5,0,3,0.0661157024793388
TQBR,2022-02-28,Лента ао,LENT,0,0.0,,,,648.5,,,0,672.5,647.5,648.5,7236028.5,507046.0,7236028.5,0,3,0.0
TQBR,2022-03-01,Лента ао,LENT,0,0.0,,,,648.5,,,0,672.5,647.5,648.5,7236028.5,507046.0,7236028.5,0,3,0.0
TQBR,2022-03-02,Лента ао,LENT,0,0.0,,,,648.5,,,0,548.0,647.5,648.5,28343184.0,507046.0,28343184.0,0,3,0.0
TQBR,2022-03-03,Лента ао,LENT,0,0.0,,,,648.5,,,0,672.5,647.5,648.5,7236028.5,507046.0,7236028.5,0,3,0.0
TQBR,2022-03-04,Лента ао,LENT,0,0.0,,,,648.5,,,0,646.5,647.5,648.5,50104513.5,507046.0,50104513.5,0,3,0.0
TQBR,2022-03-09,Лента ао,LENT,0,0.0,,,,648.5,,,0,579.0,647.5,648.5,34444542.0,507046.0,34444542.0,0,3,0.0
TQBR,2022-03-10,Лента ао,LENT,0,0.0,,,,648.5,,,0,548.0,647.5,648.5,28343184.0,507046.0,28343184.0,0,3,0.0
TQBR,2022-03-11,Лента ао,LENT,0,0.0,,,,648.5,,,0,548.0,647.5,648.5,28343184.0,507046.0,28343184.0,0,3,0.0
TQBR,2022-03-14,Лента ао,LENT,0,0.0,,,,648.5,,,0,672.5,647.5,648.5,7236028.5,507046.0,7236028.5,0,3,0.0
TQBR,2022-03-15,Лента ао,LENT,0,0.0,,,,648.5,,,0,,647.5,648.5,0.0,507046.0,0.0,0,3,0.0
TQBR,2022-03-16,Лента ао,LENT,0,0.0,,,,648.5,,,0,,647.5,648.5,0.0,507046.0,0.0,0,3,0.0
TQBR,2022-03-17,Лента ао,LENT,0,0.0,,,,648.5,,,0,,647.5,648.5,0.0,507046.0,0.0,0,3,0.0
TQBR,2022-03-18,Лента ао,LENT,0,0.0,,,,648.5,,,0,,647.5,648.5,0.0,507046.0,0.0,0,3,0.0
TQBR,2022-03-21,Лента ао,LENT,0,0.0,,,,648.5,,,0,,647.5,648.5,0.0,507046.0,0.0,0,3,0.0
TQBR,2022-03-22,Лента ао,LENT,0,0.0,,,,648.5,,,0,,647.5,648.5,0.0,507046.0,0.0,0,3,0.0
TQBR,2022-03-23,Лента ао,LENT,0,0.0,,,,648.5,,,0,,647.5,648.5,0.0,507046.0,0.0,0,3,0.0
TQBR,2022-03-24,Лента ао,LENT,0,0.0,,,,648.5,,,0,,647.5,648.5,0.0,507046.0,0.0,0,3,0.0
TQBR,2022-03-25,Лента ао,LENT,0,0.0,,,,648.5,,,0,,647.5,648.5,0.0,507046.0,0.0,0,3,0.0
