BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,iФармсинтз,LIFE,7,79699.5,17.25,14.744,17.25,14.995,15.038,14.744,5300,,14.638,,0.0,521103.8,0.0,,3,0.0
TQBR,2014-06-10,iФармсинтз,LIFE,0,0.0,,,,14.995,,,0,,14.638,,0.0,521103.8,0.0,,3,0.0
TQBR,2014-06-11,iФармсинтз,LIFE,49,565224.0,14.7,13.841,14.8,13.875,14.681,13.841,38500,14.681,14.681,14.681,565224.0,565224.0,565224.0,,3,0.0
TQBR,2014-06-16,iФармсинтз,LIFE,45,197285.0,14.059,14.059,14.3,14.3,14.296,14.3,13800,,14.512,,0.0,570310.5,0.0,,3,0.033162343761289
TQBR,2014-06-17,iФармсинтз,LIFE,5,16994.7,14.051,14.051,14.2,14.199,14.162,14.199,1200,,14.501,,0.0,587305.2,0.0,,3,-0.0070629370629371
TQBR,2014-06-18,iФармсинтз,LIFE,55,301662.9,14.101,13.0,14.101,13.1,13.231,13.071,22800,,13.633,,0.0,501697.6,0.0,,3,-0.0794422142404394
TQBR,2014-06-19,iФармсинтз,LIFE,84,551775.8,13.259,13.259,14.25,14.19,14.004,14.12,39400,14.004,14.004,14.004,551775.8,551775.8,551775.8,,3,0.0802539973988217
TQBR,2014-06-20,iФармсинтз,LIFE,0,0.0,,,,14.19,,,0,14.004,14.064,14.004,551775.8,507702.5,551775.8,,3,0.0
TQBR,2014-06-23,iФармсинтз,LIFE,0,0.0,,,,14.19,,,0,14.004,14.064,14.004,551775.8,507702.5,551775.8,,3,0.0
TQBR,2014-06-24,iФармсинтз,LIFE,120,882761.3,14.298,14.0,14.298,14.007,14.17,14.0,62300,14.17,14.17,14.17,882761.3,882761.3,882761.3,,3,0.0
TQBR,2014-06-25,iФармсинтз,LIFE,1,1395.0,13.95,13.95,13.95,13.95,13.95,13.95,100,14.169,14.141,14.169,884156.3,514746.4,884156.3,,3,-0.0035714285714286
TQBR,2014-06-26,iФармсинтз,LIFE,2,4259.6,14.225,14.146,14.225,14.146,14.199,14.146,300,14.169,14.142,14.169,888415.9,519006.0,888415.9,,3,0.0140501792114696
TQBR,2014-06-27,iФармсинтз,LIFE,0,0.0,,,,14.146,,,0,14.169,14.142,14.169,888415.9,519006.0,888415.9,,3,0.0
TQBR,2014-06-30,iФармсинтз,LIFE,1,1384.2,13.842,13.842,13.842,13.842,13.842,13.842,100,14.169,14.141,14.169,889800.1,520390.2,889800.1,,3,0.0
