BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,Лензол. ап,LNZLP,17,56758.2,1819.0,1819.0,1845.5,1837.1,1830.9,1832.4,31,,1819.3,,0.0,553063.0,0.0,,3,0.0
TQBR,2014-06-10,Лензол. ап,LNZLP,6,36743.9,1819.4,1819.4,1841.3,1838.9,1837.2,1838.9,20,,1819.9,,0.0,504099.8,0.0,,3,0.0035472604234883
TQBR,2014-06-11,Лензол. ап,LNZLP,13,45822.5,1826.5,1826.5,1839.0,1838.9,1832.9,1839.0,25,,1821.6,,0.0,513700.3,0.0,,3,5.438033607042745e-05
TQBR,2014-06-16,Лензол. ап,LNZLP,33,196343.0,1825.0,1824.9,1866.9,1866.0,1852.3,1866.0,106,,1837.8,,0.0,512739.1,0.0,,3,0.0146818923327895
TQBR,2014-06-17,Лензол. ап,LNZLP,60,433860.0,1852.2,1700.2,1852.2,1843.9,1800.2,1850.0,241,,1809.1,,0.0,519210.5,0.0,,3,-0.0085744908896034
TQBR,2014-06-18,Лензол. ап,LNZLP,19,183729.2,1825.0,1800.0,1849.0,1832.5,1819.1,1832.5,101,,1800.8,,0.0,531223.1,0.0,,3,-0.0094594594594594
TQBR,2014-06-19,Лензол. ап,LNZLP,32,366503.6,1844.9,1814.3,1845.3,1838.3,1841.7,1838.3,199,,1834.4,,0.0,537471.9,0.0,,3,0.0031650750341063
TQBR,2014-06-20,Лензол. ап,LNZLP,7,24012.9,1840.0,1840.0,1847.9,1847.0,1847.1,1847.0,13,,1836.9,,0.0,506974.8,0.0,,3,0.0047326334113039
TQBR,2014-06-23,Лензол. ап,LNZLP,28,234956.5,1848.1,1811.1,1854.7,1821.6,1835.6,1821.0,128,,1840.2,,0.0,518923.7,0.0,,3,-0.0140768814293448
TQBR,2014-06-24,Лензол. ап,LNZLP,19,504616.5,1857.0,1840.0,1857.0,1840.0,1848.4,1840.0,273,1848.4,1848.4,1848.4,504616.5,504616.5,504616.5,,3,0.0104338275672707
TQBR,2014-06-25,Лензол. ап,LNZLP,14,242471.6,1839.8,1817.9,1839.9,1819.5,1823.1,1819.4,133,,1837.4,,0.0,587967.3,0.0,,3,-0.0111956521739129
