BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,Лензолото,LNZL,20,207508.6,6023.6,6023.6,6141.6,6098.9,6103.2,6098.9,34,,6085.0,,0.0,578075.3,0.0,,3,0.0
TQBR,2014-06-10,Лензолото,LNZL,25,370588.7,6033.3,6030.0,6137.8,6073.4,6075.2,6099.8,61,,6079.9,,0.0,504634.1,0.0,,3,0.0001475675941564
TQBR,2014-06-11,Лензолото,LNZL,50,4033027.0,6039.9,5950.0,6100.0,6062.8,5983.7,6062.8,674,5983.7,5983.7,5983.7,4033027.0,4033027.0,4033027.0,,3,-0.0060657726482835
TQBR,2014-06-16,Лензолото,LNZL,52,1757301.7,5957.0,5915.0,6099.7,6050.0,6080.6,6050.0,289,6080.6,6080.6,6080.6,1757301.7,1757301.7,1757301.7,,3,-0.0021112357326648
TQBR,2014-06-17,Лензолото,LNZL,64,3201958.0,6050.0,5983.1,6050.0,5983.1,6030.1,5983.1,531,6030.1,6030.1,6030.1,3201958.0,3201958.0,3201958.0,,3,-0.0110578512396693
TQBR,2014-06-18,Лензолото,LNZL,34,469888.9,6095.6,6000.0,6095.7,6018.8,6024.2,6018.8,78,,6018.5,,0.0,607872.0,0.0,,3,0.005966806504989
TQBR,2014-06-19,Лензолото,LNZL,66,2251954.5,6049.9,5999.8,6069.8,6039.9,6021.3,6039.9,374,6021.3,6021.3,6021.3,2251954.5,2251954.5,2251954.5,,3,0.0035056821957864
TQBR,2014-06-20,Лензолото,LNZL,51,686700.2,6060.9,6000.0,6100.0,6009.9,6023.7,6005.8,114,6023.7,6023.7,6023.7,686700.2,686700.2,686700.2,,3,-0.0056457888375634
TQBR,2014-06-23,Лензолото,LNZL,18,447399.4,6001.0,6000.1,6079.5,6049.8,6045.9,6049.8,74,,6041.6,,0.0,507493.6,0.0,,3,0.0073262512904192
TQBR,2014-06-24,Лензолото,LNZL,31,746364.4,6046.0,6002.0,6055.2,6007.7,6019.1,6002.0,124,6019.1,6019.1,6019.1,746364.4,746364.4,746364.4,,3,-0.0079010876392608
TQBR,2014-06-25,Лензолото,LNZL,48,942441.5,6039.7,5951.1,6039.8,6005.6,6002.8,6005.6,157,6002.8,6002.8,6002.8,942441.5,942441.5,942441.5,,3,0.0005998000666445
TQBR,2014-06-26,Лензолото,LNZL,24,264536.9,6030.1,5999.9,6032.1,6013.5,6012.2,6025.0,44,,5997.5,,0.0,521778.9,0.0,,3,0.0032303183695217
TQBR,2014-06-27,Лензолото,LNZL,42,926371.0,6001.2,6000.0,6040.0,6002.2,6015.4,6023.8,154,6015.4,6015.4,6015.4,926371.0,926371.0,926371.0,,3,-0.0001991701244812
TQBR,2014-06-30,Лензолото,LNZL,70,2423236.9,5962.3,5938.2,6018.8,5997.1,5998.1,5995.3,404,5998.1,5998.1,5998.1,2423236.9,2423236.9,2423236.9,,3,-0.0047312327766526
TQBR,2014-07-01,Лензолото,LNZL,43,551477.6,5912.3,5911.5,6010.0,6000.0,5994.3,6000.0,92,5994.3,5994.3,5994.3,551477.6,551477.6,551477.6,,3,0.0007839474254832
TQBR,2014-07-02,Лензолото,LNZL,51,803310.3,5998.9,5955.2,6020.0,6004.4,5994.9,6019.9,134,5994.9,5994.9,5994.9,803310.3,803310.3,803310.3,,3,0.0033166666666666
TQBR,2014-07-03,Лензолото,LNZL,45,1192584.6,5952.0,5921.3,6034.0,6034.0,6023.2,6034.0,198,6023.2,6023.2,6023.2,1192584.6,1192584.6,1192584.6,,3,0.0023422315985315
TQBR,2014-07-04,Лензолото,LNZL,34,1309452.1,6033.9,6018.0,6099.0,6018.8,6062.3,6018.0,216,6062.3,6062.3,6062.3,1309452.1,1309452.1,1309452.1,,3,-0.0026516407026847
TQBR,2014-07-07,Лензолото,LNZL,43,1484297.8,6109.6,6010.0,6109.6,6012.6,6033.7,6010.0,246,6033.7,6033.7,6033.7,1484297.8,1484297.8,1484297.8,,3,-0.001329345297441
TQBR,2014-07-08,Лензолото,LNZL,40,1118646.3,6048.9,6000.0,6048.9,6000.0,6014.2,6000.0,186,6014.2,6014.2,6014.2,1118646.3,1118646.3,1118646.3,,3,-0.0016638935108153
TQBR,2014-07-09,Лензолото,LNZL,48,1146198.0,6001.1,5995.0,6020.0,6002.0,6001.0,6002.0,191,6001.0,6001.0,6001.0,1146198.0,1146198.0,1146198.0,,3,0.0003333333333333
TQBR,2014-07-10,Лензолото,LNZL,48,636170.5,6005.0,5995.0,6018.6,5995.3,6001.6,5995.0,106,6001.6,6001.6,6001.6,636170.5,636170.5,636170.5,,3,-0.0011662779073642
TQBR,2014-07-11,Лензолото,LNZL,41,652408.9,6010.0,5977.0,6015.0,5979.8,5985.4,5980.0,109,5985.4,5985.4,5985.4,652408.9,652408.9,652408.9,,3,-0.0025020850708924
TQBR,2014-07-14,Лензолото,LNZL,68,1469033.5,5980.0,5950.4,6010.0,5964.1,5971.7,5970.8,246,5971.7,5971.7,5971.7,1469033.5,1469033.5,1469033.5,,3,-0.0015384615384615
TQBR,2014-07-15,Лензолото,LNZL,92,2035259.2,5956.2,5956.2,6100.0,6099.8,6075.4,6099.8,335,6075.4,6075.4,6075.4,2035259.2,2035259.2,2035259.2,,3,0.0216051450391907
TQBR,2014-07-16,Лензолото,LNZL,45,959702.7,6000.0,6000.0,6100.0,6030.0,6074.1,6030.0,158,6074.1,6074.1,6074.1,959702.7,959702.7,959702.7,,3,-0.0114429981310862
TQBR,2014-07-17,Лензолото,LNZL,444,9482240.2,6000.1,5601.0,6005.0,5750.0,5820.9,5750.0,1629,5820.5,5820.5,5820.5,9458239.8,9458239.8,9458239.8,,3,-0.0464344941956882
