BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2014-06-09,РСетиЛЭ,LSNG,45,338428.1,3.014,2.932,3.05,2.982,2.99,2.982,113200,,2.974,,0.0,540622.3,0.0,,3,0.0
TQBR,2014-06-10,РСетиЛЭ,LSNG,103,386352.1,2.943,2.943,3.034,2.984,2.99,3.004,129200,,2.996,,0.0,520945.8,0.0,,3,0.0073775989268946
TQBR,2014-06-11,РСетиЛЭ,LSNG,58,123800.6,3.028,2.976,3.028,2.978,2.998,2.991,41300,,2.993,,0.0,500715.9,0.0,,3,-0.0043275632490012
TQBR,2014-06-16,РСетиЛЭ,LSNG,41,177068.5,2.951,2.895,2.975,2.895,2.927,2.895,60500,,2.971,,0.0,501504.9,0.0,,3,-0.0320962888665998
TQBR,2014-06-17,РСетиЛЭ,LSNG,46,1285705.8,2.909,2.8,2.933,2.801,2.874,2.801,447400,2.874,2.874,2.874,1285705.8,1285705.8,1285705.8,,3,-0.0324697754749567
TQBR,2014-06-18,РСетиЛЭ,LSNG,28,947564.6,2.968,2.77,2.969,2.771,2.846,2.833,333000,2.846,2.846,2.846,947564.6,947564.6,947564.6,,3,0.0114244912531238
TQBR,2014-06-19,РСетиЛЭ,LSNG,46,1385218.2,2.834,2.834,2.866,2.84,2.854,2.84,485400,2.854,2.854,2.854,1385218.2,1385218.2,1385218.2,,3,0.0024708789269324
TQBR,2014-06-20,РСетиЛЭ,LSNG,41,691741.4,2.83,2.711,2.9,2.8,2.764,2.8,250300,2.764,2.764,2.764,691741.4,691741.4,691741.4,,3,-0.0140845070422535
TQBR,2014-06-23,РСетиЛЭ,LSNG,165,1441151.3,2.79,2.6,2.827,2.73,2.748,2.73,524400,2.748,2.748,2.748,1441151.3,1441151.3,1441151.3,,3,-0.0249999999999999
TQBR,2014-06-24,РСетиЛЭ,LSNG,62,1019612.2,2.751,2.702,2.886,2.777,2.745,2.777,371400,2.745,2.745,2.745,1019612.2,1019612.2,1019612.2,,3,0.0172161172161172
TQBR,2014-06-25,РСетиЛЭ,LSNG,90,1616025.6,2.765,2.695,2.878,2.718,2.716,2.764,595100,2.716,2.716,2.716,1616025.6,1616025.6,1616025.6,,3,-0.0046813107670148
TQBR,2014-06-26,РСетиЛЭ,LSNG,57,1007737.9,2.725,2.704,2.859,2.748,2.717,2.748,370900,2.717,2.717,2.717,1007737.9,1007737.9,1007737.9,,3,-0.0057887120115772
TQBR,2014-06-27,РСетиЛЭ,LSNG,17,24039.1,2.769,2.7,2.769,2.738,2.732,2.738,8800,,2.722,,0.0,516914.6,0.0,,3,-0.0036390101892286
TQBR,2014-06-30,РСетиЛЭ,LSNG,54,666104.9,2.702,2.7,2.9,2.868,2.794,2.9,238400,2.794,2.794,2.794,666104.9,666104.9,666104.9,,3,0.0591672753834915
TQBR,2014-07-01,РСетиЛЭ,LSNG,168,1316832.4,2.8,2.69,2.8,2.69,2.715,2.69,485100,2.715,2.715,2.715,1316832.4,1316832.4,1316832.4,,3,-0.0724137931034482
TQBR,2014-07-02,РСетиЛЭ,LSNG,83,958146.7,2.7,2.675,2.779,2.751,2.722,2.751,352000,2.722,2.722,2.722,958146.7,958146.7,958146.7,,3,0.0226765799256505
TQBR,2014-07-03,РСетиЛЭ,LSNG,46,364441.9,2.75,2.73,2.777,2.76,2.755,2.76,132300,,2.759,,0.0,573336.7,0.0,,3,0.0032715376226826
TQBR,2014-07-04,РСетиЛЭ,LSNG,87,496771.5,2.793,2.777,2.822,2.819,2.803,2.819,177200,,2.803,,0.0,500083.5,0.0,,3,0.0213768115942029
TQBR,2014-07-07,РСетиЛЭ,LSNG,34,320718.2,2.839,2.799,2.84,2.8,2.803,2.8,114400,,2.802,,0.0,500940.0,0.0,,3,-0.0067399787158567
TQBR,2014-07-08,РСетиЛЭ,LSNG,89,1132431.0,2.82,2.64,2.82,2.724,2.67,2.751,424200,2.67,2.67,2.67,1132431.0,1132431.0,1132431.0,,3,-0.0174999999999999
TQBR,2014-07-09,РСетиЛЭ,LSNG,19,81802.9,2.751,2.73,2.763,2.762,2.736,2.762,29900,,2.691,,0.0,516680.6,0.0,,3,0.0039985459832788
TQBR,2014-07-10,РСетиЛЭ,LSNG,36,456712.0,2.703,2.603,2.738,2.686,2.709,2.686,168600,,2.711,,0.0,504043.2,0.0,,3,-0.0275162925416365
TQBR,2014-07-11,РСетиЛЭ,LSNG,50,481271.5,2.667,2.591,2.72,2.602,2.669,2.67,180300,,2.67,,0.0,503819.4,0.0,,3,-0.0059568131049888
TQBR,2014-07-14,РСетиЛЭ,LSNG,12,333735.5,2.688,2.621,2.688,2.648,2.64,2.648,126400,,2.649,,0.0,553346.9,0.0,,3,-0.0082397003745317
TQBR,2014-07-15,РСетиЛЭ,LSNG,35,222005.5,2.61,2.6,2.649,2.636,2.609,2.636,85100,,2.627,,0.0,539070.3,0.0,,3,-0.0045317220543806
TQBR,2014-07-16,РСетиЛЭ,LSNG,53,626019.4,2.685,2.61,2.685,2.64,2.636,2.64,237500,2.636,2.636,2.636,626019.4,626019.4,626019.4,,3,0.0015174506828528
TQBR,2014-07-17,РСетиЛЭ,LSNG,97,438267.5,2.62,2.58,2.839,2.653,2.65,2.653,165400,,2.645,,0.0,670443.8,0.0,,3,0.0049242424242423
TQBR,2014-07-18,РСетиЛЭ,LSNG,36,248797.1,2.625,2.625,2.762,2.708,2.698,2.708,92200,,2.67,,0.0,517214.7,0.0,,3,0.0207312476441764
TQBR,2014-07-21,РСетиЛЭ,LSNG,12,640776.4,2.694,2.641,2.694,2.668,2.65,2.668,241800,2.65,2.65,2.65,640776.4,640776.4,640776.4,,3,-0.0147710487444608
TQBR,2014-07-22,РСетиЛЭ,LSNG,30,743980.9,2.699,2.651,2.699,2.67,2.661,2.67,279600,2.661,2.661,2.661,743980.9,743980.9,743980.9,,3,0.0007496251874062
TQBR,2014-07-23,РСетиЛЭ,LSNG,86,1037784.4,2.677,2.503,2.702,2.621,2.641,2.621,393000,2.641,2.641,2.641,1037784.4,1037784.4,1037784.4,,3,-0.0183520599250936
TQBR,2014-07-24,РСетиЛЭ,LSNG,45,722492.0,2.591,2.591,2.741,2.68,2.659,2.677,271700,2.659,2.659,2.659,722492.0,722492.0,722492.0,,3,0.021365890881343
TQBR,2014-07-25,РСетиЛЭ,LSNG,45,928320.7,2.692,2.6,2.692,2.637,2.638,2.64,351900,2.638,2.638,2.638,928320.7,928320.7,928320.7,,3,-0.0138214419125886
TQBR,2014-07-28,РСетиЛЭ,LSNG,56,123351.4,2.612,2.612,2.66,2.637,2.63,2.637,46900,,2.633,,0.0,683022.5,0.0,,3,-0.0011363636363636
TQBR,2014-07-29,РСетиЛЭ,LSNG,17,1481718.8,2.642,2.642,2.829,2.69,2.691,2.69,550700,2.691,2.691,2.691,1481718.8,1481718.8,1481718.8,,3,0.0200985968904057
TQBR,2014-07-30,РСетиЛЭ,LSNG,77,501619.4,2.695,2.531,2.81,2.725,2.693,2.797,186300,2.693,2.693,2.693,501619.4,501619.4,501619.4,,3,0.0397769516728625
TQBR,2014-07-31,РСетиЛЭ,LSNG,48,1449896.9,2.7,2.7,2.814,2.743,2.765,2.748,524400,2.765,2.765,2.765,1449896.9,1449896.9,1449896.9,,3,-0.017518770110833
TQBR,2014-08-01,РСетиЛЭ,LSNG,144,1403607.0,2.659,2.583,2.709,2.64,2.635,2.64,532700,2.635,2.635,2.635,1403607.0,1403607.0,1403607.0,,3,-0.0393013100436681
TQBR,2014-08-04,РСетиЛЭ,LSNG,55,418171.3,2.836,2.63,2.999,2.653,2.665,2.65,156900,,2.656,,0.0,503239.6,0.0,,3,0.0037878787878787
TQBR,2014-08-05,РСетиЛЭ,LSNG,56,250459.6,2.669,2.562,2.98,2.626,2.612,2.626,95900,,2.643,,0.0,500812.3,0.0,,3,-0.0090566037735849
TQBR,2014-08-06,РСетиЛЭ,LSNG,26,123856.7,2.551,2.551,2.6,2.563,2.564,2.563,48300,,2.621,,0.0,523088.6,0.0,,3,-0.0239908606245238
TQBR,2014-08-07,РСетиЛЭ,LSNG,56,242551.0,2.59,2.556,2.625,2.582,2.589,2.582,93700,,2.586,,0.0,505263.9,0.0,,3,0.0074131876706982
TQBR,2014-08-08,РСетиЛЭ,LSNG,236,480958.7,2.66,2.537,2.66,2.569,2.579,2.569,186500,,2.579,,0.0,502897.6,0.0,,3,-0.0050348567002323
TQBR,2014-08-11,РСетиЛЭ,LSNG,23,87582.6,2.57,2.57,2.647,2.63,2.63,2.63,33300,,2.583,,0.0,500503.0,0.0,,3,0.0237446477228493
TQBR,2014-08-12,РСетиЛЭ,LSNG,16,132239.7,2.645,2.627,2.678,2.627,2.65,2.627,49900,,2.596,,0.0,519145.5,0.0,,3,-0.0011406844106464
TQBR,2014-08-13,РСетиЛЭ,LSNG,67,506108.8,2.656,2.656,2.825,2.765,2.72,2.765,186100,2.72,2.72,2.72,506108.8,506108.8,506108.8,,3,0.0525314046440808
TQBR,2014-08-14,РСетиЛЭ,LSNG,45,149923.3,2.777,2.712,2.894,2.739,2.731,2.74,54900,,2.738,,0.0,511986.1,0.0,,3,-0.0090415913200723
TQBR,2014-08-15,РСетиЛЭ,LSNG,4,1908.7,2.729,2.663,2.739,2.726,2.727,2.739,700,,2.738,,0.0,513894.8,0.0,,3,-0.0003649635036497
TQBR,2014-08-18,РСетиЛЭ,LSNG,15,1021430.1,2.678,2.657,2.719,2.657,2.67,2.657,382500,2.67,2.67,2.67,1021430.1,1021430.1,1021430.1,,3,-0.0299379335523913
TQBR,2014-08-19,РСетиЛЭ,LSNG,15,995873.7,2.779,2.672,2.779,2.699,2.681,2.699,371400,2.681,2.681,2.681,995873.7,995873.7,995873.7,,3,0.0158073014678207
