BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,return
TQBR,2013-07-08,ЛСР ао,LSRG,0,0.0,,,,552.3,,,0,550.3,550.3,550.3,5625652.3,5625652.3,5625652.3,,3,0.0
TQBR,2013-07-09,ЛСР ао,LSRG,0,0.0,,,,553.7,,,0,542.9,542.9,542.9,2082699.1,2082699.1,2082699.1,,3,0.0
TQBR,2013-07-10,ЛСР ао,LSRG,0,0.0,,,,566.0,,,0,562.4,562.4,562.4,6387876.4,6387876.4,6387876.4,,3,0.0
TQBR,2013-07-11,ЛСР ао,LSRG,0,0.0,,,,585.6,,,0,579.6,579.6,579.6,8555039.7,8555039.7,8555039.7,,3,0.0
TQBR,2013-07-12,ЛСР ао,LSRG,0,0.0,,,,588.8,,,0,579.6,579.6,579.6,2540596.3,2540596.3,2540596.3,,3,0.0
TQBR,2013-07-15,ЛСР ао,LSRG,1,2898.0,579.6,579.6,579.6,583.0,579.6,579.6,5,582.4,582.4,582.4,2985479.7,2985479.7,2985479.7,,3,0.0
TQBR,2013-07-16,ЛСР ао,LSRG,2,29620.6,585.5,585.5,592.7,598.0,592.4,592.7,50,587.4,587.4,587.4,19623099.7,19623099.7,19623099.7,,3,0.0226017943409248
TQBR,2013-07-17,ЛСР ао,LSRG,2,10887.0,606.2,606.2,824.4,615.1,777.6,824.4,14,603.5,603.5,603.5,10856064.6,10856064.6,10856064.6,,3,0.3909228952252402
TQBR,2013-07-18,ЛСР ао,LSRG,0,0.0,,,,608.2,,,0,601.5,601.5,601.5,7252704.7,7252704.7,7252704.7,,3,0.0
TQBR,2013-07-19,ЛСР ао,LSRG,1,26191.3,609.1,609.1,609.1,617.4,609.1,609.1,43,613.0,613.0,613.0,3088788.0,3088788.0,3088788.0,,3,0.0
TQBR,2013-07-22,ЛСР ао,LSRG,2,1857.2,611.6,611.6,622.8,627.0,619.1,622.8,3,619.1,619.1,619.1,4560738.5,4560738.5,4560738.5,,3,0.022492201608931
TQBR,2013-07-23,ЛСР ао,LSRG,0,0.0,,,,630.7,,,0,640.2,640.2,640.2,15516820.3,15516820.3,15516820.3,,3,0.0
TQBR,2013-07-24,ЛСР ао,LSRG,0,0.0,,,,635.6,,,0,634.6,634.6,634.6,705084.5,705084.5,705084.5,,3,0.0
TQBR,2013-07-25,ЛСР ао,LSRG,0,0.0,,,,638.0,,,0,632.9,632.9,632.9,6956440.3,6956440.3,6956440.3,,3,0.0
TQBR,2013-07-26,ЛСР ао,LSRG,0,0.0,,,,623.7,,,0,621.1,621.1,621.1,4106133.6,4106133.6,4106133.6,,3,0.0
TQBR,2013-07-29,ЛСР ао,LSRG,0,0.0,,,,622.0,,,0,624.9,624.9,624.9,4422993.6,4422993.6,4422993.6,,3,0.0
TQBR,2013-07-30,ЛСР ао,LSRG,0,0.0,,,,632.6,,,0,636.7,636.7,636.7,5797994.3,5797994.3,5797994.3,,3,0.0
TQBR,2013-07-31,ЛСР ао,LSRG,0,0.0,,,,617.1,,,0,626.1,626.1,626.1,8129605.2,8129605.2,8129605.2,,3,0.0
TQBR,2013-08-01,ЛСР ао,LSRG,0,0.0,,,,633.7,,,0,633.4,633.4,633.4,3616453.4,3616453.4,3616453.4,,3,0.0
TQBR,2013-08-02,ЛСР ао,LSRG,0,0.0,,,,625.7,,,0,627.6,627.6,627.6,13617385.3,13617385.3,13617385.3,,3,0.0
TQBR,2013-08-05,ЛСР ао,LSRG,0,0.0,,,,607.5,,,0,606.7,606.7,606.7,2746594.8,2746594.8,2746594.8,,3,0.0
TQBR,2013-08-06,ЛСР ао,LSRG,0,0.0,,,,607.5,,,0,608.6,608.6,608.6,588497.8,588497.8,588497.8,,3,0.0
TQBR,2013-08-07,ЛСР ао,LSRG,0,0.0,,,,620.9,,,0,617.8,617.8,617.8,2494616.3,2494616.3,2494616.3,,3,0.0
TQBR,2013-08-08,ЛСР ао,LSRG,0,0.0,,,,630.9,,,0,632.4,632.4,632.4,6096975.1,6096975.1,6096975.1,,3,0.0
TQBR,2013-08-09,ЛСР ао,LSRG,0,0.0,,,,633.0,,,0,,631.7,,0.0,528086.9,0.0,,3,0.0
TQBR,2013-08-12,ЛСР ао,LSRG,0,0.0,,,,615.1,,,0,618.4,618.4,618.4,963461.1,963461.1,963461.1,,3,0.0
TQBR,2013-08-13,ЛСР ао,LSRG,0,0.0,,,,626.0,,,0,621.7,621.7,621.7,1700434.3,1700434.3,1700434.3,,3,0.0
TQBR,2013-08-14,ЛСР ао,LSRG,0,0.0,,,,635.2,,,0,633.7,633.7,633.7,1252191.9,1252191.9,1252191.9,,3,0.0
TQBR,2013-08-15,ЛСР ао,LSRG,0,0.0,,,,626.3,,,0,623.2,623.2,623.2,1049418.7,1049418.7,1049418.7,,3,0.0
TQBR,2013-08-16,ЛСР ао,LSRG,0,0.0,,,,614.6,,,0,620.0,620.0,620.0,3020602.0,3020602.0,3020602.0,,3,0.0
TQBR,2013-08-19,ЛСР ао,LSRG,0,0.0,,,,615.6,,,0,614.2,614.2,614.2,2985202.7,2985202.7,2985202.7,,3,0.0
TQBR,2013-08-20,ЛСР ао,LSRG,0,0.0,,,,614.0,,,0,614.6,614.6,614.6,2211374.1,2211374.1,2211374.1,,3,0.0
TQBR,2013-08-21,ЛСР ао,LSRG,0,0.0,,,,614.6,,,0,612.9,612.9,612.9,2927850.8,2927850.8,2927850.8,,3,0.0
TQBR,2013-08-22,ЛСР ао,LSRG,0,0.0,,,,621.0,,,0,616.6,616.6,616.6,3592171.8,3592171.8,3592171.8,,3,0.0
TQBR,2013-08-23,ЛСР ао,LSRG,0,0.0,,,,612.2,,,0,610.6,610.6,610.6,843794.6,843794.6,843794.6,,3,0.0
TQBR,2013-08-26,ЛСР ао,LSRG,0,0.0,,,,599.7,,,0,601.3,601.3,601.3,2576557.3,2576557.3,2576557.3,,3,0.0
TQBR,2013-08-27,ЛСР ао,LSRG,0,0.0,,,,589.5,,,0,595.3,595.3,595.3,3253336.9,3253336.9,3253336.9,,3,0.0
TQBR,2013-08-28,ЛСР ао,LSRG,0,0.0,,,,592.1,,,0,590.5,590.5,590.5,2194769.5,2194769.5,2194769.5,,3,0.0
TQBR,2013-08-29,ЛСР ао,LSRG,1,700.0,700.0,700.0,700.0,577.3,700.0,700.0,1,583.8,583.8,583.8,2633930.3,2633930.3,2633930.3,,3,0.0
TQBR,2013-08-30,ЛСР ао,LSRG,0,0.0,,,,570.0,,,0,570.2,570.2,570.2,1565206.2,1565206.2,1565206.2,,3,0.0
TQBR,2013-09-02,ЛСР ао,LSRG,339,2200970.7,567.5,560.2,581.3,572.3,571.1,572.5,3854,571.1,571.1,571.1,2200970.7,2200970.7,2200970.7,,3,0.0
TQBR,2013-09-03,ЛСР ао,LSRG,451,2893489.7,573.9,562.2,582.3,565.1,571.4,565.0,5064,571.4,571.4,571.4,2893489.7,2893489.7,2893489.7,,3,-0.0131004366812227
TQBR,2013-09-04,ЛСР ао,LSRG,330,1990803.8,565.0,555.0,572.6,565.0,564.3,565.0,3528,564.3,564.3,564.3,1990803.8,1990803.8,1990803.8,,3,0.0
TQBR,2013-09-05,ЛСР ао,LSRG,285,8901658.1,566.5,564.1,581.3,581.3,575.9,580.3,15458,575.9,575.9,575.9,8901658.1,8901658.1,8901658.1,,3,0.027079646017699
TQBR,2013-09-06,ЛСР ао,LSRG,566,13019963.8,575.8,575.8,589.0,580.0,582.5,580.0,22353,582.5,582.5,582.5,13019963.8,13019963.8,13019963.8,,3,-0.0005169739789763
TQBR,2013-09-09,ЛСР ао,LSRG,605,5911463.6,580.0,580.0,599.0,582.3,589.3,582.0,10032,589.3,589.3,589.3,5911463.6,5911463.6,5911463.6,,3,0.0034482758620689
TQBR,2013-09-10,ЛСР ао,LSRG,785,4679632.6,590.4,571.1,598.3,573.4,587.7,571.7,7962,587.7,587.7,587.7,4679632.6,4679632.6,4679632.6,,3,-0.0176975945017181
TQBR,2013-09-11,ЛСР ао,LSRG,537,4350510.0,578.9,571.3,580.5,572.1,575.2,572.0,7564,575.2,575.2,575.2,4350510.0,4350510.0,4350510.0,,3,0.0005247507433968
TQBR,2013-09-12,ЛСР ао,LSRG,645,13379421.1,580.0,565.3,580.0,565.6,573.3,565.6,23338,573.3,573.3,573.3,13375941.1,13375941.1,13375941.1,,3,-0.0111888111888111
TQBR,2013-09-13,ЛСР ао,LSRG,1885,9002634.6,568.9,542.5,570.9,544.9,555.8,543.0,16197,555.8,555.8,555.8,9002634.6,9002634.6,9002634.6,,3,-0.03995756718529
TQBR,2013-09-16,ЛСР ао,LSRG,1462,36564182.0,549.7,549.7,619.3,573.0,574.1,573.0,63693,574.1,574.1,574.1,36564182.0,36564182.0,36564182.0,,3,0.0552486187845303
TQBR,2013-09-17,ЛСР ао,LSRG,167,1431587.8,573.0,565.0,573.0,567.0,567.0,567.0,2525,567.0,567.0,567.0,1431587.8,1431587.8,1431587.8,,3,-0.0104712041884816
TQBR,2013-09-18,ЛСР ао,LSRG,277,3902524.6,566.1,557.0,570.1,559.2,567.1,559.0,6881,567.1,567.1,567.1,3902524.6,3902524.6,3902524.6,,3,-0.0141093474426807
TQBR,2013-09-19,ЛСР ао,LSRG,1109,7867407.2,566.8,566.8,588.7,579.9,580.4,587.0,13554,580.5,580.5,580.5,7865140.0,7865140.0,7865140.0,,3,0.0500894454382826
TQBR,2013-09-20,ЛСР ао,LSRG,653,4905152.3,587.4,566.0,594.0,568.9,584.2,568.8,8397,584.2,584.2,584.2,4905152.3,4905152.3,4905152.3,,3,-0.0310051107325384
TQBR,2013-09-23,ЛСР ао,LSRG,229,1793345.9,558.2,558.2,572.9,560.9,563.6,560.1,3182,563.6,563.6,563.6,1792787.7,1792787.7,1792787.7,,3,-0.0152953586497889
TQBR,2013-09-24,ЛСР ао,LSRG,512,8843822.3,565.1,558.0,565.5,564.4,562.4,563.0,15726,562.4,562.4,562.4,8843822.3,8843822.3,8843822.3,,3,0.0051776468487769
